"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta1",1,0.905233102685937,0.85253976228626,0.208495325961448,-0.184945104578226,-0.0228731807974533,0.605573874823276,0.204617627306055,0.408644910763532,0.656064633603136,0.633075830581143
"asc_ruta2",0.905233102685937,1,0.822961675279155,0.14723771294064,-0.170911034828319,0.0104353978567683,0.579647279610198,0.204914105649766,0.393193022293291,0.632791767794979,0.614913383558013
"asc_ruta3",0.85253976228626,0.822961675279155,1,0.0812916252471233,-0.130907733935792,0.0214603128134221,0.550438526160433,0.198065811531039,0.374041647602525,0.601716790540894,0.588175433168711
"b_time",0.208495325961448,0.14723771294064,0.0812916252471233,1,-0.503380539130595,-0.391677885106257,0.0943381617682577,-0.0769142942226982,0.0194571070789271,0.0501204658035391,-0.0246016757648517
"b_dist",-0.184945104578226,-0.170911034828319,-0.130907733935792,-0.503380539130595,1,0.0550285227597089,-0.105696655409885,0.0211203048707216,-0.0127802578138972,0.00860148724544185,0.0264973472228275
"b_cong",-0.0228731807974533,0.0104353978567683,0.0214603128134221,-0.391677885106257,0.0550285227597089,1,-0.104407478679653,-0.0503832633020615,0.127988281258051,0.0671331003452218,0.100414688474359
"b_CSECO",0.605573874823276,0.579647279610198,0.550438526160433,0.0943381617682577,-0.105696655409885,-0.104407478679653,1,0.00116800857614443,-0.0551427188200417,0.0615517558672123,-0.0421090300803923
"b_Hvalle",0.204617627306055,0.204914105649766,0.198065811531039,-0.0769142942226982,0.0211203048707216,-0.0503832633020615,0.00116800857614443,1,0.0114026047463397,0.0487853763456312,0.0249209867518553
"b_Joven30",0.408644910763532,0.393193022293291,0.374041647602525,0.0194571070789271,-0.0127802578138972,0.127988281258051,-0.0551427188200417,0.0114026047463397,1,0.4817197121653,0.528038352638521
"b_Adulto40",0.656064633603136,0.632791767794979,0.601716790540894,0.0501204658035391,0.00860148724544185,0.0671331003452218,0.0615517558672123,0.0487853763456312,0.4817197121653,1,0.733176036456783
"b_Adulto60",0.633075830581143,0.614913383558013,0.588175433168711,-0.0246016757648517,0.0264973472228275,0.100414688474359,-0.0421090300803923,0.0249209867518553,0.528038352638521,0.733176036456783,1
