"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_Exper_1","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_CSECO","b_CLLUVIA","b_Hpico","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_AdultoMayor"
"asc_ruta1",-56.4256693965499,10.2726612924518,5.60739873060079,132.602933641198,-11.3905490550608,8.95082416204086,2.0940375925311e-06,2.68850227316329,21.7918099026085,16.0652951046122,2.59734197688928e-12,2.59734197688928e-12,2.59734197688928e-12,2.59734197688928e-12,2.59734197688928e-12,33.9215640368558,6.62404533810649,26.2371780248768,14.3084313498652,2.72061073297974,11.0308336859474,21.6000261489119,5.19413881185022
"asc_ruta2",10.2726612924518,-28.8036592499306,2.24995203882741,15.2593842078867,-8.45104213700935,5.5679524309915,6.04180452313578e-07,1.02399580544059,9.04337086713586,6.21367864115781,5.46614277455674e-13,5.46614277455674e-13,5.46614277455674e-13,5.46614277455674e-13,5.46614277455674e-13,13.4211027716919,2.85994314686288,10.3851093350627,5.89593658433387,0.975273670029798,4.47037162239829,8.66077449967213,2.17462612646076
"asc_ruta3",5.60739873060079,2.24995203882741,-16.6955939070349,-15.1855754807116,-4.52673793646523,1.28906467711889,3.8438156879758e-07,0.578519806919515,4.79507313773997,3.46464980836315,4.63556667086389e-13,4.63556667086389e-13,4.63556667086389e-13,4.63556667086389e-13,4.63556667086389e-13,7.26053591684338,1.5777072213049,5.79240021247561,3.0458429257486,0.547735062156147,2.45129511351373,4.62374775694312,1.21546520792819
"b_time",132.602933641198,15.2593842078867,-15.1855754807116,-2874.36661053668,-280.654081557786,-340.519384029437,-3.7728528070974e-06,-2.97940144362874,-50.5388004054223,-79.1585367575268,6.8060720639636e-12,6.8060720639636e-12,6.8060720639636e-12,6.8060720639636e-12,6.8060720639636e-12,-111.510201337801,-21.1665410455743,-64.0966387871392,-68.5801035902808,-3.1997403701546,-17.386587606546,-85.644292545712,-26.4461218540963
"b_dist",-11.3905490550608,-8.45104213700935,-4.52673793646523,-280.654081557786,-160.368356867499,-27.4465299092603,1.53827262076352e-06,0.980162123846412,13.2543814572764,10.1337840177323,2.13377550123404e-12,2.13377550123404e-12,2.13377550123404e-12,2.13377550123404e-12,2.13377550123404e-12,16.9154727291381,7.45285640723434,17.5964015915892,6.77192754623487,1.38784497306716,9.25091110648164,12.0688243770125,1.66074869437976
"b_cong",8.95082416204086,5.5679524309915,1.28906467711889,-340.519384029437,-27.4465299092603,-205.392110288241,-3.08308269817179e-06,-1.56560184946452,-2.30953193958141,-11.9327044027237,3.29999014958294e-13,3.29999014958294e-13,3.29999014958294e-13,3.29999014958294e-13,3.29999014958294e-13,-16.6794662691812,0.871624992034297,-4.8848811613596,-10.922960113012,2.14197952821253,-2.58273904623523,-8.56354503771746,-6.80353672718026
"b_HTRB_1",2.0940375925311e-06,6.04180452313578e-07,3.8438156879758e-07,-3.7728528070974e-06,1.53827262076352e-06,-3.08308269817179e-06,-3.08252779264153e-06,8.36854722959304e-12,9.00776711145681e-12,9.77949304918974e-12,9.50050073261058e-19,9.50050073261058e-19,9.50050073261058e-19,9.50050073261058e-19,9.50050073261058e-19,-3.08249688911557e-06,4.30964953139876e-11,-3.08243814235408e-06,4.51108596463845e-11,-3.08246230833385e-06,1.49335419717068e-10,8.35841974879554e-11,1.55683636663136e-10
"b_HTRB_2",2.68850227316329,1.02399580544059,0.578519806919515,-2.97940144362874,0.980162123846412,-1.56560184946452,8.36854722959304e-12,-4.29101788538848,3.07527837508224e-11,2.79239301875563e-11,4.25918368788717e-13,4.25918368788717e-13,4.25918368788717e-13,4.25918368788717e-13,4.25918368788717e-13,-4.04587035078549,-0.245147534069389,-2.87719239759911,-1.41382548738116,-0.476094348429648,-1.47377369353191,-1.97201469486084,-0.369135146851137
"b_HTRB_3",21.7918099026085,9.04337086713586,4.79507313773997,-50.5388004054223,13.2543814572764,-2.30953193958141,9.00776711145681e-12,3.07527837508224e-11,-35.6302539075301,3.29959531087704e-11,6.58071348736384e-12,6.58071348736384e-12,6.58071348736384e-12,6.58071348736384e-12,6.58071348736384e-12,-29.6233673085438,-6.00688659892597,-24.19481468639,-11.435439221096,-2.96283966267147,-9.96729303393683,-17.4890495481857,-5.21107166191104
"b_HTRB_4",16.0652951046122,6.21367864115781,3.46464980836315,-79.1585367575268,10.1337840177323,-11.9327044027237,9.77949304918974e-12,2.79239301875563e-11,3.29959531087704e-11,-25.7436235537162,-3.66296682877354e-12,-3.66296682877354e-12,-3.66296682877354e-12,-3.66296682877354e-12,-3.66296682877354e-12,-20.9339619802773,-4.80966157305929,-15.3426774022749,-10.400946151005,-0.804682369346901,-6.51143368559929,-15.4234841628571,-3.00402333450426
