"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta1",1,0.917027045562437,0.840825805533901,0.258471868234631,-0.309368484423988,-0.039225885711325,0.605692222163862,0.227403268483301,0.438341231867,0.661247175154798,0.640249758570536
"asc_ruta2",0.917027045562435,1,0.82355321682309,0.189108358287805,-0.262999200661693,0.000699213110543018,0.621224890018811,0.208338280569008,0.421317643894922,0.620352161731786,0.597041433047037
"asc_ruta3",0.8408258055339,0.823553216823089,1,-0.018732360992632,-0.0678462576182302,0.0308022419195489,0.586759861910591,0.192571773469874,0.408303695917973,0.61408737647876,0.583260899438293
"b_time",0.258471868234631,0.189108358287805,-0.0187323609926319,1,-0.764872876454435,-0.457940666358974,0.0454450180162776,0.0516814538179427,0.0308390899729681,0.0415269856570285,0.00369196229372942
"b_dist",-0.309368484423988,-0.262999200661693,-0.0678462576182302,-0.764872876454435,1,0.138429360258062,-0.102168402210285,-0.0229506953980469,-0.097619989551525,-0.0274371936106911,-0.0173988132795503
"b_cong",-0.0392258857113251,0.000699213110542924,0.0308022419195489,-0.457940666358974,0.138429360258062,1,-0.117519395195372,-0.0871547893374729,0.131953023602324,0.0850637586859717,0.117841832726207
"b_CSECO",0.605692222163861,0.621224890018812,0.586759861910592,0.0454450180162772,-0.102168402210285,-0.117519395195372,1,0.0274934742901298,-0.00884682207298219,0.0840389394353402,-0.0204317309503382
"b_Hvalle",0.227403268483301,0.208338280569008,0.192571773469874,0.0516814538179427,-0.0229506953980469,-0.0871547893374729,0.0274934742901297,1,-0.0437654367358266,0.0462985097417005,0.00831083695435128
"b_Joven30",0.438341231866999,0.421317643894921,0.408303695917972,0.0308390899729678,-0.0976199895515248,0.131953023602324,-0.00884682207298242,-0.043765436735827,1,0.506996935798647,0.554121855333369
"b_Adulto40",0.661247175154798,0.620352161731787,0.614087376478761,0.0415269856570284,-0.0274371936106913,0.0850637586859718,0.0840389394353402,0.0462985097417006,0.506996935798649,1,0.74527974443211
"b_Adulto60",0.640249758570537,0.597041433047039,0.583260899438295,0.00369196229372944,-0.0173988132795506,0.117841832726207,-0.0204317309503377,0.00831083695435168,0.554121855333371,0.745279744432111,1
