"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",1,0.91507125204721,0.867475326543059,0.172677267845635,-0.155810348430732,0.00446013880619917,0.50780915349621,0.174620899243512,0.363121422558324,0.549252523287799,0.554491204408211,0.294773667737239,0.149104965585259
"asc_ruta2",0.91507125204721,1,0.840763558318643,0.114710915208266,-0.142729055885643,0.0366357769044596,0.483717490230194,0.174616032296938,0.350885609388894,0.53077979887537,0.538683630614931,0.296163995477303,0.138622230028714
"asc_ruta3",0.867475326543059,0.840763558318643,1,0.0538965244422695,-0.105483592617167,0.0468658989443396,0.458818514071095,0.168916997520147,0.335645289028738,0.506177012355843,0.516340687272384,0.290842473238491,0.129717925506751
"b_time",0.172677267845635,0.114710915208266,0.0538965244422695,1,-0.499714515056943,-0.409609920982216,0.119631892985003,-0.0647902661277862,-0.000994084647904318,0.036117814578716,-0.0199702726084627,-0.119364267066282,0.0932320446615421
"b_dist",-0.155810348430732,-0.142729055885643,-0.105483592617167,-0.499714515056943,1,0.0555943789677626,-0.110816000437984,0.020854098551954,-0.0195540523975469,-0.00566581722686195,0.0184025406686919,0.0475732384133424,0.0383653116753487
"b_cong",0.00446013880619917,0.0366357769044596,0.0468658989443396,-0.409609920982216,0.0555943789677626,1,-0.134803794567473,-0.0673321398349854,0.150235126974351,0.0816405478862544,0.0934453695467237,0.144569991591573,-0.118109768395153
"b_CSECO",0.50780915349621,0.483717490230194,0.458818514071095,0.119631892985003,-0.110816000437984,-0.134803794567473,1,0.0185021393585194,-0.0638890584111334,0.065487200117793,-0.023996685034414,-0.200079643708024,0.0286013173107903
"b_Hvalle",0.174620899243512,0.174616032296938,0.168916997520147,-0.0647902661277862,0.020854098551954,-0.0673321398349854,0.0185021393585194,1,0.00373639486582129,0.045150385682085,0.0308977463417407,-0.0789978845168049,0.0305675310004653
"b_Joven30",0.363121422558324,0.350885609388894,0.335645289028738,-0.000994084647904318,-0.0195540523975469,0.150235126974351,-0.0638890584111334,0.00373639486582129,1,0.499287168457083,0.527305211058323,0.018407517044435,-0.178803255252336
"b_Adulto40",0.549252523287799,0.53077979887537,0.506177012355843,0.036117814578716,-0.00566581722686195,0.0816405478862544,0.065487200117793,0.045150385682085,0.499287168457083,1,0.730979121160928,-0.0811265407017624,-0.233018099442059
"b_Adulto60",0.554491204408211,0.538683630614931,0.516340687272384,-0.0199702726084627,0.0184025406686919,0.0934453695467237,-0.023996685034414,0.0308977463417407,0.527305211058323,0.730979121160928,1,-0.101371199095342,-0.0843083504586891
"b_USOCINTURON",0.294773667737239,0.296163995477303,0.290842473238491,-0.119364267066282,0.0475732384133424,0.144569991591573,-0.200079643708024,-0.0789978845168049,0.018407517044435,-0.0811265407017624,-0.101371199095342,1,0.0672464588210148
"b_USODISPMOB",0.149104965585259,0.138622230028714,0.129717925506751,0.0932320446615421,0.0383653116753487,-0.118109768395153,0.0286013173107903,0.0305675310004653,-0.178803255252336,-0.233018099442059,-0.0843083504586891,0.0672464588210148,1
