"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB"
"asc_ruta1",1,0.927781595823461,0.861007594576594,0.222411175018141,-0.270252143839428,-0.00510933964209683,0.490417403861404,0.188635221911112,0.391080348614603,0.574002871748,0.583377522864583,0.317005353202598,0.166911329058755
"asc_ruta2",0.927781595823462,1,0.846080485063834,0.155679648691036,-0.224453769313743,0.0324272435055145,0.501008736259554,0.169066120146725,0.371024528618573,0.531345151284562,0.538067349590429,0.330760204384446,0.168662986649827
"asc_ruta3",0.861007594576596,0.846080485063836,1,-0.0289790503825255,-0.0454946569728964,0.0538940677665042,0.478129671920995,0.159077697503642,0.360833431968881,0.530579849524614,0.530889958927855,0.305109207263266,0.171397584185868
"b_time",0.22241117501814,0.155679648691036,-0.0289790503825259,1,-0.750773527341616,-0.483579328743183,0.07227207472925,0.0684708993115715,-0.0067268128016212,0.00451623785186068,-0.00232403992608598,-0.127659043240204,0.197799954668924
"b_dist",-0.270252143839428,-0.224453769313743,-0.0454946569728964,-0.750773527341616,1,0.138241251572187,-0.107875789186322,-0.021961282100385,-0.0922775811704059,-0.0278989095059187,-0.0185531640127199,0.0525003500419044,-0.0126571603975222
"b_cong",-0.00510933964209628,0.0324272435055146,0.0538940677665044,-0.483579328743183,0.138241251572187,1,-0.158334419526507,-0.118941248204857,0.159907310568885,0.107246697881319,0.111738356628477,0.196503662293134,-0.17566984122617
"b_CSECO",0.490417403861405,0.501008736259555,0.478129671920995,0.0722720747292503,-0.107875789186322,-0.158334419526507,1,0.0485412238584363,-0.0197509871592873,0.0757458816782226,-0.0187997463598212,-0.20436695103562,0.0171429438651239
"b_Hvalle",0.188635221911112,0.169066120146725,0.159077697503641,0.0684708993115716,-0.021961282100385,-0.118941248204857,0.0485412238584361,1,-0.0548993580507658,0.0338884066663587,0.0119690165401988,-0.0998384572783929,0.0521452175465072
"b_Joven30",0.391080348614605,0.371024528618573,0.360833431968882,-0.00672681280162102,-0.0922775811704058,0.159907310568885,-0.019750987159287,-0.0548993580507657,1,0.522998723643859,0.552753997921122,0.0209302739313156,-0.150629017898504
"b_Adulto40",0.574002871748001,0.531345151284562,0.530579849524614,0.00451623785186067,-0.0278989095059183,0.107246697881319,0.0757458816782211,0.0338884066663589,0.522998723643859,1,0.736969713660785,-0.0192555011102994,-0.187344830575915
"b_Adulto60",0.583377522864585,0.53806734959043,0.530889958927856,-0.00232403992608549,-0.0185531640127201,0.111738356628477,-0.0187997463598204,0.0119690165401995,0.552753997921122,0.736969713660786,1,-0.0362916983790221,-0.0252281354858403
"b_USOCINTURON",0.3170053532026,0.330760204384448,0.305109207263266,-0.127659043240203,0.0525003500419041,0.196503662293134,-0.204366951035619,-0.0998384572783926,0.0209302739313158,-0.0192555011102996,-0.0362916983790213,1,0.0409685913525085
"b_USODISPMOB",0.166911329058755,0.168662986649827,0.171397584185868,0.197799954668924,-0.0126571603975224,-0.17566984122617,0.0171429438651241,0.0521452175465074,-0.150629017898504,-0.187344830575915,-0.0252281354858403,0.0409685913525085,1
