"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"asc_ruta1",0.300092822616216,0.285520330726624,0.279476810628506,0.00254398031318266,-0.0092243151161444,0.00234780069038478,0.0165952645589757,0.0122250306287482,0.0121912503710342,0.0106540888027211,0.017493892149609,-0.0130230417281565,-0.0115016924961854,-0.0100669798693091,-0.00448839533032189,0.0870950372127758,0.0272287806448944,0.10907552393762,0.125310047114346,0.114393990510609,0.0565066526089585,0.0188972453632305,0.0153445179267191,0.0385454751575857,0.0554854615063493
"asc_ruta2",0.285520330726624,0.319156879218349,0.284150343851222,0.00169755318504314,-0.0113496850860638,0.00372598136275957,0.0222066838754773,0.00962011613670284,0.00414804488193938,-0.00147225579269152,0.0221088910749847,-0.0203844387128586,-0.00645504913645397,-0.0101646149941822,-0.00260451052712642,0.0838641392713043,0.0291796516527233,0.106781743826626,0.124029309074048,0.115150602489602,0.0600024096205485,0.0170759515412667,0.0157576917306774,0.040606891661698,0.0563122963204506
"asc_ruta3",0.279476810628506,0.284150343851222,0.340137770407998,0.000721322836439133,-0.0104011577545601,0.00374673864607736,0.0204453677437401,0.0131327522043636,0.00305339146900172,-0.00893253316023983,0.0225113677341851,-0.0380474301408783,-0.00564537041897178,-0.010522363246872,-0.00369435034709037,0.0826674764605006,0.0291934655099753,0.102995970236111,0.121117318563229,0.113518587494538,0.0617644831480001,0.0170106420411904,0.0182382939713149,0.0395552602170147,0.0536617576411843
"b_time",0.00254398031318266,0.00169755318504314,0.000721322836439133,0.000712122382549719,-0.00105189661011775,-0.000912544321152398,0.00142552316194362,0.00017689279860531,8.59917530152312e-05,-5.51893411767944e-05,-0.000865112655207463,0.00313208261597465,-0.000629069725485332,0.000277191381841291,-0.000591294810806755,0.00090253652879593,-0.000620381939638805,0.000163291324526669,0.00106330196945009,6.68931416343214e-05,-0.00104963371086449,0.000274638660891958,0.00147639659398324,0.00116233907681313,0.000455038110996511
"b_dist",-0.0092243151161444,-0.0113496850860638,-0.0104011577545601,-0.00105189661011775,0.0132426349718453,0.000869963284462107,-0.0020122148180321,0.00017912693090338,-9.99080191051015e-05,-0.00120376639526421,0.00120997709085211,0.0302351544440178,-0.00157458775787616,-2.25003484926931e-05,0.000362435573707368,-0.00358220427052084,-0.00121851848106662,0.00163679719011469,0.00177006211190869,0.00153212605198709,0.0009173723252174,0.0021461105593701,-0.00183110723356534,-0.00599498682855699,-0.00297199337476953
"b_cong",0.00234780069038478,0.00372598136275957,0.00374673864607736,-0.000912544321152398,0.000869963284462107,0.00719168704403166,-0.00021388391287644,-1.92498235891964e-06,0.0013512617550011,0.000156659388155703,0.00179910876257128,-0.000963899660129246,4.31375736639713e-05,-0.00106558979006545,0.0018136653018216,-0.00351311180144284,-0.00135504783185206,0.00877566167269665,0.00326322025916112,0.00374363941891391,0.00431114645067204,-0.00211372343356924,-0.0102120770851471,-0.00115101931359496,0.00172520352673947
"b_Sem_1",0.0165952645589757,0.0222066838754773,0.0204453677437401,0.00142552316194362,-0.0020122148180321,-0.00021388391287644,0.262028306738335,0.121287253389468,0.0919441653553185,0.0865739623272138,-0.00788685175693383,0.0350814185910565,0.00380664884025925,0.0108537106033564,-0.00396524525470221,0.00692357950517609,0.00195421774772318,0.00940049561093117,0.0183317368121875,0.00612366301353316,0.00323084722206899,-0.0109803195319383,0.00590924348910804,0.00774650796890051,0.00529091230499844
"b_Sem_2",0.0122250306287482,0.00962011613670284,0.0131327522043636,0.00017689279860531,0.00017912693090338,-1.92498235891964e-06,0.121287253389468,0.131048623362703,0.0918442421415034,0.0882923360902792,-0.00134877636389605,0.0103488653627902,-0.000395952852482705,0.0066547168926662,-0.00247051172451212,0.00983466446801937,0.00303376020118528,0.00841785549417099,-0.000505696083101187,-0.00179578379792441,0.00249075596347494,-0.00454698962499394,-0.00433290711066197,0.0111422588806399,-0.000279349526316352
"b_Sem_3",0.0121912503710342,0.00414804488193938,0.00305339146900172,8.59917530152312e-05,-9.99080191051015e-05,0.0013512617550011,0.0919441653553185,0.0918442421415034,0.128994325716811,0.105753267951443,-0.005294433176923,-0.0103693035599289,-0.00654602507236394,0.00308518886851536,-0.00244878903278223,0.0140322466378169,0.00351078871363947,0.00967769161340341,-0.00124217057175161,-0.00535502969836683,-0.00394882981839955,-0.00175140612951136,-0.00813058820429767,-0.00421752547975671,0.00257742093705152
"b_Sem_4",0.0106540888027211,-0.00147225579269152,-0.00893253316023983,-5.51893411767944e-05,-0.00120376639526421,0.000156659388155703,0.0865739623272138,0.0882923360902792,0.105753267951443,0.161381755800017,-0.00768331363774931,-0.0247170565515823,-0.00423311122820602,0.0026273751928158,-0.00858936713113491,0.01178433968125,0.0044512683371732,0.00776239658287679,-0.00201451838999006,-0.00565184150298001,-0.00725775259689573,-0.00168624452975386,-0.00540868964039254,0.00385898213899439,0.0067313271705825
