"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",-0.229644177317543,0.547807286019651,-0.41920613905326,0.592063099999173,-0.387871119341611
"asc_ruta2",-1.23889899380521,0.564939712906031,-2.19297557863715,0.607224958752132,-2.0402636221528
"asc_ruta3",-1.88427577399394,0.583213314669683,-3.23085177686854,0.596158431429989,-3.16069634287345
"asc_rutaEC",0,NA,NA,NA,NA
"b_time",0.0686450753451631,0.0266856212696973,2.57236189674597,0.0351081403657254,1.95524669293445
"b_dist",-0.292199255189328,0.115076648247354,-2.53917071482003,0.108157159307226,-2.70161732298573
"b_cong",0.0342450948318858,0.0848038150322948,0.403815498381113,0.0922871068624784,0.371071279576638
"b_Sem_0",0,NA,NA,NA,NA
"b_Sem_1",0.127822461986201,0.511887005830715,0.249708354637298,0.421688752646902,0.303120396699866
"b_Sem_2",0.314273834844029,0.362006385803763,0.868144450397599,0.311587857153929,1.00862029000306
"b_Sem_3",0.554905928083165,0.359157800579093,1.54501984138575,0.28926553900766,1.91832711904362
"b_Sem_4",0.886044166295451,0.401723481763286,2.20560710667531,0.308204358182333,2.87485930283721
"b_ACC_0",0,NA,NA,NA,NA
"b_ACC_1",-0.383835863554057,0.308782410838586,-1.24306259061726,0.318892528741997,-1.20365273237431
"b_ACC_2",-3.09930228218267,1.17417096828103,-2.63956643956203,0.923910994046919,-3.35454638179711
"b_NO_CAMFD",0,NA,NA,NA,NA
"b_SI_CAMFD",-0.587893439729101,0.283957525710028,-2.07035696010905,0.26011029568333,-2.26016981828673
"b_NO_PANEL",0,NA,NA,NA,NA
"b_SI_PANEL",-0.390248050894164,0.214752459143663,-1.81719945117415,0.181311653305053,-2.15236055587437
"b_NO_ZER",0,NA,NA,NA,NA
"b_SI_ZER",-0.0349616314193381,0.257900685853998,-0.135562382486763,0.257293289912315,-0.135882406537897
"b_CSECO",0.209066452451918,0.353331287033675,0.591700933724538,0.355302980795497,0.588417389530012
"b_CLLUVIA",0,NA,NA,NA,NA
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",0.0260084999127048,0.270619531724693,0.0961072534083157,0.27155409732126,0.0957764959883321
"b_Joven30",-0.971137533658962,0.628533528183061,-1.54508469335962,0.608987190366275,-1.59467645464738
"b_Adulto40",-0.424691712913052,0.447085179730271,-0.949912303443542,0.451414917454952,-0.940801237379207
"b_Adulto60",-0.547414462784043,0.394167405693402,-1.38878673090956,0.410885649107828,-1.3322793433469
"b_AdultoMayor",0,NA,NA,NA,NA
"b_USOCINTURON",0.0552208035337934,0.323032553855616,0.170945011190653,0.331280187580687,0.166689121788618
"b_NOUSOCINTURON",0,NA,NA,NA,NA
"b_USODISPMOB",-0.185996208938449,0.283885943632735,-0.655179353223185,0.276504120707028,-0.672670658443901
"b_NOUSODISPMOB",0,NA,NA,NA,NA
"b_HTRB_1",-11.6500017701645,571.373919266509,-0.0203894531712613,1.18910290884405,-9.79730323045774
"b_HTRB_2",0.515363624714045,0.545769968326814,0.944287254012918,0.538009259880651,0.957908465791779
"b_HTRB_3",0.32177459896341,0.273802872287719,1.17520534490697,0.278813576491399,1.15408511670283
"b_HTRB_4",0,NA,NA,NA,NA
