"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"asc_ruta1",1,0.931433471709636,0.861595320687734,0.269927886040358,-0.301486649399358,0.10018530192126,0.134258945143848,0.0836146572490251,0.101813393219887,0.0409428824439299,0.192624473313342,0.0638454976357734,-0.196803276382289,-0.0985019055603734,0.0339240696025064,0.43958833244671,0.198728081274006,0.350470173533237,0.572945869084322,0.556399173641101,0.331765837918415,0.0559626869571066,0.0401682687543366,0.148415302363041,0.390938049512039
"asc_ruta2",0.931433471709638,1,0.859946473382209,0.198282796862374,-0.32119519636025,0.131331242945013,0.126846129105465,0.065310160827324,0.0527066298565525,-0.0227672697327623,0.227719853032942,0.0176811979641945,-0.148990143312861,-0.116859728302539,0.0306337758592577,0.446178195225881,0.18402213823604,0.337661983737782,0.532979630683172,0.517493080112995,0.347756350506569,0.0515150446159183,0.0398399474849224,0.159466146656638,0.367551694022643
"asc_ruta3",0.861595320687736,0.859946473382208,1,0.0185037864189861,-0.225256827085992,0.125901172783951,0.104631915141094,0.0975308388647111,0.0526902210252567,-0.0218290526138328,0.16226125917827,-0.0482282142432836,-0.100693182269974,-0.0732574545542514,0.0353195254420729,0.427346098026539,0.194013102740238,0.303569628553573,0.504403868338603,0.491240748831629,0.331061393564126,0.071501874681136,0.0501979426714139,0.158606601819116,0.339188952888485
"b_time",0.269927886040358,0.198282796862375,0.018503786418986,1,-0.46829270370377,-0.443355165831002,0.196786543669207,0.0971072401068273,0.0480239970908714,-0.0803535195402176,0.101728065399731,0.253657574488169,-0.224978357730311,-0.0425996840823927,-0.126713164257755,0.0603875444990869,0.0318044366934279,0.0405897221601379,0.112085523784866,0.0476230882947189,-0.107351217308142,0.0966970304155252,0.0582862329344359,0.112553288397174,0.140524681903388
"b_dist",-0.301486649399358,-0.321195196360249,-0.225256827085992,-0.468292703703769,1,0.108253440444454,-0.188206745089693,-0.156624622084545,-0.0845619896092455,-0.115260113648479,-0.0944970665144704,0.326517433549977,0.0442148870884321,0.133288849798271,0.0373134625257022,-0.144666638441878,-0.0673950496832096,-0.0735966416850182,-0.0115031101267015,0.0138799313109046,-0.00653866178578148,0.056303149185614,0.0380335989569484,-0.134892226361444,-0.169703667305446
"b_cong",0.10018530192126,0.131331242945013,0.125901172783952,-0.443355165831002,0.108253440444454,1,-0.0358263178870894,-0.0273012535975101,-0.00837974808780811,-0.0305277164945597,0.0595701755394537,0.081960316111522,-0.0359865563203195,-0.0778299666199201,0.174493431309984,-0.110598018571059,-0.0942703426272546,0.162985334946333,0.132220099591387,0.154433873450535,0.253481908737225,-0.139716405836546,-0.0813298666842648,-0.0356044646264676,0.0672125773223756
"b_Sem_1",0.134258945143849,0.126846129105465,0.104631915141094,0.196786543669207,-0.188206745089694,-0.0358263178870893,1,0.674661596501167,0.537050214293021,0.414721637134023,0.00612819881199496,0.125988672892493,-0.0341680919107793,0.0952773894815857,-0.0290297108068911,0.0676362330661587,0.0464837257243684,0.0655125650124035,0.0787845926854423,0.0120226361078413,0.0550563622599947,-0.036360241168226,-0.00768654459807576,-0.00143606919867282,0.0961001549221802
"b_Sem_2",0.0836146572490253,0.0653101608273241,0.0975308388647111,0.0971072401068272,-0.156624622084545,-0.0273012535975101,0.674661596501166,1,0.708481044159524,0.573660665303326,-0.0321758176724439,0.0178815660254282,-0.0537671443086636,0.154258790024242,-0.0132728298256811,0.0934031660284903,0.0238858909498244,0.0147363947239291,-0.025314463125803,-0.0625468840500926,0.0735181449753072,-0.032708157551838,-0.0126152676184588,0.0200868316164786,-0.0389087715328734
"b_Sem_3",0.101813393219887,0.0527066298565525,0.0526902210252563,0.0480239970908712,-0.0845619896092455,-0.00837974808780811,0.537050214293021,0.708481044159524,1,0.692994576493928,-0.0591707499542478,0.0175998628309357,-0.0524317010029439,0.116577460396455,-0.0133575660582237,0.19663822763055,0.0368047574724889,-0.00460051087473017,-0.05754731118848,-0.120744300294094,0.0122202235572849,-0.000221410029381884,-0.0223718330642608,-0.0400693874429282,0.0277420096846432
"b_Sem_4",0.0409428824439299,-0.0227672697327625,-0.0218290526138334,-0.0803535195402178,-0.115260113648479,-0.0305277164945597,0.414721637134023,0.573660665303326,0.692994576493928,1,0.00320846654221726,-0.229817118313761,0.0214660474810645,0.063032203088088,-0.110910010708668,0.125592666750416,-0.026491330456636,-0.0280951140762888,-0.069397157857853,-0.0894148195190883,-0.023003966836225,-0.00855677891202358,-0.025878153667335,0.0108364171379318,0.0532761791924226
