"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"asc_ruta1",0.35053871438063,0.334864762358567,0.304111621571048,0.00561078431576704,-0.0193059577852679,0.00547410391606691,0.0335199408059535,0.0154252045962573,0.0174369131569945,0.00747111092969336,0.0363683672047916,0.0349243559689736,-0.0303080407036508,-0.0105739766008736,0.00516778456561526,0.0924725859484132,0.0319509366541227,0.126365120551339,0.153129016772808,0.135355355586652,0.06507214497888,0.00916153322522282,0.0282794234109645,0.0472755321914014,0.0645341886028927
"asc_ruta2",0.334864762358568,0.368722150531529,0.311302583126313,0.00422709955488122,-0.0210947279010929,0.00735967607506358,0.0324802116285766,0.0123569386865276,0.00925788026746043,-0.00426088038482877,0.0440955590761133,0.00991953777768084,-0.0235323172525105,-0.0128659009727019,0.00478606513328063,0.0962624270975884,0.0303442247719714,0.124864775099624,0.146095262227008,0.129114534527015,0.0699552232656915,0.00864938646356379,0.0287665521979634,0.0520964181384914,0.0622274436435613
"asc_ruta3",0.304111621571048,0.311302583126313,0.355404875365065,0.000387284506782788,-0.0145242904520559,0.0069267975956437,0.0263037629902906,0.0181169119926884,0.00908632797756538,-0.00401084015016696,0.0308475642012926,-0.0265639715872513,-0.015614184244875,-0.00791843275489271,0.00541757597384318,0.0905191119135435,0.0314086385462239,0.110211818264197,0.135742550744328,0.120330867673073,0.0653831278355616,0.0117863878191824,0.0355850065649296,0.0508712842346435,0.0563789920336649
"b_time",0.00561078431576704,0.00422709955488123,0.000387284506782786,0.00123258151993948,-0.00177819952342855,-0.00143648346232815,0.00291336730132853,0.00106228234035349,0.000487711311289151,-0.000869463801246541,0.00113891930874844,0.00822783921679833,-0.00205449983660587,-0.000271168926921618,-0.00114461128227978,0.00075327585584287,0.000303215846194957,0.000867824810661354,0.00177636929781535,0.000686983576256826,-0.00124856243090472,0.000938690820683136,0.0024332865475362,0.00212596330720526,0.00137554358012152
"b_dist",-0.0193059577852679,-0.0210947279010929,-0.0145242904520559,-0.00177819952342855,0.0116979711094086,0.00108053294110922,-0.00858385699444803,-0.00527832142070207,-0.00264561815972425,-0.00384213916517898,-0.00325925202070945,0.0326280997603324,0.00124388816373789,0.00261381478715777,0.00103836318985983,-0.00555933075395005,-0.00197942763875053,-0.00484754028808299,-0.000561625032184116,0.000616827264994772,-0.000234282370464575,0.00168379636231572,0.00489150088590157,-0.00784931838612853,-0.00511753023441438
"b_cong",0.00547410391606692,0.00735967607506359,0.00692679759564374,-0.00143648346232815,0.00108053294110923,0.00851691009304651,-0.00139423257056231,-0.000785062340932567,-0.000223701395053264,-0.000868308648693215,0.00175313054111012,0.00698835230676652,-0.000863851046334981,-0.00130230765578326,0.00414332093544723,-0.00362649621696431,-0.00236250358875384,0.00916004734373289,0.0055082598277304,0.00585604720401343,0.00774967453123646,-0.00356525045767115,-0.00892504744100148,-0.00176780859751083,0.00172943999346986
"b_Sem_1",0.0335199408059537,0.0324802116285767,0.0263037629902907,0.00291336730132853,-0.00858385699444804,-0.00139423257056231,0.1778214041089,0.0886458751226233,0.0655093982047526,0.0538998414204213,0.000824079685227466,0.0490855491305411,-0.00374774718842767,0.00728463145879298,-0.00314965646195008,0.0101337522063711,0.00532291226016474,0.0168238264222609,0.0149971666813476,0.00208311234685444,0.00769121574517381,-0.00423955604334714,-0.00385427422249395,-0.00032580454280249,0.0112987402015261
"b_Sem_2",0.0154252045962573,0.0123569386865276,0.0181169119926884,0.00106228234035349,-0.00527832142070207,-0.000785062340932567,0.0886458751226232,0.0970869927257771,0.0638565509430283,0.0550902029559188,-0.00319708704854552,0.00514773533596231,-0.00435767701736951,0.00871477468316596,-0.00106407566435397,0.0103404865244136,0.00202105591844018,0.00279627530964978,-0.00356061610931645,-0.00800768860709444,0.00758875493346467,-0.00281798199195819,-0.00467408314974,0.00336729925322974,-0.00338019660270546
"b_Sem_3",0.0174369131569946,0.00925788026746044,0.00908632797756531,0.000487711311289149,-0.00264561815972425,-0.000223701395053264,0.0655093982047526,0.0638565509430283,0.0836745520573919,0.0617824760360335,-0.00545818329802215,0.0047036621065081,-0.0039450107252467,0.00611416291059431,-0.000994151309301568,0.0202098690797924,0.00289105942316888,-0.000810421431387892,-0.00751445765353237,-0.0143510709063519,0.00117103887455664,-1.77090635132242e-05,-0.00769516098038759,-0.00623590013896878,0.00223742524755046
"b_Sem_4",0.00747111092969335,-0.0042608803848288,-0.00401084015016705,-0.000869463801246543,-0.00384213916517898,-0.000868308648693216,0.0538998414204213,0.0550902029559188,0.0617824760360335,0.0949899264025839,0.000315341141084028,-0.065441204654673,0.00172087134897193,0.00352230517159481,-0.00879504332129745,0.0137531414165423,-0.00221716955121491,-0.0052732423714954,-0.00965509089494426,-0.0113232019463039,-0.00234875096651475,-0.000729206774097527,-0.00948399910943537,0.00179685999851421,0.00457810515661513
