"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf"
"asc_ruta1",1,0.950104949941113,0.917544747296123,0.13608413478874,-0.126479785004316,0.0728579657698617,0.0387612274032599,0.0756635122478182,0.0856072189757252,0.0849981940870934,0.101072435097841,-0.0052038450265459,-0.00952039602997433,-0.0803381323448462,0.013536491695205,0.399715278882694,0.143224065546014,0.311642928919067,0.482889843646382,0.489102545702608,0.231517227249074,0.113922944819322,0.000152069302988291,0.142165918785813,0.307434342588574,0.149268487463612,0.308123241112896,0.327757341083199,0.475051550117995,0.565970777642045,0.0900719421118918
"asc_ruta2",0.950104949941113,1,0.909364362456678,0.0876892316816443,-0.150582377612127,0.0949070467653013,0.0530994795095621,0.0619780418905176,0.0497083528899393,0.039318251449633,0.118437016735273,-0.0176868403153897,0.0168427178676922,-0.0777535846397931,0.0239811651648993,0.379533247954951,0.151871291045118,0.303160819867147,0.47166425631547,0.483723712199787,0.243763836564435,0.100882981560774,0.000143833815088499,0.142175108267181,0.305188864494255,0.143766097591248,0.296436013197453,0.321486506710507,0.460360371065892,0.550981196723617,0.0975327770401674
"asc_ruta3",0.917544747296123,0.909364362456678,1,0.037121866678625,-0.144841843758231,0.0919914614817667,0.0463874588305797,0.0743247298360086,0.0415674073561928,0.010947725836479,0.119727716058677,-0.0419907876685994,0.014276071176452,-0.0798047563005932,0.016891188672994,0.369783867081175,0.15165200226177,0.285515736926786,0.452523005637304,0.469373529295284,0.247483162964624,0.0981962871447881,0.000152263603962533,0.136691057288452,0.287233081095878,0.135157787409704,0.292033666637793,0.303490800355137,0.444097290945615,0.531556102969776,0.0995780114941093
"b_time",0.13608413478874,0.0876892316816443,0.037121866678625,1,-0.324786121759474,-0.402620500405717,0.110688473533438,0.0303904143407184,0.0202771689063705,-0.00588982904290128,-0.0946295854301188,0.114659604507029,-0.0791620000555826,0.0532761680179721,-0.0830110942846732,0.0992584131139668,-0.0807227871302597,-0.00923464900512404,0.0675559233753628,0.00257485686562792,-0.119439911420086,0.0419308298557011,0.000134260015262787,0.0882775493750222,0.0684094936910491,-0.0246875876374507,0.0280189216121175,-0.00770430714573102,0.0421081736176113,-0.0210794966977084,-0.0127001244905449
"b_dist",-0.126479785004316,-0.150582377612127,-0.144841843758231,-0.324786121759474,1,0.0690647865411573,-0.0426293229704207,-0.00883573395749912,-0.0151859158114804,-0.0316306295363388,0.0381546769614455,0.25880245203566,-0.0515453987144569,0.0118279546544558,-0.00358798596665698,-0.0935434499388615,-0.0510416822402023,0.0495979419819981,0.0513539236247205,0.0387197469200386,0.0310361677293108,0.0551091500340883,-1.78030887252206e-05,-0.0839633694633735,-0.0909806129447372,-0.0450816427692153,-0.0347432539490939,0.0027454144591778,-0.0211111603937589,-0.004615567575993,-0.0325868496710901
"b_cong",0.0728579657698617,0.0949070467653013,0.0919914614817667,-0.402620500405717,0.0690647865411573,1,-0.0114329029625703,-0.00413492560344686,0.0485211864961148,0.00897705386903679,0.0518433304169692,-0.0122637647789206,0.00790580636712474,-0.0691435048069791,0.0845222981716883,-0.115085313073659,-0.0802459169510323,0.171189764662823,0.0913932851327332,0.110022581793565,0.142241411446571,-0.0860895706438925,-0.000267229179148594,-0.0370311841582068,0.0691646831025328,0.0383388251394618,-0.00310267862078394,0.104215260045497,0.0395525422566296,0.0493562196563619,0.0495119141665473
"b_Sem_1",0.0387612274032599,0.0530994795095621,0.0463874588305797,0.110688473533438,-0.0426293229704207,-0.0114329029625703,1,0.650544482378323,0.491655256204158,0.41678158116644,-0.0473109565271048,0.0581730939897087,0.0272712778316703,0.0890696354370192,-0.0284055806038591,0.026726781597532,0.0239686612481828,-0.00411665251994333,0.0639723829296846,0.0247518920136852,0.0211794814118949,-0.0797014614503219,1.54187688499851e-05,0.0275391861943164,0.0441743441168498,0.026587084724087,0.0221308831587141,0.0216263518230895,-0.017370750226394,-0.0327309334092035,0.0379378592733235
"b_Sem_2",0.0756635122478182,0.0619780418905176,0.0743247298360086,0.0303904143407184,-0.00883573395749912,-0.00413492560344686,0.650544482378323,1,0.702892489444449,0.608102910278061,-0.0161751909769135,0.0236135691448362,-0.000669300454751994,0.0774807302982158,-0.0204486402081666,0.0719569682838736,0.0379427957650086,0.0105024015114368,-0.0126093668071113,-0.013203030001237,0.0066922381162593,-0.0335370588105386,-7.9804205241107e-06,0.0665567577272478,0.00722928414820683,0.0720602248097115,0.0581819444409445,0.0340321037402656,0.0579524120262458,0.027813208324961,0.00440495413760889
"b_Sem_3",0.0856072189757252,0.0497083528899393,0.0415674073561928,0.0202771689063705,-0.0151859158114804,0.0485211864961148,0.491655256204158,0.702892489444449,1,0.734432668386293,-0.0532536823275627,-0.0239481870461321,-0.0600711188900344,0.0360127355952044,-0.0234447293595426,0.103979510893643,0.0377565337388667,0.0214351456781278,-0.0192599744984905,-0.0437934142771019,-0.0496574599621975,0.00595314853663048,-3.0846562554952e-05,-0.00613361724026577,0.0370143974717063,0.104822433954102,0.0620803242485132,0.0634762168832347,0.0536102221602607,0.0597953519963969,-0.028000788537675
"b_Sem_4",0.0849981940870934,0.039318251449633,0.010947725836479,-0.00588982904290128,-0.0316306295363388,0.00897705386903679,0.41678158116644,0.608102910278061,0.734432668386293,1,-0.0576757920015125,-0.0583905982093566,-0.0289707287874397,0.0244948271222762,-0.0762031777694013,0.0756461743911355,0.0438767917327444,0.014464199010591,-0.0179389759750803,-0.0432046683897728,-0.0657270244222221,-0.00220239909764624,-1.99624034048669e-05,0.0277135022425433,0.0736425510250152,0.118683642138155,0.0602794678609029,0.0847103422784466,0.0551739807134723,0.083404567984039,-0.0148371128053343
