"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf"
"asc_ruta1",0.476669048811209,0.46063675149611,0.452557839446899,0.00253929763338657,-0.0103624415658381,0.00438085012511176,0.013849983380504,0.0191451020877784,0.0215391943381495,0.0238853581455611,0.0221550520726777,-0.00426502522368435,-0.00191583475656944,-0.0121824344688445,0.00244512744187982,0.0986362026337833,0.0275372318448234,0.160561138408188,0.158833225561355,0.137054355964358,0.0532458170845744,0.02314545189554,0.0604603893592869,0.0553969667952759,0.0594475348173166,0.0375746332013825,0.117973605885836,0.126218470065355,0.15796741309316,0.160566995238122,0.0212765899875464
"asc_ruta2",0.46063675149611,0.493125039166983,0.45619951624192,0.00166426479834951,-0.0125483082017265,0.00580430018203295,0.0192979886410523,0.0159506759302349,0.0127209190696063,0.0112379295650281,0.0264056921976348,-0.0147440758089451,0.00344734904517712,-0.0119923093758811,0.00440591089559925,0.0952588804178121,0.0296995602866201,0.158864289673012,0.157796113026663,0.137867007157738,0.0570218772564427,0.0208469450646671,0.0581648262662204,0.0563487269154878,0.0600233464276541,0.0368089265936357,0.115441353790355,0.12592248466498,0.155702199989094,0.158989740716534,0.0234332830566721
"asc_ruta3",0.452557839446899,0.45619951624192,0.510360113029233,0.00071674686828535,-0.0122790539155272,0.00572346140755975,0.0171507137786833,0.0194596226570016,0.0108218594526407,0.00318328745547548,0.0271559268314021,-0.035610752961588,0.00297263525224024,-0.012521922578852,0.00315707920426745,0.0944198792433127,0.0301704868464176,0.152209969096174,0.154015288352706,0.136094758529703,0.0588949052180874,0.0206433138271775,0.0626405230185618,0.055113815563078,0.0574706108229107,0.03520445108513,0.115697294553323,0.120933299101517,0.152804018764383,0.156041913333502,0.0243391738565376
"b_time",0.00253929763338657,0.00166426479834951,0.00071674686828535,0.000730458033585502,-0.00104166386193955,-0.000947690215815646,0.00154825784065635,0.000301021121203462,0.000199717234175878,-6.47908841732833e-05,-0.00081200021048705,0.00367872096354316,-0.000623604082808703,0.00031625288124791,-0.00058697644811004,0.00095883103121091,-0.000607560583376687,-0.000186248469644981,0.000869853023037502,2.82445831918042e-05,-0.00107532765337808,0.00033348559393803,0.00208960998520973,0.00134657304482888,0.000517829758555771,-0.000243273291171552,0.00041995327356398,-0.000116143051034473,0.000548128431810396,-0.000234105527371066,-0.000117438267021751
"b_dist",-0.0103624415658381,-0.0125483082017265,-0.0122790539155272,-0.00104166386193955,0.0140820213561222,0.000713776180341981,-0.0026180876948264,-0.000384271205688943,-0.000656725797372438,-0.00152775571659545,0.00143751322775332,0.036457732906117,-0.00178285884250883,0.000308280479814505,-0.000111396138676388,-0.00396755540841277,-0.00168675997019272,0.00439208605120963,0.00290329347441467,0.00186487382213881,0.00122685799217355,0.00192443034948231,-0.00121660266453224,-0.00562346985221195,-0.00302380897270619,-0.00195051984671297,-0.00228641420632286,0.000181719872429434,-0.00120659881550905,-0.000225066785754323,-0.00132305804352542
"b_cong",0.00438085012511176,0.00580430018203295,0.00572346140755975,-0.000947690215815646,0.000713776180341981,0.00758482832470001,-0.000515314840622726,-0.00013197853114611,0.00153997928579196,0.000318214739100553,0.00143349882068036,-0.0012679013452583,0.000200684396879379,-0.00132259885819908,0.00192588822044943,-0.00358236554742052,-0.00194621864474581,0.0111256490777293,0.00379203182739596,0.00388901083341696,0.00412660250646168,-0.00220632458740406,-0.0134022484036621,-0.00182021416972722,0.00168705896815831,0.00121739024920908,-0.000149851671195403,0.00506251358421402,0.00165907328755991,0.00176631664532368,0.00147532130975235
"b_Sem_1",0.013849983380504,0.0192979886410523,0.0171507137786833,0.00154825784065635,-0.0026180876948264,-0.000515314840622726,0.267846829304758,0.123390852689921,0.0927287767282875,0.0877941048793716,-0.00777385709689111,0.035739970562376,0.00411380118952125,0.0101245750887551,-0.00384621739346651,0.00494386994949956,0.0034544812471831,-0.00158987196069233,0.0157732283560049,0.00519919492242737,0.00365134007464809,-0.0121382345451264,0.0045952999068418,0.00804407980419619,0.00640304211813946,0.00501686154324503,0.00635175765974118,0.00624293087305903,-0.00432992247347928,-0.00696074046191735,0.00671769214056121
"b_Sem_2",0.0191451020877784,0.0159506759302349,0.0194596226570016,0.000301021121203462,-0.000384271205688943,-0.00013197853114611,0.123390852689921,0.134315281214463,0.0938776490085574,0.0907096261845916,-0.0018821043535813,0.010273374513344,-7.14954476375531e-05,0.00623677812883839,-0.00196071309135884,0.00942567993355611,0.00387246809282092,0.00287227498031138,-0.00220161207851549,-0.00196390631362643,0.000817010813880808,-0.00361687642288801,-0.0016842610195388,0.0137669230068791,0.000742046296103624,0.00962889534781361,0.0118250466841993,0.00695686405107133,0.0102294555418813,0.00418858754666664,0.000552342072180917
"b_Sem_3",0.0215391943381495,0.0127209190696063,0.0108218594526407,0.000199717234175878,-0.000656725797372438,0.00153997928579196,0.0927287767282875,0.0938776490085574,0.132807064875017,0.10893718742252,-0.00616157589165863,-0.0103602921838569,-0.00638073733687127,0.00288250837525997,-0.00223533549882013,0.0135436423854934,0.0038317618854087,0.00582923700942588,-0.00334388324220401,-0.00647744655247546,-0.00602821588750391,0.000638415309868783,-0.00647348687328042,-0.00126156395968806,0.0037779331359106,0.0139278143762074,0.0125463236257761,0.0129027900898508,0.0094097153564595,0.00895430352591816,-0.00349128153970525
"b_Sem_4",0.0238853581455611,0.0112379295650281,0.00318328745547548,-6.47908841732833e-05,-0.00152775571659545,0.000318214739100553,0.0877941048793716,0.0907096261845916,0.10893718742252,0.165663626813279,-0.00745313038575441,-0.0282127408696906,-0.0034369052512851,0.00218973639762469,-0.00811472052163032,0.0110046863855352,0.00497329537902563,0.00439321700395199,-0.00347853228517828,-0.0071372137248339,-0.00891150922008345,-0.000263788335926937,-0.00467893829575849,0.00636629865351501,0.00839489755170165,0.0176125641897677,0.0136061392727859,0.0192314498331962,0.0108159878617614,0.0139494541973752,-0.00206617452254096
