"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf"
"asc_ruta1",1,0.955604730929074,0.911700474184224,0.205888208125795,-0.248479193791196,0.142467928339765,0.0652656122542091,0.0382282314740089,0.106625392275905,0.0919504784538857,0.20974843724292,0.0754303496518129,-0.121136571018172,-0.151652618817174,0.011821399265993,0.42246989966854,0.169530345612884,0.356342670840183,0.527010270150128,0.541473587969646,0.225284425196208,0.0828283839761073,0.0453976471239677,0.141657625417556,0.350691775031525,0.142130780923167,0.251725245479868,0.298508045259508,0.42940100873457,0.558187481380756,0.144389588038536
"asc_ruta2",0.95560473092906,1,0.910334130072099,0.147545745967,-0.259778060725609,0.162910460624141,0.0502254429982925,0.0154287376291032,0.0576132473997201,0.0338382234797926,0.236091433408257,0.0338363809682943,-0.0758225427241716,-0.156535186347627,0.00713613281988746,0.429134095343694,0.158661163674462,0.36933518411043,0.499560184651235,0.513182232762577,0.251968794437626,0.0836989482696893,0.043239129703449,0.152905354813356,0.331726906269403,0.113755863827699,0.214762460751685,0.290000327525175,0.426324427379975,0.554589273485695,0.121366996056657
"asc_ruta3",0.911700474184217,0.910334130072107,1,0.0103731180612345,-0.208619542200409,0.161768964862707,0.0384096298016295,0.0449832482731734,0.0649820648675088,0.0462584524682362,0.184910637926573,-0.0278861409318001,-0.0469243383892956,-0.140771180297823,0.00591613526236093,0.411865705111145,0.166298915024555,0.325455022700412,0.474693398526275,0.49073167293758,0.236387251182192,0.0845378457523928,0.0554081385285412,0.156290430287572,0.313426222393231,0.14593672694603,0.249355308634852,0.317011563177499,0.41845989845754,0.541475188915297,0.132831071203966
"b_time",0.205888208125796,0.147545745967001,0.010373118061235,1,-0.4253206302966,-0.434626247919912,0.219525571408313,0.126519399872638,0.0725484110098879,-0.080426408993557,0.127655022467422,0.266254541731983,-0.212736287731728,-0.0410559810869305,-0.108761708330831,0.0611256439879735,0.0512944720522773,0.0280291081365543,0.125421934046222,0.0568204245472461,-0.134961568995594,0.101407037385556,0.0633382924952443,0.0919742088815808,0.122741508194958,-0.0527937151326399,0.0178294950557944,-0.0619249709265674,-0.0393708485344767,0.00790012627233668,0.0326678108107847
"b_dist",-0.248479193791195,-0.259778060725611,-0.208619542200409,-0.425320630296599,1,0.0584362158275895,-0.195785738754086,-0.173478693986354,-0.100586063663642,-0.117177454284032,-0.0780488631464723,0.38476409321269,0.0154792227023358,0.153536147896235,-0.0176455739446295,-0.14909293412132,-0.068894809374508,0.00231142156325469,0.0143954270997538,0.0137798137288263,0.00985851195363211,0.0442245690566561,0.0241832708896845,-0.125448533988414,-0.164159938146427,0.0221588024351017,-0.0643895758221156,0.00849211856680794,-0.00467392256521688,-0.0122786101706508,-0.0871432846788594
"b_cong",0.142467928339764,0.162910460624142,0.161768964862707,-0.434626247919912,0.0584362158275896,1,-0.0412010466190477,-0.0247787329043026,0.013673981948971,-0.00188894608379694,0.0417797550298352,0.0708565075444814,-0.0410936712913859,-0.110315919815908,0.182669942604869,-0.082858137602105,-0.13754402930659,0.128382927713571,0.105106819599766,0.148165419972743,0.25211756026104,-0.113388063990187,-0.0978375423932516,-0.0335417268665626,0.0882483822454218,0.0564381786568003,0.0355746046739872,0.134072821946196,0.0891484978829355,0.0381783032071229,0.0938603989440716
"b_Sem_1",0.0652656122542085,0.0502254429982923,0.038409629801629,0.219525571408313,-0.195785738754086,-0.0412010466190477,1,0.678874301434471,0.538977496597728,0.412642616121245,-0.000312158761605503,0.119278628197523,-0.0141381590841144,0.0936512291618676,-0.0186792799984948,0.0311605160427528,0.0550137425282114,-0.0185731019191831,0.0359581709495729,-0.0136584093768653,0.0559948894734107,-0.0345762995052106,0.0164028213294994,-0.00132538978520343,0.117690563456339,0.00662137703587981,0.0466334621699898,0.00371371478461927,-0.0205029211587959,-0.0800171730774832,-0.0212919154164889
"b_Sem_2",0.0382282314740083,0.0154287376291034,0.0449832482731728,0.126519399872638,-0.173478693986354,-0.0247787329043026,0.678874301434471,1,0.720812011958559,0.569265327396779,-0.073680794889568,0.00672240755343595,-0.0223606958797979,0.151888001347511,-0.00627813188712241,0.0737863138119432,0.0140558981634047,-0.03028564753342,-0.0666007256399444,-0.0834098023114914,0.0560675428258396,-0.0329983341492012,0.00185072291810926,0.0316309497054407,-0.00756814294094569,0.0300054606163909,0.0404488614709243,0.0205427533685762,0.0745915693139078,-0.0689092520981853,-0.0523350091056284
"b_Sem_3",0.106625392275905,0.0576132473997208,0.0649820648675086,0.0725484110098878,-0.100586063663642,0.0136739819489711,0.538977496597728,0.720812011958559,1,0.676622034593655,-0.114213033612992,0.0212744278308294,-0.034718297253896,0.0997396491007395,0.00182717978121786,0.197951130893175,0.0078090461643143,-0.0146048660709019,-0.0810820879669724,-0.14826028142979,-0.0230458109672707,0.030360683517861,-0.020629283749665,-0.0268025890230161,0.0597530037259133,0.133528053423055,0.0616792707712705,0.103442545306118,0.160012476623786,0.0365723078687351,-0.0985030716565638
"b_Sem_4",0.0919504784538862,0.0338382234797935,0.0462584524682366,-0.080426408993557,-0.117177454284032,-0.00188894608379674,0.412642616121245,0.569265327396778,0.676622034593655,1,-0.0137538454206218,-0.24167308080523,0.0363552232047205,0.0375404116958235,-0.0919981154869852,0.114478920863255,-0.0425928698041206,-0.0323956185659861,-0.0653747190292144,-0.0991662403775738,-0.0288254813145822,-0.00708791622201423,-0.0199975337433516,0.0130274560435767,0.0946670875947739,0.104665101589751,0.0905729908587941,0.147909299094153,0.123640680386945,0.105936696114945,-0.000422182211691825
