"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"asc_ruta2",1,0.440987136211468,-0.00800361454598231,-0.488431254955777,0.424497260679465,0.0459489446141806,-0.0250970479950016,-0.101918289300527,-0.062791625271243,0.00868472383168566,-0.000688199210192549,-0.0894117523842032,-0.0103062236062085,-0.0309309468809378,0.0531310626438505,-0.0308071503928286,-0.0211263841092198,-0.124547784106368,0.151832339927648,-0.0793184215258551,-0.00771163082817478,-0.0272745823421365,0.00574210722253478,-0.0163054271518143,-0.0550492201362641,-0.00630639365704543,-0.0983712053588244,0.0825769926298816,0.038423827096978,0.00479339446863469,0.0387099386752685,-0.0133057067651923,0.0142756790177255,0.0411213888921529,-0.0209309175210646,-0.0247865778389539,-0.0478772683203333,-0.0351914713748308,-0.0246877169088862,-0.0651945054309376,-0.0225185192505565,-0.0219151960708865,-0.023283946259592,-0.0725806209606475,-0.0279251433258497,-0.025224391334717,-0.0383718852592239,-0.0486306179884313,-0.0482987437449397,-0.0369757152645182,-0.0300869475770264,-0.0676130206013019,-0.0442349127934997,-0.0322127174769937,-0.0487136221976125,-0.0293962910000639,0.0399543810670637,0.0142748245310398,0.00188026113977108,0.00245536264274862,-0.0252086171010684,-0.0118701126241202,-0.0336758945470737,-0.0644704859666892,0.0177537130991247,0.0482845489961553,0.0475334250979793,-0.0448142446981992,-0.011848746075205,0.0140909109581514,-0.0546732133171228,0.0291045035346059,-0.00426314106360559,0.0102341307593505,-0.0459211366321679
"asc_ruta3",0.440987136211468,1,0.0250003384915976,-0.601750067611722,0.564167048010347,0.0133126407720492,0.0117335067459153,-0.0919282211581091,-0.0469796010155533,-0.00703067654692585,-0.0545423634367583,-0.0438284249312214,0.0429056904077433,-0.028362648168507,0.13248753216805,-0.0865409956173336,0.00353969719319773,-0.0799861815764945,0.0920152697122568,-0.0756267902756655,0.0450482643226749,-0.0797720491424962,-0.0023266240590502,-0.0252744225888181,-0.0220534430585308,0.0106483460473607,-0.0122908425154777,0.0445613882401669,0.0270457326678473,0.0751210796065366,-0.0997034075052825,0.0149598280535808,0.0789831739769483,0.0380886156429099,-0.0294674047774618,-0.113711538580521,-0.0079495192112096,-0.00139044244840854,0.000347478398556957,-0.049655657974866,-0.00203675599703946,-0.00409668208742583,0.0091188038439827,-0.0274620201044618,-0.097944736564139,-0.112166087550473,-0.120125218234025,-0.0357912722352451,-0.0292001509308649,-0.0275495491782878,-0.000938041997480124,-0.0473121322464509,-0.0294936783404128,-0.0181980425688978,-0.0221796072972445,0.0160623623876852,0.0575398432230348,0.033709678135836,0.0450179387211465,0.0241566372206402,-0.0200909552575306,-0.0103784886375889,-0.0232392069263124,0.000946696373007087,-0.00595671007228926,0.0222372544527466,0.023969245216252,-0.0603321299059969,0.0224835058862804,0.031456993752758,0.0268209424034457,-0.0224021951771629,-0.0683176726074438,-0.0207715576335801,0.0348668486856062
"asc_rutaEC",-0.00800361454598072,0.0250003384915981,1,-0.0383265270005467,-0.000694661760463646,-0.696631554656882,0.0518327871453015,0.324311108389616,0.387741574028819,-0.685795723312575,0.448683056063376,-0.169608011825571,0.771200711590584,-0.518979542011646,-0.194437158004655,0.467372562835425,-0.0483135525730835,0.176234077094795,-0.0623250911530199,-0.684346697803016,-0.485202541329435,0.0763820487925494,-0.21501397893876,0.17558325537636,0.0703534151420369,0.0512933767878713,0.101037812117816,-0.330470432192071,-0.168769245183705,-0.00749819335016497,-0.0701725089960059,-0.0643118266041952,-0.0221481389110271,-0.00929233583308729,0.106655780760019,-0.029233463657375,-0.0758537478143711,-0.000787453288936285,0.0933746533195504,-0.133601775909077,-0.115688772886855,-0.0961704974939504,-0.114309410552439,-0.076435659983845,-0.119817468698842,-0.124317697271213,-0.134071504665603,-0.0943788865146885,-0.13636552533413,-0.115749339437046,-0.190066593081611,-0.108903364068038,-0.083420799498264,-0.117200258010142,-0.188892313987932,-0.0729959210696103,-0.051590393376178,-0.00266350859314014,0.01911759640448,-0.228079403375819,0.0628851829164698,0.040263700100701,0.0578228529896356,-0.0813588779218008,-0.0179355142858154,0.0296824558518058,0.0307305378620309,-0.0577906489343006,-0.053296241207828,-0.105481352304167,-0.16118808407128,-0.0755215968068058,-0.0357160385821478,-0.0347304897788004,-0.152391618440498
"b_time",-0.488431254955777,-0.601750067611723,-0.0383265270005467,1,-0.765304724327428,0.00601293207207766,-0.172719326377219,0.0826616364734391,0.0436003765140567,-0.00815373077389292,0.0209371595141319,0.107786911091742,-0.0624999009132128,0.0525714468749483,-0.150018570016515,0.0730857199430967,0.0704508696862031,0.166111137426862,-0.174036880391028,0.120052973360315,-0.00827174707007331,0.0123690067423651,0.0265352355423264,-0.0255811630070802,0.0681992336851562,-0.0145407287675161,0.0355407752750807,-0.0835055063450424,-0.0650008660231105,-0.0513036642574129,0.00160356929880827,-0.0366296666512694,-0.103831549439635,0.0138250717829794,0.0621485910117752,0.108446928826402,0.0244949224109814,0.0584378784684685,0.0380908224153444,0.0253933414768793,-0.0270726167485136,-0.0259202165700003,-0.03654571592034,0.00948302164709872,0.0023150783847799,0.00519027066827535,0.0114664276210302,0.0217627402556741,-0.0179996188903384,-0.0231402429501015,-0.0256079931842564,0.0182045357694268,-0.0216604810634222,-0.0395624028766616,-0.0556347502597855,0.0332442597422855,0.0101966549246996,0.0430569821539542,0.035185581696681,0.00467037518302132,0.0575735640505021,0.0374402565412551,0.0545804013612664,0.0747666907280602,-0.021634103884174,-0.0643447327257439,-0.0686959186892805,0.0799037322162224,0.0648245003622384,0.0379680599743615,0.065307679797295,-0.0140709471637791,-0.00386145423969699,-0.0150279010976517,0.0561683268429913
"b_dist",0.424497260679465,0.564167048010347,-0.000694661760463424,-0.765304724327427,1,0.062752765309831,-0.331067712835666,-0.125832756362288,-0.111210902783845,0.0174107242832379,-0.0926848312474252,-0.168924283579287,-0.0492250540153565,0.0462275270058605,0.25316097997425,-0.155268132059578,0.0217230185122733,-0.230088799170416,0.200315942232306,-0.0493240856546392,0.0770090298707507,-0.0142264965881,0.0839493828100459,0.0413835964729415,0.032399903028258,0.0349360611428028,0.0543404998807831,0.0700833594052211,0.0443005930382333,0.0675652601909237,0.0139830140046737,0.0443633315753492,0.0223273087604162,-0.031793017476741,0.0167850291121012,-0.0470796792249727,0.052255711079768,-0.0233662345394866,-0.0506245616562278,0.0262499349010074,0.0761705444559961,0.0686857309179345,0.0740809437204358,0.0262100342767316,0.0520611952770043,0.0449190610634143,0.0382139038467982,0.0292850675591504,0.0587648537000899,0.054228739256717,0.0534186035423393,0.0358748495349809,0.0561022078517541,0.0735883987935774,0.0552676074998366,0.0231506093610132,0.000537483151230494,-0.026861454239602,-0.0117766272260933,0.0764345446484452,0.0431693682407098,0.0600758590678936,0.0341929491453254,-0.0207428533889965,0.094977723695627,0.123644478806916,0.10648817357472,0.00221633079793813,-0.00987477286020984,0.0184850101527586,-0.0379553644781658,0.000111733869642492,-0.0223539480941262,-0.0284253344872889,-0.0532914762041995
"b_clima",0.045948944614179,0.0133126407720486,-0.696631554656873,0.00601293207207705,0.0627527653098311,1,-0.18718233379238,-0.849411883148804,-0.909030627143541,-0.00788035227297928,-0.747271726920507,-0.294582814750712,-0.735536108774211,0.832815904488463,0.547009050503925,-0.392426674525752,-0.0318024837067911,0.00317516867509043,-0.155453879211896,0.311024886466327,0.75348077981701,0.10367459862665,0.640698365608581,-0.0567941715810429,0.0871203976691843,0.123509122752593,0.0159986647954588,0.576448117605621,0.273282606012844,0.0595432869685871,0.0190742631374691,0.0843122957044643,-0.0383804695579675,-0.0296815609858361,0.196543482788001,0.0939183915116468,0.138421916609516,0.0287545587631365,-0.143082611822828,0.374611531497536,0.385751953022171,0.359751486455712,0.313886449304331,0.391323406415165,0.350335874136287,0.346999149932635,0.274902776796549,0.36315868684114,0.360209873730414,0.328605917258817,0.329900635625216,0.397497112248062,0.388492113530648,0.393672764474529,0.368640956970473,0.302131597923107,0.0785446121516236,0.00172057582678969,-0.0208625788775138,0.492112255943011,0.294209496886088,0.367302602130145,0.282105868119106,0.158390766619296,0.142814897523085,0.065895565589002,0.0215867609343792,0.175913321381606,0.228460910718081,0.256679037973677,0.25010244549954,0.104955161636028,0.202980880089356,0.203311917880706,0.272033441333139
"b_cong",-0.0250970479950011,0.0117335067459154,0.0518327871452957,-0.172719326377218,-0.331067712835666,-0.187182333792375,1,0.165773658802685,0.207315543200065,0.0731971421645723,0.182682159697228,0.12839721925145,0.201065712800534,-0.237627372368182,-0.27635190745184,0.168249778743993,-0.102616631578609,0.119253113368401,-0.0434120499328239,-0.0910910241709464,-0.172342412702909,-0.00640085063727624,-0.29907211549072,0.000756679648472194,-0.228296940903367,-0.0650333127628013,-0.218248612377968,-0.033286336689157,-0.0123602762250539,-0.0477728085493304,-0.040752148868358,-0.0184345641670817,0.044282232246767,0.0260338330249136,-0.218784230247808,-0.0820712160418545,-0.0888769488417475,-0.00785672966317243,0.049533609399037,-0.0837844987478601,-0.0986839272895505,-0.091636008689896,-0.0945460879377809,-0.0850192457659414,-0.102850427094063,-0.0934073157581971,-0.0870620894132621,-0.10088761665086,-0.0922314514253169,-0.0800862506900803,-0.0693235862522748,-0.0705654265812461,-0.0863618294615732,-0.0941633871205149,-0.0498488162762199,-0.126738035064054,-0.0190193156918791,-0.0391187754379952,-0.0426927021363797,-0.223119982688758,-0.267957897158164,-0.273642927905655,-0.24926695772982,-0.0641013387555493,-0.13143849546547,-0.0912863930941912,-0.0525874087909698,-0.024186114388622,-0.0601321981662956,-0.0947698705304155,0.00113105516148314,-0.0141850820990677,0.0287798069343728,0.0449390040147079,-0.0160740447071956
"b_Hvalle",-0.101918289300524,-0.0919282211581079,0.324311108389585,0.0826616364734394,-0.125832756362287,-0.849411883148774,0.165773658802683,1,0.907686853232814,0.35123301364635,0.56678081546919,0.458640986521932,0.352280412700829,-0.671290208433508,-0.533762779409241,0.210470208703438,0.176851965721314,-0.139801451245959,0.19855727482864,0.153768444965625,-0.550885878190474,-0.186224872156233,-0.682179484202086,-0.0293927228647036,-0.131169040032133,-0.125779111073047,-0.0335093596053219,-0.659502351825663,-0.385121802174068,-0.0562470291790891,0.00751528613481065,-0.0779066430745809,0.0792317216229647,0.00439895735491764,-0.328857982226935,-0.0930940995286051,-0.13395841301396,-0.0892377080171276,0.0507730106376523,-0.35677044742826,-0.361761615273263,-0.346150726923234,-0.282108046726256,-0.391054500131213,-0.315552477814474,-0.325195446688847,-0.252167721421034,-0.346380095923855,-0.336337819896816,-0.316960804914772,-0.288202881071611,-0.400424650814701,-0.391865021037721,-0.383747673242966,-0.300312520846825,-0.331400339698964,-0.0905903029783233,-0.034174549489354,-0.00339796593777733,-0.538672284662767,-0.423316477739099,-0.49149658423529,-0.41872346967311,-0.132381273251117,-0.18498249719696,-0.120298594862791,-0.0279941649658804,-0.158221648089994,-0.240423929642054,-0.290896387260942,-0.239157302794078,-0.0633429294600791,-0.196154684161024,-0.207323908918992,-0.278579343159034
"b_T_prof",-0.0627916252712421,-0.0469796010155532,0.387741574028826,0.0436003765140564,-0.111210902783845,-0.909030627143555,0.207315543200072,0.907686853232844,1,0.308859844095394,0.782248296147483,0.429739175024406,0.578802394615322,-0.835095016806887,-0.673713140515427,0.377026747758903,0.0567106844228189,-0.135922445057343,0.284098087812313,-0.0968622753669384,-0.77004138708669,-0.214059879653589,-0.660315375779196,0.0128103435708234,-0.0887967732175452,-0.193114000847908,-0.0254972243084194,-0.600426626268323,-0.273437093276486,-0.0681539677820394,0.0121868220369565,-0.0984254283813762,0.053640226956454,0.0510744945281867,-0.277621992054467,-0.0906296391833507,-0.123397037267558,-0.00989813684821669,0.174232475213074,-0.446216267171334,-0.460285775869599,-0.434786989636268,-0.349628986550599,-0.488132980995534,-0.409057200499734,-0.404361456174334,-0.297623048716859,-0.435418143416731,-0.422723329352587,-0.394436747635827,-0.353370490038027,-0.479825633816855,-0.484228361716412,-0.475697297212172,-0.4062129294301,-0.348193862996859,-0.0714171874494627,0.00342357760753043,0.0277656058112052,-0.502394581141198,-0.367155394554474,-0.46635048146289,-0.358679432077905,-0.182522574012959,-0.183616696352097,-0.108306017417175,-0.0452950326398799,-0.212742561243617,-0.277452751131795,-0.284438724718242,-0.233263260463837,-0.114500394912615,-0.250747133129751,-0.254698028614844,-0.27578377995389
"b_Hor_trab",0.00868472383168655,-0.00703067654692546,-0.685795723312581,-0.00815373077389297,0.0174107242832382,-0.00788035227297525,0.0731971421645736,0.351233013646356,0.308859844095386,1,0.0482632064515381,0.392984496025423,-0.40139788038073,-0.0697525450580272,-0.171897681630874,-0.373032294604048,0.099155689835085,-0.219153299499961,0.264687689255354,0.646682319665628,-0.0120513441707916,-0.0883425324700698,-0.391615059990538,-0.0413439454545224,-0.235411616843906,-0.176308512094444,-0.152067363226739,-0.0555339871044573,-0.0195484264934307,-0.0417473532671115,0.105624911679516,0.0583914151087837,0.109833016869525,0.0257796643140719,-0.355767241229204,-0.0601718135976286,-0.0320384746112828,-0.0590733559908734,-0.0380560645557679,-0.0308994858137415,-0.0804750297804884,-0.0911093102779188,-0.0909147132745779,-0.131351519889533,-0.0380542014867234,-0.0296142684729011,0.00658604816647279,-0.0957489909185477,-0.0296156540540148,-0.0307831129678908,0.0219964971565011,-0.104926062517374,-0.116283622660475,-0.0687457271078543,0.0144081240562346,-0.179928430976873,-0.0159719442154412,4.89788962958462e-05,-0.0260565123816165,-0.16782585287713,-0.398247675831212,-0.409254428951077,-0.372195577286923,-0.0272080198379008,-0.0957364994695088,-0.0782322065806841,-0.0388137515546077,-0.0732383059242483,-0.119362160562403,-0.0749340007806089,-0.0213987507411865,0.017530855599559,-0.123514925716228,-0.123996219249333,-0.0376831218351352
