"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"Satisf_DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"Duracion"	"Distancia"	"V_promedio"	"V_total"	"Semaforos"	"Camaras"	"Velocidad"	"CongA"	"CongB"	"CongC"	"CongD"	"CongE"	"CongF"	"CLIMAlluvioso"	"CLIMADespejado"	"AM"	"PM"	"Inc_Si"	"Inc_No"	"FRBrNunca"	"FRBrCasiNunca"	"FRBrOcasionalmente"	"FRBrCasisiempre"	"FRBrSiempre"
"2"	"{01023F7A-67C3-E811-914C-74867AD5B714}"	1	0	"Masculino"	21	10	"Primaria"	"41-60"	8	24	3	7.2	28	3	6.8	29	3	5.97650183766384	52.4813833316167	20	19	13	8	5	4	1	0	3	3	0	5	2	2	2	2	1	4	0	0	0	1	1	1	1	"Despejado"	"Nivel F"	"Óptimas condiciones"	"Si"	"PM"	"Pico"	15900	3	"Más de 12 años"	"Casi siempre"	"Casi siempre"	"Si"	"Casi Nunca"	"Siempre"	"Casi Nunca"	"Casi Nunca"	"Casi siempre"	"Casi Nunca"	"Casi Nunca"	"Siempre"	"Indiferente"	"Algo tenso"	"Amable"	"Ordenado"	"Desordenado"	"Neutro"	"Respetuoso"	"Ninguno"	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	52.4813833316167	5.62191677043744	13.0165037274052	6.42732688837177	1.91176470588235	0.147058823529412	"Baja"	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0
"4"	"{019DE0D5-31C0-E811-914C-74867AD5B714}"	1	0	"Masculino"	12	12	"Bachiller"	"30-40"	9.8	17	0	8.7	18	0	8.4	26	0	7.25357902960908	21.357216668129	8	14	14	17	3	4	3	4	5	1	0	9	1	2	2	1	0	0	0	0	0	1	2	1	1	"Despejado"	"Nivel B"	"Óptimas condiciones"	"No"	"PM"	"Valle"	15200	4	"De 8 a 12 años"	"Nunca"	"Casi Nunca"	"Si"	"Nunca"	"Casi Nunca"	"Nunca"	"Casi Nunca"	"Casi Nunca"	"Nunca"	"Nunca"	"Nunca"	"Muy Serio"	"Relajado"	"Amable"	"Muy Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	21.357216668129	5.66417631783556	27.4185304748775	15.9126811490042	2.34367061151551	0.551451908591885	"Media"	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
"5"	"{0221C89B-CED2-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	10	8	"Tecnología"	"41-60"	6.3	18	3	7.4	21	3	7.6	23	2	6.25408258109686	18.2935499986013	17	14	21	17	2	3	2	2	1	3	4	1	2	2	1	2	0	0	0	0	0	0	1	0	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"AM"	"Pico"	11500	1	"De 8 a 12 años"	"Ocasionalmente"	"Ocasionalmente"	"Si"	"Nunca"	"Casi siempre"	"Ocasionalmente"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Ocasionalmente"	"Muy Conversador"	"Relajado"	"Amable"	"Ordenado"	"Ordenado"	"Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	18.2935499986013	6.24244856575479	29.8799854327541	20.4742608172785	2.6984126984127	0.317460317460317	"Media"	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
"6"	"{0275F221-8CC6-E811-914C-74867AD5B714}"	1	0	"Masculino"	15	13	"NR"	"Mayor 60"	4.6	16	2	5.2	20	3	5.1	28	3	4.78786320352643	35.2122833331426	6	9	14	6	0	0	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	2	"Despejado"	"Nivel F"	"Óptimas condiciones"	"Si"	"PM"	"Valle"	12000	4	"Más de 12 años"	"Casi siempre"	"Casi siempre"	"Si"	"Casi siempre"	"Siempre"	"Casi siempre"	"Casi Nunca"	"Casi siempre"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Muy Serio"	"Algo tenso"	"Amable"	"Muy Ordenado"	"Muy Ordenado"	"Neutro"	"Indiferente"	"Ninguno"	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	35.2122833331426	4.78786320352643	14.2947895855092	8.15828355956682	1.25316863597539	0.208861439329232	"Baja"	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0
"9"	"{04B1F452-BDC5-E811-914C-74867AD5B714}"	1	0	"Masculino"	15	12	"NR"	"30-40"	5.1	11	2	5.4	16	3	5.3	17	3	4.34436271383387	24.1902833342552	5	7	8	8	1	3	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	"Despejado"	"Nivel B"	"Óptimas condiciones"	"Si"	"PM"	"Valle"	9000	3	"Más de 12 años"	"Casi siempre"	"Casi Nunca"	"Si"	"Casi Nunca"	"Siempre"	"Casi Nunca"	"Casi Nunca"	"Casi siempre"	"Casi Nunca"	"Casi Nunca"	"Casi siempre"	"Serio"	"Relajado"	"Neutro"	"Muy Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	24.1902833342552	4.29936377724541	15.798590364061	10.6638613144903	1.50943396226415	0.377358490566038	"Baja"	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0
"11"	"{051C17B0-41DC-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	10	14	"NR"	"41-60"	6.4	17	2	6.1	17	3	6.3	19	3	6.10252462287688	16.7100666681925	11	13	15	17	6	3	3	5	2	2	2	3	2	2	2	2	0	0	0	1	1	1	0	1	1	"Despejado"	"Nivel E"	"Óptimas condiciones"	"No"	"AM"	"Pico"	11000	4	"De 8 a 12 años"	"Ocasionalmente"	"Ocasionalmente"	"Si"	"Nunca"	"Casi siempre"	"Ocasionalmente"	"Nunca"	"Ocasionalmente"	"Nunca"	"Nunca"	"Ocasionalmente"	"Muy Serio"	"Relajado"	"Muy Amable"	"Muy Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Indiferente"	"Ninguno"	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	16.7100666681925	6.10252462287688	26.393581665363	21.9120297149729	2.78573230762087	0.819333031653198	"Media"	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0
"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	"Masculino"	7	12	"Bachiller"	"41-60"	3.4	10	3	4.2	12	2	3.9	14	3	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"AM"	"Pico"	7300	1	"De 5 a 8 años"	"Casi siempre"	"Nunca"	"Si"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Casi Nunca"	"Muy Conversador"	"Algo relajado"	"Amable"	"Ordenado"	"Neutro"	"Muy Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	7.22566666603088	2.76399721459216	29.6500026820757	22.9514923038412	3.23529411764706	0.588235294117647	"Media"	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
"13"	"{08C503A7-58E8-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	22	16	"Bachiller"	"41-60"	4.9	18	3	4.9	18	0	4.9	18	0	4.37178317857192	19.6127166668574	11	11	11	9	2	999	999	2	0	0	0	0	2	999	999	1	0	0	999	999	0	0	1	1	2	"Lluvioso"	"Nivel B"	"Óptimas condiciones"	"No"	"PM"	"Valle"	9500	4	"Más de 12 años"	"Siempre"	"Casi Nunca"	"No"	"Casi Nunca"	"Ocasionalmente"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Ocasionalmente"	"Muy Conversador"	"Relajado"	"Muy Amable"	"Ordenado"	"Muy Ordenado"	"Neutro"	"Muy Respetuoso"	"EasyTaxi"	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	19.6127166668574	4.37178317857192	22.0330119023505	13.3743323359979	2.05865653267368	0.457479229483041	"Media"	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	"Masculino"	18	12	"NR"	"41-60"	2.4	8	2	2.4	8	1	2.6	9	2	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"AM"	"Pico"	6600	2	"Más de 12 años"	"Ocasionalmente"	"Casi Nunca"	"Si"	"Casi Nunca"	"Siempre"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Indiferente"	"Relajado"	"Muy Amable"	"Muy Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	8.91083333492279	2.46359452833276	20.5856427632367	16.5883106713101	2.08333333333333	0.416666666666667	"Media"	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"15"	"{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	10	14	"Bachiller"	"41-60"	5.4	14	2	5.5	14	2	5.6	16	2	5.30979527223473	20.4150666673978	10	15	16	15	2	3	4	3	3	4	2	4	1	1	2	1	1	0	0	0	1	0	1	1	2	"Despejado"	"Nivel B"	"Óptimas condiciones"	"No"	"AM"	"Pico"	11500	4	"De 8 a 12 años"	"Casi siempre"	"Nunca"	"Si"	"Nunca"	"Casi siempre"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Ocasionalmente"	"Muy Conversador"	"Algo relajado"	"Amable"	"Ordenado"	"Ordenado"	"Tranquilo"	"Muy Respetuoso"	"Ninguno"	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	20.4150666673978	5.23567800730912	25.4513372280868	15.3876881989428	2.82496767407135	0.56499353481427	"Media"	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
"16"	"{0B4811D4-93C6-E811-914C-74867AD5B714}"	0	1	"Masculino"	10	16	"Tecnología"	"30-40"	7.3	19	3	8.1	20	3	6.8	20	3	6.60283796996291	20.5518833359083	18	27	21	22	4	1	5	4	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	"Despejado"	"Nivel D"	"Óptimas condiciones"	"No"	"PM"	"Pico"	12500	3	"De 8 a 12 años"	"Casi Nunca"	"Casi Nunca"	"Si"	"Nunca"	"Casi siempre"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Conversador"	"Algo tenso"	"Amable"	"Muy Ordenado"	"Muy Ordenado"	"Neutro"	"Muy Respetuoso"	"Coopebombas"	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	20.5518833359083	6.60283796996291	26.6881583419408	19.2765924038497	3.08823529411765	0.735294117647059	"Media"	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
"18"	"{0C1FF5E1-42CE-E811-914C-74867AD5B714}"	1	0	"Masculino"	20	8	"NR"	"Mayor 60"	5.4	16	3	5.5	17	3	5.2	20	3	5.73121367198812	23.1963333328565	11	14	16	15	2	2	3	2	3	3	2	2	2	1	1	1	0	0	0	0	0	1	1	1	1	"Despejado"	"Nivel F"	"Óptimas condiciones"	"No"	"PM"	"Valle"	9500	4	"Más de 12 años"	"Ocasionalmente"	"Ocasionalmente"	"Si"	"Ocasionalmente"	"Casi siempre"	"Ocasionalmente"	"Ocasionalmente"	"Ocasionalmente"	"Nunca"	"Nunca"	"Ocasionalmente"	"Serio"	"Algo tenso"	"Amable"	"Neutro"	"Neutro"	"Neutro"	"Respetuoso"	"Ninguno"	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	23.1963333328565	5.43079881163333	21.3485083539486	14.0473894741136	2.61724668778517	0.348966225038023	"Media"	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0
"19"	"{0C97D2B2-DCD3-E811-8FB7-74867AD5B714}"	1	0	"Femenino"	8	12	"Bachiller"	"41-60"	7.6	21	3	7	23	3	7.2	23	3	5.65309412435009	14.4128999988238	6	8	12	9	4	3	2	0	8	9	10	0	2	2	2	2	0	0	0	0	1	1	0	1	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"PM"	"Valle"	14000	4	"De 5 a 8 años"	"Casi siempre"	"Nunca"	"Si"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Nunca"	"Ocasionalmente"	"Muy Conversador"	"Neutro"	"Muy Amable"	"Muy Ordenado"	"Muy Ordenado"	"Neutro"	"Muy Respetuoso"	"EasyTaxi"	7	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	14.4128999988238	5.58286448252434	29.9527328232288	23.2411151800676	1.59204849627985	0	"Media"	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
"21"	"{0D5CB44F-00E5-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	4	12	"Bachiller"	"18-29"	1.8	5	4	1.8	5	0	1.8	5	0	2.02278372741952	4.32483333349228	1	1	1	2	0	999	999	1	0	0	0	0	0	999	999	0	0	0	999	999	1	0	1	1	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"AM"	"Valle"	6300	4	"De 2 a 5 años"	"Siempre"	"Casi Nunca"	"No"	"Casi Nunca"	"Ocasionalmente"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi siempre"	"Muy Conversador"	"Relajado"	"Amable"	"Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Muy Respetuoso"	"EasyTaxi"	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	4.32483333349228	2.02278372741952	47.5335483236452	28.0628209890271	0.988736449126677	0.494368224563338	"Alta"	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"22"	"{0E557454-B5C1-E811-914C-74867AD5B714}"	1	0	"Masculino"	6	12	"Bachiller"	"18-29"	11.2	25	2	11.3	26	2	10.9	27	3	10.1168377793121	21.5533333341281	12	16	13	11	5	5	6	5	10	10	10	10	1	1	1	1	0	0	0	0	1	2	0	1	1	"Despejado"	"Nivel B"	"Óptimas condiciones"	"No"	"PM"	"Valle"	17800	1	"De 5 a 8 años"	"Casi Nunca"	"Casi Nunca"	"No"	"Casi Nunca"	"Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Indiferente"	"Algo relajado"	"Amable"	"Muy Ordenado"	"Muy Ordenado"	"Muy Tranquilo"	"Muy Respetuoso"	"Ninguno"	6	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	21.5533333341281	7.9054003921349	36.5021199750696	22.0069915021932	1.07142857142857	0.446428571428571	"Alta"	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
"24"	"{0F4A62A6-6EDF-E811-8FB7-74867AD5B714}"	1	0	"Masculino"	18	11	"Bachiller"	"30-40"	3.6	10	2	3.6	10	0	3.6	10	0	3.15221163699731	5.86423333088557	5	5	5	5	0	999	999	1	5	5	5	0	0	999	999	0	0	0	999	999	0	0	1	1	1	"Despejado"	"Nivel A"	"Óptimas condiciones"	"No"	"AM"	"Valle"	7400	4	"Más de 12 años"	"Casi siempre"	"Casi Nunca"	"Si"	"Casi Nunca"	"Siempre"	"Casi Nunca"	"Casi Nunca"	"Casi Nunca"	"Casi siempre"	"Casi Nunca"	"Casi siempre"	"Muy Conversador"	"Algo relajado"	"Muy Amable"	"Ordenado"	"Muy desordenado"	"Neutro"	"Muy Respetuoso"	"Ninguno"	4	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	5.86423333088557	3.15221163699731	33.8079567938912	32.2519053298442	1.5861879136906	0.31723758273812	"Alta"	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
