"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_CongAB","b_CongCD","b_CongEF","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec"
"asc_ruta1",1,0.456863415705532,0.657607907978674,-0.300106577013755,0.230107190561347,0.246358471597923,0.245700271961912,0.243191758313855,-0.223355853912923,-0.209941336699916,-0.213460392826043,-0.210331967407943,-0.216274757243209,0.211380321804103,0.211172604260797,0.211226916952865,-0.182773164927516,-0.179119859634313,-0.277419693266732,-0.270734040192312,0.273651488954201,0.222790953737904,-0.381080063054692,-0.142470111990233,-0.134552725222905,-0.157430431903453,-0.141992632443448,-0.0899723401541762,0.00396017181255695,0.668916142353605,0.549954576334139,0.744745975916763,-0.0659197355703584,0.0469241153831448,-0.0137216177976877,-0.0288321508131151,-0.0641871974854591,-0.248759226653783,0.0650185624892487,-0.0863207056462492,-0.00838914823316782,-0.0651456405192819,0.0118790480903571,-0.0327541397242558,-0.0944075715529909,-0.0949120682871313,-0.0823793085357179,-0.0296845417364936,0.0720111376302393,-0.0507367552057708,0.0304004488138129,-0.0383666025718142,-0.0379472584885506,-0.0934265928105386,-0.0151499086694586,0.0691577839350637,0.0275026457946817,-0.12082325191579
"asc_ruta2",0.454588663966082,1,0.602130880101026,-0.36964045569326,0.0190657195958818,0.159819650899649,0.163908079113842,0.157966195327414,-0.153844746551898,-0.144735874324076,-0.147959055112162,-0.151511389342727,-0.149814360163046,0.061898590931587,0.0674163437383559,0.0804381784655763,-0.147300426627819,-0.140510533710661,-0.191184601417565,-0.180033287363472,0.172539713258969,0.134373053439807,-0.151851836072495,-0.105533617522779,-0.058523433889433,-0.171279368624848,-0.184545503957044,-0.00642210510729513,0.0104840090310382,0.488343173975536,0.370900376423435,0.508499492329562,-0.0316618471348091,-0.0233396217281748,-0.117069477387035,-0.0195173772767593,-0.0325452868425704,-0.106615601356428,0.0763989297148477,-0.0983820811657308,-0.13564410102276,-0.0688236488191642,-0.0635829703220788,-0.119274999471547,-0.03098408417665,0.0162933481658997,-0.0713502529815623,-0.0282964568287953,0.0853841803239851,-0.0133219042244433,0.0122145357270935,0.0400784356032095,0.0264540241170097,-0.096681023112479,0.047744627608051,0.0500745892860083,0.0331445995073654,-0.0920560440048475
"asc_ruta3",0.660074362140929,0.604696266988274,1,-0.497531790811243,0.0915294923674879,0.20058991620787,0.205527372266542,0.194349272447317,-0.202985107699641,-0.189209864278127,-0.194817962671767,-0.195633735965754,-0.203159150953216,-0.0283129078435652,-0.0316708866599181,-0.0301802338021052,-0.198524919138031,-0.19196106678066,-0.222524888497571,-0.206138860048109,0.20182559386568,0.178463263905298,-0.0918176607632465,-0.0673499759825041,-0.11549693768029,-0.157748918736942,-0.16555224521627,-0.0584024332956693,0.0200809076572689,0.425564998682533,0.366338625985064,0.459559833552169,0.0400594377422059,0.0326868201220849,-0.00173143358797978,0.0503050063091096,-0.0134946803425472,-0.109771165632552,0.0737295316583766,-0.0427958514557348,-0.0630516560425237,-0.10048922973081,-0.0559130467097396,-0.068260680200802,-0.117599225501195,-0.0792933857611602,-0.058306384121234,-0.0808958906681794,0.0528605466746693,-0.0689604066382682,0.122238548454089,-0.0295677594627829,0.0208586746144113,-0.147038583897805,-0.0478612172774073,0.122215513486759,0.0812413873184565,-0.0998994304586021
"b_time",-0.300106577901789,-0.369640453979609,-0.497531792437037,1,-0.283171957669472,-0.113148221672559,-0.123235926604462,-0.125653098339692,0.141126656674635,0.127170018015719,0.120681893876829,0.109378129865401,0.111101280211041,0.0900411206272621,0.0978332952202914,0.105617224104594,0.133447616858767,0.126378540804896,0.133114453426605,0.117104575620198,-0.0767881213444662,-0.157277785495058,0.0105190951564686,0.0138862097882234,0.0671280592236312,0.154895216521939,0.111312485808087,-0.090981955176688,0.121787930873835,-0.229883526510914,-0.282423248678572,-0.312898499619646,-0.117858129509092,-0.0244080747169708,-0.00467911859563269,-0.0715240698592006,-0.0500024294226936,0.0617253889186118,-0.0647270855858541,0.0523749653731094,0.0389958658233165,0.0318723844817203,0.0159167522914838,0.141784196049245,0.0448754524134678,-0.00926811068833599,-0.0332505519115018,-0.0109827427496732,-0.0248094473937965,-0.020551427693154,-0.0430379428147927,0.0096720475394684,-0.141843495910111,0.11402811968742,0.0762317762264329,-0.146192132980988,0.0224535741643485,0.024533732918254
"b_dist",0.230107190526162,0.0190657188228387,0.0915294926227144,-0.283171957669473,1,0.14652940786001,0.146380067387166,0.147943284335222,-0.144717443353267,-0.142018662483047,-0.137357724389616,-0.140414919908342,-0.155625334104162,-0.0178437642228033,-0.0238326315159461,-0.0284069792337541,-0.112237260900207,-0.112655157534182,-0.149203573523216,-0.122865938331052,0.16570045135356,0.128654366984816,-0.120593238156589,0.0970151104678372,-0.0262054500601747,0.0117888784402502,-0.011599879544691,0.0236281768194209,0.0763886853643096,0.0699339901243917,0.139805981573627,0.186887521591675,0.027951486691463,0.0728975279044509,-0.0303940973904509,0.0374083867534323,-0.00362597792437292,0.0271795429659788,-0.0448475641261381,-0.100034704666257,0.0773824693611734,0.0416916611925625,0.0485967565793137,0.0416927034279401,-0.0674916125866659,-0.0988572189274572,0.0279832437581914,0.0344723848409017,-0.0113714460987201,-0.024011872457375,-0.0297624051975285,-0.0625298938322376,0.0206174891956713,-0.0760049938419612,-0.0220221363065863,-0.00184565750566717,-0.0268227668412439,-0.0120128085865017
"b_CongAB",0.249555672128989,0.161407858780436,0.202685816880578,-0.113148221673614,0.146529407277781,1,0.996497636441752,0.995551548602999,-0.984658686246388,-0.983196606028981,-0.987653524089091,-0.990062578578876,-0.984880008344066,-0.5800483095105,-0.591424020071837,-0.579989934073692,-0.961224120353177,-0.959637592803455,-0.975799246653869,-0.969749199521379,0.969461979941096,0.945098284725723,-0.255966770329305,-0.0895300027798675,-0.498672960897708,-0.247861612089544,-0.220432181913054,-0.147352885878417,-0.205540063210352,0.367566490684778,0.418868601835722,0.420010778853488,-0.1556522769205,-0.136678682357431,0.267658085696921,0.0159548681470225,-0.055320515936085,0.0226394899343598,0.0486171623665735,-0.264140813244057,-0.0514122743772185,-0.0430448100071943,-0.0231236375725801,0.0190638310499073,-0.0927849899682292,-0.0613022570722564,-0.0848052665575794,-0.184080374560215,0.125469825846343,-0.00197214952012722,0.00552053711257614,-0.0141945466135436,-0.0776874045359398,-0.0278323978626324,-0.0237353181278881,-0.0526604048224919,0.169722823485505,-0.162438976297329
"b_CongCD",0.246632640067156,0.16397039234483,0.206723560864869,-0.123235927229852,0.146380066684742,1.00170318192416,1,0.998540883188555,-0.986706611915741,-0.985056996514971,-0.989394201979478,-0.991847080962117,-0.986946099433492,-0.587685750318614,-0.598862741977515,-0.586930792809542,-0.963225438167069,-0.961542292523268,-0.971845054676942,-0.966129553514089,0.969041329327036,0.947593128998651,-0.255252516059924,-0.0861654597011348,-0.492823068550869,-0.242509398761361,-0.217301732904969,-0.143337441424064,-0.205884978444351,0.37021523585733,0.423989517290547,0.423960776293208,-0.153245690382612,-0.140998431293192,0.263305548019251,0.0199606422082092,-0.0546715588333656,0.0160348369253003,0.051348836066866,-0.263009797103169,-0.0588009870017425,-0.0489899743789723,-0.0275541694305908,0.0105892381501973,-0.0949990159959767,-0.0595215611523765,-0.0896494786444655,-0.181675487273165,0.124868025348975,0.00227425956740398,0.00767248321953498,-0.0158697746388962,-0.0753975599862239,-0.032236759536871,-0.0253697367667411,-0.0520916405001151,0.167952758068097,-0.161624995837707
"b_CongEF",0.246360617721764,0.159535037831858,0.196434309656589,-0.125653096710404,0.147943282594892,1.00204121461954,0.99982253339998,1,-0.985511931266464,-0.984026467646286,-0.988373816738789,-0.990809445872767,-0.98553245427446,-0.578919199344832,-0.590068440731467,-0.57898137219754,-0.962927577948589,-0.961332847184343,-0.97005882944401,-0.965816639160675,0.966736588793518,0.948201204133373,-0.262628297417955,-0.0862377616590319,-0.491566059731806,-0.242294192892708,-0.215656901036599,-0.138057202234065,-0.209035301381324,0.371906521978543,0.425925770880638,0.425063502326066,-0.151000951295226,-0.138713983430636,0.265139420750334,0.0220026472743609,-0.0549294387317056,0.0157346138069363,0.0450325297443226,-0.25772759776153,-0.0518271491089465,-0.0462472031742702,-0.0221027003483839,0.0152625117411132,-0.0921843859773434,-0.0582585995300769,-0.087198704854187,-0.172679369899931,0.120657977996633,0.00180026507234298,0.0075097926469312,-0.013469274939447,-0.0736447759035841,-0.0310655531049443,-0.0253590880825234,-0.0508108557301261,0.159458611886453,-0.157138013263459
"b_Sem_0",-0.224018854700111,-0.153453598709171,-0.204469817733869,0.141126655867377,-0.144717442359761,-0.993192957937928,-0.990206892928775,-0.98806668064977,1,0.993141970972634,0.995956986423472,0.995893279111006,0.992361972663588,0.643192371219311,0.654462437798535,0.643058874638699,0.980772764888686,0.979226900915208,0.965092505584877,0.960657083350496,-0.957474122001583,-0.923147480553226,0.14844428867403,0.0889687302984108,0.504391318292106,0.242494420819898,0.223617544662027,0.147803460927036,0.210160245188531,-0.325673818607344,-0.369170907019843,-0.378242985861429,0.14962257845391,0.15155698198314,-0.266929764308572,-0.0111415451781743,0.0512441829149523,-0.0286594273225616,-0.0772251223905902,0.27801096446676,0.0487190526708569,0.041102899540992,0.0218247315695413,-0.0158856063813692,0.0815273653545569,0.0567330599840858,0.0782829771970102,0.186177128346572,-0.128946761049331,-0.00551486201690152,-0.000840534286555651,0.0099778739414613,0.0779823915197083,0.0242746942282387,0.0142700384665582,0.0552187688955031,-0.168862042260262,0.163642941768486
"b_Sem_1",-0.205817302626959,-0.141121079642128,-0.188790661575756,0.127170018782301,-0.142018661526176,-0.999518850634531,-0.996354517476277,-0.994383902560292,1.0008390959542,1,1.00245988064221,1.00247670963004,0.999017574173429,0.654406658929641,0.665531817050041,0.653898752262128,0.985264278668267,0.983708155205243,0.96256554175711,0.959098051670846,-0.963718515979422,-0.928470319033939,0.150699643909785,0.0920727350416021,0.50598841360366,0.233909105466219,0.217619761197758,0.141561077893739,0.21298183458078,-0.316867953889772,-0.364066827745363,-0.368808425871235,0.148098933279021,0.148597102710298,-0.268843617573314,-0.00884308990350226,0.0591547658333097,-0.0280254058483141,-0.0809651280435222,0.284985136235743,0.0463798458631088,0.0364693904407972,0.0211757435422383,-0.0155641458546882,0.0795496199268268,0.0581853566328712,0.07841718939103,0.193503991032637,-0.130687060369545,-0.004156238687882,0.00136389583488774,0.00995811804880781,0.0770937565491761,0.0242049650724497,0.0205718100540417,0.0573754821155854,-0.176822204326505,0.167944617637102
