"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_CongAB","b_CongCD","b_CongEF","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec"
"asc_ruta1",0.027368436845578,0.0185587273276527,0.045305160106844,-0.00164607950334727,0.00516143905059895,0.258461764471881,0.257770325573988,0.25501733682907,-0.160276925788185,-0.150927887808424,-0.152677581715685,-0.149799587746144,-0.154735465514236,0.202774589137946,0.199400397293071,0.202878679273075,-0.340710406261911,-0.335545832033797,-0.029705944781919,-0.0292930134266739,0.0236778536542697,0.018679419763395,-0.0228396515110569,-0.00668693780646661,-0.0170084593786917,-0.0137166352319425,-0.0102257376698131,-0.00541453260395842,0.000202116014084008,0.10250574102575,0.0683587281789951,0.101043100780391,-0.00334814536963426,0.00320732130440647,-0.00126256933089235,-0.00225670671893485,-0.00403872433672932,-0.0144422754885105,0.00188405187957145,-0.00334105538376183,-8.9511966696348e-05,-0.000688277436199226,0.000125582023585766,-0.000318662001910595,-0.00236636968811772,-0.000951306228103653,-0.000977670698989184,-0.000600738705211027,0.000943665818567937,-0.000389312330234263,0.0002684937900354,-0.000279804358365744,-0.000222866040258921,-0.000758952968672446,-0.000116076506801068,0.000376670249060255,0.000394309687000808,-0.00174911808628437
"asc_ruta2",0.0184663222546718,0.0602939343666634,0.0615720138129091,-0.00300930776742025,0.000634754268446267,0.248868996571126,0.255234547800873,0.245865066444811,-0.163858188919351,-0.154439910215679,-0.157076542291326,-0.160163086661165,-0.159092348061263,0.0881336087872867,0.0944855627396669,0.11467300451192,-0.407557402922043,-0.390686862016308,-0.0303858092703963,-0.0289125111508249,0.0221587574498345,0.0167220620378211,-0.0135084371790029,-0.00735201118111324,-0.0109802971873241,-0.0221501040821184,-0.0197262312810688,-0.000573642316789814,0.000794192713778842,0.111074265450369,0.0684283775815911,0.102400208031555,-0.00238691477296218,-0.00236783809449793,-0.0159884149939801,-0.00226741676527827,-0.0030394549878331,-0.00918732337883235,0.00328590182712342,-0.00565192660569743,-0.00214820616143956,-0.00107926398020012,-0.000997696535297727,-0.00172236551461593,-0.00115272641793834,0.000242393548033588,-0.00125684519674145,-0.000849961274291296,0.00166076346122488,-0.000151723758342498,0.000160119059135215,0.000433834122862715,0.000230604114414772,-0.00116572847812466,0.00054296350649581,0.000404808349798808,0.000705322213709752,-0.00197802935764121
"asc_ruta3",0.045475083703202,0.0618343422236868,0.173424835620057,-0.00686952611813274,0.00516811675118027,0.529747053550173,0.542784705495048,0.513020147954107,-0.366664184124346,-0.342409621461987,-0.350766100454017,-0.350735504955952,-0.365890447152517,-0.0683697669988313,-0.0752799487290225,-0.0729693365866699,-0.931576754395469,-0.905215355116095,-0.0599812239370988,-0.0561450800665377,0.0439593644241546,0.0376656363961682,-0.0138525624877235,-0.00795740775030082,-0.0367513754248625,-0.0345983942264935,-0.0300119739311428,-0.008847356918762,0.00257988700435117,0.164162162199653,0.11462530784473,0.156953575109518,0.00512182042716087,0.00562405678772676,-0.000401038811531188,0.00991151261089252,-0.0021374159603284,-0.0160426220482285,0.00537808446118249,-0.00416966355299351,-0.00169352018686041,-0.00267256539181516,-0.00148795447247614,-0.00167172694900649,-0.00742011912846583,-0.00200062878869727,-0.00174189196440931,-0.00412109262237635,0.00174373647348041,-0.00133200523770549,0.00271764724135853,-0.000542812946343712,0.000308376198038089,-0.00300681227024154,-0.000923099901087734,0.00167562656392147,0.00293204715792182,-0.00364051036140324
"b_time",-0.00164607950821812,-0.00300930775346912,-0.00686952614058041,0.0010992604285502,-0.00127296410342764,-0.0237904050863124,-0.0259113427018256,-0.0264070176487659,0.020295886154184,0.0183223666506298,0.0172991747473106,0.0156120929452478,0.015930462934916,0.0173107214215485,0.0185140070886388,0.0203304596783877,0.0498550423095288,0.0474467801514406,0.00285664712337653,0.00253933706283963,-0.00133156956315829,-0.00264276480915101,0.000126350489584781,0.000130620860653546,0.00170059880890135,0.00270471935754374,0.00160656395326061,-0.00109731804913631,0.00124570798794298,-0.00706008068529439,-0.00703546648712753,-0.00850799608138163,-0.00119970285993949,-0.000334352981048125,-8.6285788222985e-05,-0.0011219554181704,-0.000630539362543332,0.000718200267480538,-0.000375895258382925,0.000406272795436342,8.33886799423893e-05,6.74866748007729e-05,3.37229527797957e-05,0.000276450390901884,0.000225429063955705,-1.86172450419895e-05,-7.90858189309727e-05,-4.45442219069003e-05,-6.51569795665571e-05,-3.16040519985847e-05,-7.61782610806724e-05,1.41365962559909e-05,-0.000166954534204779,0.000185644298935674,0.000117056532452795,-0.000159576727260353,6.4516938887783e-05,7.11799278964627e-05
"b_dist",0.00516143904980974,0.000634754242709373,0.00516811676559136,-0.00127296410342765,0.0183836284193669,0.125992362151661,0.125863511939236,0.127147179022926,-0.0851108966549265,-0.0836772838028208,-0.0805196123481626,-0.0819613702728159,-0.0912546385754328,-0.0140289792035578,-0.0184438279224998,-0.0223615973195298,-0.171474934444054,-0.172961645178615,-0.0130941082543288,-0.0108954032361627,0.0117505671278534,0.00884058453440012,-0.00592361496513933,0.00373193027238862,-0.00271490552623619,0.000841825374338224,-0.000684656815613312,0.00116539402965817,0.00319526110304595,0.00878325397396263,0.0142424114088362,0.0207811427015427,0.00116354820768269,0.00408366206533269,-0.00229208008649575,0.00239970402782954,-0.000186987068482157,0.00129326997977929,-0.00106508672941227,-0.00317329178354529,0.000676700403374588,0.000361008970539403,0.000421059762414289,0.000332441137189249,-0.00138648824570497,-0.000812078310350941,0.000272184338772029,0.000571764536405658,-0.000122130706517267,-0.000151005274647418,-0.000215433330306061,-0.000373748486687232,9.92407155217426e-05,-0.000506030974842136,-0.000138287963690371,-8.23876250597011e-06,-0.000315178921689629,-0.000142529180168131
"b_CongAB",0.261816039586797,0.251342132380227,0.535282213177791,-0.0237904050865342,0.125992361651036,40.2168095276472,40.0758152939477,40.0187404965463,-27.0855832136106,-27.0950974555001,-27.0795470848245,-27.0300463414894,-27.0113422087485,-21.3300538209637,-21.40751282586,-21.354352902075,-68.6872986707836,-68.9118916414494,-4.00539518310143,-4.02216077720326,3.2155414237256,3.03753726374501,-0.588078963053512,-0.161083451560758,-2.41639044491217,-0.827841098131097,-0.608530914868541,-0.339929936406754,-0.402125850954749,2.15919186569751,1.99583103381536,2.18442805903896,-0.303056175238727,-0.358117850308666,0.944080647846307,0.0478707366862562,-0.133432256210124,0.0503850710670652,0.0540037491632669,-0.391906994064607,-0.0210285272736681,-0.0174332267745341,-0.00937088915282134,0.00710972943648884,-0.0891522488832451,-0.0235534309352473,-0.0385812319562323,-0.142804392230188,0.0630284544987161,-0.000580088316472409,0.00186902191809787,-0.00396827231770184,-0.0174901250281732,-0.00866709960757553,-0.00697121027590392,-0.0109946967310721,0.093278602187618,-0.0901441741728112
"b_CongCD",0.258748496367714,0.255331580780695,0.545943763429273,-0.0259113428333188,0.125863511335263,40.2851649919583,40.2165278504409,40.1387638790407,-27.141821653791,-27.1462713431615,-27.1271781024071,-27.0786708385281,-27.0679120795471,-21.6108289255371,-21.6766930301248,-21.6098291541636,-68.8300680989939,-69.0484269480107,-3.98915031154724,-4.00713379219929,3.21413494087617,3.04554500497012,-0.58643592326192,-0.155029382508629,-2.38803560028634,-0.809962229441117,-0.599886813688399,-0.330665506984658,-0.402799244716727,2.17474374489561,2.02022416931855,2.20496382250205,-0.298369487927926,-0.36943492145986,0.928725172556829,0.0598893887542191,-0.131866519597385,0.0356860322850757,0.0570378816178339,-0.390227533403175,-0.0240505568691381,-0.019840959734718,-0.0111663297949209,0.00394917235346872,-0.0912792711511863,-0.0228691754128954,-0.0407849106323095,-0.140938254549567,0.0627259266478663,0.000668948662430406,0.00259757135808628,-0.00443658882262273,-0.0169745422792418,-0.0100385970643772,-0.0074512230819189,-0.0108759092481832,0.0923054620518977,-0.0896921483079708
"b_CongEF",0.258340286967651,0.248306877275267,0.518523981768975,-0.0264070173063578,0.127147177527231,40.2796092186024,40.1902829065317,40.178314442162,-27.0960765745867,-27.1049853052599,-27.0863234360665,-27.0374875388945,-27.0162970660517,-21.2783421612525,-21.3482210407345,-21.3070144320956,-68.7760850983967,-69.0005813940201,-3.97992616506625,-4.00393233561097,3.20496678080635,3.04605114777215,-0.603094854196533,-0.15508573546652,-2.38081268652213,-0.808858899289861,-0.59506314956018,-0.318333163192852,-0.408768283764291,2.18364063545439,2.02848561311468,2.20964841104852,-0.293859268157878,-0.363276645405222,0.93474915343067,0.0659847958813321,-0.132425560172064,0.0350012355223945,0.0499980076468779,-0.382208621074331,-0.0211880705794213,-0.0187212355466211,-0.00895286492611203,0.0056893277580083,-0.0885327581587396,-0.0223732874805988,-0.0396511101933049,-0.13389568476964,0.0605822579020352,0.000529276711732803,0.00254128314453627,-0.0037637104908362,-0.0165720523382795,-0.00966928372041629,-0.00744455610821871,-0.0106034604271001,0.0875955028509554,-0.0871607037250631
"b_Sem_0",-0.160752685550484,-0.163441582057269,-0.369346104978201,0.0202958860380896,-0.0851108960706279,-27.3203404236952,-27.238105596603,-27.1663179209599,18.8147016346768,18.7200301258755,18.6776495207315,18.5969535649099,18.6156333896563,16.1775790722162,16.2030525429137,16.1942767247001,47.9363579567121,48.0966817919941,2.70955952664509,2.7252932894187,-2.17217710872996,-2.02936697664118,0.233270816162452,0.109487510775745,1.67172082544118,0.553967549007593,0.422239036772958,0.233217014436602,0.281229538598497,-1.30852803149049,-1.20314589458904,-1.34552897481128,0.199255195926374,0.271610149509673,-0.643977348377668,-0.0228647879355123,0.0845403499387677,-0.0436262221122116,-0.0586729291928794,0.282133260925423,0.0136296824350286,0.0113860819324542,0.00604948519733299,-0.00405220633577919,0.0535800168959449,0.0149093524801522,0.0243593369250175,0.098788243578236,-0.0443049918835261,-0.00110951656770393,-0.000194640564225556,0.00190793166402781,0.0120083603586691,0.0051703720183808,0.00286670583394317,0.00788552552255001,-0.0634773341586995,0.0621140088139086
"b_Sem_1",-0.147963098874212,-0.150582756149796,-0.34165099801927,0.0183223667610773,-0.0836772832390331,-27.5449086179553,-27.4576092358983,-27.3902806000255,18.8651155373765,18.8839603186243,18.8341711175134,18.7543133703446,18.7749463080318,16.4899078299258,16.5074050909032,16.497540394705,48.2444374323888,48.4056351595538,2.70743435707262,2.72587375369888,-2.19036384697845,-2.04482147204418,0.237250433031019,0.113515745422049,1.68009791919163,0.535337385591195,0.411669515925731,0.223777985787668,0.28552938064074,-1.27548799531902,-1.18869327665442,-1.31437980408882,0.197588799553956,0.266795352340353,-0.649787258221012,-0.0181812468856067,0.0977703297077981,-0.0427395436241454,-0.061627570055732,0.289742661630097,0.012999123650993,0.0101211117776196,0.00588038888342151,-0.00397750668072006,0.0523763728049186,0.0153191315662512,0.0244459698879702,0.102864787945634,-0.0449855137381745,-0.000837717317316728,0.000316414950909686,0.00190765548181563,0.0118933511684066,0.00516500036463664,0.00414026714145105,0.00820858201145438,-0.0665918858653681,0.0638640186304275
