"","asc_ruta1","asc_ruta2","asc_ruta3","b_tt","b_dt","b_CongAB","b_CongCD","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","gamma_JOVEN30","gamma_USOCINTURON","gamma_EDUBASICA","gamma_EXP_2","gamma_USODISPMOB","gamma_LV1","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"asc_ruta1",2.11380974163067,2.10442290608196,2.09024058008193,0.00267465018756061,-0.0167749977870785,-0.0154542017174207,-0.000408683546745937,0.108714703901337,0.0780471416889736,0.515707406198833,0.150713217790604,0.117469855536846,0.0970229632124248,0.0892740280436051,1.64856978389795,1.67498163917665,1.67634304102126,0.0645025076202978,0.108487135177177,-0.213933317712593,0.00996330593248148,0.0272669904839964,-0.00479217417377775,-0.0154771326202856,-0.0573055429149605,-0.117937646357033,-0.0312753356679235,0.0156576843781166,0.0222346360645837,0.000571100742733852,-0.0056821238606757,0.00251403841488691,-0.0167118615984597,-0.0813075625005283,-0.0165507921151805,0.00478718051609921,0.00993799053308744,0.00318641668094596,-0.010143549876822,0.544323344020607,-0.1800927131434,-0.129439836338996,-0.142309295539274,-0.138591425009557,-0.119267051988512,-0.106324632298061,-0.116142608445781,-0.0955645203477795,-0.184737950681517,-0.237159654819024,-0.266802102701549,-0.325502613709041,-0.0586258690055372,-0.0767308247496854,-0.087222596979623,-0.0841924297405395,-0.125146057653187,-0.097096654341852,-0.0913621547271917,-0.0619009609084234,-0.163268385277431,-0.137225859528971,-0.140065698308648,-0.0712029190454192,-0.0446021369031707,-0.0620377746898663,-0.0668835574258882,-0.0228950208852692,-0.00784724003507467,-0.0117621236341852,-0.00394338119277683,-0.00581813875355248,1.00827085053593,0.527142825324142,0.335840994448859,-0.246860544422316
"asc_ruta2",2.10442290468963,2.13741818883081,2.09706686164969,0.001715081765294,-0.014380719659764,-0.0151135175473137,-0.000318429535683016,0.116129975613434,0.0791601404012226,0.515605750887398,0.142874553286423,0.109196044961055,0.0982080306473746,0.0937004090116822,1.64933173961173,1.66896379396635,1.67071948248219,0.0660757004703901,0.10540120801385,-0.225786656598896,0.00979771079145799,0.0281586491078554,0.00483880530919302,-0.0178309545281887,-0.058894651654207,-0.128491125120285,-0.0298678867395364,0.0115150914705048,0.0260828057687274,0.00339896000777442,-0.00526998354708218,-0.0111090412590873,-0.0187630787353329,-0.0857061581514722,-0.01819360148749,0.00656901834351099,0.0121645633771138,0.00381699954763124,-0.0113467788570308,0.370530411274884,-0.168613681019029,-0.121244678282394,-0.136216968416949,-0.146235688715188,-0.112546258077726,-0.0979409942875108,-0.109074532777887,-0.0892961317844327,-0.170994856741843,-0.220790835340772,-0.247737577843671,-0.324546511341976,-0.0562086811317105,-0.0737843467863269,-0.0847339138446409,-0.0832620455450837,-0.116892989889478,-0.0832937554169767,-0.0802960750565697,-0.0586977294625782,-0.157157629982009,-0.123181178983369,-0.130188544117917,-0.0808595557829473,-0.0443134288784999,-0.0605816448805145,-0.065352806930366,-0.01968986563232,-0.00419066002505085,-0.00918612357286477,-0.00262905395897886,-0.00482287025614652,0.724625449196071,0.375548672915383,0.243481639413793,-0.163368970530966
"asc_ruta3",2.09024058118848,2.09706686414867,2.15419451412025,-0.00166968206104977,-0.00569186899205359,-0.00455860781359099,0.0165061019418276,0.115155849336695,0.0835248481832355,0.512489833469528,0.144888702118925,0.105685033077824,0.0907565956557202,0.0948084571212656,1.64902888046229,1.66734939200807,1.67600784429053,0.0700575844536865,0.106681370568325,-0.22058760117155,0.0235100631568162,0.0273023607737526,-0.00104931963412598,-0.0130073685682612,-0.0622394676208075,-0.117215686770458,-0.032343014548372,0.0200606901613661,0.0209589455117646,0.000251787407439337,-0.00779089872410671,0.0122053814967816,-0.0396788022621899,-0.0717507174982687,-0.0178353975840881,0.0109972816151782,0.0103072998637692,0.00137772828884826,-0.00794631893033046,0.585163190525505,-0.18077336406045,-0.11604062909347,-0.130184489654278,-0.145310912061491,-0.114253967197757,-0.127097717843346,-0.140911847635272,-0.141196617990742,-0.192800316573166,-0.225840192903278,-0.254244067667288,-0.318186136818683,-0.0577704523019421,-0.0776722288789799,-0.0899263107280057,-0.0903814481236647,-0.122712820693973,-0.0815426807324263,-0.0781615693983353,-0.0484644244738339,-0.16114479613487,-0.135043052277672,-0.136305223946584,-0.0693927814150949,-0.0438235638968612,-0.065977298536718,-0.0710745990825268,-0.030483007642947,-0.00822699489224752,-0.0118132856371497,-0.00585121085546614,-0.00614542363214886,1.05606556535418,0.532879479926576,0.345619895117761,-0.265244758868231
"b_tt",0.00267465018757011,0.00171508176530848,-0.00166968206104338,0.00114346313019485,-0.00246681026556557,0.00280719435211248,0.0012157079457985,0.000193635116470108,-0.000570571316827922,0.000322603519948935,0.000562504880388056,0.000671720556081677,-0.000865505419634203,0.00138740869986485,-0.000317037631912243,-0.000490944258153544,-0.00192946004100038,-0.00105800572948389,-0.000940805153658851,6.42606810357657e-05,-0.0015098115298963,-0.000647206083197088,-0.000525019215011445,-8.50967244070416e-05,0.000532931742055319,0.000602626482559367,0.000159095359790891,-0.000209598939068498,-0.000213570646156805,9.0035545449225e-05,-6.09567417555979e-06,-0.000631886970945842,0.00172957590776015,-0.00190370452273405,0.00108825811139407,-0.00109914465924009,-0.00174379068558938,-0.000286086193452647,0.000241643291178842,-0.00163156961592513,-4.30366146921412e-05,-0.000812528995905995,-0.000561299769564137,0.000965334709869656,-0.000229329560549625,0.0021393578954038,0.00193188333948785,0.00365715006102818,0.00104201557559003,-0.00152380508586317,-0.00161814290820717,-0.000952173968465976,-0.000126039645553743,0.000828853742634243,0.00137040372272829,0.000748336453015837,0.00052212490182716,-0.00140225149850836,-0.000957660737371933,-0.00199916523652493,0.000945016247867612,-0.00194060892615229,-0.00183545638860354,-0.00289576522702469,-0.000445905789758574,-0.000236619960705176,5.64265028537468e-05,0.0016436927850132,-0.000432830741048862,-0.000233092374411314,-0.000231570783265831,-0.000717984611143503,-0.00229866914110699,-0.000452772845534917,-0.000801474557242204,0.000932367032932955
"b_dt",-0.0167749977870798,-0.0143807196597882,-0.00569186899202224,-0.00246681026556557,0.00895257147115696,-0.00319997309306488,0.00110016631286465,-0.00203054354934244,0.0010295834720258,-0.00528878134653485,-0.00133709492949087,-0.00185615286635488,0.00211281930509895,-0.0004755027275548,-0.00754311467938472,-0.00695288262292802,-0.0024071833628648,0.00210646582301473,0.0018768689623708,0.000900295298402681,0.00442758347773652,0.000441337355328003,0.000845703364709788,0.000402487804582538,0.000724162012660596,-0.00280717943689343,0.000337834246599722,7.08819270730271e-05,0.0014257613686039,-0.000337162599169936,-1.08300638140083e-05,0.0028797454231034,-0.00277563943423726,0.00911441110526831,-0.00229715934786922,0.000467714330392642,-8.21245294202592e-06,0.000572149719879118,3.82108949037481e-05,-0.0165528565435726,0.00123430481041745,0.00586715938770267,0.00513293871949361,0.000279352847122956,0.000779448851096328,-0.000897517266997541,-0.00096325543595776,-0.00773327014513793,-0.00188492107582089,0.0118288280582084,0.011778204036674,0.0157572745709406,0.0014726329463538,0.000698298565512826,-0.000909020221492553,-0.00212233154076674,0.000549011528512742,0.00481345197319893,0.00394451592078235,0.00611612154825355,0.00103393791554714,0.00374496150044356,0.00293095054020432,0.00447054141384786,0.000585578296014243,0.000103363641168084,-5.61866490481469e-05,-0.00245226073673427,0.000353501872222701,8.1439299058814e-05,-0.000269260560667325,-0.000457849688582311,-0.0285889261712337,-0.0203457422955135,-0.0135276990367525,0.00542565989844829
"b_CongAB",-0.0154542017172429,-0.0151135175472497,-0.00455860781287023,0.00280719435211248,-0.00319997309306489,0.0868448967495892,0.0385952696569822,0.0181635325564743,-0.00482157575534962,-0.0298647517743561,-0.0223402925719609,-0.0150291988306481,-0.0161558605193597,0.012627168670848,-0.0477061755918935,-0.0535745655034911,-0.0481788706818531,-0.0065573063542391,0.00205483352153822,0.00467349398842889,-0.0114111876359901,5.29778939031788e-05,0.010747864335433,0.00488109156162788,0.00207031728290229,-0.0049221018849548,-0.000750441484303977,0.00296526044958035,4.10013408536038e-05,-0.000901814756100333,-0.00118433174505298,0.0102676748765334,0.0123677392156478,-0.031841208770571,0.00514059609293775,-0.000126985310737676,0.00122387318506896,0.00418101568363967,0.00451293429949853,0.0344756238464314,-0.016267986201466,-0.002036355301192,0.00136770425252224,0.00149188111138856,-0.00786616607388325,0.00517228729871352,0.00401995620192594,0.00119568113321998,0.00505034346562949,-0.04287009420466,-0.045148589052993,-0.0512704623394279,-0.00772410521766781,0.00227793247071093,0.000330890561790095,-0.00976304227691283,-0.00853063491365465,-0.00854241570347763,-0.00607506740863986,-0.0119308272593789,-0.0105670608447605,-0.00592757917341809,-0.00416036507335028,-0.00871023845011484,-0.00873459990857687,-0.00624162680892019,-0.00710113845306627,0.00094885864849304,-0.00472699272973345,5.69040651468837e-05,-0.0023695345717766,-0.00663667719174313,0.0678281050898901,0.0239904355810544,0.017161492376871,-0.0196480929603697
"b_CongCD",-0.000408683546770934,-0.000318429535720547,0.0165061019419644,0.0012157079457985,0.00110016631286465,0.0385952696569822,0.0546128938737912,0.0150316464652399,0.00272785214074072,-0.00707149436995169,-0.000609544881965199,-0.00365372492947233,-0.00959177891972897,0.0101304324992061,-0.0179115284129191,-0.0135174163829804,-0.0128510079916005,-0.002613388273119,-0.00727631327354112,-0.00600623845915901,-0.00280608270226713,0.000115685779781303,-0.00111767692502734,0.00257328888987469,0.00237154075929189,-0.00315403081897351,-0.00232684954109776,0.00336076025704187,3.70145715556528e-05,0.000237300528152844,-0.00206081347247654,0.00492525065239217,0.000892023464248821,0.0055879077954326,0.00435800700712761,0.00195423434586486,-0.00116501467116042,4.79205947186121e-05,0.00566647454097394,0.0778181255880941,-0.0140076086222063,-0.00720726365146199,-0.00690598621521019,0.00362156346675793,-0.00760419535164601,-0.00855551131635029,-0.0100907991163563,-0.00862101641052966,-0.0182172528482846,-0.0105581794848555,-0.0109337745299007,0.0199567731957,-0.00743746797993256,7.06539084448261e-05,-0.00128794705416404,-0.0020242750662019,-0.00833349995488831,-0.00343459687716349,-0.00411702737235402,0.000231657167973269,-0.00958303326125926,-0.0175452896374521,-0.0189617117500734,-0.000970039861759893,-0.00472862607561922,-0.00371057035354944,-0.00339227516289412,0.00325065938635657,-0.0039995928900953,-0.00165898778491323,-0.00385732631940589,-0.00592139838966444,0.128171867003711,0.0639611526985731,0.0393052419231046,-0.0370346146157606
"b_CSECO",0.108714703901542,0.116129975613693,0.115155849336886,0.000193635116470106,-0.00203054354934245,0.0181635325564743,0.01503164646524,0.132023686065223,-0.00241275083641385,-0.00434787284407854,0.00834974347449206,-0.00331070465629734,-0.0177487574231631,0.00857617571814712,-0.0185904406719249,-0.00458944896756302,-0.0102269244553751,0.00657282395749123,-0.00604578436017764,-0.00797287883281012,-0.0115217153007065,0.00786453950144328,0.0124909987235132,-0.000350096856816195,0.00201272610335832,-0.00286858871784896,-0.00369404977214648,-0.000524957284193774,0.000257889416847883,0.00282842752007369,-0.00129495543138574,0.00562203092582368,0.0046392985715542,0.00777053723562404,0.00268128706402164,-0.0031388483151252,0.0153922632049853,0.00229194351164553,0.000753366896844728,0.0185264809281394,-0.0152134144760614,-0.0159038268644033,-0.0123532885423376,-0.00723176389606761,-0.0174302553583576,-0.0145498519594159,-0.00489859020281079,-0.00204546217661971,-0.0259757571476991,-0.018408888964044,-0.0110788438499516,0.0051092276851207,-0.0123529778256643,-0.0147400641372853,-0.0131435094970827,-0.010649676833312,-0.00973717328104267,-0.012609454377876,-0.012520902457161,-0.0164072551435318,-0.0233170412226951,0.000808650404466841,0.00385484720505154,0.0135924306629022,-0.00288091402392077,-0.00505454878542337,-0.00534739058100391,0.00135115796818351,0.00141390588842342,0.00140755519851093,0.00213046462459369,0.00298743424192191,0.0572437336488667,0.0162539886415348,0.00682761239922336,-0.000951273277509994
"b_Hpico",0.0780471416888049,0.0791601404012451,0.0835248481830882,-0.000570571316827925,0.00102958347202581,-0.00482157575534964,0.00272785214074072,-0.00241275083641389,0.0717749830661919,0.00344620341562716,-0.00604413003677307,-0.00464746093677339,0.00524161127056515,0.000798904122810497,0.0338695465570579,0.0375585070356659,0.0405240776262378,-0.000224040170808273,-0.00163251133086701,0.00373566067239484,0.0195811965806131,-6.86292364926577e-06,3.72157882939335e-05,-0.00287499071815794,-0.00335199529629258,0.0015902168260598,0.000113222662804025,0.00120938592968643,-0.00545334115035442,0.000384132877719223,-0.00101042549657883,0.00452347704684819,-0.0070210968497503,-0.0200985591609629,-0.00478817841401813,0.000284257135289497,-0.0033424242825484,0.000334190139063737,-0.00012763272632944,0.0564315109646809,-0.00305666855319097,0.00563914236284475,0.00930180192152454,0.0332723381060306,-0.000976705674731986,-0.00386238750437866,-0.00562255581526255,-0.00433823553460152,0.0112690781416418,-0.00644709214304622,-0.0119284524812977,-0.0307870519506804,0.00375620071179458,0.0012130817712923,-0.0014740732951062,-0.00811887884353626,0.000297250339687143,0.00479225639858424,0.00430164865933006,-0.00188967422043615,0.000533537758496717,0.0030742629930996,0.00437080613520912,-0.00640074262143896,0.00121420594305452,1.49457082341621e-05,0.00261496411544447,-0.00279214487889552,0.0009553853598114,-0.00169531881844763,-0.00178876129893747,-0.00277233171001016,0.0922565777661655,0.0493576030567356,0.0318356822573871,-0.0336826981980076
"b_Joven30",0.515707406196808,0.515605750886307,0.512489833465594,0.000322603519948915,-0.00528878134653482,-0.0298647517743567,-0.00707149436995178,-0.00434787284407903,0.00344620341562698,0.537165813281671,0.209407033846764,0.161987299096257,0.014318509492106,-0.0175023415446871,0.383514844814854,0.385268721281434,0.398489429814996,0.0154571601080484,-0.0388922774269761,-0.212766524821587,-0.0269633647775812,-0.026984449100941,-0.0241648364604263,0.00118235019716095,-0.0244161322601279,0.00590000358814659,0.00189798751852716,0.00504332672136107,-0.00026187096290067,0.000956896678314113,-0.003641249380512,-0.00695730826236388,-0.00826992994821623,0.0409041970099106,-0.010882048946992,-0.00750389499247272,-0.0132506171468415,0.00206756799329072,-0.00386503901901167,0.308270094101777,0.0130080556538324,0.0129944738674661,0.00615930055944704,-0.00714417239398125,0.00705182217274977,0.000341225226520467,-0.00561225947978893,-0.0212313207988389,-0.0121672060472047,0.0677154808041139,0.0725453127325983,0.0785967983986199,0.00541321353007986,-0.00385682738139036,-0.00672086490595727,-0.0167690079995013,0.0087915805677886,-0.0132495800433269,-0.0137146847986249,-0.023056272720209,0.00904718661318885,-0.0228740833554617,-0.0373930056823155,-0.0173599372960524,-0.00684481006004559,-0.0180995820908437,-0.0180933578040418,0.0199963755504603,-0.0208276766413381,-0.0086910557702248,-0.00457818273266773,0.00161840828749031,0.445151909523129,0.206186688033959,0.119796000330718,-0.174610942217617
