"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_HPICO","gamma_CSECO","gamma_EXP_2","gamma_EXP_3","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_EDUBASICA","gamma_SININFOTRF","gamma_JOVEN30","gamma_ADULTO40","gamma_LV2","gamma_LV4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_Op1",1,NA,0.236215159156982,0.14257585960708,0.0498490570670751,0.0433683036180302,0.0814722198998901,0.178118905308233,-0.107475937616149,-0.090290674182598,0.0227399200942544,0.19452784591731,0.1405563731839,0.0539396435152506,-0.037703958475962,0.0812611355773845,-0.0333587018152221,0.067099922755032,0.0176033950439282,0.00322648572821784,0.00829160513979761,-0.00905918331207023,0.00239717955770727,0.00154312520642268,-0.00159516904394174,NA,NA,NA,-0.00112950905636134,-0.0153264021994169,-0.00470011717269132,-0.00649199547290357,0.00258428009410054,-0.0112231437701057,0.00182245177785089,0.000432487802198225,-0.00337880179221402,0.0112980944609546,-0.00272334743519565,-0.00146620978824952,-0.00137882571374873,-0.00213161755137204,-0.0050770109288146,-0.000655640462981743,0.00169662119037969,-0.00342874409044618,-0.00781107522836078,0.0074524661526516,0.000931119690490051,-0.00822752504002887,-0.00908226586109974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00641793925663524,-0.00471728169636372,-0.00336876220405927,-0.000663384399095509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00384651146981874,-0.00220686002513126,0.000267758597624273,0.0011734584250013,-0.00107992699106071,-0.00189401608689903,-0.00208580787529125,-0.00221183432748085,0.00475800956970757,0.00660446353863158,0.00831364258121665,0.00917338034933074,-0.0056471263925493,0.00273994913078416,0.00525490041439287,0.00545486271663877,-0.00312928566989059,-0.000582070356388468,0.00127797190307741,0.00170518488964127,0.00057879289432185,-0.00304657663742497,-0.00489252714161455,-0.00407553416954365,0.00148103994193638,-0.00241371850312538,-0.00443199048953939,-0.00392371300328475
"asc_Op3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_tt",0.236215159156982,NA,1,-0.409178891180523,0.19525115077043,0.0288447429650239,0.0874946717628663,0.0139612630856618,-0.14008253672422,-0.181983029348616,-0.106165482099944,0.0637005159591347,-0.0967977092378688,-0.0643435974139767,-0.0363408181278575,0.109096214255471,-0.0311961899607938,0.133940274995278,-0.105054406905255,0.00597796414298012,-0.00269320462822826,-0.0282958829710213,0.00346292954429692,0.00941570679610653,-0.00254324939135287,NA,NA,NA,0.00325011442375984,-0.0156849263852814,-0.00949164131569971,-0.0199882539201407,0.0112251048664334,-0.0184882265115164,-0.00385213189787848,-0.00264881147908365,-0.00773369222170939,0.00924227927539607,0.00101418874349554,-0.000580425341698997,0.00119156670175474,-0.00113563741078702,-0.0210728780049012,-0.00352100987721756,-0.00169341358109514,-0.000178253252552035,-0.00701114584545058,0.00953193329362979,-0.00245436064778948,-0.00852993750046438,-0.00889103037347688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00929154014557956,-0.00770034061906438,-0.00617801416153982,-0.00265426218132004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000289173794516815,-0.0012783847927244,-0.000653314484442145,-0.00250834347692225,-0.00241766752122981,-0.00223001699916827,-0.000679490857820479,-8.19322724074246e-05,0.00613087700817165,0.00815965182874009,0.010062391128683,0.0110083451484616,0.00594466454323729,0.0108886755933251,0.00997296044111726,0.00814176670889236,0.00769889389724659,0.00467303765573301,0.00261055828217534,0.00168942323465876,0.0115088570436539,0.0080646494040868,0.00450742392855891,-8.94264155500587e-05,0.0116728634767015,0.00794041606500075,0.000720287449313932,-0.00039996658099563
"b_dt",0.14257585960708,NA,-0.409178891180523,1,-0.0796486766598583,-0.0409485265518837,-0.154978499632583,-0.0378188799164527,-0.234856700322653,-0.187707488517329,-0.0153554329869451,-0.0380200375431455,0.0327257050563624,-0.138313226929648,0.0121102434032429,0.0498421041777956,-0.0249257981335926,-0.0246360216328154,0.0497392211253198,-0.000602948379660604,0.00574749361716638,-0.00297197235040871,0.00903172087932882,0.00140688508975922,0.00521088483553775,NA,NA,NA,-0.00451113645475158,0.00356999214697481,0.00148948951530701,-0.00588178451398334,0.000694188883513432,0.00297261725420262,0.00540928355318015,0.00156585642120108,-0.00018424806520252,0.0060570920865644,-0.00230924046616994,0.000907941486677112,-0.0027883546102665,-0.00100097322850452,0.00217768499016537,0.00119693974874042,0.00703474790577877,-0.00435263382146518,-0.0045059468673452,0.000796136511614994,0.0059902655386859,-0.00604799368500352,-0.00222703494220621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00696141723687767,0.00870471805437587,0.00865262014155641,0.00595140897137943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00775367738641031,-0.00314076098346001,0.00179808808953877,0.00511090351970595,-0.00024427654137422,-0.00200385415370559,-0.0035731642356493,-0.00377613272606661,-0.00716796706464661,-0.00784607668280413,-0.00767982581372567,-0.007135662184219,-0.00308736338957791,-0.000954760659363685,0.00147911282543093,0.00179191514062983,-0.00219850407115911,0.00206237017843101,0.00524015560773324,0.00556917347727242,-0.000481308640697642,-0.00309888757844094,-0.00423372699760964,-0.00330961265750765,-0.00128434355967297,-0.00247574510997764,-0.000658755079000782,-0.000209029017611808
"b_CongAB",0.0498490570670751,NA,0.19525115077043,-0.0796486766598583,1,0.482687730433783,-0.0246076847861715,-0.0236611632859139,0.0129719317882287,0.00467955868997332,-0.0836003196891634,0.0897447917629997,-0.136339651839635,0.0504746370965332,-0.116966308443102,-0.0599871386395904,0.0811231774208588,0.0258359722733231,0.180668667669284,0.000314039261943534,-0.00677635612280196,0.0273534012299709,-0.0162055913065176,-0.0132633048305357,-0.00239345828534958,NA,NA,NA,0.0317605463703056,0.0211868736223223,0.0142630190338706,0.036805103557169,-0.0108720700161896,-0.0291539535874696,0.00616043699826392,0.00270263956668177,0.00747865530715943,-0.0225673697744442,-0.0104833206095711,-0.00662930498414851,-0.00226029340104619,0.017529791847691,0.0123448541137139,0.000235022330525736,0.000797092909097839,-0.00575551517556184,0.022327075506311,0.0171639399285882,0.00444494971471407,0.0050207276979257,-0.0108983889333479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0060254999726688,0.000870579871069844,-0.00200709497362302,-0.00358497165136925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00360456531699879,0.0117318237595087,0.0112391403684343,0.00492278941245743,0.0101823542780939,0.0112216106771784,0.00854776156723896,0.00347008861128632,0.00232654516781394,-0.000547150254549125,-0.00415499243815798,-0.00632958295566136,-0.0362990004605321,-0.0127978344159267,-0.00424671812516907,0.000736457663825545,-0.0292580118607344,-0.0195859952005821,-0.0131360421422095,-0.00912275296038286,-0.0290589550309764,-0.0305709098670075,-0.026942518924972,-0.0122463125543216,-0.0214051259276685,-0.028007123950025,-0.0238654741845453,-0.019289458413182
"b_CongCD",0.0433683036180302,NA,0.0288447429650239,-0.0409485265518837,0.482687730433783,1,-0.0366340305746839,-0.0103793467773554,0.0567032653088723,0.0848525704333326,0.0328527894425188,-0.00922191080178352,-0.0988546846281386,0.0600118162936285,-0.0453916100985069,0.0680717965845248,0.0242162082139123,0.0730738873551521,0.0395406482366877,0.00367571710152577,0.0035366490897196,-0.00166721139900122,-0.0121397800979399,0.00131682092400603,0.000559235336358272,NA,NA,NA,0.00913359522230531,0.0116642310852559,-0.0063571928539688,-0.010861634582775,-0.000754133344192453,-0.0170491404250187,0.00153549725014141,-1.01570481520439e-05,-0.0020591523950021,-0.00448922640511744,-0.00109358347347137,-0.00112738461177629,0.000699570592508914,0.00405366720732591,-0.0238908742802365,0.00145918842427176,-0.00120659671943933,-0.000360568134103647,0.00431019419710607,0.00360215813909745,-0.00659373499239168,-0.00273666872949192,-0.00908149145468099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00572855603168608,0.00514886653948148,0.00419311723336897,0.00205988224791238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055365205655742,0.00979877843931054,0.00619244509884094,0.00177565251373463,0.00657555406220555,0.00814701184918965,0.00727042261528737,0.00475702774299921,-0.00408921343906282,-0.00567558876133557,-0.00687624048848817,-0.00704363761798919,-0.00464302496649528,0.00078842337957508,0.00315302700717703,0.003427414574771,-0.00392318744315468,-0.00406955558070017,-0.00321590210542853,-0.00289729205008994,-0.00195136508908294,-0.00331117308716369,-0.00349562976292617,-0.00135649333345137,0.00113808566427264,-0.00276616605829598,-0.00438814040348038,-0.00376074975078356
"b_Sem_1",0.0814722198998901,NA,0.0874946717628663,-0.154978499632583,-0.0246076847861715,-0.0366340305746839,1,0.580095230539811,-0.106410603459856,-0.0681172274888867,-0.033209281713825,0.0942302350745888,0.0333173646492148,0.0907761021721507,0.0177601069212822,0.00314526127609659,-0.11564009838499,0.0046496682127508,0.0669449145192352,-0.000843139006313369,0.00188038617038948,0.00438339469476425,-0.000181145702288606,0.00281142714351228,-0.000204562992091004,NA,NA,NA,-0.0041642500961213,0.0170513256573282,0.0161860362792644,0.0128029097006988,-0.00861435979307059,0.00855404350399227,-0.00194635146684823,0.00439774103551747,0.00170890560364916,-0.0100300784442567,0.0045921936954167,0.00322380916388516,0.0023615198610636,-0.00138089003234531,0.0026658536884641,0.00577809239462993,0.0018529458036983,0.000402491234701433,0.00991210430026523,-0.00173879386392722,-0.00021163128818691,0.0026291782534911,0.00220675931356602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00803639537039606,0.00657125462497173,0.00516880412059222,0.00205310576141085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00362286331716152,-0.00499276361645548,-0.00284104800457134,0.000172498583238046,-0.00301617814899418,-0.00339719892705506,-0.00312440501687164,-0.00271935825883804,-0.0044296983258791,-0.00649082620665558,-0.00841528275794755,-0.00935251051856783,-0.0023644875374022,-0.00319753912160895,-0.00323099753054935,-0.00241474556099556,-0.00262035297336707,-0.00240276875479134,-0.00182515834036103,-0.0015585352724826,-0.00345230678198588,-0.00182791432130752,-0.00109250747642416,-0.000339956396897388,-0.00364020399701564,-0.00232741747295243,-0.000664875736649342,-0.000283907459719114
"b_Sem_2",0.178118905308233,NA,0.0139612630856618,-0.0378188799164527,-0.0236611632859139,-0.0103793467773554,0.580095230539811,1,-0.101543867152322,-0.0443326993807577,-7.14948190075326e-06,0.0382653445932615,0.062374707034829,-0.0256718237231073,-0.0228158092843345,0.0381446618372198,-0.102502988380762,0.0431465181626639,0.0756726317426178,-0.00178331445168968,-0.00114159663297779,0.00263067297784326,0.00434859565184685,-0.000203079638666543,-0.000104443648548036,NA,NA,NA,-0.00982821939684379,-0.00731149638602343,0.00438681403037885,0.00562346502402974,-0.00451051825243604,-0.000426793651500017,-0.00115982984287109,0.00184966010971381,0.00247491808686004,0.00427803439521371,0.00163760622900752,-0.0012733670669607,0.00047536183861893,0.00103867825677396,0.00519050464027599,0.00157493419334003,0.00554933335846321,-0.00310715128526792,-0.00484816673999022,0.00341064504432179,-0.000942419390531608,-0.00428444278952951,-0.00520646907085233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00366253437966974,-0.00348105855179867,-0.0028908478719876,-0.0011536565908657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0108457291646435,-0.0113231656988519,-0.00514572173817057,0.0015053032684757,-0.00629318475229874,-0.00820706734253485,-0.0085586399597698,-0.00753115235997291,0.00172588661810947,0.00265935211050568,0.00355226098015682,0.00396022575138386,-0.0119589665989248,-0.00472871676162174,-0.00164241806689901,9.06068842452721e-05,-0.00979875580495189,-0.0065341422086593,-0.00412011181668322,-0.00318472559327415,-0.00728194340064997,-0.00840945516165659,-0.00840339939308562,-0.0054672101904049,-0.00707445683599414,-0.00875057796271244,-0.00711734326056155,-0.00581800264853652
"b_ACC_0",-0.107475937616149,NA,-0.14008253672422,-0.234856700322653,0.0129719317882287,0.0567032653088723,-0.106410603459856,-0.101543867152322,1,0.843122160144232,0.0637849396533542,0.0185808363045497,0.140435135549454,0.174117146921262,0.0102933053579714,-0.106152803314176,0.119922865552777,-0.0962709503218298,-0.00710108950585605,-0.00345706203404002,-5.71549845287243e-06,0.0150582769827209,0.00167515687576598,-0.0155735198859536,-0.00287753806158386,NA,NA,NA,-0.00746767465329038,-0.0252360167046285,-0.00413939022768449,-0.0031189113597752,-0.0090424025260764,0.004028682926864,0.00454413238937358,0.00120235829307725,0.00510160116334238,0.0154658349138241,-0.00247831416435284,-0.00269456858137616,-0.000416794305691988,0.000800349033302288,0.00827303641576584,-0.000706920254453819,-0.0112698438852426,0.00569165534604774,-0.0149582076261243,-0.00515967612727063,-0.00682398705576108,0.00217060405921804,-0.000902692094488991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0106374863601963,-0.00883458739666894,-0.00682815819346746,-0.00248373417794292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00917535690292265,0.00225812230586514,-0.00668063509363269,-0.00967059573021356,-0.00202442951271902,0.000471797073939151,0.00195094873719041,0.00276458546001474,0.00628505426341121,0.00906763227256955,0.0115781220637169,0.0127923082734015,-0.00362511152528315,-0.00476167997000249,-0.00413436429227776,-0.00331585655083852,-0.00478452205212451,-0.00529809923981727,-0.00591131874249779,-0.00560529272934091,-0.00596152552608407,-0.00462451190124892,-0.00265235241481304,0.000290647526349796,-0.00515667329381301,-0.0047672348392791,-0.00249593804625196,-0.00189040736282436
"b_ACC_1",-0.090290674182598,NA,-0.181983029348616,-0.187707488517329,0.00467955868997332,0.0848525704333326,-0.0681172274888867,-0.0443326993807577,0.843122160144232,1,0.0245304816404754,-0.0231417741269691,0.104064985711169,0.170264289897316,0.00612237276440965,-0.0564668991419396,0.0533705242630385,-0.0515046427391347,0.0326975392867604,3.20358925554901e-05,-0.00178712842166924,0.0154640792698658,-9.38598844641749e-06,-0.00958855792860293,8.0081608530072e-05,NA,NA,NA,0.00225958383042564,-0.00795988775963477,-0.00266711768748297,-0.00213783113364602,-0.00631738496926855,0.00287186528367218,0.00468538251473792,0.0022847132871265,0.0045518885102167,0.00476054134523078,-0.00168161535274986,-0.00181914306818104,0.000166982324088199,0.000292968881349263,0.00151895172768373,0.00141651236088747,-0.0055015580104135,0.00397584707807971,-0.00185601423688567,-0.00391159429272143,-0.00388691937358529,0.0016923151049976,-0.00211187846242099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00290248681068072,-0.00259795034293054,-0.00196549432720176,-0.000609714417982234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00773507587092674,0.0056067438429781,-0.000379076781972392,-0.0031098901338201,0.0024836627696777,0.00442520357410098,0.00484197918492861,0.00410815560984173,0.00393509816012372,0.0045213354310856,0.00472591961939856,0.00483159280509516,-0.00620666622614007,-0.00575588471536215,-0.00465809049075701,-0.00341452738461549,-0.00698501934659971,-0.00564289176149604,-0.00497950534047028,-0.00437922025383941,-0.00766974019098248,-0.00689015926371552,-0.00501412135796286,-0.00123384366770183,-0.00640879765871436,-0.00707424170174011,-0.00408917150842564,-0.00312870207688686
