"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_HPICO","gamma_CSECO","gamma_EXP_2","gamma_EXP_3","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_EDUBASICA","gamma_SININFOTRF","gamma_JOVEN30","gamma_ADULTO40","gamma_LV2","gamma_LV4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_Op1",1,0.082238621638107,0.361995712580269,-0.0160255720506464,0.0237283477678809,0.0397090287429598,0.0488012489489825,0.0923300235267583,-0.141454820910734,-0.126400122541526,-0.0957500833344887,0.25007964392029,0.0943464938317672,0.0228354800833206,0.00521278548617448,-0.0230194766422226,-0.0217306295048033,-0.017740055583794,0.0369100695039884,0.132618794042924,-0.0462559054197476,0.00344694371701011,-0.00320608621178028,0.0223665630624925,0.065292004848141,0.047305830570914,0.0474720085963544,0.0484494483308114,0.0738171712845657,0.0967766888438449,0.137868102670614,0.0838554069002406,-0.0501264315909769,0.0666022476999573,0.0901437243845262,0.0500343134711381,0.0485202338791375,0.00324560948160129,-0.0723056533842122,-0.0307598185147623,-0.00694077672830452,0.028412609444042,0.13193027750115,0.0619541013610602,0.0625067267765015,0.105442148388191,0.019227751860417,-0.00310643163909774,0.118112032797585,0.00854668806480114,0.0479704230540459,-0.0496395127252223,-0.0491100200494518,-0.0487292959636047,-0.0456388036777457,-0.048162865941611,-0.0473650519035088,-0.0469720489817377,-0.0462795633553668,-0.0483658024872793,-0.0480353252875592,-0.0480110241155269,-0.0457370874773578,0.11172846019218,0.165068049522948,0.121214563838952,0.07318003821061,-0.0454245913147283,-0.0473161089246476,-0.0467983717749329,-0.0463020749515362,-0.0456216078356505,-0.0474163070044967,-0.0466126943766931,-0.0458085124065304,-0.0436412103532091,-0.0444687725787913,-0.0456507458348543,-0.04529620718111,-0.0485777808675946,-0.0482180991270332,-0.0481854790197611,-0.049155617956383,-0.0424671490708076,-0.0440030527426625,-0.044079877543535,-0.0451983177450671,-0.0490652157085237,-0.0475195973089583,-0.0468441911167078,-0.0467246092296217,0.0275667850729155,0.0525499283461956,0.0434830911493029,0.044328095645408,0.057389001517487,0.0714149337327618,0.0874768801303123,0.0965430344315693,-0.0499477382193653,-0.0546387573889149,-0.0694822943321784,-0.0808231079142794,-0.0174316187461996,-0.0392020163435002,-0.0468669174668086,-0.0615777761463012,0.0353368326471811,0.0852029457854726,0.0748901567668013,0.0973753523802553,-0.00107963184250396,0.00080363817327323,0.0192907317637186,0.00439738819973889,0.0407114893100542,0.0483099361071189,0.0809237260880186,0.080228783134262
"asc_Op3",0.0822386216380588,1,-0.00936218748221551,-0.0516984696459924,-0.157062418672076,-0.0561946322231774,0.158496191244523,0.0505529512983512,0.0313054004218314,-0.0323518091632468,-0.0149539180414556,0.0388968703606067,0.0610160226576276,-0.0179062094746656,0.201644779944904,-0.125709057330973,0.0168374228797208,-0.0218843377600002,-0.211598104424995,0.13715515701227,0.312358468780718,-0.0141428281859359,0.0348477687583107,-0.250454007433873,0.049531856164198,0.989427463105681,0.989263059798264,0.989385707159443,-0.0221348281226735,0.00720538733448071,-0.0373293574013635,-0.0616814782898003,0.0126101885243669,-0.213782182487338,0.0537208040515751,0.00782750256129452,0.0299063070741596,0.00807649728725772,-0.141715599938775,-0.10782234923915,-0.0124069009414427,-0.185388940195912,0.144212308787998,-0.246202110035543,-0.043718910882462,-0.0275621507814439,0.00868409734846874,0.231735504983974,-0.0451921457016918,-0.108488259018199,-0.10816902408426,-0.988532561910063,-0.989000360200751,-0.989008452481133,-0.988633070609259,-0.988814591663748,-0.989024573167846,-0.989008279484247,-0.988604623183544,-0.988180119020254,-0.988864244680164,-0.988908921264448,-0.988969762675802,-0.0364912680455917,-0.0127477850342963,0.00594207277369532,0.0610196533196807,-0.988299797984309,-0.988757194281644,-0.988765378514487,-0.988467862973636,-0.988165676081887,-0.988819992388054,-0.988762269973036,-0.9883481073866,-0.987917430142655,-0.987742973521203,-0.987904693240426,-0.98678092036086,-0.98877713428673,-0.988808637298684,-0.988833116678865,-0.988918650100216,-0.98717960709383,-0.987614696991891,-0.98776103467291,-0.988434675151069,-0.98826267325969,-0.988645525263979,-0.988692241870558,-0.988428923010611,0.0739729601522583,0.0829098960883109,0.094094103885796,0.0252135852794017,0.0918039092167572,0.0987447178876021,0.0176382732429549,-0.0310995099336218,-0.0354288006081702,-0.0498482096069443,-0.0368340778008207,-0.0437921706247043,-0.105266510390446,0.125685291294597,0.222646510788986,0.14481293179696,-0.00864090950798452,0.0201216352331567,0.028164801453531,0.0315160788757704,0.00444225337377338,-0.00179870316223592,-0.0342628831403207,-0.0999386719865656,0.0903261731713545,-0.0124297435212184,0.0333738464330204,0.00545797650322101
"b_tt",0.361995712580268,-0.00936218748216154,1,-0.510526280158992,0.281932259577857,0.114251083122341,0.132693152623631,0.0646555580449875,-0.293285038426462,-0.254717464941313,-0.297366797690448,-0.00919937080255403,-0.0892803929295159,-0.082770454434297,-0.00554236624377085,0.00477737964884495,-0.0728504883564816,0.0337532959136033,0.00604417842104398,0.126160935172561,-0.0179659788074805,0.0411831615232322,-0.0645407857694055,-0.0102440788093368,0.0583144456947398,0.00325557096324768,0.00300514601257268,0.00475730993306876,0.0511708908502474,0.0125409294147468,0.134672169286207,0.191506335688306,-0.132298689213524,0.110477779380267,-0.00424413406707429,0.0233139908618447,0.0113936774370038,-0.0314196093991332,0.00427752593617918,-0.0244715573690951,-0.0448226305016231,0.0753500387355664,0.11871327182286,0.0810579423054672,0.173990204715964,0.0740414438128218,0.0398502997589405,-0.02669902857924,0.0104858800529702,0.0165245613347232,-0.0569813346042904,-0.0023108013996906,-0.00464147251106361,-0.00403022410218408,-0.00378288065227037,-0.00291133580123627,-0.00438446158001176,-0.00426974731152936,-0.00345976702997948,-0.00275622364783658,-0.00458705212860958,-0.0042736979622024,-0.00371591648820992,0.0543606652232167,-0.0135077565027202,0.00734219786460047,-0.0776762631084856,-0.00300643794163303,-0.00503244535410631,-0.00414604136623724,-0.00595347505725323,-0.00156112541217656,-0.00438243139063073,-0.00385062511344834,-0.00579174820372302,-0.00261639366830293,-0.00311409126113223,-0.00120709861416763,0.00636649735012571,-0.00217415851129567,-0.00333691551180618,-0.00315027008040475,-0.00444745027044566,0.000303314472458578,-7.91330016108735e-05,0.000358073424753966,-0.00113051385331492,-0.00464381691758507,-0.004468779931356,-0.00396535374765582,-0.00485665936125853,-0.0682107179958644,0.0432881919768739,0.103120772060373,0.106682990896422,0.0495250123814635,0.0473793464136396,0.0582784088134794,0.0920466164546812,0.0385337960311923,0.00954743118069931,0.00301799727968135,-0.0341591520562875,0.081754308495056,0.00583710352786588,-0.0439326733902567,-0.052173183280731,0.119265831374392,0.0104403933979241,-0.0358758054243009,-0.0380588728550886,-0.00853333839375535,-0.0527915496232993,0.0288250527937476,-0.0499804189032783,0.0982710757549344,-0.0128068886478638,-0.0786892053451957,-0.0856117444423394
"b_dt",-0.0160255720506473,-0.0516984696459112,-0.510526280158993,1,-0.131608731979621,-0.0233392433471904,-0.147119265059663,-0.031493625561689,-0.172685118013486,-0.173478457563899,0.217083146061156,0.0908830037876047,0.0518040240245991,-0.157841521882455,-0.0532987074817901,0.1207458399345,0.035610859445837,0.0129151227902407,0.0683510235307874,-0.00578247937502056,-0.0553336627607652,-0.0339072519049013,0.110400764825751,-0.0162326036138955,-0.0742156144523047,-0.0508300064100004,-0.0511605951208511,-0.0520409441730487,-0.0502677070906313,-0.138646917855046,-0.0377919704906179,-0.0828360635564002,0.0629931777713786,0.00532576282121666,0.00146295452531014,0.0249405775593978,-0.0373233898986498,0.105724141046216,-0.00164630213248588,-0.0898144144782586,0.0149742331887714,-0.0608017125057906,-0.0929254145485742,0.0325763279352147,-0.0234242278367127,0.0182364366961471,-0.0818387066968001,-0.0740692927328144,-0.0269549726105477,-0.114271175591375,0.0683641577342744,0.0518562440076524,0.0536260283012165,0.0530932943297737,0.0538510363160858,0.0510191042732202,0.0535639647209221,0.0532900081009772,0.0522809516814131,0.0534513890322003,0.0535203595955629,0.0527125979669289,0.0540154435581935,-0.171514053451092,-0.0684082996984752,-0.0654424038631791,-0.0601312211442304,0.0523924861476852,0.0553841514237633,0.0548575670424488,0.0547025531315008,0.0550480339117991,0.0543546092707359,0.053697052492674,0.0521372173491521,0.0515752422309332,0.0507184976007373,0.0500599132430834,0.0463557222815827,0.0487184531212395,0.0502677116053661,0.0503680446083132,0.0491189125517842,0.0480017590483544,0.0479374538526483,0.0478417555420583,0.0489176978343537,0.0504448276894116,0.0523934391076522,0.0519492398290799,0.0506368997156521,-0.00709768746764432,-0.00935376736337638,-0.000809017480960465,-0.00472960356635131,-0.0189144842804148,0.00263749692515159,0.0163048087706378,-0.0325246476707588,0.0698770181539974,0.0946343066038231,0.114807638817158,0.147755358249421,-0.0589391290177015,-0.0678861549497347,-0.0665357293359258,-0.0441583740084345,-0.144598221855321,-0.0488277533782235,-0.0282643696516823,-0.0218100085191903,0.0200312624780854,-0.0259927533748335,-0.0937035190224696,-0.10861861927899,-0.0459294279373966,0.00319199865612308,0.0502416514389178,0.0944830863543272
"b_CongAB",0.023728347767883,-0.15706241867207,0.281932259577859,-0.131608731979617,1,0.460094313449825,-0.0154778760635562,0.0356551948715241,-0.0517372819651785,-0.0795176421720057,-0.0783037158043646,0.0568979013096156,-0.267192273767609,0.0853222392859336,-0.168848248461243,-0.0692112691992107,0.0694889977244362,-0.00138812279482723,0.266355231884891,0.0419969974401247,-0.159040419723738,0.21289222107899,-0.0800204230187332,-0.0140928679938844,-0.106471388191978,-0.127408450964432,-0.124451046061195,-0.122656867958325,0.235979525849328,0.0556302234354755,0.109180624876807,0.18745823868743,-0.0267465229816115,-0.0366585639087712,-0.0344919320953467,0.0598982484275244,0.0273424671470725,-0.097063519783404,-0.0220857604706456,0.0102771018936428,0.149538742595135,0.148882135558464,0.0664118939774019,0.0995446475725386,0.0755732119518201,0.00358155393774655,0.123983635785783,0.000172568473933066,0.0821197566482375,0.0920913691753481,0.0195476892687942,0.121596969827149,0.120229105981909,0.120279073982396,0.11997554155425,0.118610038921428,0.120026024755598,0.118806322356177,0.118354742350557,0.119282632590043,0.118896971071257,0.119305783196879,0.124295168501542,0.0292845655285582,-0.0158734182753228,-0.0717140916341376,-0.169021718658335,0.12144600340544,0.119713960036484,0.120321867665492,0.11937616614281,0.120418267520943,0.12107676725263,0.121023866518463,0.120058539161593,0.112313880416557,0.11210401580652,0.112528718859091,0.117858735088929,0.12628289094575,0.126357500069052,0.125511642482402,0.125047020573107,0.125656109948923,0.125220113008053,0.125192645408698,0.124723170484552,0.118485924954229,0.119379964762666,0.118202091312017,0.117011844894304,0.0492722024713588,0.14769321520637,0.174890781363519,0.110180699889405,0.138983582686323,0.11999880180681,0.105110710788846,0.0706397175986331,0.0354691267363155,0.0550160154031887,0.0340106596662318,-0.018872840767702,0.0289836464149036,-0.0485337492341703,-0.0461108131366196,0.0102085169991503,-0.104432366799377,-0.0455006300206872,-0.134061583851854,-0.0302549882336409,-0.107735008165889,-0.0928797077863105,-0.0388952555515933,-0.0138040333520762,-0.110800945558953,-0.110223971851949,-0.0944066576448878,-0.0633315307399943
"b_CongCD",0.0397090287429575,-0.0561946322230463,0.11425108312234,-0.0233392433471899,0.460094313449817,1,-0.0317066931593998,0.0503705038749733,-0.0139432225448094,-0.0238763485587376,0.0587272516785836,-0.0369348992249237,-0.14658476550764,0.0309380334267468,-0.0284128172194631,0.100234391174604,-0.00147842886426381,0.101490071663734,-0.0197046259659396,0.0600009610414284,-0.0867386834287482,-0.00439643056086896,-0.0592230901367236,-0.0274892801746089,-0.0741416532947045,-0.0515436915964865,-0.0497374857187102,-0.0496260928376891,0.107125699850466,0.0141834172730482,0.0222079428555489,0.0487297172221619,-0.0669696311313384,-0.0182305092888374,-0.0178689894409535,-0.0104234377979641,0.0419669312508216,-0.0668456453789996,0.0189808681549749,0.00170727633618254,0.0884002948240426,0.122937052129346,-0.0588518649068603,0.0342369630632703,0.0420254140471398,0.0710510084579625,0.0448004594938472,0.0122011988750172,0.0641405248932245,0.0185690028162425,-0.0545615124988328,0.0493646014542919,0.0475165830801806,0.0476200415046274,0.0485062430590482,0.0489530219086695,0.0479045280039491,0.0471082075257388,0.048757235184147,0.0468075893361577,0.0469594002068491,0.0469139160462163,0.050019745946759,0.00318030372309772,-0.0147985270331439,-0.0390394507802241,-0.0385623450367447,0.0485637005655822,0.0475930320551896,0.0476566787149971,0.048761867391661,0.0490284309498101,0.0466379607998498,0.0465944268133972,0.0493505841312405,0.0458036584530309,0.0444545247350403,0.0463265749571576,0.0480278897427689,0.0537714449471856,0.0526006622210841,0.0518106947514378,0.0512925195497105,0.0457142141157723,0.0459440400292264,0.0458966889922802,0.0469646936006873,0.048579597179483,0.0472699452345968,0.0465475241456887,0.046245030080151,0.00240094763562292,0.0265743274195853,0.0878172512799217,0.0508389817687517,0.0514349610606256,0.0261825781965178,0.0551363184029936,0.0705942765977043,0.013001177876072,0.0328817451101167,0.0291457243185486,-0.00686921850616254,0.0998538597984144,0.07325499993003,0.0269320861068213,0.0678060544885517,-0.0241347510764618,0.000486665258265529,-0.00438335091867739,0.0157242567586765,0.0267169462438186,0.0136578253646273,0.0255169212639829,-0.0285626608839815,-0.0387605954676078,-0.0409580802821306,-0.0515598342114531,-0.0260747246471027
"b_Sem_1",0.0488012489489845,0.158496191244457,0.132693152623632,-0.147119265059663,-0.0154778760635522,-0.0317066931593989,1,0.649452521086008,-0.209981055683032,-0.160551335071106,-0.0905619991452074,0.0935766691959128,0.0481744592950407,0.134905585820479,-0.0223565538758171,-0.119414012808859,-0.0187882127396444,-0.0443126211234882,0.0620988353996886,-0.0362500331861001,0.0468346832972035,0.00394999878559108,0.0445514967480588,-0.0538773976992682,-0.0828130786246561,0.151631024461392,0.151638780892411,0.152239062953814,0.0141819220887394,0.00145309622021544,0.0112605741523479,0.0238223791264453,0.00497866008813047,-0.0564281485219415,0.00918103329369773,-0.0383602952789786,0.024898488387925,-0.031494461296285,-0.0123309725945602,0.0264651442976049,0.0272873674302114,-0.0236272187990718,0.118231428139644,-0.148692916456123,-0.0677223510537999,0.00684048288835238,0.0826528824357111,0.0184308094040135,-0.049054405103959,0.0703137320465497,0.0353224652599612,-0.15316952809745,-0.152060847916021,-0.151510387378354,-0.153782074677063,-0.15180667406771,-0.15237599690588,-0.152942281747086,-0.152440401217445,-0.153313875672168,-0.153406760606522,-0.153062958737812,-0.154234547910763,0.019237411977089,0.0117230621000388,-0.0233160229901823,-0.0745183640535038,-0.153118498620055,-0.152991152812233,-0.152640721274868,-0.153921231139402,-0.153659413270608,-0.152574200008854,-0.151941077353029,-0.153852580473796,-0.152450604776918,-0.154001016487314,-0.153814388011287,-0.148845475050123,-0.151580733220814,-0.151537939654117,-0.15237860882279,-0.152554164620636,-0.145919830705425,-0.146773849953861,-0.146617693233643,-0.148356997497404,-0.14872201306509,-0.150936072510583,-0.151748771465145,-0.152509982687233,-0.0136029400287164,-0.0529860912290603,-0.0745438067261006,-0.0565050530988418,-0.0632565669898066,-0.0472862000118645,-0.018954939553233,0.0429996899477781,0.0300902879209093,0.0462297107954636,-0.00737206093413485,0.0153220662201861,-0.092697765821383,0.0161655958474588,-0.0362016610806238,-0.0674083807639776,-0.0609963151995175,-0.112083628349944,-0.125774536318275,-0.0717884224450252,-0.143520112145477,-0.0843807415489848,-0.0679566202498933,0.0465527354590819,-0.0946003890976779,-0.112701434563916,-0.00590472651141364,0.0351224075896182
"b_Sem_2",0.0923300235267568,0.0505529512984539,0.0646555580449857,-0.0314936255616898,0.0356551948715196,0.0503705038749709,0.649452521086009,1,-0.204048689243117,-0.114552758591606,-0.0914925493240152,0.0756683529611683,0.00378933487613837,0.0663982201307265,-0.0618303543923156,-0.0719920011199961,-0.0196251098161948,-0.0405947102327134,0.126965834163969,0.0474796808489904,-0.0258333395448514,0.0306212913459722,-0.0260127998164283,-0.0691067105818067,-0.0539181986071257,0.0518734307136452,0.0518142061564851,0.0521308125954937,0.0294989345794012,-0.00161429522308003,0.00216936920094148,0.0277941713930694,-0.0216407947867915,0.0046017944117569,-0.0216707077173444,-0.0499450871130201,0.00492859770707754,-0.033174333178286,0.0340107707405494,0.0764459812363626,-0.000530556431687957,-0.067693472650574,0.0491338907963241,-0.0612578245045577,-0.00170958628744913,0.0355723285399553,0.04703535805851,0.00926051601749841,0.0384668028230832,0.058776952854457,0.018983075027561,-0.0529441967234983,-0.0517603387045647,-0.0513582884537354,-0.0514482828987437,-0.051586675165091,-0.0520706029086616,-0.0523006050566651,-0.0503907286445992,-0.0529202939922727,-0.0529431042289162,-0.0525261754195672,-0.0542674408364046,0.0425343470121462,0.0109764592762889,-0.0206771541798851,-0.0266739274092514,-0.0541567742510785,-0.0535711689342524,-0.0535150019108655,-0.0563102140150629,-0.0551481097683989,-0.0537940484558132,-0.0530523983339898,-0.0559777408549195,-0.0501486907966873,-0.0528816609860317,-0.0528358856818342,-0.0524124195824895,-0.0543794819952519,-0.0549127129583946,-0.0554092508416073,-0.0555369969751782,-0.0494282099804782,-0.0510265772987549,-0.0509164821981048,-0.051315977502409,-0.0509855498687595,-0.0522745100808711,-0.0525651506654743,-0.052128869421634,-0.0242889879377164,0.00845080448217297,0.00341520061187823,-0.0185045077634767,-0.0508299187397475,-0.0277685768056534,-0.0223671103458782,-0.0260614549714565,0.0100352302262772,0.0488296470156454,-0.0211992003187262,0.0114269918229332,-0.0576702436905937,-0.0685462045960537,-0.0834884352240174,-0.0752771728316798,-0.0169536738764016,-0.0404460077130196,-0.0957388872715132,0.00253701003422672,-0.155692620695661,-0.105185454446219,-0.0827590705194394,0.00933119304303088,-0.0915598898958739,-0.0524079305727255,0.00777940137127317,0.0101887726879568
"b_ACC_0",-0.141454820910735,0.0313054004218271,-0.293285038426461,-0.172685118013486,-0.0517372819651776,-0.0139432225448089,-0.209981055683032,-0.204048689243117,1,0.835899792032545,0.145846938595845,-0.00951397392419025,0.1068589265392,0.203295422425234,0.0812406741338092,-0.0579120762128523,0.198023594738228,-0.0786428553534403,-0.139592408448756,-0.038758412790166,-0.0287238147661572,-0.060785481733303,0.104568165354839,-0.0516647985589459,0.00521094257324408,0.0121617289570765,0.0133418664229264,0.011603275965845,0.105917127578782,0.0814912218758562,-0.0982890087624335,-0.101248210553694,0.0963216664678965,-0.0752752479558736,0.0204325694200747,-0.0644622767350449,0.0830688467322673,-0.0132754743175359,-0.167534305745906,-0.00685923603586414,-0.0218568528053126,-0.0601954731271542,-0.173817393291459,-0.0611492439747106,-0.144793987607052,-0.0315904663656469,-0.0481563731204534,0.0360037668359284,-0.0973303527917455,0.00225611087712765,-0.041427159428365,-0.0125615554104583,-0.0119936790233365,-0.0128961762166388,-0.0126929886118678,-0.0104707919918391,-0.0107077073633081,-0.0115627393459094,-0.0132953400559566,-0.0149651057462556,-0.0120043287449982,-0.0122516785699152,-0.0103866524577913,0.130320015480146,0.170169031974306,0.164629911854411,0.134490865055688,-0.00632507694497164,-0.0100869591190842,-0.00966492740284056,-0.00785337583503272,-0.0116826260818726,-0.0107272634674092,-0.0111814817662858,-0.0057680121516154,-0.0119185296102204,-0.00998769127154614,-0.00986086173792965,-0.0099702226084546,-0.0159681599131656,-0.0147949301579562,-0.0143729351460477,-0.0135708438834059,-0.0227105379342276,-0.0214018848047238,-0.0211242677791077,-0.0188016538943948,-0.0102665143745196,-0.0105110823891935,-0.0102520502154492,-0.00870360639994096,0.110162115701058,0.0436970851250405,-0.0317837836053248,-0.109602805876085,-0.0333575045074587,-0.0217220627908243,-0.061733939902342,-0.0180013364125442,-0.248636209717753,-0.197023388381511,-0.156535006282137,-0.16366588357958,-0.0401205967374736,0.0131216706081868,0.112787683890318,0.0403624707982671,-0.0486060109993958,-0.0685133299282274,-0.0281509074540713,-0.0313721294779164,-0.0365684031752153,0.00929193802930104,0.00360470706723791,0.0220641883526693,-0.0270652989629319,0.0710059354127138,-0.0344989086054989,-0.013546725906398
"b_ACC_1",-0.126400122541527,-0.0323518091631815,-0.254717464941313,-0.173478457563899,-0.0795176421720084,-0.0238763485587383,-0.160551335071106,-0.114552758591606,0.835899792032547,1,0.0293175863376065,-0.0745567850191186,-0.0371845264944513,0.228801039779982,0.0715393399447019,0.00629792996690481,0.0937265749944684,-0.00768742186127647,-0.102395878958905,-0.0697358296423507,0.00221813526915436,-0.108148119343058,0.0807190575783386,0.0241344704576886,0.0120854955390685,-0.0465875665633223,-0.0450803099205942,-0.0468807391014014,0.143452783782763,0.118662285039784,-0.0921444778001457,-0.127362867948039,0.122902168097793,-0.0478164083332413,0.0292080692643484,-0.0777179970602632,0.0564231200814463,-0.0289271966382784,-0.106667896195052,0.0348189370296451,-0.0208679916005106,-0.0455677476314063,-0.182894894772434,-0.0482015374512793,-0.152593743307484,-0.0174212739936669,-0.020465547824843,0.0885993357424983,-0.0447182964007891,-0.0042403079523948,-0.049303569509058,0.0460029040926744,0.0466567934789117,0.0461784602740824,0.0465857735660603,0.0490734878797191,0.0478536113756312,0.0476962194317343,0.046352372222789,0.0443537230062059,0.0468888043414132,0.0472050817768503,0.0484112651456141,0.176543179764448,0.206348397326427,0.213107865743664,0.12801648125202,0.0507819885803874,0.0479201328034746,0.0490489881451852,0.0501594299725271,0.0460741761267665,0.0465405520469675,0.0469759079241344,0.051253284343246,0.0468652867016531,0.0481266106802329,0.0493699281179569,0.0475821429104217,0.0427940099816272,0.0436698405350831,0.0444101469938316,0.0448311360067898,0.035222353021515,0.0363638694856422,0.0368994320287493,0.0395211594950746,0.0491973773180437,0.048168984776537,0.0486342302857312,0.0488137779283263,0.114745064486768,0.0298206163215206,-0.0341040628151222,-0.101528122603721,-0.0492025373626454,-0.0187217918997205,-0.0272028705491169,-0.0172227340491432,-0.257074357983452,-0.20471876947883,-0.19682595091407,-0.212692314706808,-0.0424183611672669,0.0322580467939962,0.113474886251124,0.0841491676466883,0.0233459364320466,-0.0340966377679864,-0.0113295325486442,-0.0268388829905534,-0.012215947356528,0.0361554179249554,0.0434691427665213,0.0324731686882665,-0.000216377071540713,0.122582137760751,-0.00960796098827268,-0.00748647613593594
