"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",1.71378225873041,0.288615116340845,5.93795044576419,0.331686015596014,5.16688126163798
"asc_ruta2",0.75119454623776,0.305805485101963,2.45644562584381,0.332398759366504,2.25991982542116
"asc_ruta3",0,NA,NA,NA,NA
"asc_rutaEC",-0.442278362176203,1.11405561745839,-0.396998457927277,1.49017594875444,-0.296796067971625
"b_tt",0.0711652933876245,0.0256378831902003,2.77578663026386,0.0348532390365226,2.04185594667545
"b_dt",-0.324996153371636,0.122327776336291,-2.65676498915659,0.115882549145741,-2.80453058521263
"b_CongAB",-0.102918323935816,0.294545380734615,-0.349414150305571,0.294658057320625,-0.349280535111342
"b_CongCD",-0.44053615637786,0.236862446529627,-1.85988181255553,0.251817494236217,-1.74942633637921
"b_CongEF",0,NA,NA,NA,NA
"b_Sem_1",-0.313808448745151,0.401996766303271,-0.780624311063264,0.341927014528101,-0.917764421679999
"b_Sem_2",-0.399768088626793,0.277455058512384,-1.44083907055149,0.226510424960454,-1.76489929192702
"b_Sem_3",0,NA,NA,NA,NA
"b_ACC_0",3.18569186462629,1.21855462596692,2.61432011067905,0.905341537843241,3.51877355833627
"b_ACC_1",2.80087582152493,1.2268660862698,2.28295154040879,0.906617640103974,3.08936832643551
"b_ACC_2",0,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA
"b_SI_CAMFD",-0.626048817359862,0.294092192674602,-2.12875021151124,0.277571827599528,-2.2554479781828
"b_NO_PANEL",0,NA,NA,NA,NA
"b_SI_PANEL",-0.384211938230592,0.221042230538975,-1.73818341089734,0.185205872758176,-2.07451271662567
"b_NO_ZER",0,NA,NA,NA,NA
"b_SI_ZER",-0.0829240460558565,0.268059306806985,-0.309349625064746,0.297054279372166,-0.27915452432168
"b_No_MTRP",0,NA,NA,NA,NA
"b_Si_MTRP",0.717033226904552,0.365341105954901,1.96264043442477,0.322551126499231,2.22300642594799
"lambda1",1.44060687390503,1.46382149927063,0.984141081834661,2.38912492118324,0.602985160437553
"lambda2",-0.262004390765122,0.288466997178532,-0.908264700391248,0.735544499432181,-0.356204676899062
"lambda3",0.504615879947877,0.206904305363394,2.43888535360152,0.339596038781091,1.4859298175535
"gamma_USOCINTURON",1.08540163303884,0.0852514637741083,12.7317653561333,0.189161101540191,5.73797479609323
"gamma_USODISPMOB",0.316932855530063,0.0725947651556156,4.36578112554919,0.0952565013247808,3.32715196466714
"gamma_ADULTO40",-0.546405496132134,0.188975868760561,-2.89140354118148,0.356937050216643,-1.53081753715534
"gamma_EXP_1",0.959323411215297,0.668328731752991,1.43540650825985,1.82285326532798,0.526275718107617
"gamma_HPICO",1.24169655033709,0.775560932675339,1.60103029694107,2.15134129965832,0.57717320377492
"gamma_LV1",7.14921637985671,3.58759614264846,1.99275952353404,11.4277452683496,0.625601657367817
"gamma_EDUBASICA",-0.460980662681383,0.18481361379533,-2.49430035598941,0.212211904437219,-2.17226580150578
"gamma_JOVEN30",-0.769875800732359,0.365599418532002,-2.10579055027947,0.694203040924453,-1.10900666713752
"gamma_EXP_2",0.76705546762474,0.281288114687728,2.72693877761699,0.368106782150352,2.08378520804172
"gamma_HTRB_2",4.22616260062203,0.709583174372124,5.9558382346954,1.20625720293331,3.50353356675928
"gamma_HTRB_3",4.53070628806368,0.657249516830423,6.89343418601957,1.17932622435324,3.84177523954272
"gamma_HTRB_4",4.59597077953865,0.675273820971447,6.80608463826852,1.16453359997959,3.94661929859233
"gamma_LV2",0.118645126119702,0.0689367571361615,1.72107205282891,0.214316988020598,0.553596461090144
"zeta_FRbr",1.4641177262472,0.0535514794053785,27.3403786880284,0.128445241467414,11.3987696976586
"zeta_EnfCond",1.39519729582625,0.0524098202542953,26.6209135817806,0.12339444487243,11.306807995033
"zeta_AFrSem",1.36981582659576,0.0503607541479329,27.2000658006823,0.120058127884174,11.4096050866068
"zeta_CulFr",1.82622223647008,0.0690812340838612,26.4358658424245,0.150200958000268,12.1585258894742
"zeta_OmLmVel",0.158244831552274,0.0789033349533006,2.00555314481869,0.251463022957189,0.629296624574561
"zeta_IgPare",0.153220668479413,0.0762302338259529,2.00997243205685,0.243183061010824,0.6300630802266
"zeta_UsoCel",0.384739934234672,0.0432799944928349,8.88955598869973,0.0713142052838839,5.39499714962986
"zeta_PasoPeaton",0.497873131182168,0.0565906602484449,8.79779682718668,0.0923286316728269,5.39240235841918
"zeta_UsoDirec",0.604321194768512,0.0673968377305958,8.96661052828851,0.110518160776501,5.46807140584452
"zeta_UsoPito",1.50783944632285,0.0593799582217675,25.3930701785187,0.125972265018445,11.9696144711066
"sigma_FRbr",0.535728701549964,0.0290340437485893,18.4517425884224,0.0457130125109705,11.7193917469647
"sigma_EnfCond",0.590514301677615,0.0294125280893324,20.0769651586593,0.0486989748146969,12.1258056031891
"sigma_AFrSem",0.480078183282388,0.0266225380751151,18.0327729057182,0.0483988552095081,9.91920534492467
"sigma_CulFr",0.886827662785059,0.0426371814833489,20.7993969566537,0.0479405739454776,18.4984782158353
"sigma_OmLmVel",0.606106775821052,0.0323725471845541,18.722863306544,0.0688555043626554,8.80259002430284
"sigma_IgPare",0.501495718303333,0.0266187807880303,18.839920667172,0.0485689114532729,10.3254469432738
"sigma_UsoCel",1.04677811986967,0.047897107926886,21.8547249547416,0.0383687901648537,27.2820205008322
"sigma_PasoPeaton",1.13516639154148,0.0567406211475024,20.0062383629977,0.046461648218084,24.4323315051843
"sigma_UsoDirec",0.867747985731937,0.0521407960104559,16.6424000423378,0.061511926968911,14.1069875143159
"sigma_UsoPito",0.81050849818899,0.0378617838350432,21.4070341144048,0.0550760783182553,14.7161621331405
