"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec","sigma_UsoPito"
"asc_ruta1",0.110015612941959,0.0854241825160777,0.101491341714398,0.00588198486158708,-0.00638719935246373,-0.00692799079592653,-0.0229152155476621,-0.00814616555901578,-0.00889936347749471,-0.0689556451523815,-0.0580749848326777,-0.0231731609591635,-0.00197962967775702,0.00251318822849598,0.00844764253579297,-0.0625021832383657,0.0179009762904675,-0.00398850522427629,0.00431465490947557,0.00240597219664778,-0.00887247909817688,0.0433464703778432,0.0549858613333544,0.243146412605499,0.00539306935097759,0.0064555632719034,-0.00687573232426458,-0.0211408154971402,-0.0302780452843864,-0.0242144957422285,-0.00523285711825798,-0.00260156604957732,-0.00432480490181412,-0.0029275537332453,-0.00444974717651837,-0.0053788881786111,-0.00534100397625728,0.00178130177367535,0.00272575276741529,0.00327805710499938,-0.00522150143606139,0.000790739680620945,-0.00256953529787322,0.00124679409506202,-0.000654489838210605,0.00219399705035249,0.00135999442659933,-0.000980344260760241,-0.000521751793779947,0.000130347136466466,-0.0022658276832565
"asc_ruta2",0.0854241825160778,0.110488935228391,0.0947867936107989,0.00444138472697955,-0.00724667065182967,-0.00868355037900153,-0.0200621340771006,0.0042050864396285,-0.000801423392534154,-0.0468168385982379,-0.0308792663696371,-0.012857492594703,-0.00441828992186079,0.000491758750269065,0.0170713932943507,-0.0438141310807196,0.0189478951695051,-0.00483286597721625,0.00814232488033158,0.00251586992065393,-0.0110048963029931,0.0622337553410717,0.0594909282228285,0.340823544861356,0.00479923807256741,0.00658005432439257,2.92119885897235e-05,-0.0122251505487647,-0.0173741820736071,-0.011690483441536,-0.00714031365185569,-0.00499641808228924,-0.00588924867984799,-0.00475087717748933,-0.00651473847165952,-0.00755467060313827,-0.00732428419384412,0.00116402883871081,0.00190917309418946,0.00212803794013377,-0.0066502553525113,0.000998784619132603,-0.00245903621687845,0.0015694260760094,-1.52318486020929e-05,0.00285854809192317,0.00267549289988223,-0.000627654479273495,-0.000396613016344255,-5.34653373324953e-05,-0.00254955658366983
"asc_rutaEC",0.1014913417144,0.094786793610799,2.22062435824619,-0.00189555035738162,0.0795561992404292,-0.067360872580753,-0.0879303176522991,-0.0266390890931845,0.000456236045541368,-0.387740148306577,-0.327264702974345,0.0620302238960777,0.00955840149754198,0.142056895932592,-0.132004115125236,-2.16023040633258,0.746773987804879,-0.436686324892982,0.151588956255824,0.0306774239063792,-0.203733439049405,1.64461368054635,2.08251387386074,10.9471372661349,-0.0359939887031723,0.142923996756576,-0.0417772234728745,-0.64374204872204,-0.659640721212971,-0.527479376077485,-0.201890696053319,-0.108493470454553,-0.104708465018084,-0.100966539352198,-0.119419488947621,-0.241754542669633,-0.233626984723601,0.0461563237749037,0.0607547085147624,0.0730435306769708,-0.103083635336276,0.0153180890145313,-0.00090790651370516,0.0216671887022016,-0.0243567559545317,0.0432961926014072,0.0245390305901257,0.00501517590299741,-0.0162941403345949,-0.0311626935648846,-0.00576094809406862
"b_tt",0.00588198486158708,0.00444138472697956,-0.0018955503573815,0.00121474827133698,-0.00193177427296397,0.0026430039039544,0.000358101217119861,0.00300339208109197,0.00115866789116363,-0.00901500467853458,-0.00746422268429717,-0.00326650473081046,2.8233780006582e-05,-0.00139324356863168,0.000259308920723962,-0.0013948609981029,-0.000228415603541634,0.000294555866087929,-0.000256995487122954,0.000367009834586171,-0.000469664118701881,-0.000471264414847401,-0.00251399595580947,-0.0104244426335494,0.000394334601499748,-0.000250305438802438,-0.000365364446263048,0.0023808514949125,0.000809886404566365,0.00178354462997177,0.000174326226007318,0.000137445770596542,-2.58917803849589e-05,6.55545266368785e-05,-0.000109933582087706,0.000237354890937756,0.000219344486036362,-6.28394675097466e-05,-7.33963370932346e-05,-0.000126714973358608,-6.63332297170694e-05,5.49173201047514e-06,-8.27767073470669e-05,-1.11795738175958e-05,-0.000221173985028506,9.1970492541168e-05,5.33650985975419e-05,-8.96785300734867e-05,5.06085120258042e-05,0.000146813750206278,1.97943688232524e-05
"b_dt",-0.00638719935246358,-0.00724667065182959,0.0795561992404286,-0.00193177427296397,0.013428765196515,-0.00332341716492277,-0.0020915614508552,-0.00271703004929263,0.00179885654325512,-0.0350407193592102,-0.036263944074199,0.00658456278019097,0.00162160966101954,0.00978062082512513,-0.00906561817042337,-0.107950593176548,0.0367531985969591,-0.0187646405524303,0.00803318785583088,0.000821991398818692,-0.0114024707064233,0.0775460003699456,0.104454045713823,0.52546373071983,-0.00304225260859582,-0.00250537504373149,0.00170683758603631,-0.0165104380936579,-0.0123271530901381,-0.00946743610762415,-0.00967574620324033,-0.00504724562090068,-0.00480137139607657,-0.00468006076217491,-0.00530142730905499,-0.0116778462750374,-0.0112791920756222,0.00121437145056112,0.0015967888717834,0.00198360281135419,-0.00463298704519005,0.000778625996417794,0.000118941278644354,0.00101684840915069,-0.000734909852944549,0.00175878627690942,0.000954787083221787,0.000261651720577972,-0.000442918124364975,-0.00165126639867241,-0.000474877458913625
"b_CongAB",-0.00692799079592655,-0.00868355037900153,-0.0673608725807538,0.0026430039039544,-0.00332341716492275,0.0868233707439645,0.0394419691396757,0.000531943352626759,-0.00341680127662489,-0.00537156682295228,-0.00697876369069294,2.76968862728127e-05,0.00526469799409491,-0.0211224216335282,0.00824694030917873,0.0143639052890623,-0.00373314961205731,-0.00141214600949865,0.000312903629872895,0.00142403887342088,-0.00625313355017149,-0.019523012167269,-0.00710896742656589,-0.0715331474016874,-0.00495136543746279,-0.00315008208267578,0.00132239586511514,0.0421214913889374,0.0322281035048238,0.034134271130322,0.00222514616607397,2.01650229097604e-05,-3.87492616449445e-05,8.8513375047905e-05,-0.000544131472236177,0.00154585277732522,0.0014105905836082,-0.00210808873870359,-0.00302494650724197,-0.00384828593573861,9.22949855770943e-05,-0.00127036133936324,-0.000482960157897582,-0.000824045440102003,-0.00100113351484134,0.000904468941188132,0.000324388549244359,0.000348205797440054,0.00113477285358096,0.001167172153841,-0.000243102303857336
"b_CongCD",-0.0229152155476622,-0.0200621340771007,-0.0879303176522938,0.000358101217119866,-0.00209156145085499,0.0394419691396758,0.0634120504034074,-0.000147417782133159,0.00141581023757869,0.0272836008571295,0.0249840266994953,0.00824528003311499,0.00650984922376203,-0.0177489500738766,0.00489602870322741,0.166223114601742,-0.0519418841591594,0.0143024544512186,-0.00975202253665971,-0.000696884891486225,0.0151765420125288,-0.120516454267106,-0.145795974040252,-0.749435249161123,0.000706577738869156,0.00884189763878143,-0.00783406815593549,0.0332722771174067,0.03442151395633,0.032075021570045,0.0148387217503051,0.00724533142301024,0.0071897256531588,0.00689637398003459,0.00751601414463134,0.0165257743174489,0.0160738690967763,-0.00329556924108819,-0.00420278011043919,-0.00528723760148255,0.00737418839280821,-0.00190882377739035,-6.75675411055107e-05,-0.00236375597153425,0.000358172076711405,-0.00307809998865664,-0.00135387829314863,-0.000826596145172963,0.00194796196009513,0.00266915329370038,0.00141794127642412
"b_Sem_1",-0.00814616555901576,0.00420508643962852,-0.0266390890931921,0.00300339208109197,-0.00271703004929291,0.000531943352626695,-0.000147417782133003,0.1169140832641,0.0540834808858798,-0.0684210820615439,-0.0712760645538953,-0.00953382242415372,0.00558935483094027,0.0100468957874925,0.0142011379144886,-0.0700496696390151,0.0207486249953766,0.000108576447899506,3.75957969366536e-05,-0.0020206066519532,-0.00576685665326664,0.0520549307321457,0.0466287958026573,0.31569540352879,-0.000329307327991519,-0.0242007063489848,0.00652511410305015,0.00480633821693478,0.00582605336729997,0.00920636736113875,-0.00577248282570251,0.00111440694757743,0.0019011128980318,0.00120611255101088,0.00109580964782928,-0.00647530629675442,-0.00628528822881402,0.000839354539420829,0.000981529990924904,0.000599833448731773,0.000888645593644662,0.000688558950641657,0.000654891153248246,-0.000578384085679032,-0.000734137968128876,0.000778973838372644,-0.000588323983967341,0.000883364709977545,-0.00199038333953616,-0.000722328890076271,3.23820064134808e-05
"b_Sem_2",-0.00889936347749467,-0.000801423392534145,0.00045623604554088,0.00115866789116363,0.00179885654325516,-0.00341680127662483,0.00141581023757852,0.0540834808858801,0.0513069726157653,-0.0522839170676734,-0.0581777398946693,-0.00309068692477989,0.00360847966237636,0.0122547913935994,0.000796627323213059,-0.0446287268313657,0.0159894041313846,-0.00256321822065386,0.00186530777225886,-0.00143437178885792,-0.0045648740889059,0.0414931948316587,0.0425055546500226,0.261879922130389,-0.00193977310625762,-0.00940204879831002,0.000805741364070203,-0.0129205081310648,-0.00998257903283471,-0.0084147282779493,-0.00468015484450746,-0.00097751881516425,-0.000505671406560309,-0.000850752668528113,-0.000835020018112663,-0.00559484975405305,-0.0053914866667827,0.00129709085292897,0.00153751426699371,0.00167430490056288,-0.000934872657336472,0.000512625116906333,0.000701483594236629,9.50449930125489e-05,-0.000186314857705681,0.000569067631480741,-0.000302850922046316,0.000903079732297488,-0.0011020503813315,-0.00109190195214994,8.34839254225912e-05
"b_ACC_0",-0.0689556451523824,-0.0468168385982379,-0.387740148306591,-0.0090150046785346,-0.035040719359211,-0.00537156682295285,0.027283600857132,-0.0684210820615472,-0.052283917067674,0.819643300144364,0.768197687505952,0.0170982113695171,0.00697065819622983,-0.0209585864646292,0.0470746579447063,0.642857783419472,-0.226832749637638,0.0982936056004235,-0.0471723544906471,-0.0148603414089453,0.0834592205729966,-0.517770762238244,-0.620068353667672,-3.31372982008168,0.0182798232701296,0.0212597639289233,-0.0133193093251725,0.0738307346158361,0.0778716702454458,0.0428455782085955,0.0623969149549991,0.0346150807438395,0.0348241324867238,0.032999868020374,0.0387223372000552,0.07337464502185,0.0710098140921584,-0.00874606388259043,-0.0116030776136638,-0.0131487371998134,0.0355738180164219,-0.00387007674389547,0.00056503842760678,-0.00609279871725156,0.0065884355492483,-0.0115856715318402,-0.00620443737308011,-0.000682676317716834,0.00465382248672143,0.00820543998575772,0.0031694714736272
