"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",2.03377963738692,0.40970147495521,4.96405251557677,0.616716126325635,3.29775653752414
"asc_ruta2",0.864641726630386,0.349136847800318,2.47651238211586,0.433455128508219,1.99476640086401
"asc_ruta3",0,NA,NA,NA,NA
"asc_rutaEC",12.8466781252628,3.81491958118702,3.36748333794904,3.1997339943627,4.01492066149753
"b_tt",0.172162429809626,0.0837132876674885,2.05657231494073,0.151616130431924,1.13551526027718
"b_dt",-1.01319221555429,0.231541237034984,-4.37586076903099,0.276558851184836,-3.66356821057639
"b_CongAB",-0.578252737624511,0.63485201742104,-0.910846499273244,0.632577774897933,-0.914121173033328
"b_CongCD",-0.806162355127542,0.406430914069191,-1.98351633013403,0.413387056576427,-1.95013932415782
"b_CongEF",0,NA,NA,NA,NA
"b_Sem_1",0.121259968586187,0.564373531099664,0.214857646406478,0.504272397861524,0.240465211065321
"b_Sem_2",-0.0676389674894798,0.409567782340591,-0.16514718785481,0.379968212887947,-0.178012173637868
"b_Sem_3",0,NA,NA,NA,NA
"b_ACC_0",6.89773564038112,2.91527622322115,2.36606589298069,2.90298892734943,2.37608058900834
"b_ACC_1",5.93175227020772,2.87109308986276,2.06602575553942,2.68639959245144,2.20806773753073
"b_ACC_2",0,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA
"b_SI_CAMFD",-1.3620825033215,0.500855515118412,-2.71951183965596,0.465693295565032,-2.92484885716225
"b_NO_PANEL",0,NA,NA,NA,NA
"b_SI_PANEL",-0.295441928675523,0.341730969358641,-0.864545373894578,0.321817955363302,-0.918040537365284
"b_NO_ZER",0,NA,NA,NA,NA
"b_SI_ZER",-1.19173388808548,0.526494906282203,-2.26352406047154,0.644236057497325,-1.8498404027788
"b_No_MTRP",0,NA,NA,NA,NA
"b_Si_MTRP",1.07326994569277,0.614003681545364,1.74798617329377,0.564011527504327,1.90292200310486
"lambda1",21.0781903456383,5.52678932238363,3.81382193460335,7.50364529053616,2.80906006740787
"lambda2",-6.52229966770177,1.2932101543823,-5.04349555685104,1.57794711556265,-4.13340827672548
"lambda3",3.17885979369591,0.74625298488927,4.25976157960372,1.0801351934923,2.94302029305979
"gamma_USOCINTURON",-0.0620244620206491,0.0959618534084089,-0.646344977901542,0.13241628306419,-0.468405097812496
"gamma_USODISPMOB",-0.0688727991492447,0.0894169832717447,-0.770242929577877,0.0975999753175789,-0.705664104167452
"gamma_ADULTO40",-0.533351219106093,0.139268772433942,-3.82965405514056,0.162518178489727,-3.28179422180645
"gamma_EXP_1",-0.0852985148891222,0.230547951219016,-0.369981665150823,0.304877909519281,-0.279779256632983
"gamma_HPICO",0.228614359946141,0.154757241810912,1.47724498880298,0.169256715133543,1.35069595180176
"gamma_LV1",3.31224599213262,0.870848172611687,3.80347125515478,1.72120835660812,1.92437247902971
"gamma_EDUBASICA",-0.429524014667801,0.163493205049117,-2.62716737700971,0.198264964070223,-2.16641410489284
"gamma_JOVEN30",-1.20267942317449,0.368574726021263,-3.26305451314398,0.383165030056585,-3.13880267987107
"gamma_EXP_2",0.854238284462627,0.275795078372306,3.09736594831275,0.300642719954947,2.84137358985655
"gamma_HTRB_2",-3.15628103186938,1.10843064274231,-2.84752235291925,0.932476220004203,-3.3848380946971
"gamma_HTRB_3",-3.08219437029475,1.0838562983239,-2.84372972234524,0.926003899016091,-3.32848962468698
"gamma_HTRB_4",-2.88737764966102,1.09172810726732,-2.64477723935162,0.92506587951348,-3.12126705092569
"gamma_LV2",0.121594643229227,0.0460048484182781,2.64308322730864,0.0756103337171207,1.60817493127522
"zeta_FRbr",4.55023048231988,0.532893581954678,8.53872262005752,0.717126867794896,6.34508437302238
"zeta_EnfCond",3.43729112674765,0.359558111085921,9.55976522506057,0.489575118074717,7.0209677735768
"zeta_AFrSem",5.61579869230915,0.798852694761337,7.02983006646415,1.03795774475836,5.41043093581474
"zeta_CulFr",1.98488295171386,0.205966995973001,9.63689809785858,0.213429659244094,9.2999396557336
