"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.834720604198016,0.0195908471265856,0.846305015179103,-0.30673392036931,0.2406992963902,0.196835318779087,0.10862482004209,-0.211918358702901,-0.547597422160398,-0.519075839923545,-0.0277227584881129,0.174883224255067,-0.465625902904063,-0.0781349408989135,0.0610744557244239,0.321968692181656,-0.37723998327572,-0.104329251628605,0.288461324018261,-0.285905096342693,0.466818505652431,-0.0484743111948525,0.204508052780801,0.436527809475266,-0.242937311268918,0.0352857650599155,-0.487454986424209,-0.547468313421147,-0.519407036173533,-0.223130630733477,0.116619064383313,0.137931388394369,0.107718038716999,-0.11864445276599,-0.201051978774674,-0.22388408127562,0.305556244349077,0.0279226734664214,-0.454332737417108,0.00754757994615048,-0.00298670105442391,0.0695774714247726,0.10325466678209,0.145867878934564,0.0437389372861608,0.102086332133381,0.127441464309702,0.160400670049588,0.00463957557145397,0.0779411516404998,0.0998283205961469,0.113626955939374,0.0725353664211435,0.0427908423296808,0.0659382418863407,-0.0446482269122654,0.0326529219399098,-0.0529273138253685,-0.0466236533559542,-0.0704749184338851,0.070314160010767,-0.140676192425337,-0.142428303270359,-0.16320878335105,-0.548659004039088,-0.531785855564745,-0.525654971983137,-0.485207097237379,-0.379065723567627,-0.392998413668582,-0.402091899475405,-0.437906636381663,0.0130446843575434,-0.0214201251333103,-0.039626993676258,-0.131233908795062,0.066095916594569,0.0653604954816919,0.0699813067195021,0.0684877789596439
"asc_ruta2",0.834720604198016,1,0.00276364835455782,0.614752900214356,-0.203177181729235,0.163338656469806,0.129165120846676,0.142775969474557,-0.1535033228685,-0.442129919146163,-0.397249868558258,0.0293787474320586,0.120557216442111,-0.369394400780359,0.0979745025219693,-0.0271676329533977,0.236287552170209,-0.265312725235879,-0.0431097577565451,0.206772044884432,-0.246138944904209,0.337496096130602,0.000171804247497741,0.101073619746948,0.289352693251625,-0.103706130718088,-0.00442426575804968,-0.291791031403601,-0.334458533817635,-0.305605462981665,-0.125996244529093,0.00996364437205514,0.194170319588086,0.050683307924816,-0.100824243276669,-0.0991542834141331,-0.10666325780089,0.183310330545497,0.00570751217304312,-0.30270303742203,0.0936509625662919,0.00249378360267987,0.0255571826112046,0.0449301713881604,0.0620051867871211,0.0203924975656279,0.149384433482406,0.172810708236826,0.207751458460687,0.0185964805944962,0.0514132584155054,0.0692971778389363,0.0612182680255742,0.0453152812669028,0.0282559805359756,0.0502866149625734,-0.0280412456685605,0.0287259605216497,-0.0305863874432642,-0.0273836917916516,-0.0458102382521792,0.039385191160064,-0.0593711933703385,-0.0657546183257,-0.0904580092963398,-0.331150066282079,-0.309479023118479,-0.305999537918936,-0.274830259147347,-0.216056093251806,-0.22561849241847,-0.229754816960447,-0.256966586782863,0.0464455054001215,0.0250798270460465,0.0100594109448246,-0.0525284032674827,0.0424721239556399,0.108975671087721,0.111786545660848,0.111807317266589
"asc_rutaEC",0.0195908471265764,0.00276364835455176,1,-0.056454622017219,-0.41557662216898,-0.221841012056866,-0.191018413947076,0.030018899080259,0.0729639492243401,0.534671941529537,0.536179893503816,-0.202174872902831,-0.145540967026665,-0.0824722860329191,0.0780010785464136,-0.498309146425581,-0.725539159443316,0.688243233893412,-0.262517402557267,-0.0972961558319325,-0.163736509863202,0.153651366745792,0.300229682099218,-0.656799945342251,0.135229112761545,-0.546707667520926,0.342058710973224,-0.106155147522396,-0.120189352679085,-0.152817117065996,0.596567602314913,-0.0562083721909473,-0.0588068432059204,-0.205866374049877,0.0666223442639356,0.639614722148799,0.61442278497573,-0.0867653073558582,-0.164353246215258,-0.278434612398223,0.0143046007871153,-0.181594559746495,-0.22318718412557,-0.154266092343135,-0.0684687279820326,-0.22154139573366,-0.180998402787964,-0.116898243934755,-0.0981241319724713,-0.100564024333829,-0.264667815869318,-0.22873182460323,-0.123420522953703,-0.257074073859084,-0.158287951960753,-0.127650252255366,-0.0652654927197757,-0.172184341738001,-0.0109618674090698,-0.0025985351687283,-0.0289121488624759,-0.216939181634918,0.116871243378978,0.128521033623412,0.118475856186475,-0.0638601261213188,-0.0697032452599055,-0.073946806909812,-0.0663191609576268,0.00199174710639769,0.0101764672795623,0.00375723532883603,-0.00692783116227233,0.11591403665539,0.0962626086939721,0.099892530357961,0.0766962192013763,-0.241423390189083,-0.226162001523867,-0.173820131380078,-0.103796500596586
"b_tt",0.846305015179102,0.614752900214356,-0.0564546220172149,1,-0.4223201666652,0.416394795091322,0.370830959125561,0.246881161264942,-0.107529830973599,-0.637129761273284,-0.599014276121426,0.033828568098038,0.218479647617694,-0.527495357471356,-0.257706389184637,0.198965507371358,0.406282396638859,-0.494761897620146,-0.0696170256962626,0.428376352409782,-0.294391111346227,0.554739341452468,-0.0541209324449182,0.336770802562103,0.476688537976945,-0.250857513989821,0.0203665564791475,-0.603133374781248,-0.683108876209891,-0.650376587426375,-0.341423672746949,0.155957993167933,0.0708360954188522,0.177657533689078,-0.110266400909578,-0.329554231147251,-0.359116684929999,0.299632777762387,0.0170968367372486,-0.533448820785875,-0.0688897667918078,0.0824430066839954,0.175349562344253,0.21194969918198,0.199958562849374,0.153868123928315,0.112680826318059,0.124324968897903,0.136848661997414,0.0736765064089882,0.184378900430577,0.209746988417191,0.192757507107308,0.189660059250867,0.146137748548485,0.169101507661902,-0.0370056566890205,0.152724889876499,-0.00135924181182959,0.00693637259142099,-0.0529387970071919,0.197562508487143,-0.160563204514661,-0.160922945126979,-0.203441319496721,-0.627940721206788,-0.626411910843438,-0.614641382110463,-0.557956044794169,-0.450742398552881,-0.469191964816905,-0.483406346884855,-0.525348253632418,-0.00676736004391149,-0.0545277098527352,-0.0670661481829898,-0.172404264713146,0.187118183540988,0.0878970186648833,0.0720966863051999,0.0346790008073084
"b_dt",-0.306733920369309,-0.203177181729235,-0.415576622168984,-0.422320166665199,1,-0.0576698571727485,-0.00134499866015035,-0.224563964369804,-0.0552073497491006,-0.102340717919466,-0.118472388279118,0.107155020881462,0.0739174127327405,0.325040026711267,0.245473486045603,-0.00452148175134903,0.299968695136797,-0.135561137488089,0.173767709157227,-0.232368828840666,0.0569125425047489,-0.197932205441337,-0.106105410168894,0.134331373161183,-0.212559350143174,0.321240813797514,-0.145448176093284,0.269912458007707,0.329267132515076,0.311714524391953,-0.0482644568153345,-0.0147310703473026,0.0414094979145811,0.072349748282733,-0.0611415055119435,-0.117033891529963,-0.10303295148904,-0.0293662803731525,-0.00193003440739634,0.25717713716923,0.0767834289250207,0.0491481576113984,0.0529943665329844,-0.000386467694451185,-0.0364510803437913,0.0164481812956423,0.075365764996955,0.0581767851284684,0.00970543785753217,-0.00814720870298316,0.0763159360234106,0.0524425573817246,0.0247785696119438,0.0571686258166419,0.00627356335150963,-0.0195346063133202,0.00332486689368689,0.0120357086198114,0.0406381340322155,0.0322985843973242,0.0589651475174647,0.0233004798245907,0.0286816080145464,0.0232761885611422,0.0338946488808042,0.243730513097674,0.2559445375802,0.252477355588812,0.21555454501891,0.232850297785744,0.233766733407178,0.239327339497255,0.249319643345276,0.016996432425773,0.0295894068065989,0.0286813998968183,0.0851746047543373,0.0146153119673465,0.0981680494991985,0.0901081034692544,0.0669896113687044
"b_CongAB",0.240699296390199,0.163338656469806,-0.221841012056871,0.416394795091322,-0.0576698571727476,1,0.436755858705661,0.160498622062408,-0.0696504314512176,-0.39616185577631,-0.397923248502889,0.0926187562385242,0.198323377476937,-0.173705750515088,-0.11530880100706,0.14896689381682,0.394385272982356,-0.436326518119494,0.11283406720348,0.397685638301744,-0.117589554029052,0.259557180206435,0.146174304082979,0.287664946234275,0.139971562012305,-0.103630710488452,0.104733307656184,-0.351157544012637,-0.389632127465957,-0.385771280937922,-0.215850105970446,0.194699352241188,0.235882151505515,0.226494254851146,0.0165237784846891,-0.298041039953372,-0.304658975693645,0.114349622578696,-0.128548996569096,-0.225171841523539,0.0822929425505358,0.125880709013239,0.284457763762624,0.296832683538345,0.241478541828012,0.169770800717168,0.25231577725028,0.238440420661572,0.241620778552671,0.111276267806521,0.252454422364916,0.2642522759904,0.246704447786562,0.181373017604325,0.248275226714286,0.23917334098674,0.033688881956381,0.252402312968123,0.0668487782725722,0.0782511453645089,-0.00015865142593311,0.279840069351894,-0.0183855315004102,-0.0289281610556947,-0.0958844910069134,-0.314771177867496,-0.320508307743991,-0.322632399202953,-0.28945199254217,-0.140795133546764,-0.147023959917643,-0.160680616488555,-0.195611268384626,-0.0636953017851597,-0.0976610457696866,-0.102950433561895,-0.151192831283081,0.217993307154621,0.235718769126993,0.195455925749872,0.145126850380323
"b_CongCD",0.196835318779087,0.129165120846676,-0.191018413947081,0.370830959125561,-0.00134499866014997,0.43675585870566,1,0.143485892143718,0.050322033754496,-0.310004700485187,-0.312881019066881,0.108876957956949,0.218907130947036,-0.249182422674988,-0.0704828500975414,0.134071425659656,0.278071770327078,-0.300646331588168,0.143446506266924,0.104801091932416,-0.0314155714579525,0.234448437944033,-0.01692432884036,0.22941329871231,0.172015563595515,0.0728619600938434,-0.14882067542477,-0.166454972292932,-0.248591286386444,-0.224484928287883,-0.126829661786501,0.00898705572772431,-0.014158898949312,0.059181301769132,-0.0108021094814435,-0.235605212497989,-0.220816989907595,0.0638620048647629,-0.129189069535318,-0.194563134159007,-0.0542533118027909,0.19736473694279,0.202958633464271,0.205757726053363,0.117711365856342,0.238059621417304,0.147581353686194,0.135051306754896,0.0911668411585056,0.192992182255896,0.196910888506421,0.200583286201551,0.126060949091643,0.206463739003473,0.253525732093034,0.255105295610795,0.0851742642590462,0.23464408082888,0.075737864373379,0.075046925903581,0.0283444732382581,0.251579052825799,0.0205809254713552,0.016343806318424,-0.012338097332016,-0.183297937250061,-0.178433644552239,-0.164182377398159,-0.12041487654653,-0.0356740095012462,-0.0357651144559435,-0.0425495562812007,-0.0684913624267785,0.0289136541231096,0.0057742888261944,0.00460498278953148,-0.0278740028256475,0.272157566962267,0.147377966890146,0.12118500158575,0.0656616940159001
"b_Sem_1",0.10862482004209,0.142775969474557,0.0300188990802604,0.246881161264942,-0.224563964369805,0.160498622062409,0.143485892143719,1,0.635192416266699,-0.0811986351408044,-0.0785902511167418,-0.132334576502053,0.195188966308519,-0.0909918154792619,0.00217283204121726,0.155949427867194,0.00650963498072733,-0.055124004275965,-0.00304846627514156,0.180832567749696,-0.105129386864178,0.0775963229375444,-0.0163969845218073,0.108481276195248,0.0319630357257962,-0.0869190723286413,-0.0566419465473176,-0.138350714714528,-0.146103577316963,-0.131844865291211,-0.112163137320146,0.00973661235561306,0.0985604352291525,0.1997773522966,0.0493321971818323,-0.127815085720859,-0.134884081863534,-0.0407286191425194,-0.0596681829783943,-0.0858202169641848,0.00119848193916585,0.0304865193460196,0.0115070472505426,0.0105498835156633,-0.0473673657766948,-0.00878242184098665,0.0332601867856621,0.0328820942790864,0.0444175083384902,-0.00318487555022764,0.137346325812823,0.144924338791492,0.16786705776533,0.0396948735382357,0.0229155064144845,0.0417098245624225,-0.0248360439246432,0.0568558580458137,-0.0227847711995151,-0.0233002811645436,-0.0406548183421887,0.0779236637337991,-0.0629817727566375,-0.0811174060574689,-0.0886835803971023,-0.0751085227161014,-0.09041091106978,-0.0963815943471941,-0.0984451926969028,-0.0480688551438942,-0.0591849851231287,-0.0641337581449188,-0.0776639135897303,-0.0164947375036724,-0.035159861793564,-0.0381568082974173,-0.0576144272413817,0.0575621943036655,0.00700392474049706,-0.00555776725781909,0.0470198278718101
"b_Sem_2",-0.211918358702902,-0.1535033228685,0.0729639492243424,-0.107529830973599,-0.0552073497491018,-0.0696504314512177,0.050322033754496,0.635192416266699,1,0.177879995384653,0.162503684526616,-0.152230850453898,0.047676580681763,0.213550663868983,0.00168155274908933,0.11457920781085,-0.205399194060311,0.123539470914438,0.00859373251967758,-0.000662574001631002,0.0930334779843929,-0.183818789477416,0.0343239229281396,-0.0238636149316736,-0.167908142337489,-0.00757555536815337,-0.0754023817267984,0.0488943062245495,0.0726074044131621,0.0674726940135813,0.00552925196812682,-0.0471961109231345,-0.0215160589884354,0.0556729834254807,0.0735861342506885,-0.00182100838280772,0.010458736414603,-0.176255926945628,0.0124894430229671,0.171608979308166,-0.0303995513684539,0.0191513978076531,-0.0389796635011336,-0.0487487814916529,-0.0814294509743798,-0.0308741387088775,-0.0376769376128567,-0.054180075887207,-0.0438590501318865,0.0187667303067521,0.0310828575517384,0.0276483440564633,0.0399706903757222,0.0052034221553638,-0.0313613372869641,-0.0415864400902274,0.0109040234919045,0.0100372861781807,-0.0259511937677832,-0.0245550726768037,-0.0499794825001621,0.00408981535079378,0.0121022393905887,-0.00646825586576743,-0.0200347752231948,0.136783824479645,0.113710011624665,0.105233556164575,0.104167204601298,0.0350705375505208,0.0243747850580701,0.0241429030048188,0.0302307048276659,-0.0969881378263698,-0.105921513933247,-0.104362978450952,-0.0852851213662464,0.0214258594835627,-0.0546087304229737,-0.0722947633452882,0.0207719143533596
"b_ACC_0",-0.547597422160399,-0.442129919146163,0.534671941529526,-0.637129761273286,-0.102340717919466,-0.396161855776308,-0.310004700485187,-0.0811986351408054,0.177879995384651,1,0.981397386340097,-0.202787275232132,-0.275492953993829,0.274819648741964,0.149277062603825,-0.467641644543089,-0.725904222367248,0.798703958787012,-0.156818461743541,-0.27995275279207,0.141175307493484,-0.441608492932433,0.240726361596734,-0.65852544100163,-0.243004012120096,-0.00492718737254956,0.086742785990742,0.514707837050636,0.560040754613227,0.530737892508534,0.601284735635916,-0.189417306650896,-0.157273544022078,-0.305461300682976,0.103362987802003,0.628401471166767,0.636048738946143,-0.22876215793935,-0.0381503291083019,0.172862108105993,0.00232175537032725,-0.168969863326429,-0.30336330656224,-0.293306313415117,-0.218877566574543,-0.252525208951083,-0.232873978149112,-0.215270843808827,-0.195661632477349,-0.0952336268235502,-0.324568529528168,-0.328498816943319,-0.254428232070399,-0.301114752635962,-0.192872527383727,-0.183271080520269,-0.00774755865920079,-0.219699376792834,-0.0342977847947487,-0.0271533753469009,0.0229228789274729,-0.277530632026001,0.168234200645453,0.177873284189041,0.228974878568329,0.482634434867017,0.485127008606827,0.479866130773536,0.469952453755816,0.365204601317362,0.392718174296945,0.40434357948914,0.43759640239491,0.229535948007609,0.270104015427064,0.283148495738106,0.352142415752183,-0.292221777077679,-0.229561652160413,-0.189958579359812,-0.112022449785766
