"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.380338780470097,0.223136483362778,0.0386591584464966,0.0791329994742623,-0.0523160170545795,0.0939018297318938,0.0501816812121113,0.0337815499500395,-0.0496593639571327,-0.980374663958116,-0.859976795753889,-0.00796199190936952,0.0347091299726025,-0.184998184068,-0.0271780675149203,0.282629315200204,0.313322362254968,-0.251293432438865,-0.00851986650440882,0.0173629136425348,-0.0286555763437182,0.0877726734754793,-0.00505991078359175,0.217084674335886,0.0533756524274431,-0.057407071297189,0.00654237652463178,-0.280322261019659,-0.31264904619592,-0.296323296151922,-0.0104046063285555,0.0515763793700711,0.0416454682857128,0.0689530396556759,-0.0156166369233873,-0.0576365251274606,-0.11238120291852,0.0307608092158073,0.00627125774625368,-0.0920386877528538,0.00136741273994428,-0.00147689284474412,0.0322481003291147,0.0516065342062898,0.0990143899116021,0.014478204983505,0.039720222503032,0.0520989968569757,0.0841880297255672,0.00251664163892706,0.0565328717811094,0.0786429931531451,0.147354259019175,0.0162835558080744,0.00832515887569198,0.0130359437790336,-0.0115609121772285,0.0114229892409778,-0.0235381035839727,-0.0204927609033754,-0.0372489166837822,0.0372292788356847,-0.113478793566042,-0.115700521460924,-0.169049382593373,-0.332004657910496,-0.303589157047365,-0.293202172725592,-0.26076618460672,-0.419509691800011,-0.402605368123654,-0.394583926970968,-0.394152079588031,0.0129989910211008,-0.0195679890366223,-0.0354891952712819,-0.104421455082936,0.016786710329233,0.0165062424677009,0.0178499162717276,0.0210328932361524
"asc_ruta2",0.223136483362778,0.187883348430076,0.0038330175157424,0.0404008163209285,-0.0243560378440411,0.0447864927551167,0.02314441856136,0.0312078938829979,-0.0252818699525556,-0.556338903111866,-0.462571126551426,0.00593031014713507,0.0168169653353503,-0.103152434522577,0.0239521880726637,-0.0883625505065741,0.161613424510145,-0.124216801733572,-0.00247434994360183,0.00874753474864276,-0.0173390950155652,0.0446004106395451,1.26044514682054e-05,0.0754076507632204,0.0248666711168199,-0.0172240168888503,-0.000576548762163773,-0.117938024827214,-0.134245347267756,-0.122540012899764,-0.00412936147102816,0.00309712231868145,0.0412046593927748,0.0228028311574065,-0.00932747058019556,-0.0199783565175338,-0.0376308602309096,0.0129703702700712,0.000900955498749167,-0.0430994776158327,0.0119251262728114,0.000866712054885338,0.00832544223235555,0.0157830859063574,0.029581862154295,0.00474433944727306,0.0408515235141872,0.0496532979431546,0.076638516564869,0.00708977947834468,0.026210071090684,0.0383690157194659,0.0557983298922752,0.00714994923930457,0.00386376690613169,0.00698741211444546,-0.00510321691429963,0.00706303108907946,-0.00956045679062308,-0.00845950615808158,-0.0170176840439838,0.0146566132916035,-0.0336611325708549,-0.0375425802584769,-0.0658530552147572,-0.140839784929537,-0.124176533732967,-0.119962641272539,-0.103811989999648,-0.168055543476235,-0.162450965847731,-0.158466524527908,-0.162561535303394,0.0325295909979192,0.0161030288474603,0.00633193455186865,-0.0293762744322554,0.00758147640142675,0.0193428862403717,0.0200402212910668,0.0241332050497064
"asc_rutaEC",0.0386591584464784,0.00383301751573399,10.2382976346803,-0.0273879034158052,-0.367749885861752,-0.449024091100082,-0.252665522646374,0.0484366203910425,0.0887093657191233,4.96645664349989,4.60887587886884,-0.301259700270999,-0.149868169485092,-0.170007051990699,0.140767521344444,-11.9642376243738,-3.66325521652958,2.37866861609871,-0.111227805020265,-0.0303850016878413,-0.0851454314203519,0.149891242952888,0.1625973299755,-3.61726585794265,0.085788692656269,-0.670277908881007,0.329052520659655,-0.316732551086047,-0.356116984130712,-0.452333278444247,0.144329362956768,-0.128976586160813,-0.0921215166596707,-0.683721071213784,0.0454976071665783,0.951341538271117,1.60017081138904,-0.0453190996112876,-0.191515756281103,-0.292649764410239,0.0134460961498685,-0.465895628355432,-0.53670212902897,-0.400031373565341,-0.241134570570938,-0.380478352330224,-0.365382199105664,-0.247944892203511,-0.26720745214179,-0.283018183888948,-0.996010536947731,-0.934891980041143,-0.830418992893003,-0.299423779554075,-0.159778421058976,-0.130934882651471,-0.0876799062825728,-0.312521530710278,-0.0252932555392895,-0.00592585937775431,-0.0792844479407532,-0.595948044044596,0.489136802131101,0.541678746623264,0.636690673280091,-0.200493366595085,-0.206457680370426,-0.214000310589749,-0.184923336859727,0.0114364240004995,0.0540896753702039,0.0191298266502121,-0.0323525234670536,0.599295021011169,0.456257892472432,0.464158823771849,0.316625728721785,-0.318125792406717,-0.296333734410852,-0.230029099943332,-0.16538541881715
"b_tt",0.0791329994742621,0.0404008163209285,-0.0273879034158032,0.0229874510071502,-0.0177082152030262,0.0399360060819542,0.0232422552942227,0.0188755040088227,-0.00619471938026885,-0.280426259901425,-0.243979419775658,0.0023885206986402,0.010660232241831,-0.0515239414932875,-0.0220373096786723,0.226357817598703,0.0971999088924886,-0.0810251365435115,-0.00139766234877335,0.00633899785318838,-0.00725390807130829,0.0256424981497124,-0.00138885397693119,0.087884702344871,0.0143293368929482,-0.0145733162105192,0.00092835419905173,-0.0852700533446863,-0.095906524285882,-0.0912185091154193,-0.00391399433748087,0.0169570007940498,0.00525798520720338,0.0279581680398859,-0.00356815226395268,-0.0232261075730231,-0.0443165708603944,0.00741576598730645,0.000944003318222018,-0.0265674119264844,-0.00306836286480758,0.010022386730585,0.0199802208542356,0.0260428141813405,0.0333686593322558,0.0125214682409828,0.0107783975727187,0.0124950233229906,0.0176581347515061,0.00982499306819053,0.0328780122652106,0.0406220752843817,0.0614543635568562,0.0104673181136333,0.00698979132408694,0.00821888111736574,-0.00235567896717088,0.0131349263453542,-0.000148610140751519,0.000749525976433672,-0.00687880877012632,0.0257161805384781,-0.0318419924932236,-0.032137870128218,-0.0518047198076007,-0.0934158171042415,-0.0879163369811275,-0.0842846151058987,-0.0737198119011354,-0.122635441170414,-0.118167877075475,-0.116623620172237,-0.116249124774922,-0.00165788901977794,-0.0122462058156159,-0.0147661914109143,-0.0337249864901516,0.011683341283793,0.00545716559919238,0.00452094832989171,0.00261825905569406
"b_dt",-0.0523160170545794,-0.0243560378440411,-0.367749885861756,-0.0177082152030262,0.076484798168676,-0.0100890521660226,-0.00015376811434621,-0.0313179139204226,-0.00580138553674817,-0.0821639672963335,-0.0880187747743956,0.0138006668901712,0.00657876829866042,0.0579121163113079,0.0382895386052303,-0.00938297676573643,0.130904911159792,-0.0404949515344661,0.00636352905270625,-0.00627213127409858,0.00255798207151388,-0.0166889873004333,-0.00496673511668113,0.0639438031007158,-0.0116550395552981,0.0340411439286167,-0.012093347543833,0.069606253356138,0.0843235261997878,0.0797475342584854,-0.00100924391645211,-0.00292158051894228,0.00560669413684781,0.0207684583892131,-0.00360893002825935,-0.0150453862495038,-0.0231925691267394,-0.00132573826420039,-0.000194385990520131,0.0233631287237832,0.00623823398254142,0.0108985000659732,0.0110145677237404,-8.66184600142786e-05,-0.0110956132412129,0.00244155569835689,0.0131498391890525,0.0106652388087563,0.00228434428115153,-0.00198177444583555,0.0248228545141036,0.0185264576953882,0.014409861638471,0.00575518711806823,0.000547341326380959,-0.00173185702782788,0.000386068534185089,0.00188812890321054,0.00810452623793551,0.00636619471557942,0.0139758011169421,0.00553234114973409,0.0103752807825558,0.00847916604762346,0.0157435786711847,0.0661384216264784,0.0655235769075379,0.0631525800675455,0.0519497629377624,0.115559735255269,0.107392444920854,0.105319463324255,0.10063314604688,0.00759514550732146,0.0121216770498666,0.0115188103664891,0.0303917746857091,0.00166456712960345,0.0111174530566838,0.0103067144153651,0.00922562188488464
"b_CongAB",0.0939018297318934,0.0447864927551166,-0.449024091100091,0.0399360060819542,-0.0100890521660225,0.40015464129482,0.114211423134143,0.051197698026366,-0.0167411391618938,-0.727498271870777,-0.676213529149438,0.0272843027253377,0.0403736589859754,-0.0707902023268602,-0.0411400074454373,0.707092103876878,0.393665234036022,-0.298128609415595,0.00945138741219987,0.0245529423784473,-0.0120888396948953,0.050057935523032,0.0156505956877479,0.313209061958298,0.0175549547378266,-0.0251181859287144,0.0199181702729461,-0.207135099570129,-0.228234611029525,-0.225744139726569,-0.0103239846550116,0.0883231256742451,0.0730513669539727,0.148713636438279,0.00223088952618279,-0.0876383378847566,-0.156860307933159,0.0118078262162696,-0.0296138565464928,-0.0467884965915404,0.0152926629245994,0.0638476674788922,0.135232759669125,0.152172209676858,0.168130233872661,0.0576418771738386,0.10069713272066,0.0999832183600448,0.130078964612292,0.0619119239690581,0.187821729913834,0.213527409039306,0.328160968393604,0.041763870531668,0.0495454418998028,0.0485005328588603,0.00894752886230502,0.0905690208316883,0.0304939522217144,0.0352787752303,-8.60105389468324e-05,0.151977870492693,-0.0152124414113968,-0.0241039638235438,-0.101870175247695,-0.195373316854951,-0.187679738692668,-0.184587806836542,-0.159561935571488,-0.159824646078519,-0.154491825223635,-0.161735807264412,-0.180594611964397,-0.0651046626550024,-0.0915111867978411,-0.0945718381900136,-0.123396687218601,0.0567888077820505,0.0610598416446716,0.051136570907549,0.0457153795138143
"b_CongCD",0.0501816812121112,0.02314441856136,-0.252665522646381,0.0232422552942227,-0.000153768114346168,0.114211423134143,0.170888858544922,0.0299110234857483,0.00790428016690951,-0.372023635719869,-0.347461511716124,0.0209600752803866,0.0291223927638138,-0.0663619756363256,-0.0164334335121018,0.415877474549807,0.181387025956385,-0.134242768546235,0.00785214376811303,0.00422836422685908,-0.00211058955528606,0.0295481418935237,-0.0011841704994699,0.163233356163293,0.0140984248210388,0.0115410039739616,-0.01849570277079,-0.0641639973935165,-0.0951602537573992,-0.0858453400331551,-0.00396423018138918,0.00266422134361818,-0.00286553484613973,0.0253934121747599,-0.000953059950669017,-0.0452736909459456,-0.074297553998588,0.0043094387346489,-0.0194488977374251,-0.026419738201656,-0.0065885481427655,0.0654181654551079,0.0630542834047832,0.0689322930200474,0.0535585260572436,0.0528206574476101,0.038489930913339,0.0370074336147252,0.0320739645164755,0.0701704741941793,0.0957360556391355,0.105918685209354,0.109580546739379,0.0310681072233538,0.0330624711027737,0.0338061846371344,0.0147831793499956,0.0550223189925534,0.022577520281311,0.0221105043298471,0.0100419724302307,0.0892869274074693,0.0111283448304363,0.00889946280751582,-0.00856623182218397,-0.0743482607213416,-0.0682806725696631,-0.0613853190379642,-0.0433786310450084,-0.0264637250766162,-0.0245595244221578,-0.0279885675488043,-0.0413227932460734,0.0193130391111302,0.00353585352381906,0.00276442369716093,-0.0148667002688926,0.046332202962307,0.0249480735217288,0.0207192761254612,0.0135166661605551
"b_Sem_1",0.0337815499500395,0.0312078938829978,0.0484366203910448,0.0188755040088227,-0.0313179139204227,0.051197698026366,0.0299110234857483,0.254290651245012,0.121707619354668,-0.11886645360009,-0.106464418508712,-0.0310769589759703,0.0316760290368469,-0.0295605530877465,0.000617986992773828,0.590094108781578,0.00517981534219442,-0.0300250729642175,-0.000203557910804503,0.00890003171017599,-0.00861571401164423,0.011929776207141,-0.00139950705379515,0.0941571769012577,0.00319564989153762,-0.0167944639099289,-0.00858724905241133,-0.0650555524599333,-0.0682242644397228,-0.0615036769359754,-0.00427657901317326,0.00352102469314531,0.024332523246557,0.104566151365119,0.00530946089784062,-0.0299606647889963,-0.055361908537837,-0.00335263420097338,-0.0109577240145619,-0.0142156226572579,0.000177542890372199,0.0123266472224184,0.00436093168397886,0.00431144212693031,-0.0262904350797318,-0.00237706293323967,0.0105815344060295,0.0109915254739447,0.0190624295801749,-0.00141258790663264,0.0814575168937558,0.093352830208513,0.178002741671372,0.00728641247618629,0.0036454491621791,0.00674253750372471,-0.00525835856171546,0.0162634555847155,-0.00828545152153746,-0.00837404375460559,-0.0175699684551107,0.0337358056795291,-0.0415421412192392,-0.0538806668879723,-0.0751092062310247,-0.0371630011021187,-0.0422036694003577,-0.0439582511513118,-0.0432611971693719,-0.0434981867738017,-0.0495769949369836,-0.0514612876323019,-0.0571585836932257,-0.0134400650170767,-0.0262634179063923,-0.0279419659078846,-0.037484767136149,0.0119538609596596,0.00144628621744538,-0.00115913597249986,0.0118071984333329
"b_Sem_2",-0.0496593639571327,-0.0252818699525557,0.0887093657191261,-0.00619471938026887,-0.0058013855367483,-0.0167411391618938,0.0079042801669095,0.121707619354668,0.14437584280526,0.196209375314307,0.165875059457557,-0.0269370433650016,0.00582992057584021,0.0522749011747028,0.000360367603767174,0.326682129229086,-0.123151142515225,0.050702703870694,0.000432384872655445,-2.45714827742672e-05,0.0057449793152064,-0.0212942881186741,0.00220744602026112,-0.0156069106750278,-0.0126492564843494,-0.0011029291340613,-0.00861356672302815,0.0173238063195002,0.025547063843729,0.023716357025486,0.000158852773683118,-0.0128602518415408,-0.00400248146874672,0.0219569207851552,0.00596757692079158,-0.000321635031139924,0.00323453340321275,-0.0109323187068802,0.00172823455906595,0.0214189588383216,-0.00339329045727539,0.00583471530168735,-0.0111310348320772,-0.0150113838511014,-0.0340550965584028,-0.00629655942765782,-0.00903195218552991,-0.0136464654110866,-0.01418291012377,0.00627182163811259,0.0138904760022045,0.0134195315570773,0.0319363244460983,0.000719698273525158,-0.00375922421364644,-0.00506545920461003,0.00173954883466349,0.00216339581767538,-0.00711067645895826,-0.00664962810566553,-0.0162754416032414,0.00133415870066794,0.00601480851214725,-0.00323733891752389,-0.01278546410726,0.0509962650679173,0.0399954087735641,0.036164512558304,0.0344918984711927,0.0239128790349764,0.0153847881375424,0.014597064188359,0.0167645742902116,-0.0595465564114747,-0.0596170296076282,-0.0575855411781127,-0.0418098788836734,0.00335267287300676,-0.00849682993501941,-0.0113611668414604,0.0039302884005137
"b_ACC_0",-0.980374663958118,-0.556338903111866,4.96645664349978,-0.280426259901426,-0.0821639672963335,-0.727498271870773,-0.372023635719868,-0.118866453600092,0.196209375314304,8.42734471231337,7.65351414661847,-0.274148620413571,-0.257374873648788,0.513970494164531,0.244414203593308,-10.1866375657814,-3.32519520657314,2.50443251199383,-0.06028148770413,-0.0793194747145525,0.0666048826980575,-0.390848774276087,0.118280986818176,-3.29042035513942,-0.139863631096493,-0.00548062797667171,0.0757058496407746,1.39329771717365,1.50548983239272,1.42527326067539,0.131979571228172,-0.394331100143892,-0.22352205934386,-0.920409833145647,0.0640420469796663,0.847982140052602,1.50286832648239,-0.108405383939896,-0.040332581139914,0.164837593734083,0.00198001478512041,-0.393302365504684,-0.661848545174244,-0.69004353283661,-0.699358687593286,-0.393469712415914,-0.42650596462599,-0.414251315284511,-0.483403638325732,-0.243160777532877,-1.10815551307526,-1.21814827254595,-1.55312601953276,-0.318193677359899,-0.176633120166858,-0.170552908627835,-0.00944306182335733,-0.361781718318808,-0.0717988952721724,-0.0561795258387703,0.0570306471617761,-0.691692122932963,0.638805237798961,0.680158005371325,1.11639523339098,1.37473834071384,1.30366198893942,1.25993047419317,1.18888028136948,1.90249620037126,1.89378136406333,1.86777557877783,1.85402724920568,1.07668051643155,1.16148955290163,1.19365647811674,1.31893104253223,-0.349352309579971,-0.272892940370962,-0.228072605132487,-0.161938859152058
