"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_4","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_ADULTO40","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_Op1",1,0.319268316832421,0.247605246431236,0.132180645880008,0.0440142274369339,0.0283505498157372,0.101601795426336,0.186975089097473,-0.106652783999492,-0.102624099693905,0.0174533217242282,0.188538785875278,0.137587380478448,0.0598498674546538,-0.0189307231381428,0.0242015960752582,-0.00943391675583395,-0.00100445853603665,-0.00214075678309839,-0.00150278768944522,0.0142763747300166,0.00469844430458782,0.003463517283273,0.0397345873489348,-0.00476920856057928,-0.00461046606627064,-0.00232666113801572,-0.000532597625341758,0.00356966519255781,-0.00465627437042265,-0.00480982293428844,0.00349833502102065,0.00293697472510293,0.00337503536233078,-0.000410386353021387,0.00373469962599277,0.00425963759709492,0.00422392529040851,0.00346924224925497,-0.000319451632249158,-0.000936012433928997,-0.00109381062091814,-0.00150159379838031,-0.00090768500274353,-5.1628666745814e-05,-0.000114043984889703,-0.000579221076675641,0.00297248982994355,0.00299305283542699,0.00282741064798001,0.00213807167917196,0.00404568066572817,0.00388298823554832,0.00382116151261003,0.00329837453420711,0.00442896807573592,0.00297689772611258,0.00296066035702401,0.0024210229340354,0.00232565391920943,0.00247770856788685,0.00222567853525444,0.00102346085015501,0.000536212728936599,0.000716146419512874,0.00075012562116192,0.000579245041406694,0.00138644959667909,0.00215428589155364,0.00235047933722661,0.0023333764731566,-0.0008352460062038,-0.000181662111716763,-0.000102668001930499,-0.00023693714573744
"asc_Op3",0.319268316832421,1,-0.0971915969408715,0.138605587833006,-0.299797983184505,-0.158290030990286,0.0616650031458854,0.125012837893314,-0.0111222745451812,-0.0405971135647967,0.0500609012165012,0.102495207194338,0.127145641800047,0.0201289227635533,-0.330076472201277,0.308541708272433,0.330312568585848,-0.0955051843956717,-0.0296941890022691,-0.141959114058009,-0.518954272836603,0.128990752330978,0.016215186309723,0.121559113789756,-0.0609286661882223,-0.124584010780958,-0.025733978810897,-0.000269016677880078,0.0157541875681445,-0.128161903740413,-0.1293687755682,0.0134934523499031,0.0107657106547371,0.0146232717183734,-0.0175951035306534,-0.153384598929497,-0.135730710915076,-0.126071201712263,-0.0816962442909163,-0.0728075568294315,-0.0821921029584843,-0.0784740524391555,-0.0671233210665707,-0.0810281414812286,-0.0650609279393786,-0.0614279221149798,-0.0424605314727989,-0.121837066265721,-0.133909054415377,-0.131273931078461,-0.0980076787548506,-0.144877883114703,-0.139764295465141,-0.131659328439262,-0.112193052129141,-0.143768753336601,-0.146305491691107,-0.142514661101159,-0.119177727315202,-0.0852136019818291,-0.105720509688599,-0.101065846800975,-0.0524421363127246,-0.0190054304082508,-0.0259683545695921,-0.0274447121867482,-0.0222837365644516,-0.0459108604011295,-0.0727912764508655,-0.0806029721888177,-0.0939783383009792,-0.0696047932863871,-0.0771648240894142,-0.0748581412663913,-0.0643658004608367
"b_tt",0.247605246431236,-0.0971915969408715,1,-0.452422880934858,0.183672167616439,-0.0525715960296034,0.0988100448913367,0.0390624703904723,-0.101695324640248,-0.181563287236987,-0.137359613898389,0.0615428804631364,-0.095060411491661,-0.0411633412570125,-0.235938889414644,0.283196068217498,0.0853054650883078,0.0545364330231549,-0.0206415450130479,0.0862140104801203,-0.127611533372993,0.0394507414013086,0.0115962177023899,0.249744504755143,-0.0229807297451157,-0.0352764484435975,-0.00960441440009137,0.00629057775742373,0.0105545842994877,-0.0381221109505185,-0.0400192230307406,0.00924960108704986,0.00723526734579578,0.0101390070998187,0.000258429250790706,0.0355214256326534,0.0459492770238013,0.0457798334163494,0.0357532294567885,0.0369416864667795,0.0287281435609083,0.0253144859074897,0.0137547181671963,0.0301870879990085,0.0329028175921769,0.0315894346990066,0.0166837546746487,0.0322458210536548,0.037820264154119,0.0375862285622001,0.0284157508095194,0.0427128128758279,0.0361136326532837,0.0337472345784125,0.0272540301556411,0.0462639208656598,0.0248851373561392,0.0229287685698617,0.0148498952651282,0.0281925798205875,0.0304191355508041,0.0280332799067587,0.0133953852641112,0.00652091449387172,0.00870328827534698,0.00910647493755866,0.00708561739753979,0.0125590492144687,0.0204880702695847,0.0227400201659983,0.0261331927293096,0.0327254834658739,0.033700541403512,0.0323758571682509,0.0237350295345635
"b_dt",0.132180645880008,0.138605587833006,-0.452422880934858,1,-0.0759660728699785,0.0345339954474138,-0.159609024699768,-0.0602390180123,-0.249343760216244,-0.171304410288293,-0.00350271923983913,-0.0393718008375907,0.0268690423108907,-0.145297314443857,0.20096647476913,-0.249261165655251,-0.108929594082998,-0.0626314971364253,0.0195094884378396,-0.141520760179173,0.18002779996937,-0.0160886354045553,0.000575393967308856,-0.152725565731586,0.00342349224133573,0.0120760107197415,0.00515025038288286,-0.00790891806309063,0.00240583836690719,0.0151973438605972,0.0166859079785888,0.0034348889147879,0.00280009663051997,0.00208607294191718,-0.00137857492187811,-0.0311522820865283,-0.0410031280900307,-0.0407547948198752,-0.0299293164358078,-0.0422063238070691,-0.0347346901129039,-0.0313312170174285,-0.0194936062774586,-0.0362486388085076,-0.0372198991112902,-0.0359444286596965,-0.0204402761360213,-0.0304119189772141,-0.0365718385798283,-0.0364907228564729,-0.0269546150790632,-0.0380306529959029,-0.031226594712389,-0.0285479807307293,-0.0223350545037889,-0.0403455387135904,-0.0226657318925708,-0.0204929373644897,-0.0124780662608686,-0.0260209607466771,-0.0288083658292636,-0.0268596078903919,-0.0130641664797181,-0.00564522755444702,-0.00760444074758064,-0.00796616782130571,-0.00631562334769383,-0.0106921299620207,-0.0177953048522596,-0.0199063369949823,-0.0241671575175865,-0.0386956521917788,-0.0383902749465737,-0.0367949152618714,-0.0277044340860306
"b_CongAB",0.0440142274369339,-0.299797983184505,0.183672167616439,-0.0759660728699785,1,0.491464164294523,-0.0330100485794503,-0.0392568871230656,0.011481172885753,0.0171678928931725,-0.065250900899554,0.0754775066669122,-0.125765442874101,0.0363010088404724,0.0675282016166591,-0.0863715276594297,0.0623969451680832,-0.0409023749112012,0.00527291791411756,0.00284344879575485,0.0152086565955911,-0.0184156120127754,-0.0135030751073004,-0.076782069364065,0.0180222772302475,0.0170219171077144,0.00521347900287417,-0.00222687283660375,-0.013566434831495,0.0176359024315927,0.0185230345768739,-0.0132253250365945,-0.0106040347552742,-0.0130710244645828,0.00120045744055355,-0.0320660354387375,-0.0356733899960473,-0.0344531068109938,-0.0260608415788133,-0.032224176421768,-0.027338073490178,-0.0249094587165007,-0.0174849928862445,-0.0293228348122445,-0.0274597422450257,-0.0264417009958524,-0.0173382193363572,-0.0259113168275143,-0.0293041718588604,-0.028937547989032,-0.0217126528953427,-0.0347445160559483,-0.0315931688696369,-0.0297228163651915,-0.0250810895149769,-0.0367326134880527,-0.0258418936163326,-0.0245452946122612,-0.0190250052796107,-0.0208571100779174,-0.023542637872331,-0.0219765581424614,-0.0109069597019163,-0.00498840794278097,-0.00667740458049657,-0.00701233952433191,-0.00548696876984902,-0.0108087450296431,-0.0169847098013562,-0.0186187911346314,-0.020881393978709,-0.0298122193417539,-0.0297947511061515,-0.028666073599444,-0.0224430352777083
"b_CongCD",0.0283505498157372,-0.158290030990286,-0.0525715960296034,0.0345339954474138,0.491464164294523,1,-0.0425318797620035,-0.0280567333029899,0.035832078220928,0.102774952178406,0.0647381203848791,0.00665781021987613,-0.104652615236718,0.0291069142181183,0.212255990889479,-0.285807030127586,-0.0421047282424585,-0.0922859958194856,0.0204552834378476,-0.101022011868437,0.18520923087229,0.00135085634578313,-0.00111259748829877,-0.169904021298029,-0.00174879577798556,-0.00431168115907974,0.00755680232056109,-0.00481477083546002,0.00101596623887952,-0.00139387418306531,0.000364893187404921,0.00188844772377486,0.00238549897928842,0.00108325065888024,0.00307252615799321,-0.0551316155208529,-0.0632039331955863,-0.061657093131511,-0.0454359580156694,-0.0692970930677878,-0.0618362616773419,-0.057394022599431,-0.0412690622640056,-0.0637261504924219,-0.0608815545994323,-0.0589789819659109,-0.0372490974564429,-0.0494719289748011,-0.0579068789339578,-0.0578975106213454,-0.0438075661592501,-0.0614370157885761,-0.0535209696388655,-0.0498739708293441,-0.0408578621419901,-0.0640699427649715,-0.0440738531185769,-0.0416457267867333,-0.0303875024456384,-0.0401930510648547,-0.0459626716972276,-0.0432487070592427,-0.0216288900350953,-0.00936825265776405,-0.012600104339484,-0.013236189170737,-0.010447139249956,-0.0192176581628817,-0.0309997226156341,-0.0343077548174416,-0.039910451457868,-0.0649627546748446,-0.0649933004322663,-0.0625259355865501,-0.0490274910657879
"b_Sem_1",0.101601795426336,0.0616650031458854,0.0988100448913367,-0.159609024699768,-0.0330100485794503,-0.0425318797620035,1,0.567715128586414,-0.0755770837061084,-0.0561852691443429,-0.0255583789640022,0.0867932976792177,0.0418874984449366,0.122681601419477,-0.0276238367657862,0.0493453130103062,-0.0272337941088811,0.0255364378894395,-0.00480169500319541,0.0335150753470417,-0.0361072046742762,-0.00855426711589548,0.00235146333561776,0.0536634098817252,0.00168099535997356,0.00953091359547192,-0.00049713358159235,0.00190641671279926,0.00212395190714323,0.00860617927144407,0.00810973460491874,0.00180347388324935,0.00166500032344602,0.00215520860252941,0.00121854082554992,0.0178989275138728,0.0202456899495166,0.0197295030910165,0.0142044354751759,0.0192191771773497,0.017724181898449,0.0163388541730015,0.0115731741575671,0.0177350099308227,0.0171791312378884,0.0164820753776158,0.00994838615127959,0.0152574853958045,0.0177635760937115,0.0177847858006789,0.0134987488793578,0.0196356052475593,0.0174829244962456,0.0162976948932225,0.013325311451586,0.0202526888541712,0.0151961050376977,0.0143928700592942,0.0106747789151261,0.0126278052154614,0.0142773091115178,0.0133332946493086,0.00659727074869667,0.00271700225561718,0.00367404080357579,0.00386293433571365,0.00308521541271489,0.00569349714402207,0.00925165019399573,0.0102950483351238,0.0122434059031494,0.0177390132122345,0.018489709865544,0.0178558797220395,0.0141141290757756
"b_Sem_2",0.186975089097473,0.125012837893314,0.0390624703904723,-0.0602390180123,-0.0392568871230656,-0.0280567333029899,0.567715128586414,1,-0.0800897903438344,-0.041365394632633,-0.010476713817609,0.0162466487676225,0.0702596053846816,-0.00418432055825979,-0.0604480131915972,0.0745612930238725,-0.00512166589407443,0.0343387617549148,-0.0123560578255906,0.00266530468946559,-0.0607321985363882,0.0145053792664174,0.00971700641582214,0.0680125111069784,-0.0132176194349989,-0.0135603753839643,-0.00419731850323077,0.00254041291001845,0.00964945750015049,-0.0141363920301927,-0.0144705498463639,0.00927309685143479,0.00869507080586753,0.0095940767618007,-0.00134668083186641,0.0174254612355882,0.0199032002074586,0.0195323126302221,0.0132068829620088,0.0227168350422214,0.0197611423379125,0.0177672235977616,0.0108110688217605,0.0195309803487959,0.0208758520915248,0.0200674160866262,0.0106772282163894,0.0138170027960986,0.0163743699357437,0.0165113118337108,0.0122797125047893,0.019392571796386,0.0168857207054806,0.015670884238115,0.0125542868584454,0.020304829305711,0.0137757757038819,0.0129315109885613,0.00904003468293306,0.0117866376033034,0.013119716239876,0.0121929375174316,0.00592868951293968,0.00215704517584255,0.00297386856575251,0.0031430774143542,0.00257175361099742,0.00500172425488172,0.0082013284334573,0.00915926670533822,0.0110712844207494,0.0208640583184416,0.0211203256626564,0.0201403774465172,0.0148585175699375
"b_ACC_0",-0.106652783999492,-0.0111222745451812,-0.101695324640248,-0.249343760216244,0.011481172885753,0.035832078220928,-0.0755770837061084,-0.0800897903438344,1,0.82836431073706,0.0659421611200027,0.021612361439641,0.126216157735881,0.168763837396242,-0.0473013640877937,0.0653981878705758,0.0223095361834333,0.0102128398257458,-0.00663029408031477,0.0572353630330671,-0.0675718849808706,-0.00606988539099856,-0.00364782129288341,-0.0121844540069129,0.0063390740876876,0.00708169619838724,-0.000431224909711941,0.00184805741506019,-0.00476067168024074,0.00638486009802305,0.00628322072642724,-0.00484031954008845,-0.00421763385989741,-0.00446813830574257,0.00105668952283962,-0.00126431160316925,0.000906598797161493,0.00110160060360164,0.000435922618822677,0.00650119570067992,0.00394419433334148,0.003471815746519,0.00200762561938424,0.0057882693002593,0.00421541844632508,0.0041887955903169,0.00292688754674752,0.00133508561479377,0.00188365420213785,0.00175763218851952,0.000520156233202539,-0.000132237600565001,-0.00059140128783247,-0.000690024606526329,-0.000720828913640711,-0.000202260735843209,-0.000731730828925215,-0.000944866966236499,-0.00113551967237612,0.00106671740207113,0.0010873269996626,0.00101274745264756,0.000418830105071001,0.000271861102905973,0.000357240871079333,0.000360478315609205,0.000267848855649746,-9.36375525599342e-05,4.53311244639785e-05,0.000111774826789072,0.000597937384630901,0.0059364625164313,0.00497173521677196,0.0048338705870014,0.00388475466245715
"b_ACC_1",-0.102624099693905,-0.0405971135647967,-0.181563287236987,-0.171304410288293,0.0171678928931725,0.102774952178406,-0.0561852691443429,-0.041365394632633,0.82836431073706,1,0.0395609727749184,-0.0213871942862942,0.0853733316316226,0.165740024090491,0.0547836039578789,-0.0581128834200162,0.0172943538365314,-0.0112006934585542,0.000861611633231357,0.0391443039584141,0.00136040532411269,-0.0267832550339435,-0.01196037053577,-0.0516094478043577,0.0202764963169663,0.0267231532550651,0.00431765188336489,0.00150822899619444,-0.0123831283545107,0.0267155396502791,0.0268374827234949,-0.0120342590144996,-0.0101031548007194,-0.011983615727649,0.00317793039029015,-0.00952849656207943,-0.0104297887588633,-0.0102069372683388,-0.00804486002462024,-0.00932690292570257,-0.00771697514683564,-0.00698962703421111,-0.00439111355608906,-0.00816544766612823,-0.00785938162940915,-0.00746635050882171,-0.0039807326336159,-0.00616097376559314,-0.00714166929664393,-0.00731732320040777,-0.00606991638821861,-0.0105585043065634,-0.00884581021318615,-0.00822057711356751,-0.00656182573100726,-0.0113602472207527,-0.00629386162711743,-0.0059639390940394,-0.00410012712636326,-0.00600887215883209,-0.00622038407714078,-0.00565429639822129,-0.00265353372859151,-0.00138668042125283,-0.00184787087603251,-0.00194162895713835,-0.00149081110602337,-0.00283841639205182,-0.004479242895176,-0.00493390766963463,-0.00542451099885135,-0.00862453274732032,-0.00847046962617706,-0.0080084114243515,-0.00577593255754089
