"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_4","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_ADULTO40","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_Op1",1,0.318201234930936,0.358224011544622,-0.00749786126202997,0.0278392110422463,0.0667135044342734,0.0530105511250914,0.102768814861681,-0.14394649075219,-0.141959806967401,-0.0836048604329537,0.256614114723232,0.12601983515423,0.0152540670678337,0.0475126013594393,-0.0735554858491276,0.00725624062008799,0.00127250629429484,-0.0573670994685908,-0.118291806437877,0.06772081383034,0.000371789951321948,-0.0146322597815698,-0.0684924978068456,0.0166473705164168,0.00597711502635646,0.0226862600230729,0.0488376112569718,-0.0253746097878808,-0.015459867433474,-0.00855094607464806,-0.0218085040099722,-0.0354764956198189,-0.0301234616496554,0.0359643176180691,-0.0267442944084577,-0.0314112849363183,-0.021055148239493,0.0312772410568631,-0.0274792864044838,0.0155701435665052,0.0222609392029426,0.0297005578855624,-0.0383008955051208,0.00905789577524116,0.010110550808923,0.0449667066980264,0.013266061081031,0.0420605296379607,0.00445423124310433,-0.0113139000705128,-0.046932825689163,-0.0662990123116548,-0.048792950199121,-0.0318861316236085,-0.0144371354078197,-0.038997758637868,-0.0198283129652036,0.00306981374634651,0.0429549994361035,0.0462347926527674,0.0147104138742605,0.0190143106896317,-0.0236007989502108,0.0161834756125535,0.0229657914757535,-0.0349055088979748,-0.0199322355975149,-0.0285137117117068,-0.000217804973210943,0.00489527117059769,-0.0293557577236479,0.0251005406207946,0.0420840479708068,0.0324948820236448
"asc_Op3",0.318201234930931,1,-0.0163077039114287,0.012184224368671,-0.325952827183018,-0.125667811778868,0.129822918901494,0.16061736933429,0.00154282019576356,-0.0763797596009329,0.0635977577816464,0.21082815839,0.183560957856747,-0.0472238513196786,-0.539286280300179,0.466426381704328,0.47809729188562,0.104086478446565,-0.00841671399088809,-0.209863101924345,-0.608207052729588,0.488419811072275,0.346319401325626,0.323644045457952,-0.371851882514938,-0.481808538320956,-0.0403042953648568,0.16815827713973,0.249358820347804,-0.46646261873353,-0.45311635251456,0.233494540268537,0.153726916972671,0.219603834902736,-0.0569938846367147,-0.0252357931000683,0.0790326678917695,0.074908084721184,0.0747428923433647,0.113699616035756,0.0755294857578794,0.0584247789590961,0.0366556716547579,0.0267198289691871,0.174369637020895,0.174871577249917,0.0900432494925275,-0.0765064547025989,-0.0136567322612471,-0.0163413256762928,0.0202779298961256,0.0365478332660435,0.043351376091083,0.041848086149523,0.0121368161770888,0.0185025365127455,0.0324311305991961,0.0444381725110866,0.0465231221467442,0.0348691426335531,0.0188084362282694,-0.0148152464867024,-0.00159252923373066,-0.0408158953956772,-0.0397422056227364,-0.0803007138764095,-0.0190554872090727,-0.0269586022897735,-0.0643176941597551,-0.0809905849625402,-0.0668244563370741,0.0981870755652074,0.0808577712165397,0.0641613000760367,0.0459020280241065
"b_tt",0.358224011544625,-0.0163077039113552,1,-0.527394812588207,0.246662937983946,0.0515563354964499,0.137315385082537,0.125155378529837,-0.266730372901389,-0.290811238333448,-0.271598890760369,0.0483830979756695,-0.0714995765107137,-0.0944191665870881,-0.145509106548479,0.124758268191609,0.138770357113177,0.0139721837074808,0.0231734672693667,-0.0707411592526387,-0.0976937039478936,0.125754248624628,0.0706925288080408,0.109910142198936,-0.0599002800039622,-0.136474173360705,-0.0306156651240773,0.0422323641610744,0.0219007894171332,-0.128015226864149,-0.13152391498294,-0.0259767312444136,-0.0784627798144447,-0.0127907808670061,0.0454634706416784,-0.00708512491344136,-0.0351529121644378,-0.0135612481149505,0.0169623435178584,0.0155589992710757,0.00279708045771328,-0.000619479544097703,0.0204373687755696,-0.00506226931488643,0.0243672691910423,0.034064888594547,0.0323171768196006,0.0265277563554326,0.0159400428053018,0.0442438466122984,-0.0053538328422542,-5.05760926674566e-06,-0.038726334740063,-0.0166055968333996,-0.0640992518832799,0.0137492198523646,-0.0274198404679286,-0.0228430228639277,-0.0654565090986432,-0.00948345488844607,-0.00898121448941178,0.031879154496953,0.117859082917145,0.0491547980552912,-0.0207555733227441,0.0121504124714331,-0.032843915743223,0.00251798735104111,0.0379541961009374,0.0834204867950875,0.0213366337082431,0.0141819301818567,0.0486283504309989,0.0569387213911438,0.034022217562939
"b_dt",-0.00749786126203494,0.012184224368578,-0.527394812588225,1,-0.0975256371199247,0.0822494400769944,-0.18366748452891,-0.125389954147248,-0.218815860247798,-0.136959985601835,0.147864470421029,0.0344543649136573,0.012148906615106,-0.132628652138866,0.253064228375552,-0.292632232138752,-0.236034526006667,-0.0791770028009221,-0.0621290768817521,-0.124601833083345,0.265715541469355,-0.0971853424840327,-0.0217415802822424,-0.200754061750511,0.0505361536413746,0.0967788165025075,0.0592253053211121,-0.0765079912048221,-0.0185912055775737,0.0995722014350995,0.0748724178717899,0.00953500705508567,0.00983035066678551,-0.0160777563178226,0.0853494138518838,-0.110671776590881,-0.0910730286988442,-0.101366250229732,-0.0961409300078616,-0.148544038233188,-0.0681232292694254,-0.0680068206993868,-0.0719631977623981,-0.109705467975703,-0.147170799133394,-0.161020846140168,-0.0766588555604197,-0.107093003800472,-0.0832049421774075,-0.0945268782795943,-0.127373945275731,-0.134614422733746,-0.0246951241327445,-0.0403574233309857,-0.0292862390684657,-0.115255517670748,-0.112339361166455,-0.118960592107338,-0.12997874673057,-0.117168973995566,-0.135947117975809,-0.141587704840624,-0.130654725180297,-0.0660312273892874,0.0272010393236575,0.0144486790618223,-0.0853765590669903,-0.0172711270685783,-0.0637016856747463,-0.0842432874170814,-0.065520633132092,-0.181468391771097,-0.0973539665512863,-0.0979485914114224,-0.123284545722141
"b_CongAB",0.0278392110422446,-0.325952827183058,0.246662937983936,-0.0975256371199238,1,0.489892397012682,-0.0395387550148432,-0.0182638860768739,-0.020537944963098,-0.0126904720657991,-0.00508640943655085,-0.0231948477349655,-0.191943517585084,0.0975581058621103,0.204173079464322,-0.204219630902714,0.0439743408586032,-0.152227584928236,-0.0144133276218977,0.0266708380953513,0.101934151649515,-0.182911080647572,-0.204565213806322,-0.216472238130861,0.165473009217195,0.196511304454752,0.0733641329943654,-0.120207754615726,-0.120627583736762,0.16139032663721,0.163671284013475,-0.104644054994338,-0.110017451231654,-0.117444581951929,0.116556729125193,-0.142970848837239,-0.150808648163518,-0.12462752151481,-0.0892070539280153,-0.145510863183404,-0.0693267713235261,-0.0943547555904517,-0.0746778932076388,-0.0767753798623506,-0.20526122230064,-0.195074349682843,-0.100461160198947,-0.108705062680989,-0.0949232735842829,-0.115306070486427,-0.133071830409397,-0.154986005978737,-0.167008851658932,-0.147631385166357,-0.12699297506529,-0.15144072436787,-0.121990707637121,-0.120022410523563,-0.111702910526298,-0.164660048840285,-0.175652428701641,-0.156621962306232,-0.00906669904859495,-0.0201082125815081,0.0321606812172268,-0.010509898752656,-0.03293360802627,-0.0608748588726835,-0.0594077045214398,-0.0419886959170943,-0.0576627669342881,-0.145246504839019,-0.0858268012196437,-0.106123814500905,-0.117980462828913
"b_CongCD",0.0667135044342722,-0.125667811778919,0.0515563354964795,0.0822494400769345,0.489892397012669,1,-0.00992899495670399,0.0445440010803032,-0.0238687059155276,0.0204198539219206,0.0818374366888704,-0.031932373528048,-0.116967215962405,0.0254507341710852,0.281246111350359,-0.328365231440322,-0.0505527952093448,-0.21874781077182,0.0119614328930406,-0.0789114632310714,0.23462997931414,-0.147859755370016,-0.191158342493732,-0.229527534398004,0.120980309847572,0.133467807244579,-0.034420600385,-0.112723574540075,-0.0853211338166007,0.131424389432323,0.126138445319034,-0.0765300592225047,-0.0708555802903098,-0.0781827001426455,0.0119579995199812,-0.132356810458838,-0.208369774585959,-0.186662992763211,-0.13091194358064,-0.163539433756535,-0.187297775802582,-0.19210326621309,-0.0832945562457987,-0.127353484832111,-0.218082748146485,-0.21221960734236,-0.0983571246115147,-0.107979201269466,-0.119689671068147,-0.131394356689373,-0.105282749811676,-0.15759176484439,-0.150943834429726,-0.148726505258053,-0.0601116161808244,-0.142212589631014,-0.182507808326135,-0.182774787121594,-0.0676594063457112,-0.0982140681980989,-0.135370167958581,-0.0800559846476885,-0.0265685710203482,-0.0252276289366746,-0.00762421809076492,-0.0330871574542206,-0.0269881280305461,-0.0891111860067124,-0.0866782939587006,-0.0936422420818779,-0.0699778296335416,-0.141985060212888,-0.170918743062448,-0.17448069487743,-0.150002656740077
"b_Sem_1",0.0530105511250912,0.129822918901496,0.137315385082528,-0.183667484528896,-0.0395387550148401,-0.00992899495670123,1,0.640222866758228,-0.150802433130233,-0.131132912033532,-0.0587468423971617,0.0964546828230406,0.053909447189852,0.146839987089231,-0.141089744250226,0.163475762212926,0.0378892764058669,-0.0518439971800584,-0.00296970428384667,0.0891004949710753,-0.140545131918087,0.0798075183473801,0.082012370479448,0.140832098202168,-0.0997661170030808,-0.0862276658289246,-0.0587653833344393,0.0309054044286344,0.109016724874746,-0.0687357913843013,-0.0661257926476012,0.0982132645755526,0.0843359579133399,0.0820290796913869,-0.153942486717881,-0.066311637769593,-0.0342969024597106,-0.0175026652125298,-0.0440651572024719,-0.0538095793498054,-0.0717721679501781,-0.0946173216373332,-0.0762905097493463,-0.062669299883862,-0.027407451351627,-0.0169452957372819,-0.0184278140801017,-0.1022044265213,-0.054925154644353,-0.0590223872195367,-0.0477898482366851,-0.0636296811250117,-0.0368500347425953,-0.0279541060858088,-0.0300556525500924,-0.0556249908447662,-0.0131618557107062,-0.00615973952412562,-0.0176785096421984,-0.040076502254993,-0.0543320575185674,-0.0521738984671918,0.0547665351562219,-0.013604720726308,-0.031814979331911,-0.0910077292851409,-0.0594865316780485,-0.0384223110257695,-0.0335811809707751,0.0066957841437388,-0.0434016430905541,-0.00353420188796857,-0.119502285028101,-0.156855796442877,-0.138167363467112
"b_Sem_2",0.102768814861684,0.160617369334348,0.125155378529863,-0.125389954147269,-0.0182638860768794,0.0445440010802704,0.640222866758233,1,-0.165712828123706,-0.105858681001055,-0.0777180014326078,0.0230944103615768,0.02424344902913,0.0789961835592766,-0.160375738779024,0.175355101787353,0.0622696804197527,-0.052481861234602,0.0218945278658096,0.0110120524813622,-0.145991987153643,0.10114535006138,0.0775028268173074,0.160172822984097,-0.0893533119915466,-0.116764510050137,-0.0659353951038796,-0.0274503543299732,0.074350023128636,-0.080336734415377,-0.0659150347560391,0.0585180758245293,0.0732364449875948,0.0694360950911212,-0.0786902199933284,-0.0723365857299557,-0.0265372248483813,-0.0139273980848917,0.00641195646595859,-0.0389853176669582,-0.0457808325974357,-0.0575594631586557,-0.00688216352932075,-0.0324431242159201,-0.0284813243818899,-0.0180378543336598,-0.0652522600066043,-0.0386578011500787,-0.0216147079680139,-0.0278742071094324,0.00334556376688087,-0.0595825583652141,-0.00491555440136149,-0.00263038566825529,-0.050422732422404,-0.0635582774763238,0.0212039811145579,0.0358053725477401,-0.00218308210992388,0.0257139710004565,-0.020817024785999,-0.0258274294635236,-0.000985682005815991,-0.0128314096639831,-0.0858514137726898,-0.124407409158536,-0.105716414368024,-0.0282899951863656,-0.10161481578866,-0.0849958704194999,-0.101770573566693,-0.00864239175680469,-0.0594563164954112,-0.074362209001344,-0.0449313129178961
"b_ACC_0",-0.143946490752188,0.00154282019579453,-0.266730372901381,-0.218815860247801,-0.0205379449630997,-0.0238687059155443,-0.15080243313023,-0.165712828123708,1,0.818483489697758,0.156270542293753,0.0127717135709812,0.0689442441053724,0.179936271262469,-0.0271014316340762,0.0605373276565147,0.113718012214862,0.0745860353700815,-0.0689032016866187,0.128003768733091,-0.0490427225919385,-0.0528543810595446,-0.0613181482308174,0.0203252867319954,0.00319986815448395,0.0786013505322442,-0.00486554487821455,0.113804296778259,0.0219870497974474,0.00883301485127525,0.0462496508297655,0.0267184149899189,0.0971814681675602,0.0732220025876539,-0.0329158797626687,0.0681930982805688,0.0962798347391329,0.0663827875806995,0.0783115431781363,0.0621878626105196,0.0499622309053947,0.02650946470549,0.00238913803962449,0.0522938608564318,0.134703789644158,0.121041972603308,0.112953708529869,0.0495478593912535,0.0643345059724291,0.0515909980747966,0.0661336072874953,0.131760814903043,-0.0291624424975476,-0.015759460994485,0.0281588083324284,0.0948887542772712,0.0629016972596848,0.0500357863574172,0.14930879070906,0.0281677936222808,0.0614581776127933,0.0676208775409385,0.0265857312304368,-0.111406031423215,-0.0831373509764227,-0.0696151049739405,-0.0272059600698838,-0.055379177038304,-0.11876352553654,-0.148125964648366,-0.0735942269624552,0.0748962167913583,0.061818083092698,0.0680716915775014,0.106073942378041
"b_ACC_1",-0.141959806967403,-0.0763797596009702,-0.290811238333462,-0.136959985601826,-0.0126904720657982,0.0204198539219366,-0.131132912033535,-0.105858681001051,0.818483489697758,1,0.0470650305860443,-0.0609039754006657,-0.0790008068728302,0.224858125158701,0.147450457951364,-0.130529231355981,0.0962276801089085,-0.00812911293960601,0.0266115563245331,0.154117392693395,0.0711706715690762,-0.170225245775473,-0.203243024758999,-0.0864556909173704,0.114238505748643,0.19916892400021,0.0113130680649433,0.0677439214417498,-0.0748950263221086,0.133386246000896,0.159107802512166,-0.061515934499416,0.0231258718200443,-0.0150847199654912,-0.0108758621579084,0.0493964382236395,0.0622448908519941,0.0452973675383899,0.0485404754792874,0.0356990044110458,0.00623387377939043,0.0122583511618951,0.00561437641399611,0.0239995483078483,0.0664642761344457,0.0702685863682101,0.0673855493123,0.0701289673239675,0.0522924784419245,0.0446838230495467,0.0163826692896326,0.0887563409392884,-0.0378564664801084,-0.00641073190837651,0.0254322837711248,0.0684416722105429,0.0106668883361514,0.0207974171115767,0.0971018681230239,0.00603747286134312,0.0290490039196196,0.0617656029952828,-0.00627563406598991,-0.0841283325694242,-0.0500944143188722,-0.0118434342065489,-0.00874911914586955,-0.0673588627814276,-0.12910657272092,-0.136118328960362,-0.0565158628537595,0.0559268567921321,0.0236063367233521,0.0409029595448204,0.0500132829126735
