"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_Op1",1,0.518680130384399,0.236909121062218,0.157460485480545,0.0481699631802394,0.0295132323667545,0.0852122426121584,0.17347067622137,-0.097666881535536,-0.0884162283947171,0.0200373094888473,0.195929210666209,0.135263851799243,0.0631063160237648,0.00208675388945083,-0.0134397036705729,0.000542531302101246,-0.00311096875447378,0.00250510757243515,0.00126958664902721,-0.00166358569168491,0.00054021910088223,-0.000658709758095354,-0.00210743305531395,-0.00132574837611693,0.000621398295893795,0.00268507381587876,0.00141557787460243,-0.000168197491229736,-0.0012224575267323,-0.00139991954490829,-0.000178614227185153,2.67234860475695e-05,0.000286574893946911,0.000428050904065481,-0.000110764345941242,-8.21859184908852e-05,4.52196799808586e-05,0.000131173573835047,0.000260963959843837,-0.000781638845305839,-0.00127411486554921,-0.0016706835034073,2.88561245549977e-05,-0.000487930031356382,-0.000882966557535741,-0.000930962076231508,-0.000181089182748036,-4.23200012265115e-05,9.12872550677429e-05,0.000200096189323777,-0.00100539539456863,0.000165778008578532,0.00127775778694906,0.00119372654087935
"asc_Op3",0.518680130384399,1,-0.254811843363584,0.39814759458954,-0.478987833552921,-0.0909877555888336,0.0834294644954437,0.132783471624101,-0.0643982274459091,-0.0493289668910993,0.166244426886489,0.157951038779401,0.22792794595561,0.00821922753267552,0.00783352519328553,0.119887867283819,0.0870020981615369,0.0802823404774747,0.03860786264182,0.0242690841364708,-0.00649060798700151,-0.012427640060381,-0.000912480762953703,-0.0209297832967866,-0.0147559934005256,0.00334297610629221,-0.00400057646186653,0.0720769325604138,0.0983081283446647,0.0620187810525193,0.0337054651883892,0.091616612647943,0.0946568447156781,0.0846128224823241,0.0659385262707948,-0.0341353412262463,-0.0464879476576174,-0.0500367580129532,-0.0474025549572743,0.122707968394396,0.0900813521769301,0.0673767995008374,0.0492576630316042,0.114733727380816,0.0944047396465305,0.0756704680578105,0.0639029161855722,0.0673409242279867,0.0700191772293489,0.0679105060385998,0.0479401754059285,0.105286444843435,0.10910245372929,0.0867285136628241,0.0737501485315426
"b_tt",0.236909121062218,-0.254811843363584,1,-0.403626887425589,0.226573065522188,0.0294467057738276,0.0882740903611932,0.0158756996236793,-0.122839643393176,-0.169431608970653,-0.117179619895662,0.0802104413141517,-0.113090555869122,-0.0480303998930141,-0.0568057477877311,0.0262710649807052,0.000142499717352042,-0.00761449784751478,0.00239866598864923,-0.000429313410416913,-0.00310134162135738,0.00134240841896719,-0.00310073671098648,0.00864105465644115,-0.00327779222414409,0.00197928091406297,-0.00290224509872499,0.00202066709150815,-0.00124916065238253,-0.00342251317174181,-0.00445511217957375,-0.00123827064595745,-0.000945414455145578,-0.000819407478674051,-0.000836406870235215,0.000475560355169893,0.00104527213368217,0.00142566664322123,0.00155395534082813,-0.00370846972191364,0.00383301479239382,0.00475397659064468,0.00413501800786045,-0.00204320553142936,-0.004435225905549,-0.00536995038394541,-0.00493541233890325,-0.00134483879448805,-0.00116587637662057,-0.000931276020914761,-0.000436897338764989,-0.00044065718450692,-0.00137897826363168,-0.00288844347859927,-0.00311162906369634
"b_dt",0.157460485480545,0.39814759458954,-0.403626887425589,1,-0.0764004638693519,-0.0474397863879448,-0.150861169093705,-0.0326331069152324,-0.221521974908169,-0.178139800170567,-0.026540347982743,-0.0417706188100497,0.0353175364472332,-0.132029591268053,0.0236369236209235,0.000609322485411124,-0.000120383011575712,-0.00233300760080116,-0.000678055392197502,0.00105818510480778,0.000885921309569246,-0.000896737884820599,-0.000272231430173736,-0.0144423015074539,0.00624591973297821,-0.000901329477316967,0.00734475705780971,-0.00111399816111399,-0.000114173323013541,0.000766841599137212,0.00110466741302062,-5.05524813935776e-05,-0.000270114345276037,-0.000423792398478762,-0.000391235400593404,7.29754498589205e-06,-8.46706759296574e-05,5.96317702598496e-05,0.000221680612473651,0.00219768341181891,-0.00875019201182979,-0.0102768795175301,-0.0101562384844512,0.000492700286073233,0.00411062947714797,0.00574745515485781,0.00582565676938422,6.47502193196883e-05,5.61288881830653e-06,-7.76466275421822e-05,-0.000209284931769988,-0.00348353342412476,-0.000667386280287157,0.00325549620583617,0.00349065230971379
"b_CongAB",0.0481699631802394,-0.478987833552921,0.226573065522188,-0.0764004638693519,1,0.493415408403186,-0.0384155461405658,-0.0460077681895984,0.010408910017636,-0.00308004160388488,-0.0674215584419029,0.065935019694632,-0.129729274900166,0.0408146851411689,0.0186652381380784,0.0248053998309924,-0.00034269927094113,-0.00628943014045955,0.00186491569746782,0.00946140596274246,-0.00473898655241964,-0.00445220483103062,0.0115218561752627,0.00720824363197418,0.000543764696547056,0.000852878909832688,0.0160648228926964,0.00118628010996275,-0.00132993602628294,-0.00284316407438231,-0.00382376397440637,-0.000967688135244803,-0.00109820562322594,-0.00146332999895695,-0.00181980012821807,0.000773213959619068,-0.00069783760768375,-0.00240453369723912,-0.00331929951315665,-0.000991810698921056,0.000282578739560843,-0.000211309829931057,-0.000188373613603031,-0.000558214751697896,-0.00332604533248291,-0.00570204610729109,-0.00579949442015316,-0.00252731178806955,-0.00203183708227092,-0.00143579908208366,-0.000359026247214256,-0.00492070748480276,-0.000917153066657102,0.00324305147577833,0.00372668462291188
"b_CongCD",0.0295132323667545,-0.0909877555888336,0.0294467057738276,-0.0474397863879448,0.493415408403186,1,-0.043819057896434,-0.025331248982321,0.0635106512262191,0.0878238136180794,0.0382286743078155,-0.0176363060371835,-0.0995102274911191,0.05707032476631,0.0505430585122159,-0.0032110266744754,-0.00157381146886521,-0.00610764377477325,-0.00363561582755432,0.00195933677390965,-0.00161930679203389,-0.00191516709912268,0.00303016406936564,0.00665376914935528,-0.00306986313845384,0.000619213532770852,0.00394626317889796,-0.000952183721049677,-0.00237114104941548,-0.00227676695328275,-0.00232568609892245,-0.00186329780722357,-0.00212230275201452,-0.00235028771303745,-0.00232361160955048,0.00107351466522434,0.00107103995306026,0.000774865833955507,0.000441804795077993,-0.00451182233672525,-6.20905792570461e-05,0.000790670310905737,0.00198954190393286,-0.0040340591057299,-0.00495710609726478,-0.00551767650635665,-0.00568783642369965,-0.00228194590123038,-0.00213122812268468,-0.00188387119246761,-0.00109619832420943,-0.00411409812768785,-0.00369689223128054,-0.0014248252237047,-0.000626122968470629
"b_Sem_1",0.0852122426121584,0.0834294644954437,0.0882740903611932,-0.150861169093705,-0.0384155461405658,-0.043819057896434,1,0.577032144141268,-0.0960401460209097,-0.0604423932967267,-0.0268468118688922,0.0884594280614942,0.0325542789891483,0.110620760048975,0.0762977690295383,-0.112686095206435,-0.00281802970358115,0.00374129246499644,-0.000993461022423409,-0.00439821717085345,-0.000299583405946046,0.00424397515135755,0.00245412046813449,-0.00739363524770833,-0.00227207189041763,0.00164990031931248,-0.00187703122987269,0.000355517687021784,-0.0024100094197709,-0.00234799095010274,-0.000243955770926249,-0.00224649730301513,-0.00175828957533763,-0.000334297931493082,0.0010776226874296,4.6953085499737e-05,-4.6123118645408e-05,-0.000216171262193398,-0.000364917828370582,0.000840159043430552,-0.00256818124459334,-0.00399890323808892,-0.00415574917580126,0.000298619369904403,0.00129498292368259,0.0010036808978634,7.09732365571733e-05,-0.000958370648309628,-0.000849923235027435,-0.000652085271952398,-0.000233330220045297,-0.000588569435821727,-0.000116780544566244,0.00080107543235061,0.000817688790735679
"b_Sem_2",0.17347067622137,0.132783471624101,0.0158756996236793,-0.0326331069152324,-0.0460077681895984,-0.025331248982321,0.577032144141268,1,-0.0939903537395293,-0.0432482915491576,0.00469556745139103,0.0239296091179093,0.068136573940646,-0.0121161261517286,0.0442205264950059,-0.0817353645139855,-0.00106833923725649,0.000920498541133943,0.00358640233801117,-0.0046403500629509,0.00274104098194384,0.00434075244224636,-0.000123120241822688,-0.00336427880027135,-0.00667633887693499,0.000873713570543917,-0.00182118678922495,-0.00158327700988016,-0.00136658809904624,-8.12573445175763e-05,0.00200177122359357,-0.00157230304992822,-0.00124845614509637,-0.000291630552632725,0.000723348900336586,-7.56215555169306e-05,0.000127074015840617,0.000262020141700452,0.000237780536018102,-0.00067146888730102,-0.00042344398827973,-0.000580510342765434,-0.000700512176142799,-0.000955856352015298,-0.00175056428442926,-0.00254008956867431,-0.00319702814856222,-0.000122054908930884,-0.000227513177798551,-0.000304886330569946,-0.000334133271625873,-0.000449381645886763,-7.68233141408336e-05,0.000583178268638511,0.000532570482089969
"b_ACC_0",-0.097666881535536,-0.0643982274459091,-0.122839643393176,-0.221521974908169,0.010408910017636,0.0635106512262191,-0.0960401460209097,-0.0939903537395293,1,0.839451747342101,0.0674959568782316,0.0203570301116581,0.139444545449748,0.156765190485321,-0.0384809484388587,0.067857488061114,8.67492651111488e-05,0.00158250137125273,-0.000218361977556076,-0.00116407182615403,-0.00215860915514597,0.000310022071053558,0.000559995703176578,0.00570032485363856,0.000678414926396172,0.00106586998527864,0.000371314000876384,0.00159475969849397,0.000229845551691196,-0.0017815109684803,-0.00297317525255562,-6.93934003175305e-05,0.000212147767441801,-5.09804134255717e-05,-0.000334831660306865,0.000132783852298035,1.85598716160996e-05,-0.000114916867097225,-0.000174592628666228,-0.000440780876273057,0.00213625554261969,0.0027419542887518,0.00324206209298069,3.75866798493198e-05,-0.000852052261274806,-0.00130191461170764,-0.000995258661391961,-0.000397113575848838,-0.000323692956227157,-0.00024940078137317,-9.87926286946033e-05,0.000355317068299032,1.21386515542114e-05,-0.000698271062402516,-0.000676106835281077
"b_ACC_1",-0.0884162283947171,-0.0493289668910993,-0.169431608970653,-0.178139800170567,-0.00308004160388488,0.0878238136180794,-0.0604423932967267,-0.0432482915491576,0.839451747342101,1,0.0287644566106882,-0.0287279380424579,0.102088708234388,0.159579792405889,0.0410975111569651,-0.0102631750538304,-0.000749980940311393,-0.00181469720598178,-0.00281262532876393,0.00331444760648018,-0.0020897904749816,-0.00186594216553727,0.00398799758770643,-0.00244527416121582,0.00155580173236945,-0.000764200748083234,0.00625931577537526,8.2079305964e-05,-0.00119688613160894,-0.00129166184437126,-0.000949066402095336,-0.000992111412772845,-0.000908988511439358,-0.000566417479840358,-0.000202647378127893,0.00049580602792187,-1.13619106713084e-05,-0.000577127395851933,-0.000805801395881212,0.000257533148245249,-0.00298570633061959,-0.00414029271215767,-0.00388124247721835,-0.000528714132334315,6.86629129475293e-05,-0.000305227901303585,-0.000870658530621847,-0.000996936050858472,-0.000884851116935846,-0.000713478917827843,-0.00024158125390109,-0.00295624183718222,-0.00116651661391055,0.00159783056230735,0.00184008264975332
