"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_Op1",1,0.486211865962369,0.383615459691819,0.000770363443154844,0.0316172878691629,0.0554654405882805,0.0577323399880042,0.098105229398227,-0.146607408305431,-0.13743945282005,-0.0869788444907461,0.264647753559112,0.0911218269356286,0.0239503211403767,0.0331883273740205,-0.0305255502251894,-0.0182157256911139,-0.108441871443326,-0.051438602629309,0.052885842071257,-0.00131947421743163,0.0414366440510055,0.033960895003488,-0.153805806587786,0.137251394541435,-0.032059044069124,0.11342513854914,-0.0242514505455184,-0.0631593924029699,-0.0495302357699514,-0.0244974151550204,-0.0379822580602624,-0.03525965791887,-0.0112420621149609,0.0209211581819997,0.0513518149283251,0.0781802613659783,0.0709628394110813,0.0511725007000739,-0.0445708600204863,-0.179527192995646,-0.194655996794881,-0.199919252545908,-0.0325899523238944,0.0337310595523785,0.0428156453861987,0.059951079901923,-0.033651983385007,-0.0285024487769596,-0.0184894601163583,-0.0418450291672595,-0.0570289679050588,-0.0264171485066663,0.0372426197965658,0.0496473982449384
"asc_Op3",0.486211865962369,1,-0.2217831758773,0.411189149593663,-0.478321546053367,-0.061035540343988,0.0486526596779953,0.0410481237063146,-0.00102052360567393,-0.0374274754261878,0.232589215482688,0.27068367885377,0.283666166395712,-0.0847550335695525,0.027581785261899,0.136350902881719,0.161314838619843,-0.0177836057390662,0.0400136549626546,-0.000370792247839638,-0.00769089183471624,0.0236531521862838,-0.0169880740184522,-0.202372404074252,0.0101919888071816,-0.0875049402219741,0.105095679838035,0.106920064093201,0.13759604474202,0.13224503926656,0.061027105025275,0.135216341653612,0.162545592173439,0.172774274375541,0.126866695247289,-0.00023998989588416,0.00715884248722891,0.0145012322529575,0.0109070117858152,0.141555627401107,0.0303099546208148,-0.062158707499024,-0.124389461564627,0.106446135150663,0.129482831371573,0.202033230592095,0.146143342137702,0.168418151709516,0.193819007732231,0.145678717745448,0.0562181004303697,0.104011375956655,0.153047745552077,0.18493819566915,0.213633109941296
"b_tt",0.383615459691819,-0.2217831758773,1,-0.496295874031187,0.305729013306657,0.123009774310431,0.12323665563102,0.0920146204474149,-0.298982597291193,-0.271615070398436,-0.30524185421065,0.0309561765372231,-0.105305760499491,-0.0561804178893607,0.0382384875856089,-0.0642062046640975,0.0431135472245107,0.0290453240047575,-0.00320334050740648,-0.0491743771450289,0.0670562275088196,0.0545556059713695,0.019839270451567,0.00498456733351818,0.0098090901156553,0.0360376114518911,-0.0350228551348738,-0.0129686602144972,0.0273526174554779,0.0289622178731361,0.0384306532059334,0.0183137984243915,0.026638530830072,0.0284747789918473,0.0664776605692712,-0.0194502537950755,-0.0738882841118167,-0.0729406192654652,-0.103529974202054,0.0649998999204916,0.0280801997223656,0.000698501449881162,-0.00338277692008198,0.0847725774095373,0.0222603122880261,-0.0214602824273889,-0.0257431703110719,0.00593372423400698,-0.0363912888974263,0.0307940824819782,-0.0453778135374401,0.0815856773107605,-0.00962469419366923,-0.0375413319323121,-0.043585857818931
"b_dt",0.000770363443154964,0.411189149593663,-0.496295874031187,1,-0.122530683697177,-0.0165864343157091,-0.110402882235554,-0.0154148788048279,-0.1551598176491,-0.156693778724478,0.186962212492705,0.0801272729167264,0.0318017720098689,-0.130404077445862,0.00780756951945429,0.05551715926767,0.00541309276867336,-0.0815796898537988,0.0502637169719932,-0.0470912845726453,0.124004747821607,0.0492455230502486,-0.0745790900006408,-0.0819305577316644,0.0121507584622921,-0.185906560791781,0.0344771138704916,-0.0891593974455553,0.015489877572443,0.118151154450181,0.134155348616008,0.0011870450762785,0.0191529832728599,0.0349039714059226,-0.00403751004611695,0.0588577749800397,0.115104444227916,0.12662634402856,0.14543236984404,-0.0727657497761382,-0.100826250127483,-0.0942770408371631,-0.0890268411857653,-0.138488329756547,-0.0471353383305483,-0.0180655824502101,-0.00834083592142445,0.04324379447535,0.0237626982575185,-0.0491117996853825,-0.100511725388872,-0.0619977793896868,-0.0239950795284076,-0.0120715434414834,0.0339490616508668
"b_CongAB",0.0316172878691628,-0.478321546053367,0.305729013306657,-0.122530683697176,1,0.499445964777275,-0.0438300901606954,0.00337951258842695,-0.0308589321968021,-0.0638733306516901,-0.0332655701351879,-0.00336888563097292,-0.205980563026371,0.0930543516868803,0.033687006313767,0.0136084838259359,0.00787568115558558,-0.0236044199401294,-0.0545997482208315,0.0486481603381407,0.00116386498994831,-0.0194846426588576,0.0280531381748992,0.0533149447009511,0.00424769922064987,-0.00915484616447857,-0.0600334639108531,-0.0141191330385736,0.000888385682184639,0.0245019335600519,0.0117907689817944,0.00253441148179477,-0.0210465183168396,-0.00806166679929287,-0.00752122083772889,-0.0739492055658046,-0.0295978164868662,-0.0194093499816459,-0.0647892378851818,0.0235723904395125,0.0305130851921657,0.0502295539767473,0.0757214816004135,-0.0482370828821506,-0.0289840977416929,-0.0844910322729249,-0.0192450310945313,-0.0200073252426702,-0.0264560477471175,0.00313417461761504,0.00830380532650386,-0.0234561850372039,-0.0478679028398534,-0.0814823462351659,-0.0652930881150302
"b_CongCD",0.0554654405882804,-0.0610355403439878,0.123009774310431,-0.016586434315709,0.499445964777275,1,-0.0253876287832709,0.0504643341865687,-0.00204624690585644,-0.0157198205552877,0.0750199936558408,-0.0292733111341717,-0.12350465781774,0.0330381494768452,0.116024764053597,-0.0613495531365613,0.00956819045774276,-0.0790302935468269,-0.107355776687734,-0.0447527313976334,0.0377630811667574,0.0685818083281341,0.0434999786778672,0.00122291659864438,0.0329522916425775,-0.161135848133926,-0.0561006410210434,-0.0514737196029755,-0.0650262249525827,0.0104454352829792,0.0316336341130253,-0.0263713813749141,-0.0505598223618137,-0.0086820350622898,0.0249371075031467,-0.046171684456926,-0.0115239560273269,-0.00745407703478474,-0.0480863862887704,0.00358545324965469,0.0158482299786736,-0.00515747623470035,0.024059512126723,-0.0677191106079844,-0.0366917611239104,-0.0350065817580349,-0.0195770814426813,0.0529605845788804,0.0158323629688082,0.00962283009990531,-0.0647235638840916,-0.0880880820627276,-0.0862651256226905,-0.0723739259382045,-0.0351117366137091
"b_Sem_1",0.057732339988004,0.0486526596779953,0.12323665563102,-0.110402882235554,-0.0438300901606955,-0.025387628783271,1,0.6398827591344,-0.20895311948389,-0.156408730015695,-0.0744662493614156,0.0929056888215022,0.0552699229177753,0.127126993643202,-0.0210604679186727,-0.0520809171534921,-0.0237724011063212,-0.0202190885930052,0.0354821040225318,0.0331842588823916,-0.0692669920827145,-0.00594961305147415,0.123806646697977,-0.103984010545575,-0.0386348171327526,0.111206640743541,0.0788394473898707,0.0219539470425108,-0.0333930616614917,-0.0691910708483215,-0.0760025931161818,-0.017992565648331,-0.0171774985340973,-0.00553622571569276,0.0294456987484211,-0.0763549151010186,-0.0885235241206495,-0.177325643748518,-0.116638753262801,0.0207326172355946,-0.0122893604472109,-0.0767652082427774,-0.117240490729173,0.0139064348073899,-0.0331862114875024,-0.0541677900981321,-0.0262915435941346,-0.0765500231217823,-0.0118856699096578,0.0103491387220534,0.0896133517017521,-0.0192420696211834,3.35385696847419e-05,0.070624330141254,0.0908637182639831
"b_Sem_2",0.0981052293982269,0.0410481237063145,0.0920146204474148,-0.0154148788048279,0.00337951258842699,0.0504643341865686,0.6398827591344,1,-0.210710724166413,-0.124508040742173,-0.0745552425490666,0.0163562710998296,0.0354303613026514,0.0895521277188353,-0.0384200425202233,-0.00702435381522094,-0.0542138950230986,-0.0109695177863772,-0.0110739043816931,0.0159269951988984,0.000846318616919115,0.000791296647308875,0.051629851556265,-0.0777586262688064,0.0189255585361503,0.0264802853572494,0.0576832837809854,-0.0440173587600512,-0.0276235441320379,-0.00732429594502599,-0.028473399967494,-0.0546313912464408,-0.0489000919333971,-0.0417775786598543,-0.0509559885937717,-0.0603242447439879,-0.00735529949199456,-0.115925840413695,-0.0425284363590111,-0.00073263340443543,-0.087943012844964,-0.115284039476655,-0.129883704329646,0.0018490030725238,-0.0243762111801005,-0.0687902484305433,-0.00280210352533466,-0.0974487704672669,-0.0521969528186929,-0.0405600274946998,0.00369355398675126,-0.0485799025091978,0.00528852917669759,0.0379717690171502,0.0311499956212965
"b_ACC_0",-0.146607408305431,-0.00102052360567376,-0.298982597291193,-0.1551598176491,-0.0308589321968021,-0.00204624690585643,-0.20895311948389,-0.210710724166413,1,0.836110814475984,0.150557697681259,-0.00234057787571655,0.102237303801521,0.165616573877714,-0.037058276620028,0.149464070670785,0.0387028777953508,-0.0908768895957595,-0.0100860973117967,0.0329467660657076,-0.093154331454353,-0.015703524655902,-0.0170094986320857,0.0249023969611797,-0.106195936661008,0.0728532826177598,-0.0547908911435418,0.103388171062521,0.0714025004397458,0.00873351631095706,-0.0722768559859983,0.019329357144654,0.0325965135882738,0.00211386415648715,0.0229267689155705,-0.146211124374271,-0.0547638945026758,0.0187200400250818,-0.00773799743489254,0.0274521745298699,0.0704983477046804,0.120854730891988,0.0638671078220019,0.0219932631764803,-0.011143559139265,0.00130084375228228,-0.00727228981175111,0.00250534706124987,0.0613437523595501,0.0739081044801524,0.0841059268159953,0.0325655940875474,0.106283965124838,0.0245977635275657,0.0328091909767081
"b_ACC_1",-0.13743945282005,-0.0374274754261877,-0.271615070398435,-0.156693778724478,-0.06387333065169,-0.0157198205552878,-0.156408730015695,-0.124508040742173,0.836110814475984,1,0.0282141449442963,-0.0831061131590615,-0.0404143310578959,0.20433117141146,0.0501286763469795,0.0415226925001074,-0.0459021668610231,-0.0736858570446196,-0.048766332596119,0.0203211776184507,-0.0834067179854366,0.00974888146885791,0.0391011979889905,0.044580312790311,-0.0593232276440935,0.0572878318161101,-0.0745113876339765,0.0431246221027569,-0.0264342210526593,-0.0461900914939014,-0.095944447841673,-0.0633539035007833,-0.0458639378071836,-0.0434477201046387,-0.02910214631241,-0.120254875737243,-0.0274273287124544,-0.00467246180800532,-0.0384212827999937,-0.0560948836300963,0.0150306115769646,0.063260029484917,0.0481707506785743,-0.0117250311604328,-0.0458319583065232,-0.0276448748400963,-0.042332282314413,-0.0542318705754852,-0.000858256085594524,0.018903643158094,0.0340565419898551,-0.0181811444493442,0.0649971065572427,-0.0315907933335938,-0.0240031506402836
