"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_Op1",0.0442309021717178,0.0284075065228455,0.00230620810828196,1.57791662061704e-05,0.00184421126522496,0.00254574867710706,0.00427848592360114,0.0053894683230158,-0.0162952587323521,-0.0156872169097489,-0.00505133075343422,0.0115912639477409,0.00471834870285237,0.00184353770730551,0.00171907136842965,-0.00104372539598914,-0.000545350385543818,-0.00369853081508907,-0.00362252492345806,0.0026196638053224,-0.000279757973771796,0.00280555497133187,0.00114319195775627,-0.0174771324535207,0.0154880441251124,-0.000682818135366708,0.00630023139980089,-0.00588996152553263,-0.0111675169078721,-0.0118529287748427,-0.00985479434253647,-0.00386062451299155,-0.00325189392517693,-0.00110729870730624,0.00268382853808191,0.00226705007593243,0.00259906494612002,0.00219121148350126,0.00168219977640784,-0.00431056764161007,-0.0213009317980387,-0.029856162104935,-0.0414357284036266,-0.00309780563818114,0.00377028957147477,0.00603330524564067,0.0100740312638455,-0.00147650439182314,-0.00121694182972583,-0.000825686639782885,-0.00260780819544805,-0.00327493541067002,-0.00151368203564645,0.00260814450376761,0.00403167742632024
"asc_Op3",0.0284075065228455,0.0771772545674228,-0.00176121654169397,0.011125301644121,-0.0368542659161817,-0.00370047621521164,0.00476276657867217,0.00297871423133039,-0.00014983392718962,-0.00564295753248842,0.017842820654303,0.0156605286236246,0.0194024654345875,-0.0086176320703996,0.00188717718915552,0.00615832396789511,0.00637947924233675,-0.000801186869228148,0.00372230715185594,-2.42615501264996e-05,-0.002153971896102,0.00211546087602142,-0.000755380799959204,-0.030375994168408,0.00151921945508776,-0.00246189096810379,0.00771105516536212,0.0343017053517446,0.0321370781702549,0.0418038646677807,0.0324288714924667,0.0181546436714297,0.0198022818214518,0.0224791380196707,0.0214980186016981,-1.39952298934969e-05,0.000314372525984441,0.00059147988930463,0.000473618302085972,0.018083910672004,0.00475045721846897,-0.0125936010603722,-0.0340553783902463,0.0133654043505774,0.0191178334898887,0.0376060202677797,0.0324389719824435,0.00976100955730901,0.0109311480176342,0.00859347665055194,0.00462796112005015,0.00788986973097746,0.0115839698793814,0.0171080222451195,0.0229160419808445
"b_tt",0.00230620810828196,-0.00176121654169397,0.000817107110795493,-0.00138167419320695,0.00242381410211165,0.000767377881930025,0.00124133055932651,0.000687048192171599,-0.00451676869170112,-0.00421371291342634,-0.00240942189044508,0.000184283517958578,-0.000741133322306228,-0.000587763002457996,0.000269206687668834,-0.000298384558783106,0.000175436316182023,0.000134643396692136,-3.06621018375394e-05,-0.000331071350031917,0.00193240111042438,0.000502053718438055,9.07699983208344e-05,7.69841837093756e-05,0.000150447554232213,0.000104324682920261,-0.00026440844757695,-0.00042810120040995,0.00065734620952066,0.000942027740200241,0.0021012690592092,0.000253006576178197,0.000333922083268382,0.000381202526579979,0.00115910123150649,-0.00011670976225154,-0.00033386599787601,-0.000306125391169608,-0.000462576570736639,0.000854422614170112,0.00045284038385078,1.45616336452888e-05,-9.52950436491074e-05,0.00109522266933956,0.00033818362286099,-0.000411021777275679,-0.00058795611265576,3.53857196398338e-05,-0.000211184324639317,0.000186911013374792,-0.000384372167943655,0.000636792216868496,-7.495701005766e-05,-0.000357336763332663,-0.000481073546714728
"b_dt",1.57791662061729e-05,0.011125301644121,-0.00138167419320695,0.00948529784510066,-0.00330973712465553,-0.000352540227354136,-0.00378890700304915,-0.000392153836428053,-0.00798632890515481,-0.00828225934315482,0.00502815432721499,0.0016251952075702,0.00076257317203062,-0.00464830313457431,0.000187278097602763,0.000879047965744062,7.5047668450668e-05,-0.00128847760643669,0.00163922816989835,-0.00108021265487987,0.0121753783622162,0.00154405778677934,-0.00116257157661327,-0.00431127717424305,0.000634959151264137,-0.00183363032525671,0.000886830606386676,-0.0100277719805417,0.00126832118886191,0.013093502525789,0.0249918199231503,5.58735907110707e-05,0.000818007513977521,0.00159204831708389,-0.000239853050814932,0.00120329397855874,0.0017720447847622,0.00181067275273814,0.00221393363765272,-0.00325891509914988,-0.00553993366114024,-0.00669629722718529,-0.00854483950670445,-0.00609601750818704,-0.00243979838581518,-0.0011788739176858,-0.000649050440865484,0.000878638965654434,0.000469835670845018,-0.00101563922110039,-0.00290075524733879,-0.00164871636623437,-0.000636698021399039,-0.000391486522446029,0.00127667291563365
"b_CongAB",0.00184421126522496,-0.0368542659161818,0.00242381410211165,-0.00330973712465553,0.0769212470752196,0.0302302561906201,-0.00428354733494988,0.00024483195134611,-0.00452320735855766,-0.00961422555060197,-0.00254769481489482,-0.000194584888777559,-0.0140654656839223,0.00944577575429886,0.0023010773579958,0.000613610455228409,0.000310940671288782,-0.00106166091596355,-0.00507076074363842,0.00317784577964019,0.000325420141185696,-0.00173975027056137,0.00124532223878207,0.00798926209039756,0.000632111698207398,-0.000257137720225466,-0.00439744933622483,-0.00452212983974898,0.000207147876305844,0.00773242821269189,0.00625503426372725,0.000339714567575107,-0.00255975734151484,-0.00104713798984094,-0.00127238237160887,-0.00430525706279734,-0.00129759733962537,-0.000790359288098946,-0.00280869163684224,0.00300640396575372,0.00477435537640538,0.0101598143848145,0.0206966340533901,-0.00604660691390068,-0.00427232978081675,-0.0157008686035493,-0.00426466734166119,-0.00115763958497917,-0.00148961099959744,0.00018457567947127,0.000682447409270571,-0.00177633496971179,-0.00361704056513349,-0.00752515087140272,-0.00699224684481173
"b_CongCD",0.00254574867710705,-0.00370047621521163,0.000767377881930025,-0.000352540227354133,0.0302302561906201,0.0476277780956725,-0.00195236200978841,0.00287677287828649,-0.000236010128670568,-0.00186186989713439,0.00452102030531768,-0.00133045960790134,-0.00663618086324402,0.00263890441417808,0.00623629279998421,-0.00217671422604309,0.000297252982105937,-0.00279700404602582,-0.00784539655150208,-0.00230034483751883,0.00830837804149932,0.00481848378620505,0.00151948472808925,0.000144198767264365,0.00385862608644804,-0.00356134387376385,-0.00323357000768345,-0.0129726156830032,-0.0119309349892315,0.00259387524228734,0.0132051595327492,-0.0027814862992653,-0.00483872652649683,-0.000887375859174485,0.00331957421780733,-0.00211518470095281,-0.000397547354950592,-0.000238844062462386,-0.00164032662081564,0.000359827852067413,0.00195126559914353,-0.000820863017615231,0.00517457203177487,-0.00667957681041946,-0.00425579345970564,-0.00511881897639598,-0.00341366966825878,0.00241126037545527,0.000701456340490239,0.000445924267092233,-0.00418563598165275,-0.00524918215004447,-0.00512921897385445,-0.00525945592344719,-0.00295875397632851
"b_Sem_1",0.00427848592360112,0.00476276657867216,0.00124133055932651,-0.00378890700304914,-0.00428354733494989,-0.00195236200978842,0.124169832760249,0.0588978340566918,-0.0389134156031734,-0.0299116674054012,-0.00724597451338628,0.00681789079024738,0.00479514366393665,0.0163954601472771,-0.00182777068275899,-0.00298364070075267,-0.00119246968027954,-0.00115541755577674,0.00418674715668579,0.00275412348127782,-0.0246066812403735,-0.000674944524228184,0.00698279260988756,-0.0197974456312873,-0.00730472417471079,0.00396853623566977,0.00733729369403261,0.00893372334516708,-0.00989281901490993,-0.0277428121197008,-0.0512272287856222,-0.00306418532933186,-0.00265438152281534,-0.000913645563906606,0.00632901401404063,-0.00564790604606112,-0.00493087346612654,-0.00917423805724058,-0.00642434637649613,0.00335956253446438,-0.00244310871461135,-0.0197276690707069,-0.0407139402725194,0.00221478408535901,-0.00621509182070093,-0.0127890731275999,-0.00740231424028391,-0.0056274876779325,-0.000850269223346337,0.000774355495629245,0.00935728034530146,-0.0018514166203444,3.21987050427713e-06,0.00828687746619641,0.0123630303852087
"b_Sem_2",0.00538946832301579,0.00297871423133038,0.000687048192171598,-0.000392153836428052,0.000244831951346113,0.00287677287828648,0.0588978340566917,0.0682309996880919,-0.0290884079311559,-0.0176506153886107,-0.00537772176037886,0.000889764044961866,0.00227861611551025,0.00856139552273942,-0.00247169199608967,-0.000298302640138286,-0.00201589415524178,-0.000464673325554032,-0.000968614481174925,0.000979868853922051,0.000222865799666196,6.65428659813153e-05,0.0021585836251571,-0.0109742283800828,0.00265250667332527,0.000700495110087419,0.0039794690064104,-0.01327781720856,-0.00606633014329979,-0.0021769533960872,-0.0142263864026967,-0.00689679016108324,-0.0056013913981473,-0.00511081365305276,-0.00811880748675946,-0.00330769287166614,-0.000303702483414344,-0.0044459188582825,-0.00173639414985604,-8.80031332773688e-05,-0.0129597812099234,-0.021961568094273,-0.0334351282257024,0.000218291106322994,-0.00338406655269427,-0.0120394777861151,-0.000584814899446276,-0.00531041436094309,-0.0027679660818366,-0.00224966181271458,0.000285893440137607,-0.00346490901110021,0.000376367047529474,0.00330278440322729,0.00314177616735829
"b_ACC_0",-0.0162952587323521,-0.000149833927189595,-0.00451676869170112,-0.0079863289051548,-0.00452320735855766,-0.000236010128670566,-0.0389134156031734,-0.0290884079311559,0.279308974553389,0.23981584337503,0.0219722576940666,-0.000257611487534347,0.0133032131395311,0.032034948221059,-0.00482362243926329,0.0128421903388425,0.00291173570389762,-0.00778870469645724,-0.00178494533583061,0.00410108220340602,-0.0496322730032839,-0.00267184275356408,-0.00143883532751925,0.00711079476752041,-0.0301139175919413,0.00389926857840741,-0.00764777483144521,0.063099386523668,0.0317257313357731,0.00525199085772265,-0.0730644471180878,0.00493712065279962,0.00755455651375748,0.000523209274112139,0.00739079988575639,-0.0162205389034435,-0.00457502935916234,0.00145257856135642,-0.000639218091393993,0.00667174974873675,0.0210197161027562,0.0465810629290152,0.0332642054686311,0.00525339018307597,-0.00313002777965696,0.000460635585310849,-0.00307083872043813,0.000276230430345111,0.00658169161753137,0.0082939733909033,0.0131715813407822,0.0046994364262428,0.0153036848508896,0.00432879076809337,0.00669521226543555
"b_ACC_1",-0.0156872169097489,-0.00564295753248841,-0.00421371291342634,-0.00828225934315481,-0.00961422555060196,-0.0018618698971344,-0.0299116674054012,-0.0176506153886107,0.23981584337503,0.294539245973871,0.00422831907343781,-0.00939299824073637,-0.00540022302674499,0.0405867237189261,0.00670044220289088,0.0036636750225477,-0.00354626365190323,-0.00648522522555945,-0.00886239296047169,0.00259754867368174,-0.0456342885371755,0.0017033256422955,0.00339655603308198,0.0130722168577189,-0.0172748096238024,0.00314865843408113,-0.0106801787236147,0.0270276774098573,-0.0120612933173591,-0.0285241550443625,-0.0995991971450235,-0.0166172383409298,-0.0109153660004357,-0.0110431886403845,-0.00963391365904125,-0.0136998778856072,-0.00235294736339536,-0.000372312620082082,-0.00325927854405048,-0.013999592299905,0.00460207508032939,0.0250382671526981,0.0257639506817215,-0.00287602815182953,-0.0132197068328945,-0.0100525471336014,-0.0183563637083932,-0.00614026830148328,-9.45612541304614e-05,0.00217843810166269,0.00547697812261722,-0.00269424528184962,0.0096106205236413,-0.00570900791615335,-0.00502997955528327
