"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.0873792193868309,0.0740729577592512,0.0756872244453269,-0.0118033200268496,0.0553416327828994,-0.00233009306610294,0.0022050327324809,0.00727086195567907,-0.00279437669799485,0.00342451784057677,-0.00310893700412103,-0.00040388887062332,0.000613323212774722,0.00441131678822452
"asc_ruta2",0.0740729577592512,0.103442389042955,0.0728248539104772,-0.0469937734171392,0.00060359317249799,-0.000389432058532932,0.00572265021486387,0.00223177536584166,0.00223669110372621,0.0100371472915163,0.00309325276709517,-0.000795138401873258,0.00244665996153896,0.0136686501080121
"asc_rutaEC",0.0756872244453269,0.0728248539104772,0.126102399157539,0.0579283386489882,0.0104619018637191,0.0126423015153603,0.0516173480451728,-0.000789706530297419,-0.00405951729060937,0.021050400517186,-0.000444016125773588,0.00500390816713913,0.0042476551820423,-8.90921556005439e-05
"b_tt",-0.0118033200268496,-0.0469937734171392,0.0579283386489882,1.19101997231641,-0.463208416752265,-0.0185917409765151,-0.0623648034803199,-0.0245685777506749,-0.0229756640338762,0.0061063862084315,-0.0412262350720201,0.0142855821913772,-0.033775073596766,-0.0496376566824849
"b_dt",0.0553416327828994,0.00060359317249799,0.0104619018637191,-0.463208416752265,1.95224276183266,-0.0174101777406439,-0.00839714978529883,0.086333972362107,-0.0171709305295305,-0.0018177976684627,-0.0270798848699326,-0.0100870703675705,-0.0114534958689872,-0.0554185316232005
"b_CongCD",-0.00233009306610294,-0.000389432058532932,0.0126423015153603,-0.0185917409765151,-0.0174101777406439,0.0713643878979824,0.0378394897292005,0.00083735316673206,0.00654384156615465,0.0116965215135631,0.00449821029259675,-0.000287987725070296,0.00358436076017196,-0.00546044309734322
"b_CongEF",0.0022050327324809,0.00572265021486387,0.0516173480451728,-0.0623648034803199,-0.00839714978529883,0.0378394897292005,0.0848091724712961,0.000596134647301364,0.00300212542136988,0.0186047266193543,0.0022101806718655,-0.00153460130748017,0.00716473277710898,0.0035944730733669
"b_Sem",0.00727086195567907,0.00223177536584166,-0.000789706530297419,-0.0245685777506749,0.086333972362107,0.00083735316673206,0.000596134647301364,0.0259761098713739,-0.00336035980896847,0.00336788757761312,-0.00306667328856467,-0.00215406790167179,-0.00114969574300482,-0.00711238693265427
"b_ACC_1",-0.00279437669799485,0.00223669110372621,-0.00405951729060937,-0.0229756640338762,-0.0171709305295305,0.00654384156615465,0.00300212542136988,-0.00336035980896847,0.0908843695680573,0.0359980571988715,-0.00252428070939091,-0.00281156311970215,-0.0019122112062105,0.0048666945092496
"b_ACC_2",0.00342451784057677,0.0100371472915163,0.021050400517186,0.0061063862084315,-0.0018177976684627,0.0116965215135631,0.0186047266193543,0.00336788757761312,0.0359980571988715,1.22738548728999,-0.00113859675526685,0.0089726522539572,-0.00276863956520904,-0.00997569205725764
"b_SI_CAMFD",-0.00310893700412103,0.00309325276709517,-0.000444016125773588,-0.0412262350720201,-0.0270798848699326,0.00449821029259675,0.0022101806718655,-0.00306667328856467,-0.00252428070939091,-0.00113859675526685,0.0766725983171694,-0.00410942690217383,0.00802443494713728,0.0103869452240911
"b_SI_PANEL",-0.00040388887062332,-0.000795138401873258,0.00500390816713913,0.0142855821913772,-0.0100870703675705,-0.000287987725070296,-0.00153460130748017,-0.00215406790167179,-0.00281156311970215,0.0089726522539572,-0.00410942690217383,0.0426872155142309,0.000802379281645318,-0.00453012061217496
"b_SI_ZER",0.000613323212774722,0.00244665996153896,0.0042476551820423,-0.033775073596766,-0.0114534958689872,0.00358436076017196,0.00716473277710898,-0.00114969574300482,-0.0019122112062105,-0.00276863956520904,0.00802443494713728,0.000802379281645318,0.0623950295771035,-0.00223012248681075
"b_Si_MTRP",0.00441131678822452,0.0136686501080121,-8.90921556005439e-05,-0.0496376566824849,-0.0554185316232005,-0.00546044309734322,0.0035944730733669,-0.00711238693265427,0.0048666945092496,-0.00997569205725764,0.0103869452240911,-0.00453012061217496,-0.00223012248681075,0.117476120772351
