"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.82246359278484,0.295599762156249,6.1653080485955,7.03460623086016e-10,0.297522805946587,6.12545847363384,9.04228469877921e-10
"asc_ruta2",0.852705774267347,0.321624608888926,2.65124542930056,0.00801955428897694,0.322700578430048,2.64240547201928,0.00823194404147753
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_rutaEC",2.26303315956024,0.355108996165317,6.37278464921431,1.85626403137462e-10,0.387578072048947,5.83890917150349,5.25437027221187e-09
"b_tt",2.95278184697088,1.0913386148746,2.7056513961161,0.00681705664368892,1.18791987825593,2.48567424539278,0.0129306268115534
"b_dt",-2.60061487877259,1.39722681116298,-1.86126894931825,0.0627062057646695,1.29238095324962,-2.01226648553856,0.044191853312066
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",0.0515903007226075,0.267141138535386,0.193120015155486,0.846864977882173,0.270308773117643,0.190856923094222,0.848637690104167
"b_CongEF",0.172350048998429,0.291220144343238,0.591820491632246,0.553970799763063,0.31121840776806,0.553791307636517,0.579721677814096
"b_Sem",0.291554343510956,0.161171057796907,1.80897456091866,0.0704549555758076,0.132223749333144,2.20500738317721,0.0274535764435317
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.366678148269163,0.301470346084084,-1.21629922488924,0.223870956696394,0.289458651150406,-1.26677211688737,0.205236784864464
"b_ACC_2",-2.59160498750212,1.1078743102401,-2.33925903285947,0.019322031542073,0.820504206202153,-3.15855173917733,0.00158555162061358
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.678185391208743,0.276898173192185,-2.44922306055821,0.0143164756697285,0.268880420710129,-2.52225650873952,0.0116604645339118
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.299119165244529,0.206608846650454,-1.4477558444077,0.147685345766149,0.181913902270425,-1.64428975197218,0.100116365163522
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.00474800459190767,0.249789970929786,-0.019007987287217,0.984834733627932,0.236905822043343,-0.0200417387422374,0.984010076541958
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.108232943520793,0.342747896816816,0.315780036948379,0.752169471592185,0.33653572488948,0.321609075994348,0.747748867218548
