"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC"
"asc_ruta1",2.02600134425961,0.739939308960098,1.70455617941117,-0.00349247800762035,-0.0556536285933843,0.0190420699250706,-0.00707547935405286,0.038948945542267,0.0304159463582324,0.0789951244392651,0.227961713039797,-0.0451616939688159,-0.0420289611728848,-0.589355317908664,0.707727743060434,1.39797504303931,-0.239686839112605,-0.555816974114251,0.738345659629915,1.41297132824991,-0.202954600189493,-0.533506064975277,0.760402573750461,1.46560017223321,-0.191947505409196,-0.519876637956924,0.784329421700566,1.45910816275996,-0.151031182017224
"asc_ruta2",0.739939308960098,-12783.7569543194,0.75266221311879,-0.00200849231014691,-0.0245030557675898,0.008467540219421,0.00795678140667278,0.00390108403413002,-0.00310637419426647,0.179904056558366,0.114161028525577,-0.0200024964283798,-0.0142525967126165,-0.0359238816078317,12784.4726617538,0.688197129876243,-0.0320762115355061,-0.0171724290844853,12784.5002380794,0.694893707544462,-0.0114945390635657,-0.00853062606902706,12784.5348296317,0.723185794962449,-0.00586871979855166,-0.0192294851766501,12784.4768055343,0.709551198446538,-0.0157247811996721
"asc_rutaEC",1.70455617941117,0.75266221311879,2.02016890128065,-0.00991449122020049,-0.041563563875229,0.0260059574589279,0.0136577738422684,0.027381589937588,0.03206923844781,0.0698589165123506,0.224685630545632,-0.167239764293485,-0.156736346224387,-0.277089752064753,0.713642480620353,1.41620485243693,-0.425282447435587,-0.22760012707425,0.743950349938653,1.43135820158858,-0.3811300249564,-0.204114608612928,0.771284901335292,1.49704452214271,-0.371492758959102,-0.200016962344635,0.792819730862911,1.5009352703853,-0.37644569832917
"b_tt",-0.00349247800762035,-0.00200849231014691,-0.00991449122020049,0.00073335899698349,-0.00110632564083246,-0.000469039979429786,-0.000795125331739176,0.000476532529632837,-0.000458922154849736,0.00156637766957271,0.000910275060939823,0.00434034885935126,0.00336662342589333,0.00223503440650596,-0.00106391048918906,-0.00414826013355398,0.0033411104313564,0.00083549037423177,-0.001401364885701,-0.00454021921303411,0.00132276021167739,0.000897593214621076,-0.00183246016821936,-0.00526975072301309,0.0012184144307183,0.00186543288653445,-0.00205560999122478,-0.00632252424631283,0.00132497245724837
"b_dt",-0.0556536285933843,-0.0245030557675898,-0.041563563875229,-0.00110632564083246,0.0145477573965682,-0.00101350262115655,-1.9172568703837e-05,-0.00782981779215982,-0.0033688084592085,-0.00181100612808549,-0.000368139333194028,-0.00341323175340431,-0.00313202894025869,0.00812466871736385,-0.0203513424962341,-0.0570497678412947,0.00210380804908337,0.0118142434397686,-0.0222826683376271,-0.0512630125218723,0.00611119932526591,0.00865584318828735,-0.0230115887665789,-0.0483701486127465,0.00606013023206136,0.00585767410337319,-0.0233448672388461,-0.0463507667001543,0.00362900622334908
"b_CongAB_ruta1",0.0190420699250706,0.008467540219421,0.0260059574589279,-0.000469039979429786,-0.00101350262115655,0.234162599620617,0.046728424561845,0.0576974731064525,0.0197911158948772,0.0571545919507419,0.0233847240810513,0.0173607633836591,0.0106376400279766,-0.0468676356293,0.0272171248196937,0.0400479351516044,0.0222456688636073,-0.0317193928233003,0.012926463514364,0.0249012387142398,-0.00619693126939817,-0.0368113639108941,0.00761079041782003,0.0210987907159077,-0.0159134364264249,-0.0126571791027381,0.0079657671479359,0.0218066297659255,-0.00536166468182265
"b_CongCD_ruta1",-0.00707547935405286,0.00795678140667278,0.0136577738422684,-0.000795125331739176,-1.9172568703837e-05,0.046728424561845,0.089585221013415,0.0162872288466006,0.0190452073198651,0.00718914903235871,0.0132500627414975,0.00625297802546859,0.0106364021132656,-0.0233915591449652,0.00576358126725701,0.0201540151082558,-0.0012039879259948,-0.0117634755869391,0.0083697601829829,0.0196557499328909,0.00606960619799276,-0.0142749227446284,0.00589015861531838,0.0203799204231028,0.00229753846658798,-0.0125668429311723,0.00132078060053308,0.020168172766373,-0.000932705866641118
"b_CongAB_ruta2",0.038948945542267,0.00390108403413002,0.027381589937588,0.000476532529632837,-0.00782981779215982,0.0576974731064525,0.0162872288466006,1.19454586811165,0.0718944108957032,0.0736077465154034,0.0239084437929011,0.0149913233351949,0.0215718252587197,0.00209767176440123,-0.232877284332906,0.0607527005921896,0.0293301643555027,-0.001295870165658,-0.0400073558850607,0.0400803321525215,-0.000929721400331505,-0.00498135699767314,0.00182406044845996,0.0362367455061404,-0.0015489102400255,-0.00241104831187937,0.00837088120353851,0.0400540745881553,-0.00171672579155251
"b_CongCD_ruta2",0.0304159463582324,-0.00310637419426647,0.03206923844781,-0.000458922154849736,-0.0033688084592085,0.0197911158948772,0.0190452073198651,0.0718944108957032,0.190965812109954,0.00683367050876176,0.0145670834259799,0.00708918105157051,0.0116745305181968,-0.0170340443192014,-0.034124165084587,0.0282713127216606,-0.0141504146407141,-0.00931782045849078,-0.0411096530923368,0.0323362125346522,-0.00695214984328263,-0.00369891387629669,-0.0102441686535695,0.0317688604872599,-0.00359476514391741,-0.00299142768639817,-0.00645741273402822,0.0352087379089978,-0.00376473275740515
"b_CongAB_ruta3",0.0789951244392651,0.179904056558366,0.0698589165123506,0.00156637766957271,-0.00181100612808549,0.0571545919507419,0.00718914903235871,0.0736077465154034,0.00683367050876176,4824447.06117697,0.12750468949876,0.0142412450540116,0.0123741995220789,0.030992341439164,-0.0734283766048897,-0.104041977003589,0.0529868643973671,0.017800797177993,-0.0900064810126116,-0.0846558033751439,0.0112023673644151,0.00129325550339676,-0.0985785393836114,0.00711199281355522,0.00220295283855255,0.00651574528598477,-0.100901152061748,0.0389265928453285,0.000239027822850367
