"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC"
"asc_ruta1",1,0.914847723022012,0.894832344516209,-0.245669599495195,-0.468220741922154,0.091662197987818,0.0991259630968149,0.0393823040612676,0.0906926802005993,0.212441512839533,0.528472467204586,-0.133251804992787,-0.113601535882941,-0.613620327455603,0.533617192475601,0.772930757902147,-0.266676488481163,-0.596346698014889,0.845908085352188,0.850310664082118,-0.232941813865441,-0.585774282591418,0.920663132230788,0.893800792281894,-0.247351281077389,-0.517527602648389,0.776237715646249,0.863260901842746,-0.0256777432937075
"asc_ruta2",0.91484772303021,1,0.934937467108123,-0.285262740527159,-0.482767380538632,0.097139758894593,0.141387089210818,0.023955050219081,0.0532580718318601,0.183619730793373,0.549564542497274,-0.122185125864879,-0.0931576000239811,-0.339696935321553,0.549312948756,0.82854381191943,-0.265810001311973,-0.285043303531301,0.884313349865009,0.923666250788972,-0.211244871817064,-0.267226933672209,0.994400506326035,0.951668874741505,-0.228374128308138,-0.235042030132698,0.768499019952929,0.916816544430035,-0.0244293308585733
"asc_rutaEC",0.894832344516215,0.934937467062653,1,-0.409971269738137,-0.380455891111293,0.0981651525814075,0.118628782383314,0.0301915470379785,0.126844534233144,0.149534819165905,0.498998351960518,-0.266345201706396,-0.226359717030692,-0.372471053502619,0.531941673251259,0.796613538289507,-0.438050675274535,-0.314078206751283,0.851487023331274,0.889563287529423,-0.438061707811639,-0.293683309945161,0.936267453878051,0.930982555997934,-0.442937825743082,-0.230485525644464,0.785656124470602,0.880879809162335,-0.237102417075273
"b_tt",-0.245669599495198,-0.285262740495713,-0.40997126973814,1,-0.353490534545342,-0.0681992189810245,-0.143163856856621,0.0419909129556907,-0.108001691646194,0.328633950789676,0.1814877614092,0.354473669373844,0.200203150467411,0.200337965605367,-0.108521773002421,-0.283603097861696,0.360430840187596,0.114225117186276,-0.210230338796138,-0.356265539719785,0.263287074103241,0.11267136362944,-0.277286146812292,-0.421515715409333,0.236725663801664,0.0706023954797715,-0.268020642818936,-0.386023963314946,0.0975915041732371
"b_dt",-0.468220741922151,-0.482767380527658,-0.380455891111288,-0.353490534545343,1,0.00872328674930136,-0.0119362412438802,-0.0968519558852674,-0.0415146037313744,-0.287878363398821,-0.243386675899946,-0.0164601370530764,0.0184900329164093,0.140351514728863,-0.269360943992971,-0.464202976471194,-0.0502280032177404,0.176090465227171,-0.448832339284541,-0.459176432814466,0.0230641315603243,0.168740185434594,-0.472994008762045,-0.380632947174414,0.0762974956666031,0.137992296067758,-0.374153123448128,-0.429937150192514,0.0236708209417939
"b_CongAB_ruta1",0.0916621979878193,0.0971397588907852,0.0981651525814081,-0.0681992189810246,0.00872328674930076,1,0.312644401981403,0.148670052695324,0.0942985610337446,0.216890240736237,0.0983964962562548,0.0953184737463416,0.0732370431760994,-0.137476113636695,0.0735247834438586,0.0220581939470601,0.0268114423585851,-0.0953933741858373,0.11252938714131,0.10315364242829,-0.0534501203466596,-0.132953766906441,0.0916909236525716,0.116236858664714,-0.0758420132308275,-0.0634647904831319,0.0675120522700685,0.104221734741819,0.0172720904869734
"b_CongCD_ruta1",0.0991259630968148,0.141387089211809,0.118628782383314,-0.143163856856621,-0.0119362412438795,0.312644401981403,1,0.0450647297813282,0.186609676528466,0.0367955471077309,0.0585105173949409,0.024996222211814,0.0313430396217698,-0.150097066883386,0.00168161846934177,0.154058476369131,-0.0282348804716509,-0.112673032666666,0.132289463557064,0.159371874162581,0.0599091149670644,-0.10594864558227,0.128791261520115,0.167717998639753,0.059608564178514,-0.133394015758144,0.0949934369862193,0.15909555087713,0.0699648862852402
"b_CongAB_ruta2",0.0393823040612676,0.023955050222509,0.0301915470379782,0.0419909129556909,-0.0968519558852675,0.148670052695324,0.0450647297813282,1,0.127571107874334,0.204191452353211,0.0524901602476488,0.0329927518564367,0.0638024328371851,0.0344818130583813,-0.291670516946588,0.0750783333876716,0.104391347665634,0.00261344174808189,0.0598219828717948,0.0541470249515712,-0.00178006086124242,-0.0111615297254194,0.0110278294422488,0.0428612388328317,0.00525268999106828,-0.00012795098995294,0.0246678238271528,0.0283660447962525,0.00150994450329564
"b_CongCD_ruta2",0.0906926802005998,0.0532580718399169,0.126844534233144,-0.108001691646193,-0.0415146037313745,0.0942985610337444,0.186609676528466,0.127571107874335,1,0.0297732807934497,0.0370037068721213,-0.0839553036519218,0.00961168036288643,-0.03814905858111,-0.103561820373041,0.111430765950856,-0.0444751977172693,-0.0423955195726234,0.0153122825438145,0.113767257111116,-0.059733095546696,-0.00250936415087907,0.030566264894294,0.125644710939176,-0.0104316548654116,-0.00238962058592852,0.0745733767204292,0.128867047970404,-0.0387232277858104
"b_CongAB_ruta3",0.212441512839536,0.183619730825863,0.149534819165906,0.328633950789676,-0.287878363398822,0.216890240736237,0.0367955471077308,0.204191452353211,0.0297732807934497,1,0.441453271919229,0.100247009975695,0.0961231279927112,-0.0165660369593521,0.155514696984844,0.0101497387844029,0.111371608897696,-0.0811272882313803,0.23267432374272,-0.014256605798444,0.0426924917208697,-0.124378895323853,0.18526023769815,0.105259768034134,-0.0565950013144903,-0.0981861951486644,0.136716951469573,0.104045448367861,-0.0422188903722821
