"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.82908350828754,0.773828281580987,0.496733289227198,-0.169875865905557,-0.0814345950200027,-0.259845462079812,-0.0791989788858366,-0.126070434426444,-0.168471638334897,-0.157985191963355,-0.173003207285155,-0.0783814559295202,0.0543667968052179,0.134547518756492
"asc_ruta2",0.829083508287539,1,0.705978482843857,0.394784886005917,-0.214937721985939,-0.0650280962255888,-0.20725350268621,0.00285305328129599,-0.0487796081378991,-0.101194680836779,-0.0680778254633964,-0.0857140579286971,-0.125602190154156,-0.00188066260834439,0.235805520995356
"asc_rutaEC",0.773828281580985,0.705978482843857,1,0.10106402855837,0.124557928378252,-0.464606466872875,-0.312466941976198,-0.0776864056383179,-0.115888312987976,-0.165320005669457,-0.160057856102187,0.0638172764199007,-0.00842458869017855,0.154846479025508,0.0525152126369052
"b_tt",0.496733289227198,0.394784886005917,0.10106402855837,1,-0.428312140848795,0.269000137719719,0.0456015043288257,0.276212496535683,0.216512127712328,-0.290590435334128,-0.276696398443184,-0.319394606439791,0.00761721727683074,-0.00822412491729374,0.0467805615105872
"b_dt",-0.169875865905557,-0.214937721985939,0.124557928378253,-0.428312140848796,1,-0.0323787644818526,0.0670778514953589,-0.0740184023835751,0.00126760363368058,-0.254578400367559,-0.285513168577395,0.220096383976935,0.0918160512072843,0.0241483558738967,-0.103113931891033
"b_CongAB",-0.0814345950200026,-0.0650280962255891,-0.464606466872874,0.269000137719719,-0.0323787644818522,1,0.534771800652306,-0.0341411253246319,-0.0493804853890321,-0.00697682946760704,-0.0332304741849328,0.0136168803206387,0.0698162375114438,-0.149128608176352,0.0815164722532438
"b_CongCD",-0.259845462079812,-0.20725350268621,-0.312466941976198,0.0456015043288258,0.067077851495359,0.534771800652306,1,0.0514064689008578,0.0833032565315925,0.0230751412677715,0.015187824469227,0.155755615871088,0.127671807010117,-0.0797103491834986,0.0669083610538349
"b_Sem_1",-0.0791989788858363,0.00285305328129608,-0.0776864056383178,0.276212496535683,-0.0740184023835751,-0.034141125324632,0.0514064689008576,1,0.714398060703322,-0.276927901800218,-0.264364881640547,-0.0754764795024226,0.138149351955584,0.0223515158789369,0.0275343947854459
"b_Sem_2",-0.126070434426444,-0.0487796081378992,-0.115888312987976,0.216512127712328,0.00126760363368055,-0.0493804853890321,0.0833032565315925,0.714398060703322,1,-0.314907317073042,-0.311994752861058,-0.0488818521976265,0.115981181385283,0.081462045245148,-0.0174163443208721
"b_ACC_0",-0.168471638334897,-0.101194680836779,-0.165320005669457,-0.290590435334128,-0.254578400367559,-0.00697682946760734,0.0230751412677715,-0.276927901800218,-0.314907317073042,1,0.947168185892796,0.0346219588432306,0.0278875536419363,0.00174061435519108,0.0737076918567475
"b_ACC_1",-0.157985191963355,-0.0680778254633964,-0.160057856102187,-0.276696398443183,-0.285513168577394,-0.033230474184933,0.015187824469227,-0.264364881640546,-0.311994752861058,0.947168185892794,1,-0.0241609900068508,-0.0168938232874597,-0.0280352332828319,0.0968388178715788
"b_SI_CAMFD",-0.173003207285155,-0.0857140579286969,0.0638172764199008,-0.319394606439791,0.220096383976935,0.0136168803206386,0.155755615871088,-0.0754764795024226,-0.0488818521976265,0.0346219588432305,-0.0241609900068508,1,0.0109285559639135,0.0967062440371497,0.0969121820040299
"b_SI_PANEL",-0.0783814559295204,-0.125602190154156,-0.00842458869017859,0.00761721727683068,0.0918160512072843,0.0698162375114437,0.127671807010117,0.138149351955584,0.115981181385283,0.0278875536419364,-0.0168938232874595,0.0109285559639135,1,-0.128103333343494,-0.0376598758435641
"b_SI_ZER",0.0543667968052178,-0.0018806626083444,0.154846479025508,-0.00822412491729383,0.0241483558738967,-0.149128608176352,-0.0797103491834986,0.0223515158789369,0.0814620452451481,0.001740614355191,-0.0280352332828319,0.0967062440371497,-0.128103333343494,1,-0.161489742086079
"b_Si_MTRP",0.134547518756492,0.235805520995356,0.0525152126369052,0.0467805615105872,-0.103113931891033,0.0815164722532438,0.0669083610538349,0.0275343947854459,-0.0174163443208722,0.0737076918567476,0.0968388178715791,0.0969121820040299,-0.0376598758435641,-0.161489742086079,1
