"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP"
"asc_Op1",0.041083417855801,0.0276583402982792,0.00125786870448329,0.00321468771757891,0.00270010151831321,0.00142762810136704,0.00668168155104627,0.00977431980846221,-0.0107347558248179,-0.00971382685687962,0.000891179486801653,0.00857364368315229,0.00686767832689915,0.00490277509639967
"asc_Op3",0.0276583402982792,0.0641311415820206,-0.00163396840401292,0.0113096745330583,-0.0345765708832876,-0.00567767556868322,0.0101460794575633,0.0109741112111489,-0.0105549555105284,-0.00735919854974463,0.0129355621057053,0.0100261829573412,0.0147061228958677,-0.000190549258346013
"b_tt",0.00125786870448329,-0.00163396840401292,0.000647320595991313,-0.00118455993410871,0.00156289756951897,0.000163675268493189,0.000812809681341613,0.000155715704330067,-0.00180067702371652,-0.00236979770424956,-0.00089229171081024,0.000406998906506201,-0.000668915128818422,-0.000384050706724575
"b_dt",0.00321468771757891,0.0113096745330583,-0.00118455993410871,0.0126506775285833,-0.00239485117015175,-0.00106083937730625,-0.00556760758005909,-0.000959023366021241,-0.0134983777319132,-0.0109909466185988,-0.000670378571586717,-0.000951987676784484,0.000892805207774596,-0.005539304245666
"b_CongAB",0.00270010151831321,-0.0345765708832876,0.00156289756951897,-0.00239485117015175,0.0725717328412004,0.029570912385986,-0.00343875303860608,-0.00291487303579273,0.000785225895384356,-0.00150990766741838,-0.00562885939786774,0.00366718329917578,-0.00915080939615589,0.00306719104821951
"b_CongCD",0.00142762810136704,-0.00567767556868322,0.000163675268493189,-0.00106083937730625,0.029570912385986,0.0484769530644871,-0.0032850183978273,-0.00129241645571608,0.00657551826655241,0.00938995821184913,0.00221886858320009,-0.000527135939707843,-0.00545155009467865,0.00373603947442064
"b_Sem_1",0.00668168155104627,0.0101460794575633,0.000812809681341613,-0.00556760758005909,-0.00343875303860608,-0.0032850183978273,0.120258606233559,0.0538588759252147,-0.0164378255727642,-0.0120072496141782,-0.00187241773038105,0.00558023082068252,0.00359402713653938,0.0151022053154277
"b_Sem_2",0.00977431980846221,0.0109741112111489,0.000155715704330067,-0.000959023366021241,-0.00291487303579273,-0.00129241645571608,0.0538588759252147,0.0726951778452365,-0.012822485479859,-0.00635640958525877,0.000984872355493631,0.000930926782195053,0.00481765194239693,-0.000250589571096478
"b_ACC_0",-0.0107347558248179,-0.0105549555105284,-0.00180067702371652,-0.0134983777319132,0.000785225895384356,0.00657551826655241,-0.0164378255727642,-0.012822485479859,0.297321171152722,0.254125876846877,0.00940510364299495,0.00278596623789308,0.018703079095496,0.0289421421682949
"b_ACC_1",-0.00971382685687962,-0.00735919854974463,-0.00236979770424956,-0.0109909466185988,-0.00150990766741838,0.00938995821184913,-0.0120072496141782,-0.00635640958525877,0.254125876846877,0.30305576901951,0.00322721683179404,-0.00287025093569455,0.0137702965597028,0.030889135596901
"b_SI_CAMFD",0.000891179486801653,0.0129355621057053,-0.00089229171081024,-0.000670378571586717,-0.00562885939786774,0.00221886858320009,-0.00187241773038105,0.000984872355493631,0.00940510364299495,0.00322721683179404,0.0839012528817038,-0.00642866585808511,0.00892228751001091,0.011115151870949
"b_SI_PANEL",0.00857364368315229,0.0100261829573412,0.000406998906506201,-0.000951987676784484,0.00366718329917578,-0.000527135939707843,0.00558023082068252,0.000930926782195053,0.00278596623789308,-0.00287025093569455,-0.00642866585808511,0.0457726373802886,-0.0016292592616888,-0.00294392943898277
"b_SI_ZER",0.00686767832689915,0.0147061228958677,-0.000668915128818422,0.000892805207774596,-0.00915080939615589,-0.00545155009467865,0.00359402713653938,0.00481765194239693,0.018703079095496,0.0137702965597028,0.00892228751001091,-0.0016292592616888,0.0634618338970466,-0.00754949122876961
"b_SI_MTRP",0.00490277509639967,-0.000190549258346013,-0.000384050706724575,-0.005539304245666,0.00306719104821951,0.00373603947442064,0.0151022053154277,-0.000250589571096478,0.0289421421682949,0.030889135596901,0.011115151870949,-0.00294392943898277,-0.00754949122876961,0.127060360001422
