"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP"
"asc_Op1",0.0433804413587296,0.0277219567607116,0.00249320284055555,-0.000879020593942062,0.00164307080288919,0.0022737044859263,0.0044451460679062,0.00556609048157802,-0.0158553876804699,-0.0156366059816552,-0.00587892418797408,0.0112465638045918,0.00517409808874702,0.00298853004267861
"asc_Op3",0.0277219567607116,0.068651333239523,-0.00178719567200846,0.00990285142496207,-0.0360062655020419,-0.00275347509567441,0.00809367671570564,0.00480219563061379,-0.0031488898704876,-0.00572954552414166,0.0174239296656808,0.0178609181036722,0.0175082928738673,-0.00855092630494644
"b_tt",0.00249320284055555,-0.00178719567200846,0.000901966480965481,-0.00148901474656508,0.00255095521641388,0.000791892541285711,0.00121495724282878,0.000835172502037955,-0.00496415423658462,-0.00462866540731391,-0.00265284166268225,0.000116861378234027,-0.000720893159675873,-0.000464154069758227
"b_dt",-0.000879020593942059,0.00990285142496208,-0.00148901474656508,0.00906625199199411,-0.00360693950084586,-0.00056772379854228,-0.00408265748066852,-0.00149409536307349,-0.0077352046698631,-0.00737852707514609,0.00585452698146832,0.00144907149567007,0.000776690776882434,-0.00559326097841607
"b_CongAB",0.00164307080288918,-0.0360062655020419,0.00255095521641388,-0.00360693950084586,0.0718127282721113,0.0281540411942725,-0.00416824706104406,0.000226996678329475,-0.00794429885482086,-0.012867189907463,-0.00325270236161185,-0.00178581397217508,-0.013393052732257,0.00686069466310812
"b_CongCD",0.0022737044859263,-0.00275347509567442,0.000791892541285711,-0.000567723798542282,0.0281540411942725,0.0447975096791038,0.000340103289167887,0.00376312266521479,-0.00157494000621434,-0.00470825741612535,0.00430322447236687,-0.00091538843768597,-0.00602021434846457,0.00257655287443569
"b_Sem_1",0.0044451460679062,0.00809367671570563,0.00121495724282878,-0.00408265748066853,-0.00416824706104405,0.00034010328916789,0.118752613405609,0.0587542413534145,-0.0341291055520348,-0.027254722319524,-0.00547036525193274,0.00546191292395195,0.00593449235354455,0.0171660476112535
"b_Sem_2",0.00556609048157802,0.00480219563061379,0.000835172502037954,-0.00149409536307349,0.000226996678329479,0.00376312266521479,0.0587542413534145,0.0682053215921001,-0.0267626080275047,-0.0156931666577563,-0.00416846788556898,2.56634713851815e-05,0.00261701389929198,0.0107070640514193
"b_ACC_0",-0.0158553876804699,-0.00314888987048761,-0.00496415423658462,-0.00773520466986311,-0.00794429885482087,-0.00157494000621434,-0.0341291055520348,-0.0267626080275047,0.28556235044505,0.243836638669559,0.0225008428920272,0.00099297318727512,0.0112783883393474,0.0287133574962392
"b_ACC_1",-0.0156366059816552,-0.00572954552414168,-0.00462866540731391,-0.00737852707514611,-0.012867189907463,-0.00470825741612536,-0.027254722319524,-0.0156931666577564,0.243836638669559,0.294862561584884,0.00389818579642693,-0.00764436918249177,-0.00616158150407253,0.0379807759421992
"b_SI_CAMFD",-0.00587892418797407,0.0174239296656808,-0.00265284166268225,0.00585452698146831,-0.00325270236161184,0.00430322447236687,-0.00547036525193273,-0.00416846788556898,0.0225008428920272,0.00389818579642694,0.080160880474905,-0.00149789880352212,0.0123326697272439,0.00355169280194354
"b_SI_PANEL",0.0112465638045918,0.0178609181036722,0.000116861378234026,0.00144907149567007,-0.00178581397217508,-0.000915388437685969,0.00546191292395195,2.56634713851831e-05,0.000992973187275122,-0.00764436918249178,-0.00149789880352212,0.0424809794013334,-0.00362887853290162,-0.00963315893805865
"b_SI_ZER",0.00517409808874702,0.0175082928738673,-0.000720893159675873,0.000776690776882432,-0.013393052732257,-0.00602021434846456,0.00593449235354455,0.00261701389929198,0.0112783883393474,-0.00616158150407255,0.0123326697272439,-0.00362887853290163,0.059176483651013,-0.0133595511937483
"b_SI_MTRP",0.00298853004267861,-0.00855092630494645,-0.000464154069758228,-0.00559326097841607,0.00686069466310812,0.00257655287443569,0.0171660476112535,0.0107070640514193,0.0287133574962392,0.0379807759421992,0.00355169280194354,-0.00963315893805865,-0.0133595511937483,0.129591171088291
