"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta2",1,NA,NA,0.000188970569674771,-0.000550155804470079,-2.91201765456876e-06,0.000854261412455336,-0.000105573891208926,-0.000267434917409747,8.93621573162842e-06,0.00107153724922032,-0.000297954975370928,-0.00024112257383909,0.00233567558403741,-1.45813112766871,0.0027404678240191,-0.00185398060233447,0.00255363733639748,-1.45816029113249,0.00354036982549795,-0.00235668674841875,0.00271352910669613,-1.45816150903499,0.00377648315751644,-0.00273518383838352,0.0024427453886613,-1.4581496062786,0.00343785012563264,-0.00273178489496506,NA,-1.68600360396324,NA,-0.00680887133450807,NA,-1.68597570840694,NA,-0.00708979447207761,0.000316056335126535,0.000685562263665681,-8.72938169441995e-06,0.000457785220134765
"asc_ruta3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asc_rutaEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_tt",0.000188970569674771,NA,NA,1,-0.282556743180833,-0.0185446211963277,-0.0819598260577826,0.00466917490208899,-0.0468473304354899,1.33316046879372e-05,0.0414461891755593,0.399349018657453,0.26955090290942,0.104409935185385,-3.12234486911618e-05,0.0558629346471279,0.0861771056935676,0.0593245996505668,-7.19803278120319e-05,0.062518410738796,-0.00372588313278389,0.0664701376865666,-0.000174610322932977,0.0485138357061697,-0.00670385723738066,0.092752979788938,-0.000176907055116918,0.0100806788236613,-0.0170750939094134,NA,-0.000208665080893916,NA,-0.0857293182785365,NA,-0.000412260606668659,NA,-0.144506285831401,-0.110210545632268,0.0747970887255125,-0.0732256752775819,-0.0505426201431658
"b_dt",-0.000550155804470079,NA,NA,-0.282556743180833,1,-0.0317101748612782,-0.0315983891381106,-0.0609201566886595,-0.0963769771113201,-5.22163061004127e-06,-0.0694509917255297,-0.0713214859681476,-0.0614094494005299,0.110809968650234,0.000129211008902851,-0.0257174801849359,0.0835560132580947,0.158830808704538,8.09383639651355e-05,0.000467736928367497,0.13123512144937,0.128748072827773,4.66939506505554e-05,0.0171027852496437,0.129684732056437,0.101624158017647,-5.21475273541326e-05,0.0349071648200793,0.0928845777448174,NA,0.000204380083273365,NA,0.115663118667897,NA,1.67309277615062e-05,NA,0.136122944347037,-0.0716427080697024,-0.028294379454849,-0.0293238501855931,-0.118098340332239
"b_CongAB_ruta1",-2.91201765456876e-06,NA,NA,-0.0185446211963277,-0.0317101748612782,1,0.318991840062691,0.108816288513464,0.090412519979435,3.26184013573026e-05,0.0943845412724577,0.0947130650444228,0.0522924191325434,-0.0940411160071056,0.000341486956800798,0.00526811988059119,0.0554889245048276,-0.0682718769063214,6.64708436618217e-05,-0.0185572429488149,-0.0192787058841983,-0.0817629043413789,3.01521284884907e-05,-0.0210730001163405,-0.0473462184023991,-0.019984876696194,5.46141185757234e-05,-0.0165855266533781,-0.0084939669025537,NA,3.42941832998465e-05,NA,-0.0254992899984122,NA,-4.07216776101085e-05,NA,-0.0247626916393413,-0.0387236831578695,0.0269367697530859,-0.0709784382181065,-0.00153439825119207
"b_CongCD_ruta1",0.000854261412455336,NA,NA,-0.0819598260577826,-0.0315983891381106,0.318991840062691,1,0.0548060091907549,0.149905949664372,6.11978259251067e-06,0.0994106010855026,0.0568380980590121,0.0786784798616628,-0.045344867713355,-0.000177761992352322,0.00231804120859705,0.0185292758839125,-0.0144045808855744,-0.000198834183954831,0.00214292541062655,0.0539498317020671,-0.024281371910588,-0.00023739318711602,0.00750875308032145,0.0324795943168701,-0.0151900192520458,-0.000271180812418192,0.00689364876639456,0.0215662351722745,NA,-0.000201341049511754,NA,-0.0362464397973697,NA,-0.000209851490356605,NA,-0.0181416582886953,0.0544139655983654,-0.0428135446606234,-0.0551582326112327,0.0752706179845702
"b_CongAB_ruta2",-0.000105573891208926,NA,NA,0.00466917490208899,-0.0609201566886595,0.108816288513464,0.0548060091907549,1,0.167487947512232,1.27048459528656e-05,0.0465456043116401,0.0365610351514497,0.0487919930750012,-7.54354233852355e-05,-0.00128382991187412,0.0199121508764078,0.0344374313825267,-0.00863500050530199,-7.25083751644554e-05,-0.00448169696402201,-0.00089196740306825,-0.0121962345781293,0.00021466727014809,-0.00570365700007368,0.00179368590234783,-0.00649532131203464,0.000257025603456077,0.000904217898510307,0.00463691685325252,NA,0.000119660767514915,NA,-0.0243908045805973,NA,0.000356918101718423,NA,-0.0186925375237382,0.0401506509843464,0.0175445244197895,-0.0216523279020558,0.0229841038832682
"b_CongCD_ruta2",-0.000267434917409747,NA,NA,-0.0468473304354899,-0.0963769771113201,0.090412519979435,0.149905949664372,0.167487947512232,1,5.75799326067538e-06,0.0795226632422823,0.0431396946200049,0.0638063717971494,-0.0414740601559868,9.33381089534113e-05,-0.0122351899612166,-0.0442542748654729,-0.026664724463677,7.75944957364312e-05,-0.0079258318987605,-0.0228669951696889,-0.0115924433603008,0.000454034249413048,-0.00581834765801487,-0.0126678233549002,-0.00852596467456954,0.000528213235846175,-0.000291053056018231,-0.009672431966168,NA,0.00040035703936275,NA,-0.0394288402337834,NA,0.000864037722576745,NA,-0.0421853018402694,0.0465952095906896,-0.0267619452162026,0.00838289088863725,0.0863029266283131
"b_CongAB_ruta3",8.93621573162842e-06,NA,NA,1.33316046879372e-05,-5.22163061004127e-06,3.26184013573026e-05,6.11978259251067e-06,1.27048459528656e-05,5.75799326067538e-06,1,5.46044717999576e-05,9.39611174627399e-06,5.31068622396039e-06,4.84923019140746e-06,-6.84311040782585e-06,-3.3074303798291e-05,1.16203850314468e-05,1.44628883579331e-06,-6.88330884816738e-06,-2.12383528679609e-05,2.30494783029325e-07,-3.69072763251411e-06,-6.8968393996038e-06,-7.77617247814908e-06,-3.59230775910079e-06,-1.68765012390091e-06,-6.89804395441496e-06,-2.80458547549846e-06,-2.65052780790155e-06,NA,-9.70274726464959e-06,NA,-3.25929781986642e-06,NA,-9.69993201009308e-06,NA,-3.15170354711282e-06,-1.4422620132605e-05,6.54621300473421e-06,-1.13977873056665e-05,1.13782525225154e-05
