"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta2",1,0.849166842097931,0.949019992614112,-0.030108725281528,-0.107595002822024,0.00647028170778369,0.135769021005703,0.0356813044740896,0.0706742915278545,0.0683772468650954,0.129931987938821,-0.0261034208404047,-0.04290314194835,0.294460820516937,-0.331028181137304,0.330935275561153,-0.238571884040567,0.322514095888552,-0.764138271940945,0.36783268383384,-0.279693928682032,0.351757498229137,-0.800190495691083,0.371573585035589,-0.328531906349527,0.313632355887307,-0.382637474053277,0.292852029228034,-0.348497816333712,0.931821770908167,-0.860435487177958,0.916898771354125,-0.62538547716036,0.910060035144718,-0.373355201996429,0.723046672036637,-0.684040304162472,0.105986031072929,0.122923805399958,-0.116543495038909,0.113531030246319
"asc_ruta3",0.849161066497165,1,0.919143258182522,-0.112418275228373,-0.111087830819649,0.00996871695937568,0.110109671857876,0.043619821069081,0.124624653960308,-0.0195479349153451,-0.0404226654145679,-0.0429379112618134,-0.0473807118290651,0.264395312570114,-0.252080227174679,-0.0311241520104294,-0.343486804164829,0.293238891154569,-0.572856224180338,-0.0889828069723117,-0.408781561323803,0.341900853930203,-0.568649733663429,-0.117389423506686,-0.438790924647715,0.340162395498232,-0.221824981180938,-0.15778348894574,-0.407496707499713,0.819459000858715,-0.60557530872229,0.973489543061283,-0.706925057325736,0.798587620594581,-0.184713954906777,0.759982141872522,-0.76159795298086,0.173879165297696,0.133414561006058,-0.0190799410928701,0.104608764131668
"asc_rutaEC",0.949016414440359,0.919144237217046,1,-0.0671243327959526,-0.126580522446917,0.0171938662073983,0.105262755254871,0.045910775271338,0.136105307991175,0.0241402130183456,0.0625997514739171,-0.00548832716554744,-0.0126464651898786,0.140022842782257,-0.269562279600224,0.203350763810875,-0.302676019500234,0.149413624935364,-0.642335208021201,0.21878138653863,-0.347013277035647,0.184464988533965,-0.645318632517184,0.202567403613564,-0.389181531322692,0.1810831014255,-0.23278200428144,0.141832077594024,-0.377013571040103,0.972248685611741,-0.696976538079335,0.978821207108561,-0.77703024783288,0.956832893767887,-0.227758440499583,0.779664553765011,-0.817141973532142,0.174106290368859,0.130438928350234,-0.0649228200500394,0.0968256586421045
"b_tt",-0.0301087253699248,-0.112418275271396,-0.0671243328077932,1,-0.337064665256323,-0.0294281589132535,-0.0793447826431372,0.0312932283804572,-0.120929195126272,0.344617242848552,0.280198140108198,0.376557023362547,0.182706322384151,0.077652351971842,0.0231575874486063,0.0225409275977238,0.205731455754293,0.0397387152145502,0.0408228204953987,0.00124771473037903,0.12905233739042,0.0205223621648482,-0.0823731627058105,-0.0758318092850293,0.112996793800801,-0.0727842172170727,-0.0795365439226336,-0.0543398139230624,0.0159786517914119,-0.0359498659904517,-0.0213741641461597,-0.0990107651327987,-0.106745917330096,-0.00775528023425844,0.0162627974004746,-0.18410131613113,-0.0810666227362837,-0.317763268418031,0.0359789523054561,-0.146427591367541,-0.013712960256329
"b_dt",-0.10759500285257,-0.111087830802763,-0.126580522481712,-0.337064665256321,1,0.0135113284521191,0.0295377360454994,-0.0716733465548234,-0.0316044705965976,-0.160735586411943,-0.180277893726213,-0.011783900938091,0.0385696128643547,0.139256910350445,0.0607487206569115,-0.0848488125798901,0.0389618974019015,0.151754843486365,0.0739079166172362,0.0300284854162557,0.094278750192875,0.155667077876466,0.0668471460721113,0.12292114890172,0.138707349796884,0.165277412568923,0.0187841419601262,0.0549257676609216,0.145470932763337,-0.151792307445256,0.136292734342261,-0.106952918822659,0.188492210320266,-0.170008624445992,0.0440195543553525,-0.0865219390405886,0.184477232141554,0.0819935404010165,-0.00120437672418794,0.0881558384744736,-0.130876597851921
"b_CongAB_ruta1",0.00647028166548366,0.00996871695632485,0.0171938662122131,-0.0294281589132536,0.0135113284521183,1,0.305324063577767,0.152873051195759,0.09251650467545,0.313174115036988,0.0857245357766385,0.114634365039065,0.0939645256661954,-0.110116867853824,0.0421980232761805,-0.105444242725689,0.021169869429549,-0.0589897809569421,0.0284022604741002,-0.000489748002106484,-0.0581299059026788,-0.0867300685385375,-0.00999565154544144,0.019676739763956,-0.070631008013455,-0.0148910854910211,-0.0126402721570904,0.0154913429594954,-0.0111800560320593,0.00688150904181553,0.0112013761873456,0.0117869317642486,-0.0147348681783525,-0.00274214222103428,-0.00580492251811635,0.0246964789144933,-0.0394733612484609,0.0412720136965536,0.0484019197851056,-0.0915697881845554,-0.0152461634832035
"b_CongCD_ruta1",0.135769021068351,0.110109671838833,0.105262755284437,-0.0793447826431374,0.0295377360454973,0.305324063577767,1,0.0433797447277336,0.198425766179767,0.0118399500331797,0.0632828178793218,0.0717922032116808,0.0935090834764492,-0.0379821088177382,-0.125872729383642,0.0979636085013221,0.0259280267351721,-0.00992758945609061,-0.102805006479529,0.0785077808694398,0.116134321785023,0.00851864224780838,-0.139891279588463,0.105262499872376,0.103570570799249,-0.0265503556707137,-0.0723774895585451,0.106083887687418,0.0812160298560603,0.0971084063554193,-0.114609467569351,0.11413191090784,-0.0813428424354763,0.077735894942951,-0.0303290051849615,0.113190205498514,-0.0643863465268599,0.177179802414693,0.037748466447092,-0.0852353912409771,0.0257585692614757
"b_CongAB_ruta2",0.0356813044918847,0.0436198210420188,0.0459107752659718,0.0312932283804573,-0.0716733465548243,0.152873051195759,0.0433797447277341,1,0.16153815762853,0.130114760469989,0.0152728654567028,0.0318036161926471,0.0459695316263145,0.0841817631382598,-0.418318888654317,0.106299972405393,0.076563476094895,0.0345837424077956,0.00458988872834452,0.0440119229526111,-0.0416393991674284,0.0306332087827654,-0.0521859738910856,0.0212757526189517,-0.0346930522725998,0.0535251821287627,-0.0152820343668569,-0.00967933849375253,-0.055345039226821,0.0433481751639298,-0.00347703016031694,0.0441513397530644,-0.0132799892885237,0.0121740263662543,0.0315302193192122,0.0597093151728612,-0.0804648383239115,0.119794699354615,0.0579351180753409,-0.0166868724464619,0.0299557254022306
"b_CongCD_ruta2",0.070674291586468,0.124624653929791,0.136105307988945,-0.120929195126271,-0.0316044705965999,0.0925165046754501,0.198425766179767,0.16153815762853,1,0.0468325507695057,0.0497478184957047,-0.0670500378003806,0.0294492920424253,-0.00700424538096829,-0.142663738474088,0.0637544455391077,-0.0222127007080778,-0.0267163954785728,0.00394163331439692,0.0469728779765087,-0.0215108201681183,0.0195046961804504,0.0541230993873238,0.0725260545331754,0.00833799242029552,0.0136516302678505,0.0877861962374565,0.0777655353612794,-0.0218248181430331,0.138747120472658,0.0722870603280245,0.128348405714678,-0.0847513747355462,0.13431374153639,0.091538583263826,0.163979592170849,-0.0808460483521385,0.119681035411701,-0.0482764335557368,0.0734736737740403,0.134550580690944
"b_CongAB_ruta3",0.0683772457157155,-0.0195479324111303,0.0241402154123243,0.344617242848518,-0.1607355864119,0.31317411503699,0.0118399500331461,0.130114760469983,0.0468325507695177,1,0.433094759137679,0.0842600759363015,0.0458206547948761,0.0738986674037507,0.0337913672000493,-0.183702269015663,0.0918463509913276,0.013879397763472,-0.0298244488843903,-0.101332179471542,0.0111083556299032,-0.0175054344847228,-0.151443394847762,0.0338453691009649,-0.0639995128000505,-0.0213226005094627,-0.101266532343227,0.0472661514586946,-0.0911648446783804,0.0571406239866118,-0.140189523215179,-0.0310307777229898,0.0179204348983434,0.0629084896225763,-0.0550907360896314,0.0529959642273923,0.000735783504845527,-0.169557082224146,-0.0411843635518873,-0.163977441107642,0.145716710648664
