"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.729308268719799,0.718564647574922,0.223920402825763,0.0363113541595867,-0.04737730567822,-0.136069311114546,-0.165987270480463,-0.170712742490914,-0.0667014834144755,-0.0779458565367491,-0.0647122698597344,0.0131982084668083,-0.0123384641536602,0.0606131719409164
"asc_ruta2",0.729308268719799,1,0.641405595385247,0.121475403528674,-0.0303206514807281,-0.0476567533305159,-0.0819987120476014,-0.0547364152692491,-0.0834279525534846,-0.0472342543183379,-0.0448071604406954,-0.000676571362345137,-0.000503940966378079,0.00510079864233514,0.107775195955253
"asc_rutaEC",0.718564647574922,0.641405595385247,1,-0.159163759332543,0.250094793615346,-0.503093891195535,-0.259941188861234,-0.110742416345743,-0.124079436647738,-0.0487516579469192,-0.0520132921754582,0.0401679128279619,0.0345268730779885,0.0878300349015182,-0.00549211059710757
"b_tt",0.223920402825763,0.121475403528674,-0.159163759332543,1,-0.353948282708448,0.253822333215879,0.0637177782327489,0.0939259368123053,0.0319244880374631,-0.101701134388607,-0.12462537202353,-0.119755270471503,0.0716185279701619,-0.0974415402302659,-0.00098244173770114
"b_dt",0.0363113541595867,-0.0303206514807281,0.250094793615346,-0.353948282708448,1,-0.0785921269200919,-0.0550667824273894,-0.0604681475024664,0.0309375510602878,-0.169531536809469,-0.161381646429064,-0.0501351088117578,-0.0197667375924219,0.0160349136043006,-0.126252728722809
"b_CongAB",-0.04737730567822,-0.0476567533305159,-0.503093891195535,0.253822333215879,-0.0785921269200919,1,0.532392737857548,-0.0339069869430463,-0.0396456582073957,-0.0324476050400671,-0.0425338455061559,-0.029149238239383,0.0510081952720107,-0.116066556226729,0.0466337082928952
"b_CongCD",-0.136069311114546,-0.0819987120476014,-0.259941188861234,0.0637177782327489,-0.0550667824273894,0.532392737857548,1,-0.0407610601039189,-0.00936391204269843,0.02149342588483,0.0264615490254089,0.0650554156321897,-0.0123909638437261,-0.0418308830948873,0.0420313941329701
"b_Sem_1",-0.165987270480463,-0.0547364152692491,-0.110742416345743,0.0939259368123053,-0.0604681475024664,-0.0339069869430463,-0.0407610601039189,1,0.662626273602917,-0.0668815591292986,-0.0570921240152834,-0.0358954025343587,0.0651146070134971,0.0384723493022366,0.0977742161840435
"b_Sem_2",-0.170712742490914,-0.0834279525534846,-0.124079436647738,0.0319244880374631,0.0309375510602878,-0.0396456582073957,-0.00936391204269843,0.662626273602917,1,-0.0452039789183629,-0.0343673525579055,0.0111415445579745,0.00776748807922345,0.0907265942826705,0.0247151696209017
"b_ACC_0",-0.0667014834144755,-0.0472342543183379,-0.0487516579469192,-0.101701134388607,-0.169531536809469,-0.0324476050400671,0.02149342588483,-0.0668815591292986,-0.0452039789183629,1,0.965432036570705,0.0492336722414641,-0.030534074967848,0.0515335548631769,0.0566554658310577
"b_ACC_1",-0.0779458565367491,-0.0448071604406954,-0.0520132921754582,-0.12462537202353,-0.161381646429064,-0.0425338455061559,0.0264615490254089,-0.0570921240152834,-0.0343673525579055,0.965432036570705,1,0.0353994210927657,-0.0478717586706486,0.0455439663954197,0.0644141206743069
"b_SI_CAMFD",-0.0647122698597344,-0.000676571362345137,0.0401679128279619,-0.119755270471503,-0.0501351088117578,-0.029149238239383,0.0650554156321897,-0.0358954025343587,0.0111415445579745,0.0492336722414641,0.0353994210927657,1,-0.0744917491023156,0.10403781935507,0.0788936883524029
"b_SI_PANEL",0.0131982084668083,-0.000503940966378079,0.0345268730779885,0.0716185279701619,-0.0197667375924219,0.0510081952720107,-0.0123909638437261,0.0651146070134971,0.00776748807922345,-0.030534074967848,-0.0478717586706486,-0.0744917491023156,1,0.010083379969393,-0.067501943467764
"b_SI_ZER",-0.0123384641536602,0.00510079864233514,0.0878300349015182,-0.0974415402302659,0.0160349136043006,-0.116066556226729,-0.0418308830948873,0.0384723493022366,0.0907265942826705,0.0515335548631769,0.0455439663954197,0.10403781935507,0.010083379969393,1,-0.0538299392235856
"b_Si_MTRP",0.0606131719409164,0.107775195955253,-0.00549211059710757,-0.00098244173770114,-0.126252728722809,0.0466337082928952,0.0420313941329701,0.0977742161840435,0.0247151696209017,0.0566554658310577,0.0644141206743069,0.0788936883524029,-0.067501943467764,-0.0538299392235856,1
