"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.0821174233352213,0.0636216742674404,0.0645046551765252,0.00163036982448174,0.00121439363044553,-0.00375799466578002,-0.0087476918536284,-0.0185990993173531,-0.0132010308738085,-0.0220232981826091,-0.0260145600901351,-0.00526387492276767,0.000810879704153962,-0.000898496483823402,0.00608110077728171
"asc_ruta2",0.0636216742674404,0.0926728669970924,0.0611669179614561,0.000939592312673108,-0.00107724430389515,-0.00401577059316706,-0.00560014102439901,-0.00651556564106179,-0.00685349555622088,-0.0165677133743866,-0.0158865471987295,-5.84643575329471e-05,-3.28912026612203e-05,0.000394595474878663,0.0114866305486435
"asc_rutaEC",0.0645046551765252,0.0611669179614561,0.098133007477997,-0.001266853943933,0.00914348135662821,-0.0436239253833955,-0.0182683064624611,-0.0135650382618477,-0.0104889404082324,-0.0175964943223134,-0.0189770059314502,0.00357180788132693,0.00231893509082842,0.00699178767212016,-0.000602343684093411
"b_tt",0.00163036982448174,0.000939592312673108,-0.001266853943933,0.000645579320045527,-0.00104957624566238,0.00178514205135171,0.000363204367586843,0.000933167948597868,0.000218888526141545,-0.00297734945777758,-0.00368796735772133,-0.00086371549711242,0.000390143149173614,-0.000629153426928764,-8.73935018571647e-06
"b_dt",0.00121439363044553,-0.00107724430389515,0.00914348135662821,-0.00104957624566238,0.0136206789657277,-0.0025389056616505,-0.0014417989766339,-0.00275946897445655,0.000974337823577335,-0.0227970728412574,-0.0219360948828419,-0.00166089665804753,-0.000494604615980467,0.000475558144721662,-0.00515866925275207
"b_CongAB",-0.00375799466578002,-0.00401577059316706,-0.0436239253833955,0.00178514205135171,-0.0025389056616505,0.0766189660354717,0.0330609934487418,-0.00366992184672256,-0.00296133832066885,-0.0103485618582084,-0.0137122457605461,-0.00229032241866144,0.00302713570919679,-0.00816418549584964,0.00451924230723565
"b_CongCD",-0.0087476918536284,-0.00560014102439901,-0.0182683064624611,0.000363204367586843,-0.0014417989766339,0.0330609934487418,0.0503305025096829,-0.00357569590426977,-0.000566887929002037,0.00555584968067053,0.00691411649344951,0.00414286097929337,-0.000595997602532945,-0.0023847908003966,0.00330131496645318
"b_Sem_1",-0.0185990993173531,-0.00651556564106179,-0.0135650382618477,0.000933167948597868,-0.00275946897445655,-0.00366992184672256,-0.00357569590426977,0.152896993796067,0.0699185439958012,-0.0301324934983259,-0.0260004862130842,-0.00398418569773058,0.00545885661230099,0.00382283718519891,0.0133850916301522
"b_Sem_2",-0.0132010308738085,-0.00685349555622088,-0.0104889404082324,0.000218888526141545,0.000974337823577335,-0.00296133832066885,-0.000566887929002037,0.0699185439958012,0.0728196355757768,-0.0140549765004846,-0.0108013023839814,0.000853435930231757,0.000449395413552414,0.00622151969762329,0.00233499189915649
"b_ACC_0",-0.0220232981826091,-0.0165677133743866,-0.0175964943223134,-0.00297734945777758,-0.0227970728412574,-0.0103485618582084,0.00555584968067053,-0.0301324934983259,-0.0140549765004846,1.32757302390834,1.29555755538156,0.0161024778558062,-0.00754288986969905,0.015088877497681,0.0228543332883634
"b_ACC_1",-0.0260145600901351,-0.0158865471987295,-0.0189770059314502,-0.00368796735772133,-0.0219360948828419,-0.0137122457605461,0.00691411649344951,-0.0260004862130842,-0.0108013023839814,1.29555755538156,1.3564743666431,0.0117031622596721,-0.0119538820946166,0.0134795150311816,0.0262654236648484
"b_SI_CAMFD",-0.00526387492276767,-5.84643575329471e-05,0.00357180788132693,-0.00086371549711242,-0.00166089665804753,-0.00229032241866144,0.00414286097929337,-0.00398418569773058,0.000853435930231757,0.0161024778558062,0.0117031622596721,0.0805754133041091,-0.00453349595468077,0.00750464465164245,0.0078404513317498
"b_SI_PANEL",0.000810879704153962,-3.28912026612203e-05,0.00231893509082842,0.000390143149173614,-0.000494604615980467,0.00302713570919679,-0.000595997602532945,0.00545885661230099,0.000449395413552414,-0.00754288986969905,-0.0119538820946166,-0.00453349595468077,0.0459671501644817,0.00054937329428665,-0.00506684476569407
"b_SI_ZER",-0.000898496483823402,0.000394595474878663,0.00699178767212016,-0.000629153426928764,0.000475558144721662,-0.00816418549584964,-0.0023847908003966,0.00382283718519891,0.00622151969762329,0.015088877497681,0.0134795150311816,0.00750464465164245,0.00054937329428665,0.0645766100035395,-0.00478915665318004
"b_Si_MTRP",0.00608110077728171,0.0114866305486435,-0.000602343684093411,-8.73935018571647e-06,-0.00515866925275207,0.00451924230723565,0.00330131496645318,0.0133850916301522,0.00233499189915649,0.0228543332883634,0.0262654236648484,0.0078404513317498,-0.00506684476569407,-0.00478915665318004,0.122573070210241
