"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.72992106169909,0.286561377954569,6.03682559752818,1.57175428228129e-09,0.328441422428986,5.26706116696691,1.38625028123229e-07
"asc_ruta2",0.752443806520161,0.304422185454826,2.47171146674465,0.0134467996640559,0.329573901742501,2.28308067641853,0.0224256165849051
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_rutaEC",1.82127173069026,0.313261883219132,5.81389510902049,6.10356676311596e-09,0.320062397518335,5.69036458144361,1.26768413544198e-08
"b_tt",0.0761664770154028,0.0254082529908203,2.99770618007153,0.00272019788646771,0.0356256185055032,2.13796925388501,0.0325192387197319
"b_dt",-0.283623928717351,0.116707664554337,-2.4302082455373,0.0150901497568852,0.102252271576705,-2.77376653196981,0.00554114287944896
"b_CongAB",-0.0941620950443443,0.276801311477153,-0.340179367438136,0.733721455035254,0.276528232814598,-0.340515303214903,0.733468500317882
"b_CongCD",-0.422714985073426,0.224344606598159,-1.88422174030946,0.059534988027405,0.223852687027107,-1.88836234528755,0.0589773228033166
"b_CongEF",0,NA,NA,NA,NA,NA,NA
"b_Sem_1",-0.327774430105189,0.391020451889754,-0.838253928972502,0.401888104735507,0.329651176371265,-0.994306872231627,0.320073491005735
"b_Sem_2",-0.419681628767684,0.269851135954209,-1.55523387842585,0.119890378484085,0.226768736612192,-1.85070320996408,0.0642122620229211
"b_Sem_3",0,NA,NA,NA,NA,NA,NA
"b_ACC_0",2.84045937175043,1.15220355142151,2.46524094483658,0.0136921144419107,0.888702022885216,3.19618870960677,0.00139256000779753
"b_ACC_1",2.46931140054312,1.16467779520479,2.12016697726166,0.0339919662252652,0.917115685449791,2.69247537657375,0.0070923772563638
"b_ACC_2",0,NA,NA,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.569738745881673,0.283858086557542,-2.00712529556976,0.0447363234245248,0.260603360318557,-2.18622946835849,0.0287988213459582
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.392406756539512,0.214399510644222,-1.83025957177057,0.0672111336347567,0.18163181209965,-2.16045169622721,0.0307377191399685
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0427401766782364,0.254119283021851,-0.16818942730356,0.866434258254309,0.259907801586143,-0.164443608146448,0.869381936465616
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.623136881952116,0.350104370452928,1.77986033463669,0.0750988205504961,0.301433313547167,2.06724623306976,0.0387109577640126
