"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.768741635773786,0.705913806449482,0.510631606715307,-0.192405928712797,-0.0376695316887342,-0.236175902671292,-0.0880519702001815,-0.123337253147297,-0.233041156650121,-0.19691309910714,-0.240823037942699,-0.0414263341591357,-0.0199423273370404,0.078864977936992
"asc_ruta2",0.768741635773786,1,0.633414327472121,0.385436252456393,-0.236467866126468,-0.0470807251258236,-0.187466268091035,0.0136870487412645,-0.0305775977518932,-0.140574024141037,-0.0867635334292794,-0.136345646159881,-0.088045123323648,-0.0552619777455072,0.176771677911755
"asc_rutaEC",0.705913806449482,0.633414327472121,1,0.0342115696020615,0.188671608520002,-0.490215506010668,-0.31564358226986,-0.11201289073655,-0.101209085618492,-0.200386076846079,-0.181042418784925,0.00117934778668656,0.003586848966159,0.179324424283532,-0.030858748232823
"b_tt",0.510631606715307,0.385436252456393,0.0342115696020617,1,-0.510813675361407,0.295832271295511,0.0690636719319599,0.263295017458319,0.180929160369748,-0.331295641696502,-0.276214602472841,-0.33925579626218,0.0149622809670206,-0.169929623032038,0.0181118542422949
"b_dt",-0.192405928712797,-0.236467866126468,0.188671608520001,-0.510813675361407,1,-0.112533038503642,0.0217438477074711,-0.0841697117944736,0.0460785754650407,-0.225078575299301,-0.263157786578831,0.175669619150542,0.053545438867576,0.164495587645108,-0.139684759360518
"b_CongAB",-0.037669531688734,-0.047080725125824,-0.490215506010668,0.295832271295511,-0.112533038503642,1,0.536284123744436,0.0345236735818456,-0.0324600512864981,-0.00314605106621451,-0.0145969326744781,0.00179849403509716,0.0899420132946394,-0.24995819842271,0.0930156330800407
"b_CongCD",-0.236175902671292,-0.187466268091035,-0.315643582269859,0.0690636719319598,0.0217438477074712,0.536284123744436,1,0.0773059867750247,0.0997665083032137,0.0472059560911699,0.0503622609170451,0.130526173245034,0.12890586891785,-0.118453941404164,0.0194138538567893
"b_Sem_1",-0.0880519702001813,0.0136870487412645,-0.11201289073655,0.263295017458319,-0.0841697117944735,0.0345236735818454,0.0773059867750246,1,0.707266162364631,-0.286703271885063,-0.281314350630118,-0.0830130473994345,0.0857334591464748,0.067249114565417,0.13311209098967
"b_Sem_2",-0.123337253147297,-0.0305775977518932,-0.101209085618492,0.180929160369748,0.0460785754650406,-0.0324600512864982,0.0997665083032138,0.707266162364631,1,-0.326526697083042,-0.343332978877772,-0.0396744231548409,0.0690426996985673,0.142069855844178,0.0233603537378764
"b_ACC_0",-0.233041156650121,-0.140574024141037,-0.200386076846079,-0.331295641696502,-0.225078575299301,-0.00314605106621437,0.0472059560911697,-0.286703271885063,-0.326526697083042,1,0.943071655397215,0.10184574150095,0.0564053761586815,0.0293260113378921,0.0931523854060315
"b_ACC_1",-0.19691309910714,-0.0867635334292794,-0.181042418784925,-0.276214602472841,-0.263157786578832,-0.0145969326744778,0.0503622609170451,-0.281314350630118,-0.343332978877772,0.943071655397219,1,0.0380836182101196,0.000161966890005116,-0.0210118423686078,0.129442856886286
"b_SI_CAMFD",-0.240823037942699,-0.136345646159881,0.00117934778668648,-0.33925579626218,0.175669619150542,0.00179849403509723,0.130526173245034,-0.0830130473994346,-0.0396744231548409,0.10184574150095,0.0380836182101198,1,0.0255759316249733,0.11719171829242,-0.0390778805194002
"b_SI_PANEL",-0.0414263341591358,-0.0880451233236481,0.00358684896615899,0.0149622809670206,0.0535454388675762,0.0899420132946394,0.12890586891785,0.0857334591464748,0.0690426996985673,0.0564053761586811,0.000161966890004831,0.0255759316249733,1,-0.0936895780319474,-0.0307645817194531
"b_SI_ZER",-0.0199423273370404,-0.0552619777455072,0.179324424283532,-0.169929623032038,0.164495587645108,-0.24995819842271,-0.118453941404164,0.067249114565417,0.142069855844178,0.0293260113378925,-0.0210118423686075,0.11719171829242,-0.0936895780319475,1,-0.23064592697885
"b_Si_MTRP",0.078864977936992,0.176771677911754,-0.030858748232823,0.0181118542422949,-0.139684759360518,0.0930156330800408,0.0194138538567894,0.13311209098967,0.0233603537378764,0.0931523854060317,0.129442856886286,-0.0390778805194002,-0.0307645817194531,-0.23064592697885,1
