"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.107873767967176,0.0832129926914564,0.0742068940527171,0.0059748640818146,-0.00646173791426103,-0.00342127216163236,-0.0173642416095095,-0.00953348378281053,-0.00918618900660091,-0.068021580740163,-0.0593139235304788,-0.0206127514405636,-0.00247130497906797,-0.00170236656371865,0.00780788410078983
"asc_ruta2",0.0832129926914564,0.108618956709775,0.0668152119320786,0.00452551268541087,-0.00796889144370834,-0.00429077197015312,-0.0138305120468918,0.00148702153237565,-0.00228527967584521,-0.0411731466924421,-0.0262249195782314,-0.0117104638926505,-0.00527047837150792,-0.00473367626112424,0.0175613033713248
"asc_rutaEC",0.0742068940527171,0.0668152119320786,0.102439938305185,0.000390094715292542,0.00617467595622228,-0.0433871553336122,-0.0226148613537574,-0.0118183620236868,-0.00734577016236928,-0.0569978357615617,-0.0531421497267089,9.8368616160169e-05,0.000208516131886373,0.0149174096157035,-0.00297717392680721
"b_tt",0.0059748640818146,0.00452551268541087,0.000390094715292545,0.00126918469389965,-0.00186079227038859,0.00291438846362082,0.000550775216313518,0.00309214380697458,0.00146168624887317,-0.0104890052873607,-0.00902470820230759,-0.00314970370110649,9.68171144264455e-05,-0.00157344230478385,0.00019449864274589
"b_dt",-0.00646173791426105,-0.00796889144370834,0.00617467595622227,-0.00186079227038859,0.0104555270425961,-0.00318194368037707,0.000497704622432729,-0.00283715742956188,0.0010684524261963,-0.0204532954127656,-0.0246781904193191,0.00468111850802131,0.000994460100418448,0.00437166156857428,-0.0043053973224973
"b_CongAB",-0.00342127216163233,-0.00429077197015316,-0.0433871553336122,0.00291438846362082,-0.00318194368037707,0.0764678635435646,0.0331968388545173,0.00314710410802279,-0.00203550353252333,-0.000773145824428644,-0.00370190444539022,0.000129607009914072,0.00451745670300219,-0.0179649569103493,0.00775330149271455
"b_CongCD",-0.0173642416095094,-0.0138305120468918,-0.0226148613537573,0.000550775216313517,0.000497704622432731,0.0331968388545173,0.0501100254892557,0.00570466399853007,0.00506442641222825,0.0093910743441192,0.0103393122604931,0.00761447436283434,0.00524115397132353,-0.0068917758441604,0.00130998196156757
"b_Sem_1",-0.0095334837828105,0.00148702153237565,-0.0118183620236868,0.00309214380697458,-0.00283715742956188,0.00314710410802277,0.00570466399853007,0.108669898082959,0.0528713854734131,-0.0839930685482681,-0.0850492794266271,-0.00713150183516745,0.00513330291409761,0.00576183100530613,0.0132270618125508
"b_Sem_2",-0.00918618900660089,-0.0022852796758452,-0.00734577016236927,0.00146168624887317,0.0010684524261963,-0.00203550353252333,0.00506442641222825,0.052871385473413,0.0514240599046897,-0.0658048713713443,-0.0714040463748128,-0.00234462727560863,0.00284375947550254,0.00837345009086191,0.00159681220336611
"b_ACC_0",-0.0680215807401629,-0.0411731466924421,-0.0569978357615615,-0.0104890052873607,-0.0204532954127656,-0.00077314582442861,0.00939107434411916,-0.0839930685482681,-0.0658048713713443,0.789791285480275,0.768643540879622,0.0235873447425408,0.00910476171923035,0.00677373937282222,0.0249540704552155
"b_ACC_1",-0.0593139235304788,-0.0262249195782314,-0.0531421497267088,-0.00902470820230759,-0.0246781904193192,-0.00370190444539016,0.0103393122604931,-0.0850492794266272,-0.0714040463748129,0.768643540879626,0.841101180498041,0.00910211535728605,2.69800208079006e-05,-0.00500849876608414,0.0357843768170591
"b_SI_CAMFD",-0.0206127514405636,-0.0117104638926505,9.83686161601628e-05,-0.00314970370110649,0.00468111850802131,0.000129607009914077,0.00761447436283434,-0.00713150183516746,-0.00234462727560863,0.0235873447425409,0.00910211535728609,0.0679141114093235,0.00121060758158453,0.00793772866222913,-0.00306974471041366
"b_SI_PANEL",-0.00247130497906797,-0.00527047837150792,0.000208516131886372,9.68171144264455e-05,0.00099446010041845,0.00451745670300219,0.00524115397132353,0.00513330291409761,0.00284375947550254,0.00910476171923029,2.69800208078532e-05,0.00121060758158454,0.0329901151666027,-0.00442285309539572,-0.00168435712560349
"b_SI_ZER",-0.00170236656371866,-0.00473367626112423,0.0149174096157035,-0.00157344230478385,0.00437166156857428,-0.0179649569103493,-0.0068917758441604,0.00576183100530612,0.00837345009086191,0.00677373937282233,-0.00500849876608408,0.00793772866222913,-0.00442285309539572,0.0675520653253421,-0.0180699251303302
"b_Si_MTRP",0.00780788410078984,0.0175613033713248,-0.00297717392680722,0.000194498642745889,-0.0043053973224973,0.00775330149271455,0.00130998196156758,0.0132270618125508,0.00159681220336611,0.0249540704552156,0.0357843768170591,-0.00306974471041366,-0.00168435712560349,-0.0180699251303302,0.0908620425160249
