"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",85892.9593688359,-13034.4336907927,-12793.2684249014,0.00299297053631306,0.0225103781300535,-0.0358374951635301,0.0394386459057438,-0.155545320849144,-0.156354518137919,11.5450557984054,0.0808922329339729,0.00569214790215774,-0.0218965108315453,1.21912732616843,-55264.7706411688,1.41790732879582,0.468118219573858,1.19586685055515,-55264.6484581077,1.3973687272469,0.450948244327898,1.1707522001331,-55264.6962554536,1.37533490931732,0.399989518271801,1.04635553795899,-55264.9795159699,1.322932946558,0.193829071238752,-21577.1130149413,-52204.054391569,-8542.9576278449,0.290376297171429,-21577.1485451337,-52204.3908559687,-8543.05296012416,0.160313390619915,0.00831459157385801,-0.000463873437508586,0.00561428131513195,0.00153546879935832,0.00734961412861549,0.0079913280708415,0.0133789795758655,0.0458510765734016,0.0830902696075131,0.0250093245312952,-0.0512961274884604,0.00981479873170788,-8783.43422512786,-8783.41868302654,-8783.40071180275,0.000193870312844984,-0.0289674040978922,-0.0676305816448626,-0.0371535313377131
"asc_ruta3",-13034.4336907927,-479.287727230515,-3874.29609012009,-0.00131098160506319,0.00518700486370705,0.00569994758204782,0.0170164429026696,-0.00165306323049536,0.00908829010256661,12.8126179755806,-0.0214479221500177,0.000980102437015928,-0.00247394569122134,0.21278891525697,3668.70419375149,-0.428046312947676,0.0562933742021202,0.22186186982087,3668.70524579333,-0.446502033228133,0.0646417321080869,0.232346165418927,3668.70517852762,-0.452952220925513,0.0692911282073453,0.237647359741065,3668.70523936932,-0.439202112753109,0.0752369726219818,-6114.66930090426,3251.28131959903,-5634.72048356782,0.140105358823015,-6114.68374226375,3251.27972563251,-5634.74774377029,0.133096658464037,0.00407433924532787,-0.000519749640294656,-0.00515815518295187,0.00662379264099536,0.0142193314546565,-0.00580063872891865,0.00891785000720313,0.00604758849100534,0.00934795445268411,0.000267807425115567,-0.00335209462173252,0.0102417373154238,-2240.36825029103,-2240.36880173331,-2240.35975761778,0.000932915927252652,-0.00349636175268005,-0.00944663885695121,0.00109054431501959
"asc_rutaEC",-12793.2684249014,-3874.29609012009,15837.9406660147,0.000318768331749177,-0.011090462667483,0.019041835772519,0.0137986327902544,0.00945873658029366,0.0206459655648544,19.9583565957954,0.0716387439521654,0.0174986413868311,-0.0226920332536099,0.146610079036666,3519.0155458965,0.232632912630076,-0.234035725778584,0.158406395260335,3519.01266779391,0.270448055418742,-0.251042844821016,0.176970714351185,3519.00431338136,0.265096757183381,-0.26744677914469,0.168634845413178,3519.09978748664,0.243908627105726,-0.267657927940907,-6154.35684408981,3120.05241506294,-2280.17340508429,-1.38329755821792,-6154.34485810712,3120.15391785036,-2280.18212788281,-1.48344814571877,-0.0079466411541938,0.0202067742151096,-0.00829479999432152,-0.00668528041307458,-0.076357052825389,-0.0116746631957775,-0.220854318672179,-0.0956273753580408,-0.0876696078304122,-0.0611709461440381,-0.0203675193538263,-0.00377175287433022,-21990.2060201486,-21990.2805202297,-21990.252351411,0.0568541707532533,-0.035263721078696,-0.0541542503966216,-0.0443444184736316
"b_tt",0.00299297053631306,-0.00131098160506319,0.000318768331749177,0.000818352458017576,-0.00101798914146312,-0.000434659046322892,-0.000532282269293921,0.000225250538222698,-0.000435442963915267,0.00119988888496245,0.000715007909515978,0.00493627297372241,0.00370807044726077,0.00227354735913107,-0.000537447597799025,0.00217174217504766,0.00243962778861203,0.000778492835022033,-0.000723079600679087,0.00220990499315194,0.000113992811849483,0.00108510882805135,-0.000954184546807848,0.00164221112550058,0.000122145627501594,0.00173968435464723,-0.000981218227663268,0.000437442809807503,-0.000215197734896491,0.00132131763255344,-0.000918055087326057,-0.000519008149798877,-0.00470296041838102,0.00198555867990532,-0.00136860875069189,-0.0013371557800879,-0.00748826606025263,-0.000729021834350682,0.000326495079597078,-0.000394129419265028,-0.000666782208509678,0.000457501922897856,0.000642124568554206,0.000339015078079562,0.000774659986648796,-3.89389454561379e-05,-0.00099951400623515,0.000365354633312569,-0.00052535416276734,0.00108236692078231,8.73555279673935e-05,-0.000412676070584696,0.00038346065361189,0.000176063282876492,0.000659256728762019,-0.000137271278901287
"b_dt",0.0225103781300535,0.00518700486370705,-0.011090462667483,-0.00101798914146312,0.0203940510467198,-0.00299656301383345,-0.00160411666545314,-0.010880265187198,-0.00759274594424845,-0.00412599074632142,-0.00663377932472633,-0.00549915742227956,-0.00522997006073201,0.0182893972322888,-0.003096778227257,-0.00721871414534561,0.0150699368481697,0.0216395983925637,-0.00506636196878351,-0.00158956295901061,0.0168545212601888,0.0170394221124647,-0.00648792923198161,0.00141508169832736,0.0164286692044403,0.0128452759661336,-0.00884264133350185,0.00422876933874071,0.0117408716385813,-0.00533285226235969,-0.00556718476835303,0.00382955496261044,0.0238524158249927,-0.00904062536992581,-0.0091211389993734,-0.00102546999955928,0.028798358488389,-0.00381390797600005,-0.000618047973489376,-0.00165453437218515,-0.00596741046958301,-0.00410062614961351,0.00193210607634599,0.0103977054036237,0.00596910839936375,0.00213469185466894,0.00255116221380089,0.00138925147584509,0.00261425946021602,-0.0121888401458771,-0.00816531089487824,-0.00463235756688864,-0.00719758659290305,0.00107530135327893,-0.00245253488798891,-0.00178890499907855
"b_CongAB_ruta1",-0.0358374951635301,0.00569994758204782,0.019041835772519,-0.000434659046322892,-0.00299656301383345,0.277286270509956,0.0540615284175484,0.0757325618479302,0.0253790768902037,0.0818620088088962,0.0301578107891226,0.0313240500020102,0.0152343628794504,-0.0679333914884441,0.0374540901613249,-0.00934595057629839,0.0166569634204141,-0.0433940614334709,0.0117426099226275,-0.0196024442371095,-0.0119979047971161,-0.0462901350793597,0.0082303225553258,-0.0257329758455553,-0.0207563218422109,-0.0218261540685416,0.00783645701589223,-0.0225489755481165,-0.010288666682794,-0.00981469234390966,0.00593114875815071,0.00277753090552369,-0.0280818174251309,-0.0120953824504117,-0.00200043688251618,0.00323112057221806,-0.0284071372367536,-0.0102490340567655,0.00533223238438461,-0.0101618551255128,-0.000470578049937493,0.0197528773415321,-0.00423062527639649,-0.0469796934406184,-0.0258194474109657,-0.0209747253465083,-0.00179830451856241,0.0138760287202925,0.00185673752094776,-0.0112704767292061,-0.00847194743940536,-0.00148445226398585,0.011351340024109,-0.0144276888263008,0.0142052207000725,0.0026600855956287
"b_CongCD_ruta1",0.0394386459057438,0.0170164429026696,0.0137986327902544,-0.000532282269293921,-0.00160411666545314,0.0540615284175484,0.102645773179615,0.0246495599108682,0.0270271460565971,0.00933677490110391,0.0223465297193142,0.0127548899691406,0.0137036340857672,-0.0227626202493903,-0.0105785052233239,-0.0056795149037379,0.00511990618944738,-0.0119840461400388,-0.00838276791596773,-0.00274149853439732,0.0128834701250315,-0.0135878098612482,-0.0120571457817734,-0.00214796470188144,0.00977688434899766,-0.0105678565346447,-0.0116477608752267,-0.00164361551553265,0.00997652889774446,-0.00531890451413362,-0.00937701745131573,0.0106322842080534,-0.0212153769275412,-0.00933982432061802,-0.010797026156746,0.00741316790931312,-0.00968969969422457,0.00421895718981421,-0.00493625921594347,-0.0059183172987504,0.00873932117721343,0.0203484599580279,-0.00168417552772452,-0.00171210159981477,0.00342924950890544,0.00258452593275269,-0.011748828379138,0.00748137001459295,-0.00218119538460858,-0.00768368374295733,0.000490958006936495,0.00029410402353541,0.00233157764555951,0.00728606601649742,0.00399885403919881,0.00530624587202826
"b_CongAB_ruta2",-0.155545320849144,-0.00165306323049536,0.00945873658029366,0.000225250538222698,-0.010880265187198,0.0757325618479302,0.0246495599108682,1.29057075403687,0.0941984056111181,0.0767845858410101,0.0362633728077575,0.0249078112937735,0.0268929714817023,-0.0119595331954816,-0.266497708033552,0.0336514024677632,0.0239898043946051,-0.0151313628588854,0.00903040638513029,-0.0106744358543682,-0.00625436157941299,-0.0194631865284806,0.0664609485372552,-0.0117420959427518,-0.0039566821653865,-0.0136240092432934,0.0716871786535259,0.00252676892937628,0.0001129768267602,0.00818717592211932,0.0500210098751332,0.00551778106843786,-0.0469771582053878,0.0188131013831642,0.0902116659619086,0.00683069317966641,-0.0345606769245859,0.017044022056277,0.00142152429911368,-0.00739554719351771,0.00996985157356609,0.0189675082871982,-0.00486562439442422,-0.00384655671751528,-0.00291644254646347,0.000459811062955591,-0.00938702732219354,0.0101642935427072,-0.0113594971982807,0.00739297340587648,0.00865912628154592,0.0099830813287642,0.0107685220516364,-0.00926875860047161,0.016141123022684,0.0137184922649386
"b_CongCD_ruta2",-0.156354518137919,0.00908829010256661,0.0206459655648544,-0.000435442963915267,-0.00759274594424845,0.0253790768902037,0.0270271460565971,0.0941984056111181,0.212791646309262,0.0108370291484628,0.0229605201709772,0.011442090960958,0.0155745376340699,-0.0329104620619265,0.0161310017169546,-0.0170160742165313,-0.0255904245192514,-0.0171201915663077,0.0268749527732856,-0.00849397616879886,-0.0104704048679958,-0.0110497444626084,0.0575575932835738,-0.00987417477178646,-0.00413154423875125,-0.0063857913236025,0.0654464238254356,-0.00594301176889898,-0.00406404110148822,0.0106115116771091,0.0488938841517474,0.00600309066007741,-0.0423387413184811,0.00574422467304608,0.0872154752276337,0.0046937014559567,-0.0428742648323962,0.00569998522616403,-0.00256253860924808,0.00271619257589594,0.0153102854377546,0.0223094421070776,2.41292495173377e-05,-0.00344730060821705,0.000298834914059735,0.00222987036742042,-0.01295136277408,0.0106694762997873,0.00334482352852356,0.00948333779306628,0.0061159684286859,0.00760283944108111,0.00664328413214483,-0.00453117641622168,0.00845294266857766,0.00566711822555245
"b_CongAB_ruta3",11.5450557984054,12.8126179755806,19.9583565957954,0.00119988888496245,-0.00412599074632142,0.0818620088088962,0.00933677490110391,0.0767845858410101,0.0108370291484628,362222840.254817,0.14455195394338,0.0143336167557103,-0.00354377442006407,8.04644859957308e-05,18.6240258109591,-0.27229106227396,0.0250162206374693,-0.0123507180766054,18.5925797161264,-0.172383136130792,-0.0172234622534511,-0.0316217754907389,18.5824544139457,-0.0692041460774813,-0.0275709975014816,-0.0270506067527811,18.5847733133248,-0.0415530406657087,-0.0250108231591318,23.7602755572243,-6.39610827934703,10.9065379023802,-0.0571173572025376,23.7589706052913,-6.39016763497705,10.9916518731004,-0.0594180329487965,-0.0214659007068333,0.00786503490611087,-0.018975320702875,0.0229976708190721,-0.00596972342406917,-0.00333218227476327,-0.0141081724578107,-0.00336209430656678,-0.00154353999439109,-0.0134883659090343,0.00304141642077816,-0.0101602944437487,3.8715190816753,3.87127634358066,3.8795565015463,-0.00129152019577023,-0.00711520846688279,-0.00669225672629548,0.00356031668338339
