"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",1,-0.0987704798935402,0.333045823080179,0.0648132751882513,0.0542375334808431,-0.0158750172450702,0.0903943465489322,-0.0248729416843145,-0.120602608403785,0.116885227595477,0.184329779321492,0.0287093289997759,-0.0577729808812786,0.595902001545685,-0.422762702257111,0.472399212698632,0.0763172615006849,0.657706264242232,-0.861131461498644,0.558763639643481,0.0835623931578545,0.660069280044885,-0.914849414228549,0.61083701097678,0.0431658232610461,0.563222195050177,-0.654423020430922,0.546680897213102,-0.0195940034655476,0.199054297068028,-0.944910927218204,0.0772618171890936,0.0770196299707313,0.0578146596833437,-0.650878637436042,-0.0262573016273928,0.0265175599628009,-0.112045448615069,-0.0457060102580386,-0.141318731321861,0.0808015529556656,-0.0377864754187012,0.0454963536357359,-0.101697268207833,-0.0440129400766848,-0.0268232218782132,-0.00704555403558832,0.0267590678196646,-0.052497086485954,0.175485118405748,0.252944782781592,0.252558697412962,0.03488682514291,0.0229300172053467,-0.071319987911018,-0.0361910831072985
"asc_ruta3",-0.0987660648845573,1,-0.198184544553914,-0.0768019015827988,0.0771938572652205,-0.0225433406745785,0.0323133251806083,-0.0117941159742763,-0.0265226385053934,-0.0492726682043178,-0.212201326236741,-0.109389499244077,-0.115336584454649,0.470188983960613,0.0246869955996026,-0.520827360833036,-0.0304269919190391,0.508530448736917,0.0984621715233258,-0.70928816147497,-0.0380165667703313,0.538665440156408,0.0519484879657843,-0.732865299464146,-0.0314207127218181,0.51116938491618,-0.0222587901625074,-0.665390959867174,-0.0522974216373497,-0.876687648883022,0.108312458659731,0.74030398595511,0.188765136231164,-0.723559397995885,0.0881003300248371,0.103536658636819,0.167994925799089,-0.00640768981725443,-0.00700752558412916,0.103140195527467,0.0252160659612918,0.230901286461401,-0.0677489110107281,0.134130275030269,0.273295628405144,0.237285462264368,0.0521636589136722,-0.177784183931492,0.11710174139961,-0.234953713946665,-0.284464527250207,-0.275800674451629,0.0751631066368809,1.32961835595163e-05,-0.148384453342038,0.0586449727011684
"asc_rutaEC",0.333061248866832,-0.198180675372657,1,-0.0164994032571459,-0.0875458833561429,0.0348110223771284,0.0686666397707257,0.0501990939017176,0.153397949908129,0.0551803206997864,0.062576662704043,0.077098171420195,-0.0177620170293228,0.19711678987915,-0.154840097444089,0.252001593336634,-0.243982500851502,0.227643156279661,-0.300279108062641,0.32691110088731,-0.291294870102072,0.271358677623937,-0.267260839944329,0.280833598380975,-0.32118947927813,0.239956521500084,-0.0844438148132052,0.258927126066908,-0.284546898516501,0.168554135901072,-0.241136586667504,0.33080605787824,-0.68228375527771,0.110512445260901,-0.0262058647775953,0.087441103424818,-0.727095914018567,0.108521813315322,0.0854957925152048,-0.138585544436053,0.0846569596866917,-0.177120441878354,0.0289999880084818,-0.334871354006359,-0.212907148313204,-0.234443530307039,-0.246012090912521,0.0226335717848274,-0.0368400805055055,0.691641869263077,0.73625602983558,0.723241403926084,0.12684766777722,-0.0375689069659613,-0.0877874567359072,-0.10543537051362
"b_tt",0.0648132752371047,-0.0768019015412088,-0.0164994032638473,1,-0.265687906610224,-0.0243167081950867,-0.00231056298283095,0.0176162757255275,-0.0811931498241114,0.281501174154365,0.290437632903639,0.367639301052366,0.202866290294453,0.00585539819508488,-0.00730596373032419,-0.00328399154960652,0.200489688183758,-0.0271304997685702,-0.0300705312977575,0.00193537001696587,0.135171340119662,-0.0282543662714481,-0.102054599172584,-0.0558695958711967,0.135715786347515,-0.140223400174221,-0.0724935080939166,-0.0511076976361634,0.0111907044105277,0.196113520345304,-0.0335669299847175,-0.122052567801158,-0.124338662054892,0.27087630699426,0.0362783100064611,-0.163007892072327,-0.0950527932839243,-0.232811956019504,-0.053436930555543,-0.0563886714033269,-0.0772779282229235,0.0490621436472951,-0.0324055280654841,0.0586977781228471,0.100287662097195,0.0267719050131081,-0.120277412605321,0.138034259405178,-0.126474865029762,-0.0130219970311597,-0.034689421712599,-0.0718745815372189,-0.0384232824834046,-0.0225711049431289,-0.00768178525818394,0.0766833250133423
"b_dt",0.0542375332921361,0.0771938573507927,-0.0875458833889815,-0.265687906610225,1,0.0366697108449702,-0.00900217083949377,-0.101167765273785,-0.052287214048486,-0.17291861898227,-0.161973996332825,0.0397834464526431,0.0234217789323831,0.151833780937833,0.0192389933712417,-0.133298936671313,0.0713400206665591,0.134367041106368,-0.0206459241385168,-0.0150512492812243,0.101550368289456,0.12770142303694,-0.0774912064785269,0.0525410419283462,0.130500766187819,0.142500514280149,-0.0925892951203866,-0.0149498939559374,0.141803000362831,-0.10754522451206,-0.0510761675949655,0.11703249905759,0.15854651052581,-0.147750103185532,-0.0552386106866872,-0.0415372449590668,0.162696518855924,-0.0364700832066566,0.0310453660253314,-0.0439266511718817,0.0363179132258427,-0.140789539766125,0.0549672973851922,0.0515856395570683,0.0241063158486361,-0.00707839936018513,0.0371962350432904,0.0356352064114651,0.0699200443492447,-0.114880003858189,-0.0918701948831693,-0.0210238857272212,-0.128622345838275,-0.0325292155322315,-0.0807797457777124,-0.0929670437446382
"b_CongAB_ruta1",-0.0158750171991068,-0.0225433406606246,0.0348110223839569,-0.0243167081950869,0.0366697108449704,1,0.33479290547576,0.181564987207271,0.101436240018611,0.300854246063474,0.0706449852127365,0.133229087998005,0.109769377940577,-0.148967746572138,0.0422947586664021,-0.099952093480843,0.0186271180101622,-0.065416981725142,0.0336637424518619,0.0148948043147828,-0.0407301443775282,-0.0918916777632549,0.000152062558161615,0.0183587193890034,-0.0423466269860311,-0.036723560751449,-0.00131506206888463,0.018347300262966,-0.00670610838127782,-0.0237118891000623,0.00397948742057019,0.00833676020035879,-0.0418693566123528,-0.046241639467665,-0.0163882475278634,0.00656765286592353,-0.0758504939487593,0.0108102810636657,0.114002091017814,-0.115398279397977,-0.0172492516090236,0.118589566553487,0.0482556460492163,-0.0683026145085983,-0.130732372249677,-0.123124647620497,-0.0767145787980534,0.0999237696309986,0.08075201450377,-0.0112338262817601,0.00137033156547137,0.0148347463940151,0.0668585545321723,-0.0433548712242301,0.0635542132843924,-0.00341924756364757
"b_CongCD_ruta1",0.0903943465532578,0.032313325159321,0.0686666397634381,-0.00231056298282996,-0.00900217083949354,0.33479290547576,1,0.0534408506000335,0.256194482224262,0.0239991985292098,0.120782903458358,0.133684684833272,0.145246173703926,-0.0834317158790017,-0.112246121067041,0.0598091329586337,0.0496333733695836,-0.0488655368199844,-0.048081596169615,0.0510867197192391,0.146320977839391,-0.0209983616913711,-0.0926337744840213,0.0583723501997261,0.151596619982299,-0.0690869172417628,-0.0149214716449703,0.0674430994437698,0.113572810565814,0.00148033701257492,-0.0751630200655562,0.11029467913439,-0.123819633967097,-0.0024631612913348,-0.0375179505437128,0.0175063033371117,-0.102083761402114,0.134864255454274,0.0711726238269971,-0.0870259627746566,0.0644347724159906,0.222207658865296,0.0306090997965779,-0.0473101459863205,-0.0589230358565822,-0.0749624596845478,-0.218349263357125,0.155553842948227,-0.0290658362430234,0.0535312014191197,0.0813892711670352,0.0894391186716526,0.0399810700488424,-0.00166116536448482,0.0519939607598333,0.047769079138425
"b_CongAB_ruta2",-0.0248729415857396,-0.0117941160253963,0.0501990938912309,0.0176162757255277,-0.101167765273785,0.181564987207271,0.0534408506000337,1,0.173564011272575,0.150048880954674,0.0112154286557299,0.0404552637695933,0.0402160094768044,0.0503767548156658,-0.42194068411516,0.114172646751938,0.0700928043278778,0.0146639124275066,0.0317618589323475,0.0438180469636621,-0.0305745135020505,0.00498887923948237,-0.00737266061007862,0.013530546360974,-0.0435165765690787,0.0260121073537878,0.00511130734683874,-0.0189002692150708,-0.0491148720828096,0.00907275048926673,0.038413271775813,0.0252253561011709,-0.0111091830406103,-0.103040922106889,0.0442507904461642,0.0248622583214238,-0.0550772399704917,0.144170179648568,0.0335450632084251,-0.0280914150381992,0.0277765981368224,-0.0177282542648588,-0.076637076422282,-0.0422280213349981,-0.0510735926219637,0.0114190466355279,-0.0700478938847004,0.0166415396517234,-0.0200726873447906,0.0392138755433256,0.0475139547500568,0.0268649851540218,0.0557861032213162,-0.0459856073182955,0.0444979828151007,0.00334550924376498
"b_CongCD_ruta2",-0.120602608377711,-0.0265226385631549,0.153397949988167,-0.081193149824111,-0.0522872140484871,0.101436240018611,0.256194482224263,0.173564011272576,1,0.034968263458319,0.0642056463763023,-0.0467540722555649,0.0354876931622394,-0.0458197131323517,-0.106879166840521,0.0677564371577531,-0.0262234418547562,-0.0354196520519938,0.106654438654611,0.060563771408333,-0.0207071609084611,0.00417089133209618,0.138996038967918,0.0721245725899263,0.0303406324547941,0.00609633890714766,0.167261225215546,0.0737623327838824,-0.0145061120029407,0.0644207521396835,0.145647690867811,0.0545729608629619,-0.118581941750181,0.0290897452237535,0.140722783084791,0.0671476969146814,-0.117492757462388,0.0941308510922285,-0.00194708552120363,0.0579041355774373,0.139064489228829,0.0640126625232399,0.113272470211225,-0.0893308929705717,-0.0661286358511957,-0.0224979665224967,-0.13813391034291,0.10763773277354,0.0354646639596563,0.105989395861276,0.1212038605374,0.090693222362029,-0.000670769559864579,-0.0270790826528866,0.0270044446660018,-0.033342420344977
"b_CongAB_ruta3",0.116885241579648,-0.049272669281455,0.055180349760647,0.281501174154602,-0.172918618982203,0.300854246063616,0.0239991985292934,0.150048880954678,0.0349682634583101,1,0.384089039598299,0.0309817386061951,-0.00547895196705891,0.0479458424604998,0.00217788693873783,-0.173905190489262,0.0353099606068352,0.0132048506554333,-0.057496014549068,-0.125047752588074,-0.0123885894654821,-0.0230360653249914,-0.146995687700996,0.0271154274929403,-0.0927793868494595,-0.0316672426170226,-0.104897949676623,0.0536483232332268,-0.117021714609967,0.164445101492323,-0.0953621253305679,-0.208365526804519,-0.0244821576460227,0.144306149384627,-0.0311901328864795,0.106195541991598,-0.0608107694499876,-0.101164591837923,-0.0448436276520494,-0.158766788531452,0.142112576815551,-0.0248207439147516,0.0672700679446634,-0.00451703942813072,0.0185841271816302,0.0159857609924622,-0.0702611450850572,0.0116577200813281,0.0729624287637645,0.0906150333904095,0.107339420132589,0.101314762553367,-0.0138476010807991,-0.0586640913611986,-0.0198545905475189,-0.0204272081433672
