"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",2.97004885613472,-0.0958827291762279,0.688447374753688,0.00386730107744635,0.012783936786643,-0.014214467644854,0.0507310023147726,-0.0492107807447792,-0.0942356871162753,0.13176964701213,0.184118686745149,0.0257235141820318,-0.0513387635665716,1.0592576427479,-0.866208804075942,1.22171452244084,0.113186353267471,1.05997561153306,-0.772256114316216,1.14846586436973,0.0968334020100583,1.04472953009527,-0.841871548352608,1.22044851453346,0.0492132116736626,0.955671184804757,-1.04765543240086,1.17392489597095,-0.0252089652440252,0.220001528993396,-0.768388685401441,0.0392035268684902,0.201816954303671,0.0860735989996829,-1.03258162511537,-0.04475313465909,0.0736540441797885,-0.0559140349910876,-0.0154809887375594,-0.0707291940559879,0.0466893820272167,-0.0242541483871468,0.0227221517559822,-0.148405476579491,-0.0398765903625551,-0.02115240918685,-0.00442912844746992,0.0140607721978196,-0.026535694178277,0.285346553140661,0.351062414908393,0.365183030292788,0.0387603833248541,0.0221633063274878,-0.0623344378233053,-0.0256522327310747
"asc_ruta3",-0.095878443248782,0.317294725866393,-0.133901724357445,-0.00149784067189138,0.00594698791212993,-0.00659757441859357,0.00592738933422752,-0.00762690132432022,-0.0067736859373534,-0.0181556359732478,-0.0692787573599211,-0.0320355748066108,-0.0334994244047437,0.273179962973118,0.0165327004853077,-0.440254691105011,-0.0147495896738579,0.267873952891342,0.0288609710104689,-0.476499330602366,-0.0143991496166256,0.278665428080199,0.0156249544300141,-0.478594725953548,-0.0117086639609465,0.283493558665564,-0.0116469198433982,-0.467017269785427,-0.0219918490941512,-0.316700434975364,0.0287884401551527,0.122777825789391,0.161669328985947,-0.352091716414497,0.0456826764067444,0.0576789229610606,0.152513691357769,-0.00104514783278314,-0.00077578200925171,0.0168723882276873,0.00476239462950646,0.048442397426898,-0.0110592280550813,0.0639760004266887,0.080931940067792,0.0611603072146414,0.0107181739632221,-0.0305338061766351,0.0193467596069485,-0.124871774138887,-0.129043566433327,-0.130344650801953,0.0272948660203887,4.20055620875784e-06,-0.0423891606507853,0.0135863878803755
"asc_rutaEC",0.688479261784205,-0.133899110177599,1.43869892944303,-0.000685196943050585,-0.0143616247833779,0.0216938351427893,0.026821380815558,0.0691245226715861,0.0834221579166604,0.0432955378817598,0.043502871745121,0.0480788972435712,-0.0109854050439249,0.243867285129291,-0.220806842700562,0.453593707808771,-0.251844883225299,0.255341647788471,-0.187421832453592,0.467651988526168,-0.234936405992292,0.298924304427688,-0.171172782599764,0.390522758229767,-0.254862626727346,0.2833769044076,-0.0940872791245337,0.386978760286129,-0.254793801680313,0.129657223964404,-0.136476024303218,0.116825282061045,-1.24429803326815,0.114510771571761,-0.0289351697150341,0.103727081824133,-1.40558756393446,0.0376917949239798,0.0201545584454806,-0.0482747546631353,0.034045855300009,-0.0791264162554231,0.0100803090434669,-0.34011188047008,-0.134255177483009,-0.128673855227527,-0.107637286532236,0.00827740967789853,-0.0129604173274053,0.782738646899278,0.71119818234172,0.727837961591652,0.0980871836930003,-0.025273296464936,-0.0534013722382256,-0.0520131412247794
"b_tt",0.00386730108036134,-0.00149784067108026,-0.000685196943328886,0.00119873845837487,-0.00125810501329106,-0.000437422984542304,-2.60513604152789e-05,0.000700208898314103,-0.00127455480103228,0.00637553140069146,0.00582821650784779,0.00661773863855638,0.00362168720738893,0.000209104615640587,-0.00030073492245682,-0.000170625141603665,0.00597370473369177,-0.000878419789604111,-0.000541768091913668,7.99161190199366e-05,0.00314687406291626,-0.000898421927539497,-0.00188672768510353,-0.0022425909871643,0.00310851144028088,-0.00478001926664759,-0.00233152158558229,-0.00220482007207426,0.000289247548082606,0.00435453815361903,-0.000548380666775554,-0.00124419245733544,-0.00654550008039227,0.0081018356952362,0.00115625026438733,-0.00558164769679546,-0.00530405898332507,-0.00233406161509838,-0.000363619620076282,-0.000566984601594598,-0.000897086479181997,0.000632669048259484,-0.000325141489333963,0.00172084884964521,0.00182543160847987,0.00042413937813602,-0.00151903445583197,0.00145715417209312,-0.00128433967675192,-0.000425393013046787,-0.000967244107303239,-0.00208787267729156,-0.000857633035212589,-0.000438291866233627,-0.000134883669161678,0.00109195552297129
"b_dt",0.0127839367421642,0.00594698791872239,-0.0143616247887649,-0.00125810501329106,0.0187053471745766,0.0026057033352722,-0.000400941041121723,-0.0158846024637453,-0.0032423156540894,-0.0154702953119834,-0.0128395189575678,0.00282885540950803,0.00165173965813573,0.0214188553978162,0.00312830697695894,-0.027358252037416,0.00839664148398535,0.017185324546611,-0.00146935696573844,-0.00245506837679399,0.00933892555405887,0.0160402516083746,-0.00565913078303832,0.00833093777412056,0.0118074422840305,0.0191887308924787,-0.0117630994589125,-0.00254768433365516,0.0144783259256956,-0.00943292458419507,-0.00329616909529291,0.00471267824409705,0.0329696242766636,-0.0174566486806111,-0.00695453683449374,-0.0056183933928279,0.0358626509257441,-0.0014443234356213,0.000834494072900456,-0.00174472974302211,0.00166540703380143,-0.00717168366376691,0.00217860421363824,0.00597407334277931,0.00173328336488635,-0.000442980948548793,0.00185568047613675,0.00148599914851952,0.00280477505981271,-0.0148244254075634,-0.0101189240775237,-0.00241247230481803,-0.0113408114726395,-0.0024951970507282,-0.00560299658994356,-0.00522942214636927
"b_CongAB_ruta1",-0.0142144676036985,-0.0065975744145098,0.0216938351470447,-0.000437422984542306,0.00260570333527221,0.269941212170087,0.0566449528828384,0.108297394272274,0.0238948684292377,0.102250325957358,0.0212733803101898,0.0359881160147669,0.0294072647924583,-0.0798310443059916,0.0261255402368285,-0.0779301058578416,0.00832855687295513,-0.0317839008436115,0.00910137680127537,0.00922948685932888,-0.014229284752739,-0.0438473479527023,4.21862877598724e-05,0.0110583238335249,-0.0145550366581413,-0.0187856538223872,-0.000634686049913813,0.011877673504983,-0.00260108896851453,-0.00790083691030723,0.000975596034322445,0.00127529404139356,-0.0330754154194123,-0.0207547741805287,-0.00783807996403208,0.00337470921425883,-0.0635147001174942,0.00162635893471226,0.0116410190337216,-0.0174120984150065,-0.00300484085411965,0.0229482159318881,0.00726563873107536,-0.0300490515761162,-0.0357086620849503,-0.029271615911535,-0.0145389763569919,0.0158292304416598,0.0123055609993204,-0.00550697166226279,0.000573372780250124,0.00646667724394847,0.0223942436017259,-0.0126334180995882,0.0167461097626905,-0.000730645875648211
"b_CongCD_ruta1",0.0507310023172002,0.00592738933032269,0.0268213808127115,-2.60513604152678e-05,-0.000400941041121712,0.0566449528828384,0.106047577772507,0.0199790597483632,0.0378265778387827,0.0051123558311344,0.0227969323582889,0.0226338009972267,0.0243889952514632,-0.0280237672617999,-0.0434576112033757,0.0292278357248067,0.0139095686680687,-0.0148811038931792,-0.00814778115391614,0.0198411367857608,0.0320397777941413,-0.0062801257748465,-0.0161077232168235,0.0220378833050577,0.032658766541769,-0.0221509891745291,-0.00451377741554938,0.0273660751439682,0.0276105331152671,0.000309160014960253,-0.0115494922471342,0.0105750727149721,-0.0613076000827196,-0.000692936470907723,-0.0112468799961901,0.00563814702060415,-0.0535782201194991,0.0127172161579153,0.00455519463775418,-0.00823031383855267,0.00703537574033544,0.0269511467955827,0.00288863056587076,-0.0130455835027628,-0.0100876807877744,-0.0111702091626579,-0.0259372206283469,0.0154449859184783,-0.00277617381969835,0.016447803475828,0.02134491104565,0.0244368008826058,0.00839362588444467,-0.000303397233114333,0.00858693683367683,0.00639792345787464
"b_CongAB_ruta2",-0.04921078054975,-0.007626901357378,0.0691245226571459,0.000700208898314113,-0.0158846024637454,0.108297394272274,0.0199790597483633,1.31796116634412,0.0903416232457356,0.112682902973543,0.0074625585709879,0.0241463673844573,0.0238061471484098,0.0596521992637755,-0.575899685483659,0.19669447020627,0.0692491163182015,0.0157428465880362,0.0189743681120447,0.0599946439836471,-0.0236017054654253,0.00526001341161382,-0.00451949562886645,0.0180085590305098,-0.033049577549128,0.0294017904937193,0.00545081456633771,-0.027036091968267,-0.042093434916242,0.00667978708248339,0.0208085059561628,0.00852642618941559,-0.0193913414121324,-0.102190667460434,0.0467643516833393,0.0282282172947796,-0.101907164428895,0.0479260420028363,0.00756873860751219,-0.00936574019047862,0.0106917054066044,-0.00758027790827579,-0.0254965432618366,-0.0410497846843189,-0.030825033332026,0.00599857722216243,-0.0293337588598485,0.00582507077408588,-0.00675881069027091,0.0424758045968138,0.0439287959611475,0.0258764308892611,0.0412878388790292,-0.0296088544580276,0.0259075664322201,0.00157962986221646
"b_CongCD_ruta2",-0.0942356870959013,-0.00677368595210529,0.0834221579601875,-0.00127455480103227,-0.00324231565408947,0.0238948684292378,0.0378265778387828,0.0903416232457357,0.205567194108009,0.0103711025500009,0.0168721603899508,-0.0110210204351115,0.00829647302721861,-0.0214276347658827,-0.0576121516707264,0.0461005641349043,-0.0102318953493483,-0.015017695438848,0.0251632041227106,0.0327489946757041,-0.00631291564649663,0.00173675409633725,0.0336506726323983,0.0379116319607647,0.00910041959268589,0.00272140350762826,0.0704450176661139,0.0416712151590363,-0.00490996021026115,0.0187316071204157,0.0311593795125095,0.00728505517260579,-0.0817466350677786,0.0113937586015126,0.0587332316757956,0.0301092263027064,-0.0858557214970525,0.0123581569597169,-0.000173502411966156,0.00762436483156648,0.0211402330342979,0.0108096254148247,0.014883063818627,-0.0342955224755327,-0.0157623986688804,-0.00466753164075064,-0.0228453880159291,0.0148798255872537,0.00471613478377799,0.045340871324057,0.0442557973934597,0.0344999288350896,-0.000196062740120292,-0.00688587641075579,0.00620936435326557,-0.00621750037926849
"b_CongAB_ruta3",0.131769662777076,-0.0181556363701435,0.0432955606834684,0.00637553140069681,-0.0154702953119773,0.102250325957406,0.00511235583115221,0.112682902973546,0.0103711025499983,0.427905548716638,0.145621815785391,0.0105367143008954,-0.00184803539222802,0.0323496717648348,0.00169376604019051,-0.170712482538725,0.0198774506979948,0.0080777340566694,-0.0195713959431609,-0.097556903436844,-0.00544914474972529,-0.0138393219747545,-0.0513443871999137,0.0205637700076125,-0.0401499806595985,-0.0203953490534239,-0.0637410279834686,0.0437275081690758,-0.0571466081317986,0.0689869977709419,-0.0294346024052357,-0.0401308401125827,-0.024349949927909,0.0815471879573142,-0.0187816508242437,0.068702385216174,-0.0641114647701729,-0.0191622856611899,-0.00576525182775901,-0.0301613517819031,0.0311690161940497,-0.00604723160336311,0.012752252219781,-0.00250199642413031,0.00639104635807187,0.00478491662649134,-0.0167652684183539,0.00232511253426072,0.0139986674506666,0.055927416097687,0.0565470583146283,0.0556049113106244,-0.00583973743948665,-0.0215225972648435,-0.00658673033878892,-0.00549572214446258
