"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongCD_ruta1","b_CongCD_ruta2","b_CongCD_ruta3","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asc_ruta3",NA,1,0.000775261122679897,0.0800460409843183,0.404817759215132,0.0191540967791857,-0.057324214941352,-0.309169180500273,0.0140672253736223,0.461600955824818,NA,-0.651747620672139,0.226156286076814,0.486564992564566,NA,-0.797171223608498,0.234689034805619,0.486718694835251,NA,-0.825246410654371,0.231193524211316,0.440684213675645,NA,-0.80008574738873,0.171730559765642,-0.0631702639343612,-0.0841786742222356,-0.135852561360865,-0.101456685652164,0.0177860218905174,0.0325542495352704,0.0864598364553063,0.0688328123690127,0.0480005673065005,-0.0242865176976738,0.0235247718029599,0.000452134667167022,0.000442412154861529,0.000532155265780213,-0.0642176545112493,-0.00863373780042016,-0.0843831759837034,-0.0453829056889502
"asc_rutaEC",NA,0.000775261122679897,1,-0.000697256698696877,0.000253700138223738,3.86040172369966e-05,-0.000158105083310155,1.27804800106343e-06,-0.000507279872601319,0.00144615836840224,NA,9.62780418450952e-05,-0.000730113197841605,0.00166325487378737,NA,0.000155394274358409,-0.00092678054878656,0.00166731081359785,NA,0.000127493517609039,-0.000963508708374525,0.00144899510027125,NA,0.000139562438454487,-0.000953894298594366,-0.000231933567374251,-2.45294386656326e-06,-0.000188614749230734,-6.18054099662506e-05,-0.00090404994550863,-0.000643148853602158,-0.0010144222283811,-0.00109174460953902,-0.000917529444737274,-0.00046929690322501,-0.000332684729923976,-0.9999795653945,-0.999984336314949,-0.999983747366766,-0.000336923222790226,-0.000685760158764116,-0.00109081250332506,-0.00100882582187092
"b_tt",NA,0.0800460409843183,-0.000697256698696877,1,-0.309354595271479,-0.0804390117657178,-0.0421614444303346,0.0416261985926504,-0.0242271609094738,0.0228326565391972,NA,-0.111110132230302,0.181350788037936,-0.0247598064187955,NA,-0.147149152682863,0.0815101408169614,-0.0125101125288222,NA,-0.162924043992151,0.0705109136722927,0.00682413372461282,NA,-0.181976476315247,0.0368169337323645,-0.0921116719139837,0.018737242898763,-0.0363920122282093,-0.0437262032342232,0.0331130136264308,0.114784762555833,0.0484014731664054,0.101148713134346,0.0321174342144568,0.0465259222207578,-0.00541387079617444,-0.000366967828544069,-0.000482339140724775,-0.000691267504020237,0.0195669985877051,0.03177728333078,0.0631846389937526,-0.000687573415717757
"b_dt",NA,0.404817759215132,0.000253700138223738,-0.309354595271479,1,-0.00360613296683809,-0.061810658460997,-0.017699040340748,-0.0101785742639394,0.0723749149076804,NA,-0.375149238549812,0.0514594880561184,0.120132732907606,NA,-0.421411059204099,0.0870792962403156,0.0969214720871976,NA,-0.405770511801743,0.101036120617815,0.0614793175685597,NA,-0.390207576715067,0.0668522307708488,-0.0942067985198214,-0.0321439108113743,-0.043157319204655,-0.107282368841106,-0.0639253023462615,0.0409109001252997,0.0496340567944753,0.0443539665823152,0.0149262675279991,0.050407279515323,0.0434078752807621,-2.30996185255317e-05,0.00012450169693154,0.000284603359306717,-0.039394544531871,0.0114255924318433,-0.0402999750894374,-0.0182454983908938
"b_CongCD_ruta1",NA,0.0191540967791857,3.86040172369966e-05,-0.0804390117657178,-0.00360613296683809,1,0.146413501995049,0.0742252279674159,0.057044243201011,-0.061120427999849,NA,0.0134013728924262,-0.0240631081014329,-0.0388300519481835,NA,0.0388461227106545,0.0332917067261739,-0.048702183658107,NA,0.0436585709078138,0.0287067177477437,-0.0489064675077517,NA,0.0377737112582497,0.00106362472751346,0.0545652072188152,-0.086613555865341,-0.0373940713996104,0.0634345239130782,0.117005126472875,0.00340606616361025,0.0187047407882084,0.0490047442288156,0.0417615754809242,0.0664079270149368,-0.000697242306264546,-0.000182200889086794,-2.48305430765774e-05,-5.94296870996392e-05,0.0103943303183747,0.0588704536695846,0.0122152181983121,0.0408236677913838
"b_CongCD_ruta2",NA,-0.057324214941352,-0.000158105083310155,-0.0421614444303346,-0.061810658460997,0.146413501995049,1,0.0537743307571131,0.033398987163743,-0.0526759676560461,NA,0.036481908025306,-0.0666971910294623,-0.0234592612130714,NA,0.0681718725007176,-0.0207903714913989,-0.010596152903671,NA,0.0651214389469557,-0.00375972307582489,-0.0058279697735192,NA,0.069743580830569,-0.0169621908830688,0.0187242814360896,-0.0198103339982055,0.035921020657483,0.0573856249051861,0.105824009858985,0.00507147190841361,0.0154588639807704,0.0153157584086941,0.0153909185090114,0.0606128481703603,0.0569928926405177,-8.20000246151859e-05,-0.000103092368281939,-9.4271036692364e-05,-0.00228416571511237,-0.0185259855656867,0.0243473193154913,0.0152909283130875
"b_CongCD_ruta3",NA,-0.309169180500273,1.27804800106343e-06,0.0416261985926504,-0.017699040340748,0.0742252279674159,0.0537743307571131,1,0.00429233878052424,-0.00657118243626414,NA,0.119132559800946,-0.0057160374151283,0.0158318950938797,NA,0.171222515101652,0.0108812209456889,-0.000966866225455077,NA,0.259723031921347,0.00448534163347704,0.00680877277856774,NA,0.201751174868366,-0.00970063240330638,-0.00343094907611475,-0.0223120562847946,0.0021940953350479,-0.00151237503214471,0.0528786197653496,-0.007149351951161,0.00468652992477607,0.00121550903033581,0.00869695524918952,0.0518195849936852,-0.00913705899812916,-0.000165923447724416,-0.000175280046344752,-0.000206982690882526,0.0417429299715556,0.0372049878925458,0.0607624992749621,0.0358769201778687
"b_CongCD_rutaEC",NA,0.0140672253736223,-0.000507279872601319,-0.0242271609094738,-0.0101785742639394,0.057044243201011,0.033398987163743,0.00429233878052424,1,-0.00387228358451549,NA,0.00105979274423335,0.0127946470962352,0.0224239654305205,NA,0.00939382884246098,0.0390238424565255,0.0441327285209985,NA,0.0150258494204757,0.0596700557852581,0.100156427898075,NA,0.0139951139457953,0.108763294851895,0.103516545428861,-0.00986568325723234,0.0782063576380735,-0.0845417899145139,-0.0252665651893907,0.022057911676445,0.0843728500590931,0.0318707026362391,0.0159727970116418,-0.0279207110727094,0.015134244502449,-0.000291080634682867,-4.42111401599303e-05,-7.88634405181613e-05,0.00963675761146098,0.0528473287857682,0.0823348201505938,0.0832582913357561
"b_Sem_0_ruta1",NA,0.461600955824818,0.00144615836840224,0.0228326565391972,0.0723749149076804,-0.061120427999849,-0.0526759676560461,-0.00657118243626414,-0.00387228358451549,1,NA,0.0332910913466711,0.460794512766737,0.84179943014603,NA,-0.0295783754522378,0.406997586073281,0.810258628943079,NA,-0.047739479571873,0.343457453098739,0.724701694198626,NA,-0.0652195985436431,0.219990513158853,0.0795066961853719,0.0136807146043889,-0.0126843750781008,0.0996843566491653,0.067794308660936,-0.0332372983129469,0.0713245762430079,0.0524735782927703,0.0867177127123421,-0.120932265752155,0.0333002916216261,0.000972053244569075,0.000794631052911234,0.000906585109847226,-0.0940928437291864,-0.0530952270524619,-0.142208034120864,-0.0844896563695503
