"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongCD_ruta1","b_CongCD_ruta2","b_CongCD_ruta3","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",1,0.525265791206178,0.611501818747155,-0.0509510050383076,0.184475280299063,0.036988517087734,-0.152867746234022,-0.17917431931125,0.00553214582665653,0.836272142451913,0.312004737202386,-0.185142288256224,0.0562513811796412,0.897814869058935,0.768305957254262,-0.180763579078098,0.0391402243171666,0.90611622640664,0.955208414646969,-0.222499804021512,0.0298231596507719,0.809405087817315,0.446447158097413,-0.215158743240689,-0.0735085011824698,-0.0202382630829863,-0.133468040805814,-0.0440644986663556,-0.00741948937149072,0.202287780513255,-0.0614985155759333,0.0797107574557406,0.12147190917703,0.115493443042185,-0.0736641310369661,-0.0386293041615247,0.370350654013502,0.478336526688364,0.475191002031349,-0.0147312652669064,-0.024580002597394,-0.259829536729683,-0.0146783737813151
"asc_ruta3",0.525265791206201,1,0.170287450512893,0.263110812463761,0.579091500652388,-0.0533988358702484,-0.0941908685042052,-0.551353527089809,-0.00341193882692348,0.594406970311121,0.256367743205234,-0.820460711033168,0.269859790221682,0.575831175991544,0.421694773039472,-0.880689668045528,0.209369640453252,0.576530485143716,0.503903799202936,-0.917306372154251,0.220764370519599,0.502249469392304,0.216207683839428,-0.890148951409978,-0.0128109139891386,-0.16801573636861,-0.25077116016241,-0.0581413032645545,-0.193909728292062,0.179426019778804,0.0235655247734678,0.190891576876517,0.370298194094106,0.301964821435629,-0.176544355591405,0.0416467469177235,0.0903322894569178,0.113475757630837,0.0935744302308925,-0.00400559443064999,-0.0311647877296842,-0.259824462123363,-0.0129330980405843
"asc_rutaEC",0.611501826139788,0.1702874500578,1,-0.261913361066952,0.10632791998527,-0.063146182809322,0.0138319284211353,-0.0757475145215023,-0.158003307737348,0.528337637338711,0.168333427123859,0.0499885925121516,-0.30230380318606,0.58948152469324,0.441470640004837,0.10904458792826,-0.400597929021562,0.595719728269035,0.591483810432874,0.0656026314004157,-0.405251829069134,0.527485359173571,0.321140059383438,0.0613308283861671,-0.343572791020806,-0.0354669856627865,-0.102364913635332,-0.0554313098617083,0.0699756188277428,-0.196813018170581,-0.142627841775538,-0.327547660512295,-0.267385056140646,-0.25606464871349,-0.159696814135879,-0.158615993748844,0.629990228673336,0.772559190957202,0.696907270840819,0.0304967944489516,-0.19026249694838,-0.320673388635864,-0.25502215154751
"b_tt",-0.050951005038411,0.263110812463761,-0.261913360929613,1,-0.271593305347358,-0.112649498936717,-0.0825062397724407,0.14238784897766,-0.143890655133254,0.10395294745492,0.0613650894772273,-0.321285026170938,0.38342477010525,0.0405706583402839,0.0091490603268388,-0.385575181809722,0.255169630634799,0.0421097554461702,-0.0605729744853427,-0.43555825985467,0.224190729550671,-0.0333965698303414,-0.133775867884564,-0.421775853571984,0.0377403524433768,-0.3191892634933,-0.123299548427747,-0.0723112328730447,-0.109259568910234,0.00942917927510871,0.0161964105824653,0.112787492818467,0.232338597309863,0.174163321990227,0.0875636673675434,-0.0434497440207942,-0.198451351144949,-0.290563566908929,-0.37389236153541,0.0232233983898314,0.0195849053736804,0.0117678952472364,0.0672949874982951
"b_dt",0.18447528029912,0.579091500652389,0.106327920153858,-0.271593305347358,1,0.0207808025203837,-0.015005190670052,-0.275422482007762,0.0252215836481566,0.208612955638455,0.08964987952132,-0.566372171448373,0.0402728223385355,0.219475185390118,0.139672084286292,-0.565833555426891,0.0858203892566885,0.218101110990774,0.182302213031432,-0.512119198109521,0.136129270302477,0.188790634988035,0.0742595014068142,-0.551924469470712,0.0358772611082754,-0.0184682268966343,-0.0582079545379219,-0.0171988280107151,-0.0391089368837178,0.0258743228701403,0.0844151306798694,0.134977897466564,0.178723630365732,0.119100018871104,-0.0648977132137056,0.0978162277213503,0.0285372779362283,0.0903218124585773,0.155064524797779,-0.044988447781038,-0.00895107040436581,-0.140005905146247,-0.0335533680492791
"b_CongCD_ruta1",0.0369885170877897,-0.053398835870249,-0.063146182801248,-0.112649498936717,0.0207808025203835,1,0.20523483750234,0.0448665344645274,0.0679403798854012,-0.130597399307896,-0.112485838694328,0.102070341443858,-0.0161349853281242,-0.109084587025482,0.059205205522751,0.0985218734006431,0.129481901627586,-0.0838235166619832,0.0101766926205003,0.0972561266356377,0.151536526297798,-0.129849708884504,0.0398189981496783,0.0993447798728015,0.0742199439055445,0.131832131734361,0.0669771672311755,-0.0367005315945822,0.0736456154707121,0.129875027060139,0.0432397969105523,-0.056358496488159,-0.0636781137029069,-0.065884991712438,0.130914175032183,-0.0115957354096523,-0.0588547772426576,-0.0396669799211518,-0.0101596699342624,0.015833366569942,0.0243750964529203,0.0680520849618561,0.0575596834227247
"b_CongCD_ruta2",-0.152867746234143,-0.0941908685042058,0.0138319284093621,-0.0825062397724408,-0.0150051906700522,0.20523483750234,1,0.0440041189439433,0.0967271095765257,-0.0649295792005351,-0.105617579025298,0.098849926574978,-0.0787030721622075,-0.0559450868726553,-0.11549104890089,0.114496179828209,-0.0538250445973085,-0.021317128447227,-0.151139454198849,0.120613133171998,0.0232737191251902,-0.00776651895855987,-0.0128827631504651,0.116402963621041,-0.025991643118739,0.0264617326380462,0.0355420558320744,0.096261747707187,0.12952019450862,0.0220405440154728,0.119311704731995,-0.0950971424598908,-0.0720474566037381,-0.0464467150494155,0.0940103992134848,0.0554330075738298,0.0132006665774582,0.00462270195240793,-0.0213756258475991,-0.0600327274803569,-0.0335350563525426,0.016834376191827,-0.0403620276285033
"b_CongCD_ruta3",-0.179174319311262,-0.551353527089809,-0.0757475145997056,0.14238784897766,-0.275422482007761,0.0448665344645275,0.0440041189439432,1,-0.0280555825659397,-0.17219145711593,-0.0923526137783602,0.464516958214031,-0.0880694768713721,-0.167754671087036,-0.106540186227445,0.417373038075743,-0.0771951253113313,-0.178153773708306,-0.188334269453052,0.511977600456754,-0.118336325090745,-0.182566525183774,-0.0955370279385848,0.413036417982072,-0.104319770625025,-0.0917757785030642,0.176015812451571,-0.0807060305673422,0.0790128990033228,-0.0548330152757019,0.0293931390288199,0.0310087387504858,-0.0347447514900827,-0.0814468441935982,0.210900261546899,-0.068637960677142,-0.0990947361591518,-0.14774264994666,-0.139203017703849,0.0237799172628799,0.122233053008596,0.202747756240739,0.124190822973323
"b_CongCD_rutaEC",0.00553214582664723,-0.00341193882692336,-0.158003307591028,-0.143890655133254,0.0252215836481568,0.0679403798854012,0.0967271095765257,-0.0280555825659398,1,-0.0316963035614412,0.0156898017603911,0.0250019552110636,-0.000146227721050426,-0.00748786726888801,0.0094657513972605,0.0455855977379029,0.0656299894015105,0.00465499821880131,0.00453489471304934,0.0361365931454572,0.0876903542262064,0.0679498017459859,0.0397427136194464,0.0362105460105376,0.102587449181848,0.144489052693997,0.0415169955716718,0.12347476270881,-0.189726993848501,0.0219976790122035,0.0167347923646082,0.077067248469513,0.0292697274720772,-0.000510382074174473,-0.0262566388547677,0.0520379898795855,-0.101015009801018,-0.0240236482377186,-0.0188142247541963,-0.0355875705238474,0.0515263545505703,0.0500677801815514,0.0497101619196094
"b_Sem_0_ruta1",0.836272142452192,0.594406970311121,0.528337637588774,0.103952947454921,0.208612955638455,-0.130597399307895,-0.0649295792005347,-0.172191457115932,-0.0316963035614405,1,0.378931725660659,-0.313517362758346,0.227047935131097,0.861272155249368,0.714520130936886,-0.317196037062442,0.121628351578381,0.850381360587855,0.776472326048257,-0.34518131646955,0.0671684623613601,0.765829330138692,0.405751211630033,-0.343456926939925,-0.0722096837794985,-0.0853481456852399,-0.125623429076728,-0.0317557115089667,0.052141735470778,0.152501498439037,-0.0553417274900155,0.0698225996880951,0.216753175833432,0.199891503206373,-0.146019115399737,-0.00320550665973461,0.308537861997487,0.411765185648762,0.387046664475653,-0.0111848283435226,-0.0509452811480669,-0.316044655348475,-0.0770193939526119
