"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongCD_ruta1","b_CongCD_ruta2","b_CongCD_ruta3","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5"
"asc_ruta2",0.148853296765781,0.445997134563071,0.154647558135117,-0.000745398262928561,0.00919399898515086,0.00416788850330959,-0.025419076209843,-0.0451181987568981,0.00066808578241772,0.281552960316063,0.131426632129716,-0.150145513609001,0.0164419418430511,0.272731229380554,0.14902055703436,-0.129566360516875,0.00847439554484021,0.269693938188153,0.151032630777124,-0.16463582067091,0.00644478534578454,0.261031540903284,0.109085644168845,-0.159195189404707,-0.0181719175507466,-0.00214849495046197,-0.00981823368232559,-0.00461974687163127,-0.000908910916497081,0.0284566073336597,-0.00654942732417602,0.0244445137296978,0.0244639118145176,0.0195688767848563,-0.00852634815889317,-0.00418102713291052,0.0937923380213959,0.0878553022431524,0.0940144057233419,-0.00351431642882216,-0.00505861768211913,-0.0485494385142677,-0.0022394778521036
"asc_ruta3",0.445997134563091,4.84336773190319,0.245653213914981,0.0219567880693193,0.164629612723389,-0.0343222266237549,-0.0893402565055815,-0.7919552463413,-0.00235035973949875,1.14153926595661,0.615999081364659,-3.79541277475417,0.449937912270654,0.997786776250835,0.466556981879661,-3.60079770041983,0.258579219969238,0.978822732405698,0.454479997166689,-3.87171698408917,0.27213116448845,0.923934186732561,0.301344420869841,-3.75688688188799,-0.018064993037862,-0.101743237530627,-0.105227235607509,-0.0347703131649798,-0.135500654667932,0.14397708889183,0.014315624648033,0.333922532094084,0.42539867454771,0.291849809662334,-0.116561552267903,0.0257123444659254,0.130494364474516,0.11888635600136,0.105603395208918,-0.00545082551945159,-0.0365854667132002,-0.276930138331426,-0.0112555284996571
"asc_rutaEC",0.154647560004698,0.245653213258472,0.429667168638888,-0.00650998714715741,0.00900327357498321,-0.012088798282706,0.00390763048872937,-0.0324064331846238,-0.0324184051105865,0.302211421665206,0.120470139306318,0.0688754576857091,-0.150124088777995,0.304232166948773,0.145479119579891,0.13279211861387,-0.147360462718078,0.301242412015943,0.158892122269782,0.0824712953637372,-0.14878756743461,0.289017621832155,0.133314957104363,0.0770968488994354,-0.144300823326839,-0.00639693938755582,-0.0127936380428199,-0.00987350485436954,0.0145640079219173,-0.0470385742110903,-0.0258065447746686,-0.170657674872037,-0.0914900853410869,-0.0737131638371262,-0.0314043710940222,-0.0291675488139794,0.271065917917074,0.241075486136152,0.234254557165473,0.0123606657184237,-0.0665257809460259,-0.101799458957237,-0.0661048905652033
"b_tt",-0.000745398262930073,0.0219567880693193,-0.00650998714374378,0.0014378473610331,-0.00133033953191143,-0.00124754321908944,-0.00134836620358795,0.00352392034147077,-0.00170784464950811,0.00343974651384266,0.00254050893284497,-0.0256079245501532,0.0110148159958322,0.00121125977541491,0.000174407692639043,-0.0271623639190392,0.00542989671943711,0.00123181974205365,-0.000941301415358783,-0.0316751089662668,0.0047615639045152,-0.00105853709814779,-0.00321256910479451,-0.0306711328841804,0.000916951372728616,-0.00333032439237561,-0.000891445359418177,-0.000745096076012433,-0.00131547908826348,0.000130366056405695,0.000169525344428155,0.0033994023670226,0.00459884287620839,0.00290029673367699,0.00099611183068681,-0.000462200580315336,-0.00493952820472805,-0.00524508768751323,-0.00727026017591018,0.000544507352846964,0.000396139887874054,0.000216108400946725,0.00100908722781765
"b_dt",0.00919399898515369,0.164629612723389,0.00900327358925833,-0.00133033953191143,0.0166868394480604,0.000784005848266044,-0.000835397620046165,-0.0232211215813562,0.00101980885138532,0.0235158975279352,0.012643861097175,-0.15378587709281,0.00394130276816211,0.0223224220911679,0.00907046205209236,-0.135793143371335,0.00622133683505441,0.0217346659699267,0.00965100194716356,-0.126874274455237,0.009849498877275,0.0203852160738523,0.00607515526152476,-0.136728297089025,0.0029695475658917,-0.000656438609073683,-0.00143366021033263,-0.000603720627852626,-0.00160409885140433,0.00121868167215821,0.00301000215284164,0.0138590971794987,0.0120514648277629,0.00675660010043488,-0.0025150359714722,0.00354474359010016,0.0024197728849536,0.00555437106915014,0.0102717978558126,-0.00359343370319822,-0.000616783463245737,-0.00875890590982873,-0.00171400768394642
"b_CongCD_ruta1",0.00416788850331587,-0.0343222266237552,-0.0120887982811603,-0.00124754321908944,0.000784005848266037,0.0852982039346227,0.025833645562529,0.00855242412218853,0.00621093945037316,-0.0332841684275809,-0.0358682969216783,0.0626609557591182,-0.00357009034501543,-0.0250843113553527,0.00869285807904048,0.0534570149341719,0.0212219459498752,-0.018886168877691,0.00121806375181114,0.054475645330541,0.0247892190809036,-0.0316999627468765,0.00736509886876133,0.0556425093394457,0.0138891134769069,0.0105943200666312,0.00372969715061305,-0.00291267760081209,0.00682943715504101,0.0138302438436887,0.00348588498899316,-0.0130832180438913,-0.00970802642350986,-0.0084505656549986,0.0114705536350599,-0.000950068922717496,-0.0112830543661891,-0.0055151113120306,-0.00152158602212674,0.00285933337697712,0.00379740563604523,0.00962560071632804,0.00664779992293215
"b_CongCD_ruta2",-0.0254190762098631,-0.0893402565055819,0.00390763048540335,-0.00134836620358795,-0.000835397620046171,0.025833645562529,0.185750222750758,0.012378122104847,0.0130488507289227,-0.0244197098263197,-0.0496985642043685,0.0895506054864907,-0.0256978651211978,-0.0189843386247902,-0.0250233672765649,0.0916764457262712,-0.0130183295653692,-0.00708763627519794,-0.0266953697149683,0.0996953132110566,0.00561831435585895,-0.0027979432823053,-0.00351634924569339,0.0962100458184441,-0.00717765149961067,0.00313808584617482,0.00292068060378641,0.0112737534220948,0.0177243465652004,0.00346354810848391,0.0141940780170362,-0.0325774717019142,-0.0162089223613718,-0.00879121733624845,0.012155374167154,0.00670224016097061,0.00373452654320251,0.000948452897282103,-0.00472422396684564,-0.0159983182105977,-0.00770964563240524,0.00351380910052873,-0.00687903069180975
"b_CongCD_ruta3",-0.0451181987569011,-0.7919552463413,-0.0324064332180809,0.00352392034147077,-0.0232211215813561,0.00855242412218854,0.0123781221048469,0.425984230186631,-0.00573159418379217,-0.0980712252594016,-0.0658095490015374,0.637273469192757,-0.0435474637224613,-0.0862065431573563,-0.0349577092160586,0.506084749967554,-0.0282743629932395,-0.0897015268994344,-0.0503755187677577,0.640860040274971,-0.0432603883660812,-0.0996014678675428,-0.0394899693431396,0.516983662486701,-0.0436261959361502,-0.0164818785433195,0.0219040940587539,-0.0143137314981379,0.0163743033211115,-0.0130488768475582,0.00529544175083383,0.0160866680609146,-0.0118374126436279,-0.0233453486207165,0.0412953967142035,-0.0125674742611221,-0.0424543664057685,-0.0459047734014757,-0.0465899644420609,0.00959684950035401,0.0425555418489878,0.0640869024906528,0.032053530115245
"b_CongCD_rutaEC",0.000668085782416597,-0.00235035973949867,-0.0324184050805652,-0.0017078446495081,0.00101980885138533,0.00621093945037316,0.0130488507289228,-0.00573159418379221,0.0979757873872622,-0.00865767418318688,0.00536191345260608,0.0164498089355575,-3.46760628311314e-05,-0.00184538236585065,0.00148952305066251,0.0265087429694597,0.011528370013057,0.00112405341369568,0.000581728054245619,0.0216931219914165,0.0153739965888656,0.0177785117611829,0.00787834885205043,0.0217363273998121,0.0205748924441419,0.0124444640160166,0.00247777661081116,0.0105023793033141,-0.0188563043975478,0.00251055930431765,0.00144590305337104,0.0191740772285531,0.00478243280022844,-7.0159120317462e-05,-0.00246562074407535,0.00456947983776205,-0.0207548839148728,-0.00357975697491265,-0.00301990079754282,-0.00688778061707079,0.00860318977914609,0.00758986728081313,0.00615310263275159
"b_Sem_0_ruta1",0.281552960316157,1.14153926595661,0.302211421808243,0.00343974651384267,0.0235158975279353,-0.0332841684275808,-0.0244197098263196,-0.0980712252594028,-0.0086576741831867,0.761493986798513,0.36102491044318,-0.575072156061804,0.150103729915518,0.591755759469459,0.313458796069688,-0.514236727179556,0.0595626829173504,0.572473015188888,0.277685140083241,-0.577691518064352,0.0328302523012484,0.55861560360223,0.224239116380787,-0.574774154364112,-0.0403750100430684,-0.0204931727163469,-0.0209016577987282,-0.00753017734948872,0.0144473034505434,0.0485223239544811,-0.0133304685928981,0.0484300024818982,0.0987346349654023,0.0766049642745208,-0.0382270439227599,-0.000784723745668064,0.176732622547744,0.171055903176386,0.173198264542738,-0.00603509549317223,-0.0237141687971451,-0.133566686797551,-0.0265780391135819
"b_Sem_0_ruta2",0.13142663213623,0.615999081364512,0.120470141290629,0.00254050893284452,0.0126438610971729,-0.0358682969216731,-0.0496985642043724,-0.0658095490015295,0.00536191345260891,0.36102491044314,1.19202653838578,-0.308518508703959,0.0929081127509212,0.332217813477586,0.186424910182399,-0.26611490400851,0.04411122028119,0.309211504040516,0.149697413120683,-0.308654703896376,0.032146907494371,0.312865416379983,0.150196818650525,-0.298910966963654,-0.00492158313838811,0.00487001478186586,-0.0164428610484595,0.00217346556253496,0.00168097369462832,0.0689750499105865,0.0187293611566871,0.0296246335826962,0.0526699559781523,0.0198906850622769,-0.0497485424152941,0.0348511150893946,0.0711953734847524,0.0800598475685741,0.0672120042522273,-0.00491992831599609,-0.0024074947721802,-0.112453157329286,-0.0188569740486567
