"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.770218856049242,0.647304366430779,0.150734503829796,0.104721567831336,0.0165815982528559,0.0672728616825651,0.104634762684681,-0.0187901554728767,0.0812904083950487,-0.0557483271785311,-0.0727197103648544,0.0647064688050864,0.113811156333717,-0.114329122823841,0.11809823626615,-0.00885658288567938,-0.0805523232022699,0.00872968645827036,0.110166151700668,0.0423691842241492,0.0411627418192518,-0.0630167737297143,-0.0569030488807062,-0.0192582113156141,0.0065534654935419,-0.0399027921498544,0.0921411177306742,0.0244043995696136,0.0846255821542387,0.0249932399847451,0.0116019538127799,0.0917593681178415,0.0014329155380956,0.0148373700849694,-0.063277214916025,-0.0313938666790823,-0.0174940802926121,0.0851099160946378,-0.0503568142240696,0.107246114157756,0.140480750429533,0.135642430013971,-0.0506923414594589,0.022366147601185,0.0240317258075544,0.0397466225539939,-0.152272781650088,-0.0379998419948028,-0.0288599479388895,0.0709075854131106,-0.0754752310765762,-0.0774424189637869,-0.0741041793809468,-0.0520653777986426,-0.0483011973858426,-0.0651451656716067,-0.0595647006451982,-0.040429507383184,0.0213534648625199,0.0991807500995691,0.0611413423462234,0.0438257526886409,-0.036162045904293,-0.0115350534121616,-0.00807704747354893,-0.0325817077739422,0.0390370381761614,0.0218988532515546,0.00395872984772179,0.00968200018953339,-0.0481692179701307,0.10861492479563,0.15121729897271,0.135413141845673,0.0670106886945889,-0.0131488087927224,-0.0242136045241913,0.00109361242079194,0.087509354066296,0.0662226549599534,0.0530615123920831,0.0934709314609699,0.0925477140861117,0.0748486980171222,0.0376975381052379,0.0364824255866282,0.0427541305543095,-0.00359570463892591,-0.0334857677236902,-0.0212432702442973,0.0528218570069089,0.0990562076270259,0.118840986017273,0.0553015739176107,0.0274728047093391,0.0404850154975222,0.0420860092332164,0.0115798153711085,0.0352480788673105,0.00587575333464811,0.0084074432690543,0.0292708354162546
"asc_ruta2",0.770218856049243,1,0.567053631720496,0.0354187656537816,-0.0492162857277867,0.0296215521029852,0.0838866691174594,0.00518717342675037,0.0846546446192081,0.078453716425666,0.00356633910915143,-0.118562862219365,0.00548621362408428,0.2387643820551,-0.118434303581601,0.131930572183797,-0.024991759117333,-0.0323643076400803,-0.0384504897615879,0.092931444741398,0.0234723948893944,0.0448643315272764,-0.0291658561255889,-0.0349947521715519,0.0508506966722388,-0.00485787316175009,-0.061144510508669,0.0990797514372675,0.0355741686981022,0.0663030280660204,0.0422269906570742,0.0285727722954619,0.0356961711397047,-0.00155400977997265,-0.00471031713933118,-0.0670305680882239,-0.00366167721846662,0.00665879290095565,0.0682719487996997,-0.0494195627112242,0.111380337211521,0.143079981627778,0.160116506832441,-0.0254440041194529,0.0287581948649355,0.0415426046895843,0.028216198013939,-0.18868072152937,-0.0736279596850779,-0.0367483470746876,0.0424001615249989,-0.0537682210337052,-0.0403124091409489,-0.0478337487532245,-0.0587718477160089,-0.059075750147063,-0.0479797344066837,-0.0582163904421645,-0.0827669197425675,-0.0419384500696034,0.0149527029156908,0.00363002351235407,0.00538637570437333,-0.0349170855021223,-0.0138495834170951,-0.00916089925345239,-0.0252874865526821,0.0598317622906395,0.0405313584131717,0.0282015522328419,0.0178968833667236,-0.046838093621656,0.124471620549911,0.158004585778544,0.121523155176966,0.0453025556688076,0.0236849596065064,0.00286288360128752,0.0305926314859411,0.0359042656827047,0.054428733738085,0.0416924473012851,0.0921181720239591,0.055602421171109,0.00529844186778586,-0.0557751625023507,-0.0296601610679318,0.127624262738728,0.0798791922820986,0.00171743750020225,0.0424612703978871,0.0705576178015223,0.0780315184170233,0.0904797030861447,0.0120368703687415,0.0678286464398978,0.0933929456873897,0.0870414082960706,0.0314654478959375,0.0522691801401622,0.00786254848135993,-0.0118304495491099,0.0152478546558054
"asc_rutaEC",0.647304366430779,0.567053631720495,1,0.169980506094545,0.0447219149698058,0.103155868447748,0.412667288958531,-0.0940741752811572,0.0313205904407063,0.184833135114739,0.0296604624223237,0.00448530826424301,0.104724726336443,0.00400944400529255,0.0728667001419503,0.12171972369322,-0.230514456490015,0.353972134104595,0.0156852123368105,0.0598788569112831,0.0556311487174918,0.132119310270903,-0.170466722439341,-0.207004960814926,-0.00668675215656396,0.0692825723872643,0.07592426246674,-0.0136685350840233,0.0799905510189418,0.16782336317864,-0.0510740128713976,-0.0662643953131015,0.000306581987895033,-0.0424946331086497,-0.000945837981092936,-0.148055890097102,-0.104818338341472,-0.0727404565985311,0.0385734471498644,-0.131734996470543,-0.0320960763508345,0.0151155333268423,0.11069807946251,-0.12545486088732,-0.0109931148390065,0.0115112246939001,-0.00341210946047257,-0.162544623913218,-0.0814255970466965,-0.0611102080832967,0.0236166084953648,-0.11065638368839,-0.143395611431962,-0.137573330325932,-0.0881440420720684,-0.0771760024129672,-0.170403215944746,-0.169402853595836,-0.118935235754937,-0.0223393935372608,0.0437586873810519,0.0474478358815832,0.0640214206954766,-0.114910569172593,-0.0742383718456511,-0.0718642781708797,-0.0921334587662016,0.00164383940245653,-0.0585497847489391,-0.0841601720418412,-0.104233776266314,-0.14400772174477,-0.053397682364585,1.05194331169176e-05,-0.0344479273257317,0.00289126542717185,0.0345164877152971,0.0315154822338507,0.0790686678315727,0.105727804877631,0.156728505139964,0.149339485338759,0.187332654649098,0.118678710898382,0.0286285699300585,0.0499773594548976,0.0678747555659755,0.0234559952541028,0.0129864981401994,-0.0417318927930109,-0.0412341819660806,0.0130095277243655,0.0340648542277463,0.14918799350114,0.0796345069859875,0.012402986993411,-0.0228612025277393,-0.0243607296751884,-0.0791648181365023,0.0342231214735787,-0.0277133367215854,-0.0206244646921505,0.0288309629260668
"b_tt",0.150734503829795,0.0354187656537814,0.169980506094545,1,-0.382307593957665,-0.151810656435701,-0.358663789630653,-0.257855193475884,0.0614470982800295,-0.0778742114961205,-0.220265919301895,0.0280358864433456,-0.0106942633445084,-0.191007660429503,0.163112503922932,-0.0872718702008936,0.0141949492282088,0.0283659187533589,-0.0741853994771139,-0.000632581479967023,-0.0587445955008055,0.0236514297541453,-0.0957404836210831,0.0139047904205461,0.0584050558121511,-0.0945400639058445,-0.00589377216720468,0.105451452562661,0.113505508414256,-0.0697790653928346,0.0138379861371275,-0.00993227214456142,-0.0243870925436707,-0.0809833210975645,-0.117677946570512,0.00336164558830039,-0.12815959467639,-0.139939973777792,-0.0585023811041614,-0.00606359980160761,-0.0528996973269824,-0.0719322888887105,-0.000301541962688113,0.00353495111058577,-0.102387523595038,-0.109534166604094,-0.0326198741078672,0.0548286758614198,0.0049701755069789,-0.0322355808572473,-0.054629595602298,-0.00775392316340224,-0.11480233223895,-0.0967180795574099,-0.105527890257262,0.00899790381573652,-0.0108419421774618,-0.000911153536951572,-0.000775944873000047,-0.0611593549516351,-0.0644892558168571,-0.0587080335069404,0.0139748665695568,0.101529900305888,0.101826193269865,0.0917500155619993,0.0838601339094968,-0.038339531603055,0.00195229759076789,0.0602556964584837,0.0309196213088983,-0.0217402429984618,0.0196480909906929,0.0174174553338338,0.00628813130332275,0.0143122610349885,0.127267638925651,0.0947035850643881,0.0894515998476086,0.0335899467516959,-0.00390434120942415,-0.0673333327998771,-0.0652442152588441,-0.024036451421822,-0.0795088585736785,-0.0739961631060248,-0.0382995219052318,0.0289458201956486,0.0437151870217659,0.0451741727071961,0.0259388161309384,0.0973532888423789,0.00902161255436715,-0.0384173120882753,-0.0429791182927731,-0.0623263343125081,-0.0645950088490458,-0.0481138132076505,-0.0884055670022991,0.0548355969830155,-0.0343317087114145,-0.0522562577919788,-0.0832631612862823
"b_dt",0.104721567831336,-0.0492162857277868,0.0447219149698059,-0.382307593957666,1,0.051619715037354,0.0756809207951838,0.411335057996298,-0.200337712265604,0.0644825396044811,0.0695213873960362,0.028288090161259,-0.0225466831435972,-0.0363346861197079,-0.13215853961114,0.0564189899222088,0.0723172453727764,-0.0296520450940354,0.0558547261534548,0.0533532368720664,0.0604346043220792,0.0541675040475333,-0.0338392818304544,-0.135094009559976,-0.0348453856223854,0.0158118720640183,-0.0741000146622422,-0.00269000245691095,0.0563760942229968,0.0941452186632184,-0.0592580036655421,-0.0546821302158568,-0.0792661997262641,0.0314854808460312,0.0765914989440802,-0.0117685119332334,0.0629632004461684,0.0428921314000911,0.0534164383514357,-0.0446390117757286,0.0992084993422624,0.103255406946526,0.00564337254551592,-0.0436517459777936,0.065352206124755,0.044899499284652,0.0622917827894077,-0.0704272369708139,-0.00328891324897882,0.0223961047694509,-0.0390499740223363,-0.00602577562333873,0.0690904818607768,0.0599384981269379,0.0437734094857458,0.0206072528026915,-0.0443658944146747,-0.0515592338893797,-0.0738895191199037,-0.0263088320253488,0.0323966914468458,0.0300310200413781,0.0175006241865128,-0.104203865632506,-0.0346155980919639,-0.0212194472591273,-0.0416238375910978,-0.0116286126770766,-0.0220237862565292,-0.0728929789572036,0.0154998440768328,-0.044632380358377,0.0290822202328739,0.0313906981336888,-0.0225706550989863,0.0791753754711348,0.035557102146439,0.0666400022966313,0.0556473824111597,0.0667230485466157,0.0568883253279614,0.111895824701726,0.101178324799218,0.0191637878893092,0.115011097104696,0.132708416294613,0.10575040521491,-0.103823477302681,-0.133862852022256,-0.0951670947695625,-0.095526729079682,-0.222537101892898,-0.0876258316025994,-0.0903184636171793,-0.054178414996062,-0.0216245682869953,-0.127047737230014,-0.102392395900265,-0.0811806096372197,-0.0581989667786399,-0.0108340819033634,-0.0159944482979657,0.0548275591022678
"b_CongCD",0.0165815982528559,0.0296215521029851,0.103155868447748,-0.151810656435701,0.0516197150373536,1,0.511416866539132,0.00710939726758912,0.0403871694526026,0.137782127728572,-0.0189491236289024,-0.0293349012650165,0.112434662181464,-0.0942475989266795,-0.0876060162719447,-0.0168605231091732,0.0727662611236039,-0.123558764528855,0.0364734948526347,-0.0301041869453373,0.137747414884622,0.00964526177230042,0.0372396572234654,-0.0189466509091279,-0.0302764161308199,-0.00137331778031714,-0.00799957725311964,-0.0433603926865367,-0.0481935279369235,0.0231254295804832,0.035140614347175,-0.0584811184555175,-0.110395296622744,-0.0496365266821627,-0.0181869281536282,0.0489313327395788,-0.0144902209531673,-0.0130092284758764,0.0130247767349983,0.0863828164916067,-0.0454449517606674,-0.0440035441154517,0.0571412617615845,0.011299880130485,0.124195155061912,0.115967753249992,0.10723144194185,0.0639223970039027,0.0880730016133388,0.13717021164464,0.115408464021526,0.10224288173689,0.00577770137232075,0.0240666022244779,0.049819930277456,0.109201834563735,-0.0908724171776792,-0.0717719320930714,-0.0175183837678548,0.0994711096674014,0.0648598840560049,0.115218383798332,0.0357237817808839,0.0584014965166011,-0.0317707107542478,-0.0103368927017236,0.00215168410662864,-0.0304738613211279,0.00945579030797629,0.0247094855029068,0.0609906574491509,0.101217684418894,-0.0507961861319407,-0.013686812782895,0.0362520078346171,0.00457556030512517,-0.0552641324997395,-0.0215394102325201,-0.0128180592500628,0.0235117456934972,0.0476271933153463,0.100280373869226,0.0731714537604466,0.0098026598599721,-0.0521256203454302,-0.0696016989056046,-0.0768402221687287,-0.0204505678950707,0.0461028665549891,0.00299525643488369,-0.00621863229172532,-0.050565405684455,-0.0960819919150074,-0.0118781728775786,-0.0706475723234742,0.0441988814646843,0.00942703275809923,0.0305032368562635,-0.0523062635086834,0.0622259692086285,0.00509171500296643,0.0538990054256728,-0.0224847109787062
"b_CongEF",0.0672728616825654,0.0838866691174595,0.412667288958532,-0.358663789630653,0.0756809207951835,0.511416866539133,1,-0.0292064835775393,0.0495475760660081,0.286533925684122,-0.0063278825867232,-0.0435590840270665,0.101080289034571,0.0727578542226564,-0.22165864492355,0.120186717333914,-0.0431947323159182,-0.153404173479088,0.0200062334563675,-0.0677529647456433,0.13490521857001,0.013848944051217,0.00331502061417687,-0.012155692438112,-0.0279353052699259,-0.019025403919464,-0.0423189214534852,-0.0957297771239867,0.00788263855287464,0.0711485338776994,-0.0706649952254018,-0.0593084198143407,-0.0724976046335853,0.0383933896080561,0.076499472419559,-0.0575188126208318,-0.0583256144979496,-0.0368444548541395,-0.00501067262591728,0.00629158922168658,-0.113824001091255,-0.0643779848134788,-0.0146051457484563,-0.0744634546089416,0.0989438339412848,0.102785489431644,0.0318767817175458,0.0224039352752681,0.0336186198664597,0.110811788464205,0.138181441404044,-0.00974410461207834,-0.00683811473339794,-0.018671302493378,-0.00600240927037611,-0.015220834908708,-0.050216753197736,-0.0450811313429957,-0.0106607257498958,0.0467848511003642,0.0699856589564453,0.110185498539789,0.0596457272994334,0.0474567890535977,-0.005359530150299,0.024339297243851,0.0130666077321997,0.0301847032980644,0.0651812534157727,0.0816454741965164,0.0631311225796177,-0.0300594869881524,-0.109214918745164,-0.0459610076007968,0.0595579726575823,-0.000772605221329388,-0.0382518815955476,-0.0331232403096494,0.00251492257090214,-0.000434936906301253,0.0391721183213518,0.0540879480264922,0.0780410316053073,0.133105626010862,0.059808863606629,0.0568680496747465,0.0501145072582024,-0.115452902724393,-0.0931942355226296,-0.0926754478440392,-0.122186907865485,0.00372605477995642,-0.0531025232738725,0.0359480790341252,-0.0360121602232574,-0.002250764224524,-0.0137413532742599,0.00581435429932927,-0.0041078674813306,0.0112714661290819,0.0316974186184176,0.0547800745101794,0.0283553094802262
"b_Sem",0.104634762684681,0.00518717342675037,-0.0940741752811571,-0.257855193475884,0.411335057996297,0.00710939726758908,-0.0292064835775394,1,-0.13152884759955,-0.0364006036018436,0.0576606815347413,-0.11379502978291,0.00260074712531923,-0.0471742290009158,0.0617649550036944,-0.104850620470644,0.119569695117609,0.026823756946082,0.0106343393466656,0.00233598326321508,-0.112977381816193,0.0140387084754739,0.0154930402011036,-0.0579973280943997,-0.0504743513563817,-0.0938693725185207,-0.0832961045132355,-0.0314572508765195,-0.139868086659897,0.0428717704641508,-0.0567642152816597,0.0291490229449167,-0.0989374076757875,-0.0287119298571963,-0.0433395930905845,-0.00610045421459865,-0.02893030218139,-0.0354683325234854,0.034501900796851,-0.0149126783966151,0.00987707215734669,0.0555799376250727,-0.00136141333808211,-0.018212032080017,-0.12335373795652,-0.129104338731862,-0.0922332505419325,0.0267601552287733,-0.0395719215078741,-0.0027916263299432,0.0631472047259842,-0.00765024183839543,0.0133263657247824,0.0035943721635019,0.018143210406832,-0.0215120496318107,-0.0500433874631258,-0.0404099820967435,-0.0427158338042437,0.119911560366807,0.0882284986252111,0.0692820552074844,0.010904516884764,0.0823297684627676,0.0729116256259482,0.0846017661697488,0.104182570879088,-0.0369276436005776,0.066898228685771,0.0269052705808149,0.0682662500147358,-0.0230566216693679,-0.0479872063279478,-0.0162314871212994,-0.00585557090269085,0.0272011583267179,-0.115097327627422,-0.117282529929817,-0.13023851041735,-0.000901982230729714,0.010030510442438,0.0553695952266446,0.0580325313626864,0.0524905340098045,0.136155442529663,0.138561589246519,0.0972196650225194,-0.10784323103441,-0.0346701093295477,0.00815169073882582,0.0209332976157379,-0.185296811812412,-0.0542684806542142,-0.0623698261662176,-0.0875314192583741,0.0267940652378857,-0.124630983055503,-0.165901750086558,-0.0995414612215757,0.0297431028362869,-0.00574889310773227,-0.0682200642265415,-0.071688182152475
"b_ACC_1",-0.0187901554728767,0.0846546446192081,0.0313205904407063,0.0614470982800296,-0.200337712265604,0.0403871694526026,0.0495475760660081,-0.13152884759955,1,0.097173130301822,-0.190835898011173,-0.091830613574859,-0.0900766370438272,0.086834303339344,0.117472399630382,0.094169141425561,-0.140720065630847,-0.00439843745185938,0.0191520805565867,-0.0281090473736446,-0.0341189169963925,-0.015308272920755,0.0166794283895998,-0.00278817155249053,0.136465813558732,0.0169321882145331,0.0170299375532985,-0.0236911245489034,-0.0271349454383554,0.00985136423368918,0.0948921275316829,0.0732487058769244,0.0167901341889968,-0.0456368317702476,-0.0524046970188718,0.0266880569477728,0.0319141902830765,0.0606929840235665,0.0442516865460151,0.055018792740719,-0.0387575357089311,0.0145131776192436,0.0342794289654543,0.0125829356679361,-0.0298128674132077,0.011592465262337,0.00255874295113661,0.0514666576685006,0.0464530502256597,0.091433288610217,-0.0505639637876652,0.0164335538113918,-0.00445649126508343,0.0423177981022834,0.0203903902386037,0.0456602018364535,-0.0479985876760932,-0.00459685806179666,-0.0214986671172919,-0.0586171543580815,-0.106850005375343,-0.0530965168081614,-0.117624732427932,0.0437020344668268,0.00344648384950672,0.018027624538987,-0.00875816519696448,-0.00802916849447715,-0.035358315087252,0.00992699968760803,0.013598275004018,0.0858432376607049,0.0064662097854856,0.021721896175456,-0.0316931736409809,-0.00371610886710176,-0.0211539710324638,-0.00476239445617427,-0.0230545079631237,-0.00949442569355088,0.0522298926124083,0.0425660575584807,-0.00516323587689321,-0.0015080205162276,-0.00974354993026239,-0.0806726221315316,-0.104290506372513,-0.0712424323415797,0.0370787159333577,0.0477201042882346,0.0995848543417996,0.045106629668691,-0.024167880004659,-0.0196951131203333,-0.053439321473472,-0.0389462378381121,-0.0172060834507707,0.0112882060728006,-0.0364599409047303,-0.0283133640871064,0.0428416348286022,-0.0331054115871818,-0.034413303392817
"b_ACC_2",0.0812904083950486,0.0784537164256659,0.184833135114738,-0.0778742114961206,0.0644825396044811,0.137782127728572,0.286533925684122,-0.0364006036018435,0.097173130301822,1,-0.0101527838885542,-0.0595790499900636,0.0486156151590132,-0.0306603362993286,0.0169368271859122,0.0408249687444576,0.00595004336760917,-0.118458877278987,0.010058525542384,-0.0187343028530293,0.00715403073318341,0.0473866231897505,0.0057990062321039,-0.00894581113411664,-0.04007959579157,-0.0618084484183237,-0.045831818658394,-0.0373876582942865,-0.0326761601853823,0.0412825119568557,0.0264818206124442,-0.300166210453991,-0.0417133976184486,-0.076654387727843,-0.0454096822163371,-0.048892844815621,0.00664144677411951,0.0163849384612395,0.0644209838666513,-0.0153950616233573,-0.0152868791177005,-0.00138889173142678,0.0561667397113331,-0.0421810470053805,0.0219954341396219,0.0252492335568028,0.00937448495556107,-0.0144222220136767,-0.0640813654090173,-0.058281754623711,0.0611903554670082,-0.0531435056181317,0.0134705935748342,0.0369075534819896,0.0257849420015747,-0.0507088337047883,-0.0086109048643591,0.00763297414599722,0.00912931149739551,0.0137441616535992,0.0102105519537787,0.0175301496948993,0.0356588263064287,0.0112219000548004,0.0212926180831717,0.0402782694445143,0.0304990970526101,-0.00032265729193832,0.0165006021585191,0.0210328096110089,0.0119839814252813,-0.00198827467301969,-0.00417040093192212,0.0108149106143484,0.00255033357434942,-0.0414342620238709,-0.0756428051901836,-0.0313896021426007,-0.0287462492219047,-0.0416265787458016,-0.0167014804346315,0.0533506615761829,0.043082688604903,0.194778362804752,0.073603250787884,0.000165944048092338,-0.0105361506176629,-0.000309126667279301,-0.232530488196094,-0.343525019152466,-0.479877272058809,0.0519531671014915,0.0120728830942976,0.0299701391322997,-0.0038406875848421,0.0986888071744942,0.0409192827909804,6.92737738079647e-05,-0.0563801008946752,0.0987272017192971,0.0473535666654536,-0.0115053677478127,-0.0128859785007449
