"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.0886805254416741,0.0741139106621969,0.0833163266959089,0.05370270476948,0.042301381892993,0.00138713851022578,0.00684729605750743,0.00406732358414055,-0.00166846628832722,0.0192429627290139,-0.00459002341249512,-0.00391776393583554,0.0046824106181986,0.0114171187048754,-0.00580509528394371,0.00799283376550675,-0.000459175910661084,-0.00513896080543527,0.0010575732917451,0.0127738179269171,0.00826239189092796,0.00154829342792965,-0.006368322963423,-0.00782485240326009,-0.00110323134098281,0.000924320915592388,-0.00336053738833313,0.00716287297809898,0.00471984085665601,0.00852156430440289,0.00106042963989715,0.00121413940037368,0.00866752921908349,0.000186477338990572,0.00140877387684605,-0.00830780258633157,-0.00452508913427333,-0.00279636420184262,0.0240085615622988,-0.00573927724048429,0.0147938362313354,0.0210721764216811,0.0304399546741612,-0.00924865536609674,0.00505412548439569,0.00615393032957199,0.0225933565092024,-0.00704685789630534,-0.00140624714547761,-0.00113897261190967,0.00648008179118916,-0.00607832782349384,-0.0122305919264765,-0.0119949402282451,-0.0104663412284984,-0.00512773694023935,-0.0148628436575946,-0.0139493852843796,-0.0125906875121027,0.00132512202577912,0.00711285969265425,0.00493129001328337,0.00657833147326255,-0.00288266924593804,-0.0012808590341191,-0.00116248625925149,-0.00711862206379127,0.00395082105250243,0.00149581783721996,0.000258118303663472,0.000902561788778334,-0.00401318481538918,0.0106731478999913,0.0154694544171004,0.0184800631019718,0.00622514526684125,-0.00254988404428526,-0.00802195906258557,0.000501352446105761,0.00580604930449167,0.00597622457645865,0.00683512502780467,0.0160298695893692,0.00537364322023246,0.00315972701997695,0.0014825863747734,0.00149541289393587,0.00280101799993546,-0.000354515958674326,-0.00441260443505782,-0.00428984010287573,0.00398707636775969,0.0106753942853176,0.0180576231696225,0.00989753541196523,0.00181078091635885,0.00244650236514457,0.00294597667462177,0.00155249232795069,0.00205719050084543,0.000332184708230088,0.000823397325291764,0.00352752929751125
"asc_ruta2",0.074113910662197,0.104410195396119,0.0791959621320095,0.0136922314386741,-0.021571710336372,0.00268880047726728,0.00926465985785235,0.000218786653280642,0.0081563373260801,0.0201513190918612,0.000318612655412569,-0.00693093975817728,0.00043077633374012,0.0259895372570072,-0.00652510218444444,0.00968858023806343,-0.00140594087140605,-0.00224037584245453,-0.00505441654678935,0.0116921009623018,0.00496672845093087,0.00183108077071852,-0.00319816576331735,-0.00522156712537812,0.00316085719952133,-0.000743455981636647,-0.00558753483386707,0.00835749272666148,0.00746536960128098,0.0072444987999203,0.00194404698215122,0.00324449512638674,0.00365867523450433,-0.00021944037877582,-0.000485279375964605,-0.00954924503875359,-0.00057269014813578,0.00115492943896209,0.0208970799162365,-0.00611160363835403,0.0166711321905644,0.0232878168172182,0.0389889798628575,-0.00503708207785051,0.00705137451003892,0.0115429991409264,0.0174034898573785,-0.00947453896626327,-0.00295651409861071,-0.00157366712639525,0.00420448325559503,-0.00469853710667533,-0.00690819590195991,-0.00840131230782369,-0.0128195427706685,-0.00680509841926221,-0.0118777691850297,-0.0147934240463928,-0.0279682384622537,-0.00282395140831737,0.00116357366553084,0.000317681802799254,0.000877284260173792,-0.00302020994615193,-0.00166869037818584,-0.0014306408617026,-0.00599494333452004,0.00657051816213685,0.00300404074776373,0.00199523141868849,0.00181028348549373,-0.00423424614227477,0.0132718263594297,0.0175388267345607,0.0179952961144078,0.00456652076804244,0.00498383889611505,0.00102915790159489,0.0152178698252264,0.00258481589494815,0.00532973820428002,0.00582749021034685,0.0171417854601604,0.00350311311295612,0.000242700579309628,-0.00238015470057512,-0.0013191927205765,0.00907252956874166,0.00854560411337105,0.000245568695755424,0.00930400724574562,0.00577885934254619,0.00912493145137657,0.0149177330592382,0.00233754769714412,0.0048510235820621,0.00612382440356473,0.00661111622627657,0.00457740216982226,0.00331010730162844,0.000482321634210896,-0.00125719915271504,0.00199389176939334
"asc_rutaEC",0.0833163266959089,0.0791959621320093,0.186816356450049,0.0878973783640653,0.0262199664084647,0.0125250855212031,0.0609638756368419,-0.00530757904718536,0.00403654987634687,0.063504687501764,0.00354449442960004,0.000350729050906817,0.0109992823415494,0.000583779920720892,0.00537000763923361,0.0119567086452779,-0.0173462016785962,0.032776277594593,0.00275800818802117,0.0100771880642187,0.0157458835587866,0.00721287810784936,-0.0250035599142261,-0.0413156596411389,-0.000555980026034054,0.0141830321548542,0.00928067036368629,-0.00154222971019462,0.022453871698968,0.024528071095871,-0.00314523138296585,-0.0100649351203485,4.20324646114966e-05,-0.00802662318274902,-0.000130345016097813,-0.0282135556258273,-0.0219287016730437,-0.0168760949859672,0.0157931132638089,-0.0217918169013922,-0.0064260559979879,0.00329085972237669,0.036056357083793,-0.0332213332830656,-0.00360552838211659,0.00427841064496248,-0.00281511926913076,-0.0109179012639852,-0.00437355039098426,-0.00350045758902799,0.00313255453823478,-0.0129344945153522,-0.0328698518226141,-0.0323208636037696,-0.0257177013022075,-0.0118916861663997,-0.0564275018022775,-0.0575811252969714,-0.0537594545162186,-0.0020121123044392,0.00455485398640544,0.00555437636137027,0.013947777053693,-0.013295207426787,-0.0119647460310806,-0.0150121045511509,-0.0292168093995149,0.000241470013309973,-0.00580464891423875,-0.00796457986068966,-0.0141030695704641,-0.0174140049861043,-0.00761585644685341,1.56192140732099e-06,-0.00682337203711662,0.00038984026360878,0.00971524905131843,0.0151543834968531,0.0526111077082569,0.0101814299303322,0.0205287087034596,0.0279212468994414,0.0466294428171335,0.0100015951831148,0.00175411591198157,0.00285281521566873,0.00403811808051648,0.00223041155154375,0.00185839127207948,-0.00798171358878043,-0.0120856617159506,0.00142526539213362,0.00532846456551173,0.0329019419880966,0.0206863652310651,0.00118654036777976,-0.0020051354773897,-0.00247499981202265,-0.0154047042908057,0.0028990252466502,-0.00227404062563737,-0.00293171339710846,0.00504298851700774
"b_tt",0.0537027047694799,0.013692231438674,0.0878973783640652,1.43132649461584,-0.620421115875711,-0.0510212300724376,-0.146663472322692,-0.0402683505484796,0.0219201573773691,-0.074059627259531,-0.0728594004127603,0.00606814070218996,-0.00310905136184032,-0.0769799619524652,0.0332732299998612,-0.0237294066062694,0.00295666400689992,0.00727024951252831,-0.0361065085616172,-0.000294675644373794,-0.0460234140592839,0.00357405804152917,-0.0388704670157842,0.00768175216446969,0.0134417654431038,-0.0535701523179972,-0.00199413251776853,0.0329337789521698,0.0881924470490963,-0.0282291649166774,0.00235877988922373,-0.00417581507322397,-0.00925465328028821,-0.0423405290785209,-0.0448884560906441,0.00177315198782752,-0.0742144853658569,-0.0898668735332032,-0.0663001860856459,-0.00277641711904294,-0.0293161985823122,-0.0433482611683891,-0.000271863825373076,0.00259104456700828,-0.0929516490944833,-0.112686645161046,-0.0744934402996728,0.0101938025315659,0.0007389359811372,-0.00511103040185557,-0.020057232220848,-0.00250874423414014,-0.0728407658785272,-0.0628953121326879,-0.0852252625184039,0.00383764159712124,-0.00993761184813212,-0.000857260667300431,-0.000970816367909403,-0.0152477457139668,-0.0185805876407971,-0.0190229705221758,0.00842731574521739,0.0325155427569171,0.0454251594512176,0.0530513653571701,0.0736093309005893,-0.0155887943937463,0.00053574555830896,0.0157839709748505,0.0115798050739919,-0.00727677899674777,0.00775672882478338,0.0071583586287539,0.00344762056956912,0.00534156950528667,0.0991533141512443,0.126049939809489,0.164749096966088,0.00895345763560548,-0.00141554379998786,-0.0348459393465499,-0.0449521695198156,-0.00560697616894858,-0.0134845376086467,-0.011691532548431,-0.0063070459443536,0.00761866551526784,0.0173156718376004,0.0239155388734986,0.0210438456555614,0.0295220657373689,0.00390608442158061,-0.0234518194167893,-0.030903118030599,-0.0165040192336502,-0.0156821469279296,-0.0135305846269634,-0.0476170699163734,0.012857509710378,-0.00779770365155076,-0.0205607540616609,-0.0403128621892332
"b_dt",0.0423013818929931,-0.0215717103363721,0.0262199664084647,-0.620421115875711,1.83996084516731,0.019669766515781,0.0350877704246666,0.0728313934128234,-0.0810288983510362,0.0695288311613505,0.0260730389132777,0.00694192493073238,-0.00743181036474928,-0.0166028733583771,-0.030565948273955,0.0173929335340648,0.0170783119270234,-0.0086167213463188,0.0308220781713241,0.0281788637382152,0.0536823516523915,0.00928064074648261,-0.0155768706843019,-0.0846188017440482,-0.00909255799863354,0.0101583978275517,-0.0284258788843929,-0.00095252550209175,0.0496643063825938,0.0431823314457759,-0.0114523991771688,-0.0260659169409994,-0.0341053962066786,0.018664053176735,0.0331249393129849,-0.00703802047629196,0.0413389351746503,0.0312298866436914,0.0686358580385181,-0.0231741434230919,0.0623359070850958,0.0705497598177432,0.00576869161272292,-0.0362767210910733,0.0672674939610165,0.0523720139054289,0.161287773580088,-0.014845815008565,-0.000554399006298764,0.00402606136343193,-0.016255438967573,-0.00221046063847132,0.0497023530074844,0.0441927883496614,0.0400817248373349,0.00996501830539039,-0.0461061776866047,-0.0550000043208518,-0.10481513488418,-0.00743668263182522,0.0105829726749085,0.0110328019120037,0.0119654784808918,-0.037836923214106,-0.0175082898400919,-0.0139110342956366,-0.0414242231176995,-0.00536078718887454,-0.00685234908898548,-0.02164904771451,0.00658156761599171,-0.0169379082493899,0.0130172948627493,0.0146273164454639,-0.0140306231911116,0.0335031546734523,0.0314087420255504,0.100564838757682,0.116202268461423,0.0201647240835882,0.0233847984922876,0.065655465066362,0.0790371123805055,0.00506844396200968,0.0221154215365283,0.0237736379158572,0.01974465808748,-0.0309830061171189,-0.0601176526654228,-0.0571230923710363,-0.0878688211600641,-0.0765126913463159,-0.043015457039096,-0.0625116615364969,-0.0441678266624562,-0.00649232896924541,-0.0349710302092429,-0.0326474619807132,-0.0495758646875101,-0.0154719301148763,-0.002789962441011,-0.00713517998336553,0.0300970954183175
"b_CongCD",0.00138713851022578,0.00268880047726727,0.0125250855212032,-0.0510212300724375,0.0196697665157809,0.078914829567304,0.0491042896906703,0.000260693796550526,0.00338295064461693,0.0307673932912743,-0.00147176127787467,-0.00149085682240266,0.00767515576275894,-0.00891881505100562,-0.00419615571232167,-0.00107644934122733,0.00355883741493611,-0.0074359416757306,0.00416825606245995,-0.00329279449831257,0.0253398667965103,0.000342237958612951,0.00355009334753246,-0.00245775310650521,-0.00163613935633438,-0.000182720800344981,-0.000635532354423345,-0.00317974404591692,-0.00879251525138336,0.00219670959946504,0.00140648087540014,-0.00577322220161709,-0.00983695429365314,-0.00609357327524936,-0.00162895427685528,0.00606025696824498,-0.00197025536650456,-0.00196164015063603,0.00346594325831634,0.00928734331105035,-0.00591357447600151,-0.00622652038706578,0.0120966035799602,0.00194480142520449,0.0264743112531589,0.0280136720920841,0.0575000011305328,0.00279056065817572,0.00307459448235655,0.00510672802842048,0.00994925665830091,0.00776744044671451,0.000860773404122899,0.00367481388307565,0.00944744046148171,0.0109361121992203,-0.0195576639462426,-0.0158557184848786,-0.00514647911003647,0.0058230385260275,0.00438791497906491,0.00876622345302677,0.00505835121128558,0.00439168295738112,-0.00332792736804564,-0.00140342879688404,0.000443471573430708,-0.00290939822386425,0.00060928480838821,0.00151981883368634,0.0053634020513864,0.0079550176031063,-0.00470868144512159,-0.00132081207295835,0.00466702237414094,0.000400972764925773,-0.0101097999304965,-0.0067316261192982,-0.00554328440822164,0.00147155432549489,0.00405452976217606,0.0121856293978341,0.0118375079816545,0.000536923296783423,-0.00207578195801101,-0.00258221285427642,-0.00297119537331702,-0.00126388737514549,0.00428790240124659,0.000372335057280863,-0.00118462199280195,-0.00360047307437118,-0.00976808450057796,-0.00170258641484664,-0.0119275706533632,0.00274814327713915,0.000537392410798129,0.00201420035144329,-0.00661525679571913,0.00342590969551909,0.000271547213242418,0.00497956539773034,-0.00255615981877551
"b_CongEF",0.00684729605750746,0.00926465985785237,0.060963875636842,-0.146663472322692,0.0350877704246664,0.0491042896906704,0.116823482823494,-0.00130305560567132,0.00504964004824345,0.0778501814502914,-0.000597987930927146,-0.00269349273385923,0.00839535793707204,0.00837726992140372,-0.0129177864578558,0.00933608481150533,-0.00257036404468587,-0.0112327309336172,0.00278181412028911,-0.00901678662197818,0.0301950243169503,0.000597883518918449,0.000384508632619384,-0.00191854180445118,-0.00183677098638356,-0.00307989985344102,-0.00409063737660225,-0.00854145323126957,0.00174977330832302,0.00822308079597863,-0.00344123696005751,-0.00712368520092635,-0.0078599449362529,0.00573472864908069,0.00833669180341901,-0.00866761615489405,-0.00964922865031072,-0.00675967318685222,-0.00162230666785696,0.000823019760866124,-0.0180212136294578,-0.0110836014088973,-0.00376188297317449,-0.0155930248736185,0.0256622371726165,0.0302099752230578,0.0207972512779828,0.00119000418240883,0.00142794240077397,0.00501943284227518,0.014494006619222,-0.000900684215367183,-0.00123952672675437,-0.00346881346875815,-0.00138491275702178,-0.00185462991894736,-0.0131498043796667,-0.0121174673616251,-0.00381055919679973,0.00333229710335886,0.00576072117568453,0.0102000185620947,0.0102758239255175,0.00434201298539881,-0.000683060843834675,0.00402063059578181,0.0032766940431478,0.0035062942310325,0.0051101186968823,0.00611006736437751,0.00675470387127887,-0.00287443223863867,-0.0123178790294476,-0.0053965226936194,0.00932896550299967,-8.23785216189835e-05,-0.00851408085384176,-0.0125951910030041,0.0013232907253479,-3.31210005802298e-05,0.00405740466798124,0.00799683785477113,0.0153612786120277,0.00887054881899321,0.00289788942745143,0.00256700252431441,0.00235771782116446,-0.00868147708055135,-0.0105460973417105,-0.0140168483956331,-0.028320137084218,0.000322805607591085,-0.00656853216870854,0.00626932772884028,-0.00739758036944641,-0.000170272243902212,-0.000953085321476233,0.0004671367079599,-0.000632113693418218,0.000755040791044247,0.00205679459325525,0.00615770772037553,0.00392211974915402
"b_Sem",0.00406732358414055,0.000218786653280641,-0.00530757904718536,-0.0402683505484796,0.0728313934128232,0.000260693796550524,-0.00130305560567132,0.017038729367552,-0.00511932322705062,-0.00377698875779443,0.00208097712134487,-0.00268728600923992,8.24943864351473e-05,-0.00207434488691848,0.00137467199141617,-0.00311051892023534,0.00271730570169665,0.000750103710583232,0.000564711740963935,0.000118726247897169,-0.00965720982267022,0.000231462481324467,0.00068629373868724,-0.003495852318513,-0.00126743548845202,-0.00580336854856194,-0.00307492558861098,-0.00107191170427254,-0.0118572052026423,0.00189231550876249,-0.00105569486936473,0.00133710618045819,-0.00409647115079879,-0.00163784322709439,-0.00180373886709101,-0.000351079489203562,-0.00182784671348467,-0.00248512285433245,0.00426612399498419,-0.00074500482045357,0.000597216697355065,0.00365439176701821,-0.000133919221098243,-0.00145646188980406,-0.0122183235607955,-0.0144914861513533,-0.0229811899726676,0.000542833116174864,-0.000641906059920196,-4.8292478723409e-05,0.00252956821309063,-0.000270059404547799,0.000922539069457539,0.000255025085412333,0.00159869080226707,-0.00100104616218539,-0.00500461749569917,-0.00414819570868896,-0.00583101766866645,0.00326176783690419,0.00277351306477727,0.00244934979099896,0.000717459304957518,0.002876757071408,0.00354881190081139,0.00533726904846084,0.00997749769096828,-0.0016381986706474,0.00200297914222686,0.00076896181525579,0.00278947437923366,-0.000842014774131014,-0.00206696423815502,-0.000727840647332435,-0.000350280816038896,0.00110763655680237,-0.00978371369195845,-0.0170317312566773,-0.0261711976956746,-2.62318365048259e-05,0.000396778223774027,0.00312638645873615,0.00436243939913521,0.00133594505510068,0.00251944448565008,0.00238866004496259,0.00174677114671288,-0.00309695707060104,-0.00149834376265477,0.000470854695070639,0.00185294211534611,-0.00613074580335734,-0.00256362420699454,-0.00415406556231977,-0.00686685720474037,0.000774115911015808,-0.00330127592179973,-0.00509034243282272,-0.00584973662260209,0.000760903891154809,-0.000142463886447349,-0.00292861379637,-0.00378693240368806
"b_ACC_1",-0.00166846628832722,0.0081563373260801,0.00403654987634687,0.0219201573773692,-0.0810288983510362,0.00338295064461693,0.00504964004824345,-0.00511932322705062,0.0889090290333171,0.0230323171097495,-0.015732652071351,-0.00495373094278789,-0.00652668668143453,0.00872211502680789,0.00597237578909165,0.00638152954982322,-0.00730512645946747,-0.000280966447450428,0.00232319997076603,-0.00326345384518955,-0.00666207825891023,-0.000576546017329461,0.001687752979129,-0.00038390070920011,0.0078276845687373,0.00239124269075636,0.00143607560873532,-0.0018440736160965,-0.00525468861941507,0.000993282622671872,0.00403132941592915,0.00767531452850892,0.00158802696331016,-0.00594675111858202,-0.00498211077645341,0.00350844419229496,0.00460601092382182,0.0097140405857977,0.0124989810792464,0.00627868678382627,-0.00535320903199854,0.00217978615788823,0.0077026616892003,0.0022986721075369,-0.00674555033487124,0.00297236557610278,0.00145635076660503,0.00238483316530475,0.00172128547534933,0.00361310749811574,-0.00462687436627566,0.00132516502177052,-0.000704726220882314,0.00685862807586399,0.00410421598963876,0.00485360547595931,-0.0109649581942513,-0.00107791869751054,-0.00670380442312838,-0.00364226092080314,-0.00767273513734847,-0.00428795690368144,-0.0176784352791712,0.00348820726057312,0.000383192304290536,0.00259796025056746,-0.00191599349219311,-0.000813654211245007,-0.00241828621859642,0.000648096609977567,0.00126927136093339,0.00716117783390554,0.000636226298932995,0.00222500022395334,-0.00433079044634953,-0.000345662799092942,-0.00410756771356494,-0.00157981111598833,-0.010582648386687,-0.000630744897727344,0.00471952464923741,0.00549021145421495,-0.00088661319264858,-8.76736701212782e-05,-0.000411852146325809,-0.00317681550520455,-0.00428036689626642,-0.00467342593247579,0.00366045666812324,0.00629643791923053,0.0201359362782099,0.00340910260034924,-0.00260795196541155,-0.00299648165883409,-0.00957655511690503,-0.00257032018272322,-0.00104109931292968,0.000791179984352419,-0.00489443531101628,-0.00165458596935331,0.00242516292612027,-0.00324640951757265,-0.00415260554755001
"b_ACC_2",0.0192429627290138,0.0201513190918611,0.063504687501764,-0.0740596272595311,0.0695288311613505,0.0307673932912743,0.0778501814502914,-0.00377698875779442,0.0230323171097495,0.6318834910189,-0.00223137507751783,-0.00856809105473913,0.00939078628669157,-0.00821018551352002,0.00229556139750494,0.00737543441439562,0.00082345033642732,-0.0201729412053365,0.00325274881715499,-0.00579848388860409,0.00372401022657455,0.00475783210416284,0.00156432456916589,-0.00328370941645587,-0.00612884095827088,-0.0232704070728686,-0.0103033134461251,-0.00775829722879307,-0.0168692051701087,0.0110965544160544,0.00299924203196226,-0.0838501026267005,-0.0105177983697069,-0.0266285099818119,-0.011508989629934,-0.0171351730628154,0.00255534416270985,0.0069912013225602,0.0485084845657317,-0.00468365356658106,-0.00562888593757374,-0.000556115939568828,0.0336458907798255,-0.0205427213881242,0.0132675810016601,0.0172591812716803,0.0142243462919532,-0.00178159828034314,-0.00633017906855034,-0.0061398071661047,0.0149270896955389,-0.0114244221560346,0.00567884055168881,0.0159468540403842,0.0138361862701995,-0.014369969213731,-0.00524412316649302,0.00477160267289449,0.00758915454663888,0.00227672275487143,0.00195465650195408,0.00377411887689586,0.0142875508678359,0.00238788052579034,0.00631124683542212,0.0154742771544188,0.0177874400634358,-8.71678551643992e-05,0.00300857957857268,0.00366070390842555,0.00298206674116385,-0.000442181247686431,-0.00109391910263546,0.00295325420182234,0.000929060506526253,-0.0102747057365851,-0.0391566945347421,-0.0277594708400299,-0.0351775238488996,-0.00737227174212463,-0.00402327450925212,0.0183447173042318,0.0197224376658953,0.0301889646444382,0.00829405069052901,1.74209996279662e-05,-0.00115282599715843,-5.4060326954643e-05,-0.0611978350218136,-0.120836318394271,-0.258674898775944,0.0104678452122609,0.00347310247971248,0.0121559099459349,-0.00183485998516759,0.0173634165954162,0.00660060461518818,1.29438890172538e-05,-0.0201770677351419,0.0153808473541958,0.00714616684608621,-0.00300780991515286,-0.00414531263047145
