"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.104694238262265,0.0819311510383993,0.0784850923750676,0.0251302836858389,0.00896906627961737,-0.0101844829109525,-0.0107801761204304,0.007370665046432,-0.00570716746649569,0.00728432775159093,-0.00624913387517501,0.0012846100921224,-0.00423724267795058,0.000185712631825404,0.0020512174067457,-0.000334113855754917,-0.000169780637746654,0.00120933292744084,-0.000172970629104314,9.60340220265666e-05,-0.000239521717911193,5.32179039502641e-05,-0.000166706450616118,-0.000170142201663818,2.32238733283847e-05,-0.000124843320250599,0.000185321696383462,1.20056847195105e-05,-0.000254344257520744,0.000208225408737733,-9.36752709249019e-05,-0.000206390045627457,-0.00021298381093706,-0.000370024217245458,-0.000162055474875848,-0.000119964786572149,-0.000306728595216253,-0.000298888537765536,-0.000186801149563745,-0.000225740053070886,-3.57378274279226e-05,3.83725705793265e-05,0.000213224922047109,-0.000159751655510297,-0.000396831566590985,-0.000367134238544355,-0.000252855172536399,-1.77901903764276e-05,-1.02596527139003e-05,-5.6637000804563e-06,4.40290922976556e-06,-0.000100600134860673,-0.000228019431417984,-0.000230361800683711,-0.000233610835947341,-0.00015090894462116,-0.000236836691853673,-0.000222911718752633,-0.000198668193777622,2.73486675000883e-05,2.01869390660861e-05,1.55187641760579e-05,9.89210595651002e-06,6.71814251690625e-05,0.000136367249456435,0.000190586820943749,0.000293574355179926,7.17874607164189e-06,-4.13356289124088e-05,-6.10916854280933e-05,-0.00014100232290464,-0.000159623749272758,-9.6460777905871e-05,-8.30369416659363e-05,-9.60599412110344e-06,0.000140406955824453,-0.000129398090161853,-0.000332859612936931,-0.000314156191171272,0.000137496448169511,0.000235067441483364,0.000328513471807648,0.000410554868369393,-1.70066762831359e-05,1.17960033994198e-06,1.96809150308544e-05,3.07576496973376e-05,-7.91132755303063e-05,-8.39506596652375e-05,-5.45354098398658e-05,-0.000148480517651929,-7.68365645939357e-05,-7.67614685262306e-05,-7.44259469784835e-05,-0.000109962582161552,-2.61695676123934e-05,-0.000119529968887678,-0.000180819119251846,-0.000331121281615342,-4.87416132938955e-05,-6.89099042295722e-05,-6.46779706700914e-05,-0.000111749413083194
"asc_ruta2",0.0819311510383993,0.104745439996172,0.0764964702419488,0.011098714904941,0.00218003405948629,-0.00500487273019099,-0.00284481237454395,0.00307467263314957,-0.000287011995114553,0.0139362734870716,-0.000499088842583429,0.000632891379681735,-0.00126694553685627,0.00824187252682707,0.000971109943190076,0.000609948806724295,-0.000499806822080593,0.000589112166570142,-0.000110142995484637,7.02945594747198e-05,-0.000149491320176245,1.50690972921865e-05,-0.000108905045518847,-0.000141202304123539,-8.7623133802163e-05,-0.000282936293066087,0.000109209275547166,1.57427794163952e-05,-0.000203591231356928,0.000122152306136588,-6.86105351412549e-05,-0.000205530436535368,-0.000159728632450296,-0.000190773916344371,-7.48402689101874e-05,-0.000105941928604503,-0.000224928112725825,-0.00022238219165751,-0.00016587994054623,-0.000173934377162726,-3.49734600794384e-05,1.15482695288947e-05,0.000114674373774848,-0.000145410305288749,-0.000284424058890429,-0.000269231308699188,-0.000212895037376534,-8.1835747121844e-06,-5.4994034457468e-06,-3.85034785978873e-06,-1.12289991050207e-06,-8.40532671622482e-05,-0.000165206266808291,-0.000170689600327672,-0.000177006983569726,-0.000116675293515423,-0.000218313822186887,-0.000220206560669629,-0.000231181801331531,6.61672381478807e-05,0.000107812809785892,0.000125306346571548,0.000157470198703873,6.78546411879577e-05,0.000202052483259514,0.000295783160516926,0.000480153557430028,1.12562984210188e-05,-2.45171705308021e-05,-4.01397339143842e-05,-9.04632938354865e-05,-0.000125408043155927,-7.26525643873046e-05,-6.21300472865451e-05,-1.49335551516401e-05,8.13379910017191e-05,-0.000135146978158112,-0.000291979951767398,-0.000408669299092073,8.30081266463705e-05,0.000135729760079536,0.000186830428219349,0.000210000681532117,-1.06207366923576e-05,2.31561473934288e-06,1.63026201831576e-05,2.45751818815156e-05,-6.17971922485142e-05,-0.00013151995289991,-0.000154646520700665,-0.000256166505714101,-7.60996542292688e-05,-8.30160622555272e-05,-9.53820264606571e-05,-0.000142038518537541,-3.94650923787493e-05,-8.3852851302358e-05,-0.000113154448560585,-0.000185377217422419,-5.08756291506102e-05,-5.49278358092435e-05,-3.71915184563442e-05,-5.85787861039949e-05
"asc_ruta4",0.0784850923750676,0.0764964702419488,0.16285637614213,-0.00295719027682222,0.0181306933770014,0.00929473813450276,0.0507388346354857,0.00210049562997297,-0.00210087278603326,0.0333950459351576,0.00328977101914872,0.00686822152010509,0.00257661440805314,-0.00518093651966882,0.00715257334465295,0.00336890451168966,-0.0120308675319809,0.0323395396180008,-0.000558866812138356,0.000964291869883541,-0.00170210355809342,0.000365869679694926,-0.00243373897502228,-0.00467429657865534,-0.00177966510270222,-0.00183268418229113,-6.25843155464042e-06,-0.000657751140624175,-0.00485317114679019,0.00163249815769889,-0.000352713149660275,-0.0036776442410554,-0.00110893874443889,-0.00461733741780702,-0.00264558416727651,-0.00573189041445708,-0.00594236141719229,-0.00565661490910971,-0.00256307351380386,-0.00546823331793025,-0.00339393904621594,-0.0023862349339498,-0.000230701213703775,-0.00700220458501244,-0.0082479663810558,-0.0075785213918171,-0.00344149106166281,-0.000154410981954389,-9.5274593282307e-05,-5.67762523972201e-05,2.46784317986451e-05,-0.00343272895290611,-0.00546322956006126,-0.00561929774447483,-0.00559789896341912,-0.00416259874873358,-0.00905276659620911,-0.00947488406024574,-0.0101424598547316,0.000419832402090423,0.00135745835679274,0.00170657679852633,0.00242951651779304,-0.00113348500046006,0.000319608520188853,0.0012244824194245,0.00242375441555342,-0.000473005997486734,-0.000572608246964598,-0.00058784321599746,-0.000370861003985496,-0.00349685142938027,-0.00355348519360294,-0.00347296685395895,-0.00298507856114258,-0.00270202150609893,-0.00645661130675355,-0.0091091002695527,-0.0109123274566514,-0.000774465875831619,0.000298103751931719,0.00137333581561658,0.00208223499475627,-6.74418718263337e-05,1.90006956055978e-05,0.000114561979766169,0.000181352178572288,-0.00069741664825327,-0.0015428284411464,-0.00165528836311041,-0.00323780476845017,-0.000367810794840682,0.000205509224774747,0.000836139535442045,0.000813786894464791,-0.000144484481712864,-0.00116677702961013,-0.00208151100428351,-0.0040756241887666,-0.000409519646675207,-0.000820364183563552,-0.0012929841097629,-0.0018335138066593
"b_tt",0.0251302836858389,0.011098714904941,-0.00295719027682222,0.045737730791799,-0.0146261568441015,-0.0114761087785699,-0.0190845963182042,-0.00159203352122947,-0.00256429652367224,0.00272218024413236,-0.00443022926143447,0.000606333436642098,-0.00633013275253987,-0.00569639448702478,0.00351207695560739,-0.00111456664730029,-0.000776922425193125,0.00267966250715543,-7.39894228761886e-05,0.000345952683266066,-6.70951960859228e-05,9.9735621845167e-05,-0.000249008342385791,-0.000342562146636563,0.00013783035212029,-0.000191431221424656,0.000176107808987655,0.000109828139058383,-0.00073872325451591,0.000355411945939811,-7.48941695180007e-05,-0.000334884197410879,-0.000538894595100561,-0.000927922063258259,-0.00043435581302578,-0.000448408726906247,-0.000675223795995191,-0.000624648923526827,-0.000263941401531657,-0.000575114296790926,-0.000163646652472204,4.55852598575568e-06,0.000360789644687537,-0.000596702386182839,-0.000787032996767811,-0.000691123188554823,-0.000118470284778618,-4.17477874221872e-05,-2.62153987668868e-05,-1.56538642470635e-05,7.02526473156772e-06,-0.000289844452497226,-0.000580563634912045,-0.000595739940705403,-0.000596001823550246,-0.000388672447310022,-0.000787408442597745,-0.000795540213635648,-0.00077892645889887,-4.95495355855732e-05,-0.000127896372184612,-0.000164756526337618,-0.000203482395497076,1.87271289390781e-05,0.000137653494477489,0.000204392696413484,0.00032798479501207,-2.5688010276205e-05,-6.88368759445308e-05,-7.89319896609595e-05,-0.000149009790505976,-0.000396474574244611,-0.000272255152601921,-0.000243858400199139,-9.83445775373941e-05,-0.000145735892867014,-0.000806870616089195,-0.00126845969745467,-0.00136912548362899,3.63026154809851e-05,0.000238480321264863,0.000430593439327325,0.000588085400614952,-1.25140207798467e-05,6.74413897070544e-06,2.68219981106929e-05,4.06105804233456e-05,-0.000146544831622316,-5.89823961197547e-05,3.89458384989952e-05,-9.01856748516203e-05,-0.00015416853141727,-0.00017836232573409,-0.000199697484611857,-0.000281806747424476,-6.98579643235953e-06,-0.000227792880432577,-0.00040736645243005,-0.000816208545782293,-8.31547406301656e-05,-0.000138569785556364,-0.000177772732155672,-0.000288293176666808
"b_dt",0.00896906627961737,0.00218003405948629,0.0181306933770014,-0.0146261568441015,0.0626872861083341,-0.00235445969302746,-0.00242031155471097,0.0118152811808817,-0.00549996638295264,-0.0038787175131451,-0.00657386661437877,0.00192855071497034,-0.0058062905796532,-0.00884515080902617,-0.0018266987020116,-0.0014794405879828,0.00257687127272492,-0.000476490891354668,-0.000238114013424989,-0.000472305945689207,-7.71666927519748e-05,6.94634966587671e-06,7.29218120975085e-05,9.20920870334284e-05,-9.41218547220787e-05,0.000897814578321747,0.0002103047626539,-0.000230650602418023,0.000580282259447414,-0.000222240827659562,-1.74736976264762e-05,0.000552832827429603,0.000791152282115485,0.000465918178540959,0.000262480418557037,0.00040933866315687,0.000482257606576462,0.000424427609596989,0.000109733605822515,0.000471131566780849,0.000112200879916551,-2.33566153510447e-05,-0.000260214042347518,0.000411204208651643,0.000809112578375524,0.000778129188470468,0.000384598672086041,1.05110508026137e-05,9.15765093306449e-06,6.261010438939e-06,8.28994806996771e-07,0.000225706231055695,0.000500804485478283,0.000532618132485554,0.00053954150872656,0.000324734908417452,0.000681527759103189,0.000712237784394943,0.000710560446001049,7.94301251948105e-05,0.000171430762328887,0.000206607514734691,0.000227066284848661,-4.92876899603277e-05,-0.000471538283404602,-0.000706750909148211,-0.00118740683282326,2.28894057853334e-05,-6.50984874964201e-06,-3.8894425512141e-05,-0.00015179790652842,0.000324465629269894,0.000197811269375422,0.000171951805381985,7.29502633128466e-05,0.000157892731662432,0.000820046559223463,0.00112537385547805,0.00156505772956211,1.74865871451618e-05,-8.99165108876635e-05,-0.000191283395746201,-0.000191183330161653,3.73947395143953e-06,-4.48885964262132e-08,-5.54266093957115e-06,-1.01787614422057e-05,4.34995286527576e-05,0.000203468322656712,0.000305213283056188,0.000519214722779138,0.000211795035495187,0.000364648548419414,0.000533546498787561,0.000712903469524112,-2.52516670351971e-05,2.64106233068245e-05,9.55523855413845e-05,0.000297433899978723,2.89759674614995e-05,3.32519478927018e-05,3.69620502897514e-05,0.000109550238473088
"b_CongCD",-0.0101844829109525,-0.00500487273019099,0.00929473813450276,-0.0114761087785699,-0.00235445969302746,0.0787183073279396,0.0453761468356414,0.000259396716022259,0.00675739119624585,0.0104395138179185,0.00577196589047199,-0.000653145402470711,0.00556467418369958,-0.00480689158102659,-0.00497367525736301,0.00180052171877122,0.000457847327217691,-0.0055809186726614,0.000271981818415015,0.00018034162923052,0.000390507467825656,0.000261035477994059,0.000372178885358167,0.000381445611173805,-0.000327010663821583,-0.00201351992085395,7.40345368701514e-05,4.37188437500052e-05,-0.00108985271100871,-0.000454913975211986,-0.000132841990653825,-0.000327390314791398,-0.000111404947914614,-0.000741491637319828,-0.000830679262666782,0.000684049054113377,0.000668670186762605,0.000580328203919961,0.000227279253951321,0.000606363942826709,0.000504970160490531,0.000372931932575494,0.000129937196173299,0.000908381314089863,0.000812189668085168,0.000638330582653353,0.000305118780456281,-5.8628216889757e-05,-2.73827119296944e-05,-3.74795499302269e-06,4.71404042806635e-05,0.000433535280093774,0.000525679692747253,0.000511936824106449,0.000523817188944177,0.000628632599675636,0.000502206435732919,0.000462675437497397,0.000451572381263159,0.000153395969388766,0.000296814852749779,0.000367581456506407,0.000477690591794244,0.000252254900846747,0.00112132126837311,0.00168149244682907,0.00291392332254722,-3.48744590393824e-05,-6.13753266286963e-05,-8.79655496555571e-05,-0.000161070087243138,0.000507572316213927,0.000312957195353361,0.000275033741200911,0.000131136444200626,0.0002473245539559,-0.000448100175280881,-0.00105788814211224,-0.00195693224898303,0.000112751331312108,-2.8605593499648e-05,-0.000221335190120548,-0.000459291403533905,-5.86911796498319e-05,-3.3081294548668e-05,-1.14752967107595e-05,2.10375403576445e-06,-4.49948835740728e-05,-1.55422322066252e-05,-1.23548270864788e-05,-0.000124653653392948,-7.5527109610974e-05,7.3582293163807e-05,0.000271052279810284,0.000276318608006906,2.89562854969056e-05,-0.000168604946147611,-0.000284496863370309,-0.000557278390064992,0.000167724945556039,-0.000139786618356806,-0.000483326648226041,-0.000595752738871065
"b_CongEF",-0.0107801761204304,-0.00284481237454395,0.0507388346354857,-0.0190845963182042,-0.00242031155471097,0.0453761468356414,0.0953203612047129,-0.000799805985188346,0.00309028858580085,0.0174474979006951,0.00334030500014248,-0.00143032483970694,0.00800224324986506,0.00403840167477826,-0.00738447875135664,0.00248139643868318,-0.00119812067411568,-0.00736477255268311,0.000345205567267609,0.000267861485348569,0.000200662631870617,0.000157493148581999,0.000490442678282285,0.00053244510049246,-0.000258448795335005,-0.00258962146483865,7.21548767837093e-05,3.94161535121084e-05,-0.000341767309843945,-0.000641531777332305,-0.00011111815376217,-0.000897389242512661,-0.000421355746234779,-0.000246919644765126,-0.000941221754816391,0.00105334370408161,0.000928487211910197,0.000793052152225262,0.000466529156463416,0.000911771491231584,0.000754809643556265,0.000580675592704989,0.000341308204662918,0.00156293119972122,0.000767851533419848,0.000458952218724223,2.53832520063064e-05,-2.98793372266789e-06,1.6796516646953e-05,3.23866191632649e-05,6.37033333543772e-05,0.000667864472088456,0.000732391690780501,0.000721432660287286,0.000754991272255993,0.000962912654235245,0.000760965131490957,0.000763218809202672,0.0008695974249662,6.8464922554683e-05,0.000192983460441869,0.000251473199487835,0.000348169388736056,0.000164155287098232,0.00135496311184628,0.00211839247996125,0.00375411233644174,-0.000124315762162458,-0.000172981135719949,-0.000203038921705342,-0.000223009829294379,0.000757727980715352,0.00045256195521381,0.000397942876959751,0.000210534171087154,0.000764275864359221,0.000605432958860941,0.000500382662678089,5.92434197543305e-05,0.000320714322789081,4.94786402732604e-05,-0.000254131855553592,-0.000619432656750021,-0.0001046064143295,-8.03481531820724e-05,-5.94987667438978e-05,-4.77210845646305e-05,0.000242817825155511,-0.000100072637238946,-0.000293056235825285,-0.000661068081601841,5.26740489529165e-05,9.65144200209881e-05,0.000236386837677958,0.000195655788435054,0.000191002256932352,0.00017763984537042,0.000242824753565594,0.000280767514289594,0.000405017587804393,8.30570388417284e-05,-0.00029816310351362,-0.000466352501035388
"b_Sem",0.007370665046432,0.00307467263314957,0.00210049562997297,-0.00159203352122947,0.0118152811808817,0.000259396716022259,-0.000799805985188346,0.0246280213190162,-0.00390358332200381,0.00451790296660827,-0.00330950834024761,-0.00125890428600874,-0.00254733252306118,-0.00632195803382809,0.00166731351137672,-0.00272852165745938,0.00169219214757996,0.000157464390831655,-0.000260460507282561,-0.000171244227458319,-0.000360963101571378,-1.92258979724372e-05,-8.30601198137138e-07,0.000106099618222478,-1.65249204425213e-05,0.000234239174237732,9.95804212072848e-05,-3.54365570993203e-05,-3.10416036382036e-05,4.2421219298462e-07,3.52271292755713e-05,0.000572845683146005,0.00017442254917519,0.00022590155658309,-0.000197004995988362,0.000247146670223234,7.6668145412985e-05,3.10119458485639e-05,-0.000157758828722093,0.000177330885216434,7.90961860601721e-05,4.98923762889733e-05,-5.69145076721839e-06,0.000316501565428882,5.49290823875402e-05,9.31131186233245e-06,-0.000398497620550682,1.45301668460793e-05,1.26661068202232e-05,1.07400626133881e-05,5.54344827425248e-06,9.84130572866366e-05,0.00019793634900077,0.000219870281606519,0.000235843984445639,9.39818901325628e-05,0.000400316644748557,0.00042830831938544,0.000475610060869179,8.47629903327234e-05,8.18007457296265e-05,8.10002308863437e-05,7.93357641913724e-05,0.000159953084111877,1.51711463017897e-06,-9.19861193436964e-05,-0.00025321417778997,8.6929890346702e-05,4.75936426228347e-05,2.92015775130764e-05,-3.08838654273935e-05,8.59053286555795e-05,0.000115994136293512,0.000117727129688164,0.000123433603716316,0.000159467617903134,0.000178378044484856,0.00011608516711582,0.000175293434456322,9.22078080914412e-05,9.34147681047765e-05,0.000102581860165218,0.000154554199020468,-3.36982818112632e-06,-1.03334758727251e-05,-1.98874117453618e-05,-2.53734703104164e-05,0.000111528760460082,0.000454429350664738,0.000670238662015311,0.000929134906779406,0.000110882894740688,9.68696172473432e-05,0.000160550315775851,0.000242501004872175,5.81608929076339e-05,0.000104311009455923,0.000158346039538038,0.000247487894219179,0.000152136970981877,3.49884291893588e-05,-0.000172999729680028,-0.000197565200790536
"b_ACC_1",-0.00570716746649569,-0.000287011995114553,-0.00210087278603326,-0.00256429652367224,-0.00549996638295264,0.00675739119624585,0.00309028858580085,-0.00390358332200381,0.0924642243269517,0.0404025782644569,-0.00288022977801441,-0.00256486155550703,-0.00147354071667856,0.00488866496301243,0.00115005476397928,0.00507343235693571,-0.00463306883988756,0.000127319348164228,0.000316667563787993,0.000543032767919256,-8.09915061247367e-05,-6.25344269076874e-05,-0.000337385255034239,-0.000405576843249904,0.000494186728157385,-0.00150652180989262,-0.000569482473553641,0.000135257781065167,-0.000516413361997886,0.000187543973150373,0.000120639457610112,-0.00160003580697402,-0.00124545259877695,-0.000368413368523503,-6.47646102429933e-06,-0.000778808495661082,-0.000712135956050071,-0.000630817978524639,-6.66122566591939e-08,-0.000791445238189565,-0.000274904983335632,-8.36229464712267e-05,0.000318110500715474,-0.000795218783165612,-0.00135537381893714,-0.00132884523700364,-0.000627361815817226,-8.26027613033782e-06,-1.19350956893513e-05,-1.02030349312685e-05,-1.44753268664202e-05,-0.000370965052531738,-0.000925501591446058,-0.000976930772123354,-0.000998245030094387,-0.00054571427697489,-0.00121890959840968,-0.00127021860326668,-0.00132213316096664,-0.000248394163556928,-0.000547980778906656,-0.00065429442340294,-0.000764366395618268,0.000158153128909761,0.000892114376434738,0.00134729617238225,0.00230641361359678,3.86097923019438e-05,0.000158587580720452,0.000243168587006869,0.000575011881819154,-0.000478776151340936,-0.000415048838728931,-0.000404477636490972,-0.000305794833134478,1.54428631479266e-05,-0.000575935124648553,-0.000805638243055274,-0.00142154230800738,9.13927357005649e-05,0.000180673235723762,0.000252089206396974,0.000139331217150941,1.97025850458266e-05,4.91391873967119e-06,-4.36867717924566e-06,-5.48116052208225e-06,-0.000174689211867532,-0.000931201437161269,-0.00136191048741621,-0.00204451610527558,-0.000454516284606525,-0.000639418305931581,-0.000857955529582384,-0.00117001370131808,-0.000171490816033244,-0.000115464385823972,-8.56082789695568e-05,-0.00014189293500454,-0.000228072350982808,-6.68289193965146e-05,0.000280530014214738,0.000248323636362092
"b_ACC_2",0.00728432775159093,0.0139362734870716,0.0333950459351576,0.00272218024413236,-0.0038787175131451,0.0104395138179185,0.0174474979006951,0.00451790296660827,0.0404025782644569,1.33774364414566,-0.00568114148652506,0.00985535255635605,-0.00610616811355959,-0.0125060105646925,0.00955211554843147,-0.00103694637835431,-0.00694961837993093,0.00961946018827654,-0.000258833249192153,0.00122903338619059,-0.00014629976412666,0.000353043004107458,-0.000894945329328841,-0.00184400898344213,-0.000378805960302101,0.000291213682444441,0.000759203339805389,0.000292706140693309,-0.00316477244236544,0.000341397603938275,-0.000391367684460842,8.19092963602031e-06,-0.000416064526161654,-0.00360735582643292,-0.00250138448904299,-0.00137058974854649,-0.00197312073858796,-0.00185040407424297,-0.000542968431476041,-0.00177949430339333,-0.000192593686151078,0.000404939901919977,0.00168540576726938,-0.00188651493939985,-0.00195530756269232,-0.00162672744210225,0.000281407785952075,-0.000127889144359252,-7.31630402508428e-05,-3.59307143118773e-05,3.8955310992584e-05,-0.000799317649594037,-0.00170301019706171,-0.00175324913120593,-0.0017590689482819,-0.00092272724522351,-0.00312379364239457,-0.00327650195438536,-0.00352410175182454,0.000163592708395699,0.000353504555424147,0.000438288339676347,0.000627743786515582,-0.000162395689406666,-0.000124559414032213,-9.7263768544131e-05,-0.000239920215359415,-9.17011390035118e-05,-0.000306852080011625,-0.000402704241587324,-0.000711277458170195,-0.00116854098361938,-0.000751493616776958,-0.000646885323335971,-0.00017683413625089,-0.000127691188485164,-0.00234442522468752,-0.00387161235116997,-0.00503862702594423,0.000265122858343655,0.000696557200547853,0.00116576056322755,0.00139378926801675,-7.24002759305101e-05,2.83460795815649e-05,0.000105336679511417,0.000148436994242206,-0.000523241420089239,0.000581134067909183,0.00141600466953072,0.00153347952357255,-0.000201614604306396,0.000178709567713871,0.000827130712321211,0.000966109244613903,6.85881207862427e-05,-0.000827281652596156,-0.00161618630631007,-0.00332436680914074,-2.45470049129838e-05,-0.000701041618830297,-0.00164822761250729,-0.00206599481684751
