"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.795698196165134,0.581705572937701,0.542512578239671,0.0706985380632566,-0.12334683363698,-0.133965316078631,0.0902959386969445,-0.0478805744038297,0.0779059479167724,-0.102723959575663,-0.101553889565382,0.02932943228152,0.0366333844739291,-0.0412034156071763,0.0978734982804426,-0.0316869142192742,-0.0213985725510474,-0.00715752096530393,0.128064647599273,0.0219919149310843,0.073027100919906,-0.0965147211343471,-0.0772055989849747,-0.0164951987030899,0.00524481611891745,-0.0102587232871939,0.13125890138017,0.0514357782146244,0.0669358951792993,-0.00457405709315141,0.00525375105055837,0.0619581918082466,-0.018109067313727,-0.00800676633457613,-0.0539532682465129,-0.0583267973766484,-0.0434717480210888,0.0515009521528249,-0.0482866789886017,0.11977859890338,0.147167595271885,0.122645961669803,-0.0494308980940091,-0.0041951180366703,-0.00278807411749306,0.0220416840690198,-0.128794938719217,-0.0442318840752164,-0.0445129054537057,0.0157540533888367,-0.0578718903921862,-0.099903146223238,-0.0840157185005235,-0.0783511636095487,-0.0269874726879962,-0.0780067085402848,-0.0733346707045365,-0.0631479145743973,0.00683813081141362,0.0654771113318324,0.0449237712301155,0.0457183514523264,-0.0300207637670175,-0.00364036101388515,-0.00475226509934559,-0.034635452576094,0.0157625136053255,0.0051950375963296,0.0032265989820432,-0.00303402204556574,-0.0560842309303786,0.116237277213265,0.152351267815108,0.0939541177677084,0.0684655733283483,0.0322148638071497,0.00584025839777459,0.0343817977613893,0.0826210174398186,0.0781738862657765,0.044361617814276,0.106191675746017,0.0567500327744567,0.0280206443938262,0.0269221598267976,0.0135129128265394,0.0364470200141197,0.0101712617919008,-0.0252139471070144,-0.0217461261003073,0.040702176085163,0.083737666018724,0.0918549238974298,0.0276513958154493,-0.00493076811335961,-0.00142736288047749,0.0295961026003083,-0.0405197161433485,0.0596180039525542,0.00390959144611405,-0.0202852152246943,0.00541299074745893
"asc_ruta2",0.795698196165136,1,0.553137215478942,0.332528034184051,-0.0610064109819909,-0.058464224810987,-0.0625001425053424,0.0109665283569482,0.0584583018141917,0.0803207937063035,-0.0326582687832332,-0.150051592608996,0.0174991891789575,0.155715567602618,-0.066027855100786,0.126052045055098,-0.038494151051277,-0.0118268100506598,-0.0510638656771152,0.1079968968923,0.0088504557248092,0.0664161769473895,-0.060463704966616,-0.0548792400382174,0.0504957188431794,-0.0143538413982337,-0.0493537831576456,0.13074139267422,0.0641140261061002,0.0564100074050225,0.0269240536055312,0.0190631599408806,0.0181239891936632,-0.0200055353486015,-0.0244276148251643,-0.0645885679964141,-0.0341223230347309,-0.0263693544834467,0.0478513507490032,-0.0510749845458067,0.118778664973801,0.145036932396092,0.155915978669389,-0.02860660285348,0.00472424373749935,0.0138271700176715,0.0192822464856696,-0.176223287031419,-0.0728863098056589,-0.0494937453650376,0.00712234807572921,-0.0498209760172693,-0.0616882717690964,-0.060025533672731,-0.0790216150979735,-0.045810402339727,-0.0615230879595287,-0.069805091780385,-0.0963212147942829,-0.0511854159625944,0.0016558931944834,-0.00487387982143177,0.0165719523579388,-0.0244093681318589,0.00171441814662599,0.00172319486028346,-0.0206817338964975,0.0390413052865044,0.030127580670405,0.0287010935136912,0.0140791979636857,-0.0557893292934322,0.131316635341625,0.161751151799046,0.101325226054712,0.0549374102580862,0.0580830779376605,0.0295411835313583,0.0576715805807968,0.0488993246239331,0.0658878267941107,0.0385376085670197,0.0966151185548753,0.0435821940031703,-0.0167334971306857,-0.0577912574696244,-0.0332424710790758,0.117521709350257,0.0783749918051814,2.83565304075943e-05,0.0323695513215271,0.0632399714727285,0.0690962112042702,0.0681593707360186,-0.0098300369856455,0.0416410892421382,0.0550659496454041,0.0658147383757422,-0.0151742820643848,0.0680215014262805,-0.000805198026432918,-0.0335287459240903,-0.00123017845911092
"asc_ruta4",0.5817055729377,0.553137215478941,1,0.0877152685134955,0.199434037573505,0.0711533592870643,0.399525436873323,-0.0324145862767344,-0.0245350086743943,0.199938785745287,0.0627517346242953,0.0127707280308189,0.09991560853678,-0.00264107549074425,0.0729979220392026,0.125488579516127,-0.209676205631099,0.378961593529465,0.0249470092232842,0.0746848039473544,0.0725180769685868,0.136544787540799,-0.175855193396828,-0.244794756358874,-0.0365801544892319,0.0496130527015568,0.0415218779769407,-0.0292163153917076,0.0490499285891807,0.186533491356932,-0.0593643669373382,-0.080585021373516,-0.0130233538182222,-0.0364154747728693,0.0196219225784617,-0.16281556151213,-0.100206236664334,-0.0696440344812323,0.0496306344692791,-0.159890068498212,-0.0218733694145066,0.0354268881027119,0.115960475737702,-0.147860614150288,0.000454137434484765,0.0262728134353418,0.0140045568870551,-0.173031646355103,-0.0834250761468549,-0.0655528926905761,0.0342009840583734,-0.121081886343055,-0.130673298836672,-0.124373309570042,-0.0760642234790478,-0.0820374028015911,-0.192206782667684,-0.195204557380855,-0.141673673384219,-0.00348314781024325,0.0746384307110317,0.0735096202292755,0.0740647331038778,-0.12045527083027,-0.0611366988489863,-0.0549211464172607,-0.0751420136060003,0.0207158608597373,-0.032756916681377,-0.0734383040193789,-0.0807262473039327,-0.161826086092101,-0.0675960362611474,-0.0135198305778371,-0.0475931766166047,0.00182237210306317,0.00108734989082888,0.00894716107742547,0.0489618305679332,0.104479827009362,0.160901198643198,0.17046016680999,0.204303548747641,0.125376971126189,0.0616645594903697,0.0760030917780976,0.0910521801917573,0.00229607293612914,-0.0191408309439959,-0.0623412219984638,-0.0600375859247699,-0.0407199565137107,0.0116575666677443,0.134953196712253,0.0766367879519184,0.0126089739569444,-0.0341840394559471,-0.0374684012013455,-0.0844463478875103,0.00981833824043534,-0.0290348141841498,-0.0196213938566066,0.0375529598019
"b_tt",0.542512578239671,0.33252803418405,0.0877152685134953,1,-0.256739486518036,-0.236937844788343,-0.345533353242318,-0.0656883255883361,0.0172313152523282,0.0505059387055311,-0.155463374664057,-0.0897588869069429,-0.0557291790832476,-0.0879139272618137,0.105905601503188,-0.00322899134205531,-0.079386789986651,0.0847230081873795,-0.0134715652798634,0.0879979291551519,-0.0416525274996066,0.086849230418792,-0.0932476564111832,-0.0432548602586173,-0.00164804373752643,-0.0144970946431162,0.0365606998366414,0.0986408785539356,0.0468749608153445,-0.0155609179538595,-0.0397914831169993,-0.00533695869102502,-0.0378720803612921,-0.0716073587093106,-0.0694996359988704,-0.0124220904447918,-0.0584352532833992,-0.0443769398120452,-0.0305276700070972,-0.00598364824011419,0.0613437544698765,0.0576386180138468,0.0338257383726676,-0.012245654939033,-0.0567702363142243,-0.0565276799949789,-0.045393992877002,0.0132009260223913,-0.0385736899756032,-0.0500734967312682,-0.111422150945812,0.00836967789129068,-0.107726348475104,-0.0904358023903884,-0.112119880653087,0.0137404149484219,-0.0569103138616787,-0.0595538996532036,-0.0729389186836607,-0.00628528624338652,-0.036953434985075,-0.00613643679619375,0.0241527213602091,0.0283891232178565,0.0209968893772303,0.0135765207974632,-0.00176907667018862,-0.0602183869398464,-0.0354230571482862,0.0151024374946665,-0.012330615311952,-0.0110947215332412,0.0400102071585564,0.0375107300530346,-0.0384748128083321,0.031567595500077,0.0821163146391702,0.0269346238900083,0.05693535094391,0.00685379645075382,0.0460667803401201,-0.0203044109027754,0.0587097044739099,-0.0617304296749594,-0.108704593826428,-0.0382848569521782,-0.0630502383844836,0.030392745933088,0.0642006083458685,0.0331372564820755,0.00142342914299394,0.0218149122189948,0.0123103295798117,-0.00876149966180584,-0.0429444014850915,-0.0717972742368704,-0.0718046727837672,-0.0114881663758287,-0.130723076939677,0.0720237943758869,-0.00951439442769618,-0.0742534047159105,-0.0638291244416427
"b_dt",0.070698538063256,-0.0610064109819916,0.199434037573505,-0.256739486518036,1,0.00256608489719636,-0.0570123478855777,0.279555506176402,-0.250823418571338,-0.0314707830275169,0.0333562015652024,0.116410779114289,-0.0432865257312887,-0.138561800749494,-0.0449933420190303,0.0014387431439478,0.111225104674322,0.00797555938420079,0.0199348187549817,0.0374801993110667,0.0746465853380161,0.0629410080451698,-0.0448764373457224,-0.137449399484224,-0.0184959253874733,0.0235761120198177,-0.00492518622704957,0.0557270049141392,0.0553519675603758,0.0595892212298541,-0.0829730161260011,-0.0749114171375816,-0.0431641890418364,0.0226136163403929,0.0593248919073927,0.0101693964979523,0.0187748052302385,-0.00285798963718933,0.0275629957925557,-0.0483411968720639,0.0764124387851048,0.0747811049828673,-0.0127818445085683,-0.0276471908236595,0.0585059264086283,0.0473595701763167,0.092859971084242,-0.0613847413313987,0.0196506548572497,0.0281291474713778,0.00508143904017225,0.0172140099542404,0.0701936430830001,0.0836801960230673,0.0754259677192718,0.0537913092677871,-0.0391627342665838,-0.0401980203929662,-0.0303280973255271,-0.0462275798968087,0.00292606855981803,-0.00396010220473482,0.00550891196490275,-0.126143519382864,-0.0347005293103627,-0.0264763808281099,-0.0420594709880422,0.019062411647737,-0.0251324123766475,-0.0815870168622757,-0.0205095042242397,-0.0724517881329881,0.0544102006328214,0.0592793678348394,-0.0234259239038796,0.037963723661831,0.0308048292100824,0.0798195508398893,0.0542512261960906,0.0556430121456228,0.0380018259677994,0.101454468569925,0.0712601630354206,0.0206248312331019,0.12834198491612,0.133490398757806,0.0961150356120082,-0.114231707157146,-0.140680234991717,-0.0916649482869501,-0.0760003409525079,-0.175045920680969,-0.0536324383223509,-0.0597277963409277,-0.0142985971610829,0.0119703416216417,-0.0863216236725966,-0.0657481523958111,-0.0585411505770869,-0.026524566496364,0.00985185282088543,0.0175591323337325,0.0664176360951463
"b_CongCD",-0.12334683363698,-0.058464224810987,0.0711533592870644,-0.236937844788343,0.00256608489719643,1,0.518937543859968,-0.0396538698163858,0.0516206623663953,0.111174341724264,-0.0190983553459144,-0.0108653446388362,0.133862520523888,-0.111615322321066,-0.076806666634171,-0.0195914363029927,0.0517948501512318,-0.131812194319816,0.0358476979460324,-0.0418897759436533,0.136172019912355,-0.00528183173347687,0.0531288004561836,0.00271068709266379,-0.0248803287135361,0.000132102928268112,-0.0172872426729623,-0.0512299498724508,-0.0485898051597701,0.00831081340704902,0.0486612657934525,-0.0527104602348195,-0.112839115328563,-0.0389003273311645,-0.0159094642472606,0.0474605557480674,-0.00866712398894551,-0.0142665381818415,0.0183575498081083,0.0814051807180362,-0.0557542657379455,-0.0586338924321854,0.0495203067970091,0.00770404388342388,0.124677615641258,0.115379388733134,0.104935656637407,0.0621467120063791,0.0902872589874449,0.131427039785177,0.122063602495868,0.087654933362944,0.0187528900321517,0.0324727109454951,0.0605266707948478,0.09475198529065,-0.0682501651206908,-0.0512353005397033,-0.000656817385622653,0.0855112106806862,0.0703941728647141,0.11088129693227,0.0312577489302963,0.0638564526581734,-0.0296641110856975,-0.0130338472407156,0.00176610130888835,-0.0316870264961947,0.0118206158931639,0.0195554290973841,0.0618107936736938,0.101588858317897,-0.0563407735077673,-0.0246412281654092,0.0469258606760348,-0.000749943513994267,-0.0563573430710091,-0.0168449378278694,-0.0135140057017932,0.0193693633089955,0.0254001816546865,0.0909150436475681,0.0464609700113195,0.0220750981972781,-0.041156906055902,-0.0774083179180174,-0.0691529454542095,-0.028394853660416,0.0396734204960688,0.00792711387043762,-0.00158799601912873,-0.0425384684401827,-0.102425828661959,-0.0224430716380566,-0.0710763937080759,0.03557381502566,0.0168074583616916,0.0281246710064398,-0.0280751856719019,0.0446691864463086,0.00419289974683803,0.0558145034600476,-0.0122645589689387
"b_CongEF",-0.133965316078632,-0.0625001425053429,0.399525436873323,-0.345533353242318,-0.0570123478855776,0.518937543859968,1,-0.116597832675517,0.0633168616753752,0.24039405309859,-0.0209021754592808,0.00986165756527491,0.102312881610685,0.0604118945931621,-0.191057835803617,0.089084019860611,-0.0265707678326774,-0.149279834922817,0.0125785459097847,-0.0974701827638064,0.132686056869161,-0.0143397881732606,0.0130284439840617,0.00888861774416817,-0.0118806180323276,-0.0337050269766577,-0.0606006056501412,-0.111390332353072,0.00840223282626014,0.0519727594456169,-0.0456245803133318,-0.0565180004829618,-0.0811366209721199,0.0434223872671627,0.0684732325499127,-0.0520489637739217,-0.0690940437123573,-0.0561656689872096,-0.00135262791026761,0.012222156826066,-0.149369606482348,-0.104096410499508,-0.0257702216023022,-0.0735028202565282,0.0930466788611375,0.0969585270241464,0.0357712395470796,0.0471078983107219,0.0502933172013755,0.11422357429231,0.160455727084437,-0.0191555214052136,-0.00553198125263507,-0.0187359236223493,0.0024395695456777,-0.0197608375819115,-0.0332183389767885,-0.0239696083184023,0.0116211714291526,0.0295262925835002,0.0702876981679766,0.101715165028264,0.0532202208163156,0.0716427480391629,0.00635721106181495,0.0332405102183997,0.0292599720141988,0.032374496638923,0.0796609641722147,0.0967194829850881,0.0773431855346578,-0.0152551565158803,-0.127116551366737,-0.0699313645421395,0.0699002456165854,-0.00662528979257199,-0.0384449363297985,-0.0266144998292681,-0.00285581311690669,0.0131633514084593,0.0242635144981095,0.0417615071196823,0.0436695504603722,0.140766043598958,0.0672777897795982,0.0331078296348126,0.0557711356787481,-0.112808396688906,-0.0947928399337594,-0.0797091330903259,-0.109065836178368,0.0212446103960456,-0.0638031111141694,0.0219220228840701,-0.0393374592654014,-0.00838703525141664,-0.00938279705868961,-0.00234415243914683,0.0225864682297661,-0.0110557164862924,0.0206846477688802,0.0643974589216084,0.0324784113270379
"b_Sem",0.0902959386969443,0.0109665283569481,-0.0324145862767347,-0.0656883255883362,0.279555506176403,-0.0396538698163858,-0.116597832675517,1,-0.125318113133337,-0.0672714210655782,0.0125019884534862,-0.0851764047679174,-0.0401792279259648,-0.0601283743510357,0.0725695729801273,-0.112331109210772,0.11795663730462,0.0448197175038696,0.00626974112224101,0.00255229837352431,-0.126619607249462,0.0262639690186867,0.00842944437412672,-0.0544888543070804,-0.0310614429970777,-0.0930396950357316,-0.0512425054014788,0.0133065993321726,-0.116376212161668,0.0163164869988913,-0.0738165382747397,0.0239495067293741,-0.0888036363166443,-0.031917301454462,-0.0602537278196432,-0.00521586808624607,-0.0559488245354904,-0.0597830861555166,0.0193702348165162,-0.0161898816642998,-0.00746217579941875,0.0443234595826046,-0.0164652589901031,-0.0123880179099379,-0.160300510198633,-0.159049496664702,-0.0987382754151022,0.0475502936094575,-0.0314630371876689,-0.00557976802043849,0.0666142186267392,0.00540708393487002,-0.00693878817852785,-0.00624781394176417,0.00490868244268967,-0.00906518934481238,-0.0577040386146676,-0.0442283481127267,-0.0423644179098242,0.109992450625605,0.070381870646066,0.0503611772359826,0.00555912775630645,0.0936842469239385,0.0799630841594145,0.0860517455571222,0.106311350810517,-0.0287955025392916,0.0619121240091745,0.032362805008889,0.0601910431183166,-0.0366406526710395,-0.0338225443618537,0.00491405085902154,-0.00121471222220795,0.00940702866692973,-0.0922605694491346,-0.0891621267896727,-0.108060305344439,-0.0118845798079463,-0.00449747530247821,0.0346879391974912,0.033366754738682,0.048219593742723,0.12656125716688,0.132201431802248,0.0868931705252612,-0.122213907397006,-0.0323428224863563,0.012230623078435,0.0323228069979732,-0.170581335025134,-0.0454691819877294,-0.0584142350832244,-0.0828339604169574,0.0136489567452496,-0.132389790355992,-0.156706991640307,-0.084272774593161,0.0375539568246849,-0.00686123056514074,-0.0631311346589096,-0.0673944850108454
"b_ACC_1",-0.04788057440383,0.0584583018141915,-0.0245350086743943,0.0172313152523281,-0.250823418571338,0.0516206623663954,0.0633168616753753,-0.125318113133337,1,0.126804514750201,-0.150393704347074,-0.101040854842599,-0.0530474367633966,0.108265827193683,0.105293913793524,0.0908862771926043,-0.136157471849508,0.00697161944381526,0.0111165596517363,-0.0505984361183836,-0.0378549553770903,-0.00774051253628522,0.0166287116731426,-0.0025356426899075,0.141968667679227,0.0105348332173669,-0.00636174274776342,-0.057769258565177,-0.0261614671616688,0.0107339527289588,0.0995962721473918,0.0573413382065729,-0.00336035701119139,-0.0713501603751267,-0.0712358548146511,0.0131568805994309,0.0159085320224415,0.0478865499158606,0.0474989105767638,0.0530011963985038,-0.0600563640950784,-0.0128958305024979,0.0232846192718482,0.00114717490724656,-0.0419573231150365,0.00298659399286145,0.00798143255755623,0.0395416880745395,0.0303640669739591,0.0810612217572432,-0.0481822515116102,-0.0101924417075298,-0.018488893264973,0.0275684275491871,0.00778618794769489,0.0261310559865594,-0.0536176719739736,-0.00839430616288966,-0.0267497004225345,-0.0618514660503639,-0.111705777288166,-0.0628921507213786,-0.139004917942849,0.0664296755155125,0.0173341216378204,0.0274997795403725,-0.00315125411774018,-0.0114267379749203,-0.0248958389907488,0.0258274211851244,0.0297954177325773,0.0854205624088784,-0.028868364698097,-0.0202958933972812,-0.0527995519672412,-0.00742569671328974,-0.0179420390574338,-0.0048030737156047,-0.025381357379419,-0.00761647636836172,0.0546817412814711,0.0420457450375891,-0.00941089209799337,-0.00100172336933073,-0.00292016503631481,-0.0706640081578598,-0.0902951926275734,-0.0700732008495682,0.0329207033395179,0.0434103510501421,0.0885672761113812,0.0352073924118073,-0.0401732767499275,-0.0380724815304156,-0.0631775812688425,-0.0320935550997767,-0.0170747649663835,0.00158352271097678,-0.0491822109504333,-0.0237974255083397,0.0487650195708568,-0.0305737142156931,-0.0405638410509647
"b_ACC_2",0.077905947916772,0.0803207937063031,0.199938785745286,0.0505059387055312,-0.0314707830275169,0.111174341724264,0.24039405309859,-0.0672714210655783,0.126804514750201,1,-0.0393463234127618,-0.0451873193685296,0.0283412685708229,-0.0452348868442355,0.0576717365886664,0.0284657460754699,-0.0160362240800588,-0.0509876589292136,0.0256604965752353,-0.0147144723860936,0.0113136388765308,0.0553137000434219,-0.00452785914921708,-0.0152892978736272,-0.0381929461542577,-0.0566221812687771,-0.0467070265338484,-0.0404109582564094,-0.0344832111224334,0.0450212654741981,0.0244849224329324,-0.293614565844101,-0.0496982772675215,-0.0887333133716413,-0.055532241708612,-0.0695749033124059,0.00542473382182886,0.0204341774142633,0.0606974054107682,-0.02637854124682,-0.0227880405155808,-0.00752192701312425,0.0485654933092975,-0.0566913237961908,0.0195458200591241,0.0237895703935212,0.0112155946263562,-0.0216265036849478,-0.07089823929679,-0.0635156034091037,0.0456740351481141,-0.0634375088286229,-0.000727387191168793,0.0177430244557471,0.0114083227351142,-0.0671807757951525,-0.01663935102402,-0.000464595111482957,-0.00268838422628575,0.0130509688115967,0.0139866835345239,0.0222611547554287,0.0359512637804355,0.00938149443983516,0.0195813622653839,0.0377961421009165,0.0258719331454902,-0.00138913478512646,0.0177750621085526,0.0195450529883277,0.015206641736501,-0.00996755039116783,-0.014073976040876,0.0037616353476286,-0.0127719141394534,-0.0485806631203261,-0.0796711915858614,-0.0327815003581727,-0.0295634788105393,-0.0420960523326274,-0.0122092112420281,0.0597735397554003,0.0482032610909685,0.193615915963277,0.0747819808716856,0.00640440729517522,-0.00465474453034141,-0.00822061910127141,-0.231713462931864,-0.338910389590026,-0.474248918027006,0.0383840399760009,-0.000382663711404661,0.0199609737159128,-0.0124280242844614,0.0912810011389088,0.0322352295956275,-0.0142246333389422,-0.0710153359800501,0.0886702954626999,0.0378442442249494,-0.0236037675369363,-0.0240450371971428
