"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.0887215088435151,0.0749111251453731,0.075510852315939,-0.011812482983445,0.0598310373954116,-0.00317797266588297,0.00195843210649822,0.00787884026983367,-0.00357279145221499,0.00194207121211174,-0.00343803391520321,-0.000520168702983708,0.00085060394728299,0.00542489873437255,-0.000289597683370972,-0.000206174744252178,-1.98354288306129e-05,-0.00112705420733802,-0.00161347558047897,0.00134758702746529,-9.75434168864638e-05,0.000524230333771112,-0.000157201113294397,0.000127716109676683,0.000140298928270664,-0.000405956571465576,-0.000148085494921305,-0.000139343086311349,0.000178054108604073,-5.70922340359988e-05,0.000163824643477821,6.50372879637763e-05,3.30117563772625e-05,-5.85777349563517e-05,-0.000103142605060558,8.10004606435334e-05,-0.000100715204434373,-0.000302896765122149,-0.000221109441481224,0.000104701481361023,0.00018344861196359,0.00081792077378874,0.000139773517273435,-0.000129545072076847,-0.000120791482230343,-0.000133034554073727,-5.54735317045324e-06,-0.000230981313679206,-0.000220847321612769,0.000144319670096478,-0.000109385260868868,-3.73030971868801e-05,-1.26474418306063e-05,0.000104882860041259,-6.70843284074874e-06,-0.000434943339027467,-0.000490154288201881,-0.000713403495271699,-0.000288279888542266,-9.11907870491666e-05,-8.66646618520216e-05,-0.000530609517898564,7.73153575294465e-05,-2.38432732248851e-05,-5.55314355068992e-05,-0.000102094647437805,-0.000170346599848206,-0.000120786379118401,-6.93092677694282e-05,8.42522997683751e-05,0.00015041360896323,9.56841815252733e-05,6.88592253564622e-05,2.88134734439292e-05,-0.000205413259176169,4.39753997421388e-05,8.98893230454755e-05,0.000302858106758425,-0.000101445844242815,-2.51252499105713e-05,5.01490574780844e-05,0.000105092403228726,-8.26382859874114e-05,-5.85755657966304e-05,9.9349445960398e-06,4.50891899688058e-05,-1.63719966158444e-05,1.02911188668315e-06,1.98669926480164e-05,3.01216412836214e-05,-1.42364854846828e-05,-9.49368839562857e-05,-0.00013258782023386,-0.000152462538379581,1.78409534089508e-05,9.85520251173778e-05,0.000160932879921099,0.00018797339785546,0.000136390770595018,0.000121786654743384,9.32827430835077e-05,-4.86745886763548e-06,0.000289283421545737,0.000185788747083951,-5.23894724613522e-05,-0.000141555961052176
"asc_ruta2",0.0749111251453731,0.10473602433824,0.0732905042586593,-0.0533400058885467,0.000539497720819471,-0.000854838866413773,0.00590507279009494,0.00226920743133774,0.00248589935553503,0.00970573671816057,0.00242532966326145,-0.000787083799318483,0.00251946391835432,0.0144794348148791,0.000458853873388868,-0.000610689816967076,0.00150232752884403,-0.000639522306129666,0.00033900578244605,1.45609277086517e-05,-0.000386511987088623,7.43928094809861e-05,0.000168891888093918,4.33387293541832e-06,3.69715742746179e-05,-0.00011359159015194,0.000415203326589214,-0.000114854157691202,0.000228750631396977,0.000117591209855283,7.88982359184751e-05,1.9608208418208e-05,4.99788424529725e-05,-4.79768736032986e-05,-0.000111097408313421,0.000134822642346892,-3.18573567124323e-05,-5.71160065253256e-05,-7.85006251105915e-05,-1.63299805507465e-05,2.88851498497774e-05,0.000162252466124919,-0.000179949570504773,-4.28167698028871e-05,9.89490415638026e-05,0.000482543090350104,-6.3844327797113e-05,-3.58420358012039e-05,-5.03592865454543e-05,2.28866814600469e-05,-3.89147537037408e-05,-2.28029704579259e-05,-9.7008168605345e-06,4.41738453514512e-05,-2.42604807839952e-05,-0.000245665889521184,-0.00024081383774764,-0.000300739876702166,-0.000318290294412342,0.000343444123916991,0.000394904992189313,0.0005766987269473,8.62447192384216e-05,-1.54856777215281e-05,-4.8945027684729e-05,-0.000105946973652731,-0.000203710305508052,-0.000141285712397663,-8.8986939835682e-05,4.63997429693146e-05,-0.000152495362742289,-9.99308472095793e-05,-7.32108318289015e-05,-1.9470106227489e-05,-0.000108869317396272,-3.59782640740321e-05,-2.91720178847095e-06,0.00012762707708873,1.00270731644892e-05,3.16659909667381e-05,4.79050417496148e-05,7.67729683651237e-05,8.0306359694988e-06,4.00921192600324e-05,9.15467255524699e-05,0.000125125872278325,-1.39246748465706e-05,-2.43482581295475e-06,1.22588478147789e-05,2.02940176407452e-05,2.68077433273799e-05,-9.99735096893316e-05,-0.000176039970741873,-0.000224372653545925,4.34921221278989e-05,0.000135737672220645,0.000205856670864576,0.00023540528114626,6.29691831087084e-06,-2.5883329588365e-05,-6.85041092121449e-05,-0.000143252568736392,3.51897994252026e-05,-9.38330324510487e-06,-0.000105035753717992,-0.000123925977304956
"asc_rutaEC",0.075510852315939,0.0732905042586593,0.175074615518753,0.0526916870221773,0.0294010682162989,0.0253033917132742,0.0685128394933394,-0.00171700348459666,-0.00511483592237539,0.0321073493055308,-0.00109073529182228,0.00599517583159348,0.00415931769330397,-0.00799705492517924,-0.0398895762775515,-0.0235851077833514,0.00566253276421476,0.0322494468065378,0.000316689230120211,0.0156548573053536,0.0128471029475375,0.00808995828660063,-0.0011256897816651,0.00582187210043913,0.000143018780795329,-0.000922799247164815,-0.00950327080806792,0.000456682298812939,0.00134349455929214,-0.0017234853001519,0.000982556526322189,-0.0014063031264444,8.57561701682524e-05,-0.000191409787148048,0.00113095796103352,-0.00116400442969423,-0.000146172371750825,-0.00485808054949042,-0.00284187123497824,0.00219479540273049,0.00263581795936616,0.00655901924122242,0.00218083634562363,0.00028040773852417,-0.00103831232767372,-0.00539605908148546,-0.00113966179493752,8.44440461233473e-05,0.000728583274819987,0.00282701105450697,3.45137814911974e-05,-0.000356878328437681,-0.000793647561451644,-0.00197940034130608,0.0035032889670161,0.00275156972453367,0.00292356892661326,0.00207976033831594,0.00864175831258719,-0.00588180967043631,-0.00727655302572464,-0.0142025496724734,0.000423978938868378,0.000757127030804671,0.000982012662360873,0.00122455136140471,-0.00347146053009153,-0.0030024849971152,-0.00257806891309318,-0.00192888378204759,0.000853196469119858,-3.18071480297294e-05,-0.000630163788287278,-0.00216190908914763,-5.32925777780631e-06,0.000833527688751864,0.000970505701310549,0.00180817353317943,-0.00114579467166113,-0.00187007878692903,-0.00186639694008335,-0.00219477227768601,-0.000751459796370564,-6.25183040523011e-05,0.000666402980010239,0.00083024884180686,-0.000507587490754218,-0.000476747775846504,-0.000459893382132738,-0.00041356930643296,0.0014132526743699,0.00300284072792584,0.0039486251157273,0.00475037595759672,0.00113011876424461,0.000636939888175963,0.000379761813354312,0.000330695722101557,0.00133787301433092,0.00171087930515734,0.00200254002725445,0.00214029213990692,0.00443794981336212,0.00257095781211814,0.000198785321930152,-0.000220377900896054
"b_tt",-0.011812482983445,-0.0533400058885467,0.0526916870221773,1.33971383669273,-0.521140612941976,-0.0197581384321628,-0.0736527242627671,-0.0209861284710949,-0.0376017653812054,0.0185172209827321,-0.0330399457194611,0.0134434937446027,-0.0381881100779192,-0.0600282400911625,0.00239127601201443,0.0149652971958279,-0.0352977464909949,1.44735990261947e-05,-0.0202815701586862,0.00149663985759408,0.0194748471252642,0.00820141527556422,-0.00620982200269861,0.00506608288442135,0.00177699994134084,0.00185174744327429,-0.0224445105813391,0.000884199621014778,-0.000689731768625538,-0.00617732721088801,0.00418721944396889,-0.00092807323555268,-0.00193044688679141,-0.000416719194039662,0.0038277737051079,-0.003879688066285,0.00692415980466216,-0.003478970729347,-0.00297124497560811,-0.00195771835907486,-0.00161657670510944,0.0070542744246918,0.00521936343654008,-0.0039490245839764,-0.00824425659758546,-0.0195058894097873,-0.000767979972301054,-0.00588805694172343,-0.00477504269638294,0.00224558353070638,-0.000908243380934333,-0.000982246749378145,-0.00137698578324343,-0.00101909106048625,0.000711580143996691,0.00562701959160076,0.00630657390109273,0.00621800715245887,0.0128710661144416,-0.023187814893653,-0.0252305008728219,-0.0394066520111642,-0.000492016295019708,0.000411557775707118,0.000735705749659303,0.00127496702744451,-0.000876570821525717,-0.000722933368854548,-0.000566504067223709,-0.00033870257151301,0.00913537970124288,0.00618075579457741,0.00451387183982786,0.000400977469210362,-0.00512550337970964,0.00105669101260279,0.00139148840250299,0.00357626935242726,-0.00146704756778978,-0.00175124680149683,-0.00187484672881742,-0.002718973444643,-0.00159162894476339,-0.00243378159482647,-0.00336796788402998,-0.00422155576449453,-0.000275485732944729,-0.000177784914257289,-8.86913380491702e-05,1.65684335093984e-05,-0.000520858987754894,0.00386435582353959,0.00634895078059867,0.00779217013288092,-0.00092147218925585,-0.00307313852397236,-0.00503924952442247,-0.0062787152717092,-0.00338247900386212,-0.000287023047443714,0.00289553049621267,0.00809310770989558,0.00340168329005814,0.00244369464634781,0.00136942973641801,0.00112680399565326
"b_dt",0.0598310373954116,0.000539497720819471,0.0294010682162989,-0.521140612941976,2.41713147280024,-0.0211687331897707,0.006423888038358,0.0905469607499812,-0.0183109252601699,-0.0238876250545923,-0.0305111445033158,-0.010639860030984,-0.0106996630498437,-0.0621192220188441,-0.0608650163388088,-0.0380649332189215,0.0244843650744977,0.0188719138545095,-0.0493309162930631,0.0557715750153996,-0.0257001865303741,0.0078492952061748,0.0106559771524271,0.00443934546902787,-0.000959605567043845,-0.00874414565194728,0.000203927983964788,-0.00148452206609719,-0.00143377622687045,0.000279052852878991,-0.0053229367671859,0.00111050305909779,0.00360628191157642,0.00021834507210657,-0.00649423900345762,0.00282875246800335,-0.0086229787502889,-0.000838874031894927,-0.00123351826978703,0.00835349349953514,0.00895388840226159,0.0117389738469201,-0.00587121333936537,0.00674744604892989,0.0108442718514763,0.0237552298146816,0.0011927837029963,0.00679776570324946,0.00615268405791745,0.0049269554638246,0.000473047988601955,0.00089642811556221,0.0010894553649144,-0.000287680163171528,-0.00254512286807099,-0.00919129789912101,-0.010069051184878,-0.0127940338060098,-0.012546998671462,0.00392903021585858,0.00315390107794503,0.000216021849918318,4.6376647671383e-05,-0.000831571320734623,-0.00105617099905947,-0.0013453352647009,0.0021556508178759,0.00102389802490309,0.000753236636637571,0.000860683959011338,0.000296778182638915,6.97993733784202e-05,-5.9892438722723e-05,0.000535882799149404,0.00735138130380028,-0.00120766716040697,-0.00214214490496659,-0.0060761119420988,-0.00108980112582167,0.000271450139179746,0.00193278980532965,0.00315175600004677,0.000262984365867392,0.00305644392665827,0.00598949125574346,0.00760510150991043,-3.28196180196674e-05,-3.64729961873666e-05,-4.13343577975606e-07,5.88394499719971e-06,0.000243446129200331,-0.00466441486737971,-0.00680790222996599,-0.00779885645356752,0.000852267138649567,0.00357271773166085,0.00654494608172421,0.0085349705092904,0.00485569518473602,0.00255983380587615,2.28508382528263e-05,-0.00514317698213357,0.000294126484511985,0.000647463332215768,0.000772781688303664,-1.51603066453284e-06
"b_CongCD",-0.00317797266588297,-0.000854838866413773,0.0253033917132742,-0.0197581384321628,-0.0211687331897707,0.0917124606069208,0.0519220754525722,0.00164770494877462,0.00264618996486989,0.0162018051396933,0.00650216282495251,-0.000208897585229479,0.00287781657528639,-0.00792034223797358,-0.0176311169568038,0.00299106211949387,-0.012083508210247,0.0128963500057612,-0.00155866125977607,0.00426832917722361,0.00735804330302512,0.00206328973675445,-0.00403398287398631,0.00100562761706469,-0.000779887893074649,0.00064956304998531,-0.00315148052839106,-0.000178226028822586,0.000957047145334179,-0.000882750434550522,0.00166954671310896,-8.56081029691318e-05,-0.00062957402128956,-0.00017986686131002,0.00124112534417093,-0.00100056889471717,-0.000620847883489502,-0.00071933778450311,0.000261917313563231,0.00148290766626272,0.00150342257633424,0.00182366457873135,0.00496328947157053,-0.00145810607955791,-0.00335381291530508,-0.00820231671616879,0.00112465133919564,0.000519134705087203,0.000527039111089486,-0.000279011535835158,0.000827791160787506,0.000299329663974165,-9.64877693761362e-05,-0.00119778179781665,0.000566863818121349,0.00124534642529126,0.00159449970670878,0.00183992134311775,0.00278641518009116,-0.00273030890455593,-0.00284076855716449,-0.00447405930589094,0.000319572303103533,0.0001359025521001,0.000102056091436926,3.47835244129237e-06,-0.00141084766303885,-0.000928079573224226,-0.000507286766222953,0.000104149323872049,0.0011937374720248,0.000791975402941528,0.000457494070719291,-0.000219780526589373,-0.000777050814952988,0.00123326400369511,0.001414892875185,0.00291609368998977,9.82200188600155e-05,0.000142009954141434,0.000151173678732589,-2.71040669150163e-05,4.54112763648069e-05,-0.000238681234346501,-0.000712474040861471,-0.00108799946027359,-5.28560643034182e-05,-2.09446024071908e-05,-8.14425344306714e-06,1.76283900023506e-05,-0.000233454228266475,0.00106175396266321,0.00191871119906576,0.00254538666810992,-0.000455132516912205,-0.000922076117653819,-0.00130070487677825,-0.00159369717808803,0.000762851077753006,0.000839101020160906,0.000911635162584341,0.00098651189267883,0.000776203575630627,0.00071238510212867,0.000834511277097779,0.000864895919952302
"b_CongEF",0.00195843210649822,0.00590507279009494,0.0685128394933394,-0.0736527242627671,0.006423888038358,0.0519220754525722,0.107664880331328,0.000942434306207059,-0.000909460912242507,0.0219866843857781,0.00420918540337955,-0.00176373112951075,0.00800851394524822,0.00187049772045368,-0.0193314861232457,-0.00139640355186349,-0.00778494037527039,0.0083597222582989,-0.00588173798322478,0.0105938489986947,0.0026167299290385,0.00435163247636016,-0.00472632717651476,0.00165985412478073,-0.000136565816844446,-0.000772834527828282,-0.00213366804420492,-0.000480096752761313,0.00201928586190903,-0.000183528378082912,0.00269649001698912,-0.000464242453580581,-0.000738285345847991,-0.000551037205951439,0.000984828471059349,-0.00077108265999485,-0.000764069127849019,-0.000509801361783664,0.00180858380324851,0.00439057076396057,0.00477013729211782,0.00681952943420996,0.00745160377495559,-0.000610870072717091,-0.00254117870023261,-0.007251740520625,0.00374803734507545,0.002343710504611,0.00229141672663399,0.0022003608690242,0.00147023067162555,0.00125165598593102,0.000942791496527631,0.000125632649868506,0.00288561904938656,0.00119854227923746,0.00122350582701011,0.000815511054420067,0.0047333946252067,0.000705494593410714,0.00070803674319012,-0.000650165278380395,0.000999243074112213,0.000567695290494884,0.000465194372186717,0.000230209612468343,-0.0024238269481039,-0.00152926287961592,-0.000803413397331525,0.000487711155220927,0.000441900007458972,0.000145616829104797,-0.00011711726145715,-0.000298570268079667,-0.000542879049119429,0.00265285779270306,0.00312809644154956,0.00577785759381036,0.000970325906238112,0.000520251250245271,0.000169472985025187,-0.000677050548627857,0.000828554296695689,0.000401874787886347,-0.000187684069988545,-0.000846259168424748,-0.000392422719823615,-0.000269617116281535,-0.000158114939074818,-7.0100140214337e-05,0.000721259785370063,0.00180783406633676,0.00235934891195819,0.00273450431504641,0.000546042709481406,0.000240250683977892,-0.000161909904162375,-0.000452333737576765,0.0019154540253205,0.00175486715409737,0.00152885114390615,0.000879021972416086,0.00164602617658468,0.0015115153352911,0.00118080474702991,0.00102564667018881
"b_Sem",0.00787884026983367,0.00226920743133774,-0.00171700348459666,-0.0209861284710949,0.0905469607499812,0.00164770494877462,0.000942434306207059,0.0273333954305923,-0.00534399757397977,0.000167747560503856,-0.00278054502035037,-0.00282520765114037,-0.00192195990278399,-0.00659801381032567,-0.00166682694235627,0.00357909880770266,-0.00417562323369685,-0.000855135004188766,-0.000243043685751964,-0.000484710791799483,0.00353624723208535,0.000239407740325617,-0.00175147649837032,-0.000380300160190594,9.3841056420054e-05,2.83721837977077e-06,-0.00049237533530674,-5.26526476888763e-05,0.000189920385724062,-0.000392980057847963,0.000760541453807573,0.000294992218589139,-0.000222631256803372,-1.94895264328438e-05,0.000425917838121618,-7.2565697561335e-06,7.94772746298935e-05,-0.000312468688883625,0.000148763313086128,0.000283053995568128,0.000284152941026858,0.00041747635576359,0.00188575675119955,-0.000905678025818587,-0.00147024137398447,-0.00316202869667416,0.0005091613982322,-0.000316638953770315,-0.00037864011843117,-0.000769811194331108,-5.10618492347167e-05,7.60479617648824e-05,9.31216594150207e-05,0.000131947992545745,-0.000225612531321874,-0.000395338432196917,-0.000425235416542492,-0.00052316062711402,-9.11065211654593e-05,-0.00122029131521419,-0.00119026252568347,-0.00182853673845253,-1.84681755737836e-05,-9.02064141176035e-05,-0.000108035751492455,-0.000118481622587363,-0.000238427090758217,-0.00013197559096837,-3.13846310935482e-05,0.000138190434594654,0.000630738720392248,0.000432159755989027,0.000314757124638057,8.25976760158401e-05,-0.0005970617637921,0.000384421055068285,0.000522605899842314,0.00128568323758646,-0.000176985124824023,8.93182653383e-05,0.000262086192761349,0.000394993355092239,-0.000251146926864282,-0.000440160586642483,-0.000564636970491618,-0.000635531363765112,4.75847493646326e-05,5.37833017851212e-05,5.14200258852078e-05,4.80616687956088e-05,-0.000181320327660373,0.000119310877080768,0.000336848461879521,0.000480284648247558,-0.000172121653936219,-0.000180891572912381,-0.000231366704129513,-0.000314093898248346,0.000209097532296649,0.000309124820435737,0.000358040091383094,0.000492203577252369,0.000408374540551586,0.000378382118341546,0.000245011067515417,0.000170944126241377
"b_ACC_1",-0.00357279145221499,0.00248589935553503,-0.00511483592237539,-0.0376017653812054,-0.0183109252601699,0.00264618996486989,-0.000909460912242507,-0.00534399757397977,0.10618737308443,0.0436377800539248,-0.0030773619978982,-0.0026106654167343,-0.00222074193277469,0.00430820462144351,0.00684863487374466,-0.0101193293259957,0.0165674582889117,-0.00770752020244543,0.00352746323263154,-0.00577730036262467,-0.000917358269064767,0.000198033748450318,0.00213447550768025,0.000352532020687407,-0.000362007176010595,0.000544094467051622,0.00608094767296469,0.000399971265593479,-0.000336749834031086,0.000448338202535337,-0.00193196030692582,-0.00119834954660258,9.43767850877928e-05,0.00011513028393697,-0.000534364601295337,0.000459589371994705,0.000750744111863736,0.00101444057900216,-0.00147332692592371,0.000115440556334146,0.000399901177083455,0.00124303895865316,-0.00238159876309493,0.00187571029465694,0.00305050254430318,0.00541479304737614,-0.00166265697056884,0.000448428863010535,0.000627868616570272,0.0018890716155238,6.35977347381512e-07,-0.000224462398309881,-0.000240601277986096,-0.000261859729184465,0.00100620463635749,0.000929489979169717,0.000810290912369331,0.000884876840265548,-0.000539670544194713,0.00780091075027458,0.00823040363739394,0.0115071937453689,-4.38987068788707e-05,0.000303698130511497,0.00039915259388851,0.000472953343938383,0.000409728873346925,0.000207053479464758,-8.73581240353001e-06,-0.000393471759843104,-0.000778051387134282,-0.000510172465550861,-0.000362692435067089,-0.000142186771320862,0.00187916622190058,-0.000479826005360661,-0.000740386819493858,-0.00210381685763759,9.92846952528584e-05,-0.00119483133525996,-0.00192019452131766,-0.00239845049612989,7.71635958611891e-05,8.8115958148732e-05,0.000277049578674911,0.00037221629717297,-3.88255158528892e-05,-7.04756704081827e-05,-9.5442666312284e-05,-9.77846936776278e-05,0.000299703382109011,0.0001153159510401,-0.000273090647542928,-0.000631932152762503,0.000435155788921757,0.000741518666308889,0.00103687701829788,0.00128590062455163,-0.00147077841857728,-0.00154580602078924,-0.00154018678992873,-0.00155098512245991,-0.00146807875692594,-0.00142040841117373,-0.00143303495784739,-0.00133441316402044
"b_ACC_2",0.00194207121211174,0.00970573671816057,0.0321073493055308,0.0185172209827321,-0.0238876250545923,0.0162018051396933,0.0219866843857781,0.000167747560503856,0.0436377800539248,1.29576723666138,-0.00341816735165955,0.00918297928175283,-0.00477157191536915,-0.0158344530565516,-0.0022447039078209,-0.00886606022715717,-0.00578948952798275,0.0122235971867356,-0.00768347990579235,0.00229647077672395,0.00437584700737918,0.00162474438848751,-0.000871351615175458,0.00279343891087271,5.37167272037756e-05,3.61927717750181e-05,-0.00184105345118641,0.000237380770397764,-0.000220029007491726,-0.000810536215331796,0.000364563857904374,-0.00108423004886557,-0.000363294307278103,-7.85436255769827e-05,0.00151513158774752,-0.0011208061562075,0.000849592589326993,-0.000406902077663141,-5.78787383274217e-05,-9.62534861965466e-05,-0.000103080006276311,0.00054394033568851,0.00211827179992283,0.000252672233972424,-0.000563141215666785,-0.00277187798259599,-0.000521286452794753,0.000818891818720405,0.00132054379034513,0.00246111863711451,0.000234851107593893,-2.11094334888481e-05,-0.00025234415630529,-0.000630483224173302,0.000996221024562494,0.000902863059721908,0.000865779582777413,0.000630305691945045,0.00232992267783283,-0.00118845038184632,-0.00174424258960706,-0.00376201502684919,3.43370353973103e-05,0.000172938161856688,0.000239860295311434,0.000330772126852194,0.00016375490471671,9.76427275452046e-05,6.24153667818437e-05,-0.000113623029073435,0.00121407725327124,0.000846072467518107,0.000611440076180999,4.56871698145483e-05,0.000482066419211422,0.000641528479292245,0.000549983176772419,0.000424731448910055,0.000538550362789837,-0.000573575772189765,-0.00106219386637325,-0.00147694280166492,0.000365255732952264,0.000232686778297122,0.000231904306577948,7.23297367145505e-05,-9.57274596961684e-05,-7.19728349417718e-05,-7.77164863844019e-05,-6.43262799502973e-05,-0.000100413479774568,0.001598356376789,0.00265749242929547,0.00332349222033642,-0.000164767089392765,-0.000770500083496184,-0.00118130529385807,-0.00139780464261929,-0.000328882157830159,5.89294549038765e-05,0.000415380584553492,0.00108747899673486,0.000488052655295249,0.00031902359732615,0.000344226606848746,0.000434735923274485
