"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.13318448082515,0.328360302933231,6.49647494465526,8.22237833375539e-11,0.365083169096102,5.84300965203801,5.12660469631498e-09
"asc_ruta2",1.05984981661105,0.325239114277698,3.25867883069598,0.00111932305577045,0.341908751621276,3.09980312462143,0.00193649313151201
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.73833531370333,0.435368988476543,3.9927862565181,6.53014273537256e-05,0.486812704290521,3.57085034630879,0.00035582416500235
"b_tt",0.618540612260796,0.226011549734565,2.73676550152958,0.00620465042855445,0.247511496229843,2.49903791008725,0.0124530988422962
"b_dt",-0.534178768877809,0.264346300992702,-2.0207537115965,0.0433052666688283,0.26170301919224,-2.041163951897,0.0412345334716786
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",-0.0193859161930464,0.300527403778442,-0.0645063177244838,0.948567076774072,0.30934849487793,-0.0626669161609988,0.950031742670635
"b_CongEF",0.034415591824509,0.327141158305094,0.105201045331058,0.916216281272456,0.363927251817379,0.0945672291718867,0.924658580478264
"b_Sem",0.386392431375339,0.15996985430738,2.41540778447476,0.0157176018794538,0.122549150447146,3.15295887377029,0.00161624575507591
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.363389312768585,0.32189770172711,-1.1288968850006,0.258941334994835,0.329441469946708,-1.10304665902374,0.270006903202181
"b_ACC_2",-2.59122469242432,1.17291262799677,-2.20922226479043,0.0271591849851172,0.743569438183383,-3.48484561005486,0.000492421077789684
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.719598463831057,0.288640553376299,-2.4930608516847,0.0126647139292662,0.277744425837137,-2.59086554720998,0.00957348866477536
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.318786412072569,0.216957375061299,-1.46935042877661,0.14173776534343,0.186310520485643,-1.71104890503021,0.0870720852269415
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0152868777834082,0.267387274172306,-0.057171298936079,0.954408740884406,0.253565024408819,-0.0602878012022724,0.951926417504216
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.171330797336838,0.353684458786792,0.484417092921009,0.628089890060082,0.328580575286434,0.52142704171567,0.60206931767064
"lambda1",0.331867620711527,0.356208143274566,0.931667697601518,0.351508285212889,0.434212089927687,0.76429843481971,0.444689417908052
"lambda2",0.350984781253569,0.205650516945404,1.70670507649027,0.0878768831853534,0.234323452041141,1.49786450394195,0.13416845766007
"lambda3",-0.26119339206382,0.24837954071893,-1.05158980207388,0.292987788583352,0.279915928341136,-0.93311371600655,0.350761258046509
"lambda4",-0.242951123354509,0.219211143770192,-1.10829732091177,0.267733432128775,0.249761797250144,-0.972731322521619,0.330686853515125
"lambda5",0.418677640745969,0.210436717110788,1.98956554015024,0.0466388153370911,0.210700396138508,1.98707571708002,0.0469140067437965
