"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.771157865645743,0.626660831807576,0.172495426729874,0.0801209643394858,0.00839174829010548,0.033345222690382,0.137605189794736,-0.00835900455408562,0.0522912471911486,-0.0502811789499302,-0.10316874312033,0.0470008971163187,0.0875668586183017,-0.0783031071956733,-0.00787711768538296,0.0690393065334546,-0.0176185727281229,-0.0272442443000203,-0.0541870210309338,0.118402427720843,0.0112625642193431,0.0132705570171411,-0.0483340956510532,-0.0408377629431011,-0.0877750461335386,-0.0362950810652961,0.0644718788718276,-0.0957683952994674,0.0062381561340633,0.0111294852497625,0.0871350005948559,0.0922417989208536,0.073962873454798,0.0988326104716128,0.218080847857366,-0.0431611524302551,0.0861859389955318,-0.0776889974903009,-0.0430819979138715,-0.0252290113965179,0.0750801907364171,-0.0321859355796413,0.0316350222919572,0.0531800019780832,0.00922176929151128,-0.0334715383980485,-0.0663202492421648,-0.0661519011283968,-0.0283421476651927,-0.0766174189804174,-0.00217888011367521,-0.0172458965425377,0.0376527852063816,0.00253774291484449,-0.0791951449696466,-0.0839363116223933,-0.075333212854885,0.0026300792583112,-0.0388286633653554,-0.0308495923463865,-0.0340420347808073,0.0148274464275599,0.159981602735796,0.125313044918202,0.0717464184875788,0.0640622196928812,0.076085965028937,0.0658528446171496,-0.0770991738163282,0.0210121806934939,0.0157981052284353,0.000801768665245283,-0.0162039467339791,-0.0290749938903036,0.0320678375609433,0.0605336363418365,0.0319532598186472,0.0266310562222886,-0.00106982781196445,-0.0177401482171102,0.0228591455117606,0.0418426945119955,0.0492796865668948,0.0486561360349677,0.0900629174763301,0.121721433571612,0.103798623919847,0.0524197853374188,0.0366134079354206,0.00932268741367717,-0.0233258571034222,-0.0479843870524876,-0.0206847413979871,0.0253270036385428,0.0853046249486119,0.115634299239814,0.0273899591758608,0.0707769478795504,0.0577990377146097,0.0172454763053054,-0.0640142926188284,-0.0174666581511435,-0.0161662046083462,-0.00848404335315621,0.0213694244996308
"asc_ruta2",0.771157865645742,1,0.51856016623925,0.0331189250360936,-0.0565070208590597,0.0104822334440628,0.0487536425682482,0.041802439494195,0.0877045271776977,0.0512616506210693,-0.00571029965559451,-0.140466031544922,-0.0212161820320493,0.222972010191575,0.00205378875290279,-0.0126454140642382,0.113420808742038,-0.0651756476816996,0.0553902749727657,-0.149456060241939,0.0933885111207419,-0.10058584899584,-0.027353695968297,-0.12484957174418,-0.0720801028722886,-0.0173505040415961,0.0350968516120175,0.0409255988160591,-0.0446633716611068,0.0230516421484999,0.0137295211058491,0.0553127936570367,0.0407683950256283,0.028268119461701,0.12071805272885,0.184859876742633,-0.0336430827841215,0.0784110100476643,-0.0626712807379678,-0.0404739904815538,-0.0332144936137231,0.0105992114380128,-0.0277331308385155,0.0162036132283992,0.0360496428352475,0.0326264962699447,-0.0161629604246809,-0.0568096149049147,-0.0500260614749483,-0.0557987573636928,-0.091582303209475,-0.0188951669946865,-0.00868551362318033,0.0302145419296386,-0.00532142136838162,-0.0321772943141418,-0.044579831095165,-0.040773877439618,-0.034383463078691,0.0130464359160124,0.00942021725864001,-0.000623852747202643,-0.0191329751187716,0.113585791666844,0.117019063169405,0.0680080039064672,0.0112442164888869,0.0189713291731921,0.0110160309839386,-0.0984618648104091,0.0212218546424535,0.00339109611404978,-0.0091699609608546,-0.0660680616545885,-0.0396706913788925,0.0470808608267423,0.0689702993893861,0.0232891158388252,0.00905038982685627,0.0145735440185927,-0.0169182152705698,0.0387533894214225,-0.0110483113176158,0.000676272640805126,-0.00581332684490729,0.0593666138126917,0.0840673753699497,0.0433025577061114,-0.0270957243388953,-0.00871974492556388,0.0610708551433393,0.0370256996330178,-0.025452135803687,0.0395960787606379,0.029911810487496,0.0615677972217129,0.096720468222365,-0.00136661814323093,0.0750799143816887,0.0830715759211311,0.0577143896228754,-0.0239123033699378,-0.0217588181129884,-0.0211258577825503,-0.0165029327951312,0.0229014230577082
"asc_rutaEC",0.626660831807576,0.518560166239252,1,0.181441509959129,0.116341271328811,0.252044588933358,0.503951356758848,-0.109664277809458,0.0137334809164176,0.224480714176835,-0.0727001768977154,-0.0847815554603381,0.100691098810901,-0.0224196944579456,-0.316717843461747,-0.288254118740154,0.126261653761726,0.351289546147029,-0.0225521016802479,0.187437969934376,0.13775752274075,0.139226291645833,-0.047871914646115,0.00287801201672717,-0.000241188610236621,-0.107321371335594,-0.15288397183856,0.0199533935614669,-0.0194637191034331,-0.0290793660430334,0.0762868819316403,-0.0124464699792221,0.00193928761136622,-0.0539264941141369,0.121696092106419,0.133063674458399,0.0644257896500699,0.00275870127489585,-0.0592017649436953,0.0755378906700363,0.074257071351321,0.123048045371352,0.0924067010152349,0.0519325240316264,0.0421404253106971,-0.0287298058043016,0.0683902619610366,-0.0217582362831267,-0.0313536337601762,-0.107443771071928,0.0162683137342926,0.0472302080301642,0.0592122719589685,0.0277193528256212,0.109370235175577,-0.0272957605271262,-0.0415078613497194,-0.021377431174088,0.148013911964484,-0.100313212892913,-0.0895204575153791,-0.0855287020307841,0.0429354627382197,0.172870325609966,0.204464854783619,0.182014374309997,-0.00809676500706724,-0.0181113805782484,-0.0401620051659636,-0.102928977560026,0.0520158349431708,0.0166241390727748,-0.0143592929498917,-0.0578988778758853,0.00346844599709536,0.136986822797623,0.144313241874173,0.102577207782095,0.0505197196488918,-0.00505547255869375,-0.0250626273018705,-0.0240113371319253,0.0890778187063437,0.0793386357293427,0.0587356745209689,0.0695854639589344,0.114392644303446,0.0778519895554578,0.0598378678564336,0.0768380342923803,0.0635557262350391,0.0611461917059704,0.0386022658793356,0.0333762943481257,0.12281699163787,0.0951607564425008,0.135319037786315,0.0426532363237356,-0.00956775652290242,0.0101453573222813,0.0477266728723467,-0.0124226723002921,0.0642791681243942,0.0089432762382899,-0.033591121777424,0.0339135706861189
"b_tt",0.172495426729874,0.0331189250360937,0.18144150995913,1,-0.370380270081026,-0.123559263739892,-0.31715336189659,-0.228760751039752,0.0344637310869615,-0.0361130061737416,-0.230620256886678,0.0438047145454474,0.00486617970613458,-0.205752188554119,-0.070116819470464,0.0657806085327967,-0.110580683706072,0.0513980687853201,-0.0521303402376956,0.100910136457072,0.0661972300806655,0.095877068457158,-0.020713624785364,-0.0305374519617092,0.0769464375071374,-0.0321509799088564,-0.177271174972876,0.0806824016919359,-0.010640292419504,-0.0572843825448078,0.0544923967538913,0.00671044650902505,-0.0466366338060054,0.0352886839446026,0.0558195541574042,-0.104466126821282,0.0174085222637027,-0.102105870000158,-0.0815832039169054,-0.0494959059424626,-0.0526625515648979,0.00221414406925823,0.00483937148924441,-0.0125323053635721,-0.0379179222892312,-7.98973895768707e-06,-0.00740756919046625,-0.143479485400234,-0.162923665445216,-0.0906194043757298,0.0113786181639473,-0.0118842297030373,-0.020502054424193,-0.0547437445325026,-0.0225494241195012,-0.0229168362464186,0.0211887746837762,-0.0308034861346543,0.113806131136071,-0.125957958963961,-0.120494671366983,-0.167766432381171,-0.0905303173109283,-0.0267284392049096,-0.00146132753082341,0.108852218137509,0.0200331511010647,-0.0114495426385369,-0.0272383018263694,-0.0482398569835589,-0.00738301982984652,0.000372016655540297,0.045285562564902,0.0379670371307503,-0.0209073365416124,0.0400263854681258,0.0454244792591281,0.0408788513508207,-0.0431385901917642,-0.011150153461941,-0.041216285581757,-0.0825737891181658,-0.00591224870693343,-0.0149331295060388,-0.0549025813875516,-0.0659527245145929,-0.00710799846346034,-0.0529898848944095,-0.0752776714865951,-0.0406272727682281,0.0182504233132034,0.0301279667530923,0.0700334117881505,0.0615020528604634,0.0831349768899454,-0.0655695425821741,-0.148671562957461,-0.136847960662596,-0.040440004066782,-0.0202043276146133,0.0247171608534372,0.0282943746478623,0.132587785674413,0.0768649363019171,0.0146883343907266,-0.0352905631811465
"b_dt",0.080120964339486,-0.0565070208590593,0.116341271328811,-0.370380270081026,1,0.0554154511697231,0.0905215924186864,0.345004225337659,-0.180304306373472,0.0103891063076298,0.0677124758167554,-0.0240911896837051,-0.0420392192103646,-0.0490908051667953,-0.194476860917975,-0.215358576603207,0.13313166931229,0.131332260345569,-0.20753817446509,0.184226812112056,-0.0594225068443874,0.0966819573186082,0.0953010030404644,0.104533103907094,7.24874251942942e-05,-0.11990768012788,-0.0450473502839784,0.05865844205966,-0.0519896769397355,0.0396711335403671,-0.0845900294687414,0.0436095899375882,0.0261191414578153,0.0642823565525383,-0.146650790167643,0.0287029518186064,-0.118033517406682,0.00109654056789254,-0.0294068725509244,0.0967820486476546,0.0800757083507544,0.0714175553968753,-0.0515731381422338,0.149717185253939,0.148753778714138,0.0068653895009252,-0.0460899595690526,0.0797081019703587,0.0620383362697083,0.0735091598550604,-0.0270596995422398,0.0193180237010441,0.0274802679981994,-0.0394829084871322,0.0499776481360301,-0.0374041792370912,-0.0768998284583378,-0.0977293262416795,-0.0127063731914133,-0.0521590186638954,-0.0391016135850632,-0.0635877299746497,-0.0803792085296019,-0.00357589286412433,0.0339705133722077,0.0209106890759482,0.0242725341144775,0.0529698667540059,0.0472943210585677,-0.0748373945452171,-0.0235368865853734,-0.0607871071928499,-0.137119558872728,-0.0976411515798975,0.0605624964702298,-0.0222143406885893,-0.0378195931573655,-0.0889084448510702,0.0855998565310721,0.0560495270908969,0.140930430229238,0.132181537788082,0.0900871008363771,0.0719065619249841,0.110657348743387,0.0868938566557618,-0.00769979245501889,0.0420587978708434,0.0578150869161534,0.0291796628218608,-0.00346074781789305,-0.0501977313052016,-0.0717498529046498,-0.102168242876694,-0.0685452608776343,0.0929120231744725,0.0791814864820373,0.109931238092274,0.0934118770687305,-0.0186264742569216,-0.0745708355009035,-0.151371250120703,-0.000938443383100692,0.00860624474456101,-0.0426553973635345,0.0527701695394146
"b_CongCD",0.00839174829010538,0.0104822334440628,0.252044588933358,-0.123559263739892,0.0554154511697231,1,0.563544284585481,0.0528006772021167,-0.0193961748144728,0.120858836333572,-0.0417891720831001,-0.0940854255845045,0.109561370744786,-0.0858031956594975,-0.196346880052684,0.0822393203987453,-0.168317526619225,0.176535116845681,-0.0372615755313073,0.100583108988318,0.131469923652936,-0.0358517223552962,-0.0751360085593125,0.0322385797012972,-0.0997406776661292,-0.0738407502006883,-0.0450721956316502,-0.0636446763908121,0.021614562505626,-0.0376047700055924,0.0432342915092707,-0.0165709927996668,-0.0402140896328579,0.00828963860168373,-0.0632879876603169,-0.0670439094217668,-0.0369640486115496,-0.0201144235437546,0.172157564306506,0.0402479399360728,0.0245321918422582,0.0473008971672315,0.143402250398367,0.0132760588609179,-0.00751593314487188,0.0538207030298748,0.154306593805613,0.127662809929077,0.130203486281098,0.127412510896445,0.157347332611199,0.135150525751777,0.136127728266881,0.0783439630421804,0.167699886760107,0.0045683328277606,0.0165485081749028,0.0526264094056491,0.128269954053689,-0.0386410858326968,-0.0157862015783055,0.0278492933069885,0.121047686746351,0.0784743148288642,0.161307934346623,0.0327803455402622,-0.0087578871051868,-0.102610378441839,-0.0826447773413636,0.0265528965915634,-0.000805323388962943,0.0154493465973105,0.00672316749104366,0.0895318900845087,0.0733426805881739,0.0416993333530269,0.0757113983904372,0.110496940220711,0.0190111889332626,-0.0278181274879709,-0.0037733307788506,-0.0158969383586911,0.0227907946380374,0.0142353050989668,0.039499202067752,-0.00531172438553068,0.00901863319462862,-0.0122547809519322,-0.0425386028952467,-0.0315411856451377,-0.00880483898267068,-0.0139835382437691,-0.0194953223573669,-0.00713972787849301,-0.0194436109479399,-0.0488946588006657,0.00452796218160401,-0.061582656662005,0.0514229363130075,0.0519646086346666,0.0997057906515013,0.00966755256615586,0.0619138329768219,0.0557482065654082,0.126117520150094,0.0466085519417849
"b_CongEF",0.0333452226903825,0.0487536425682491,0.503951356758849,-0.31715336189659,0.0905215924186864,0.563544284585483,1,0.000419015244135623,-0.00242049294557323,0.256122811868929,0.00379448070090928,-0.110967430934759,0.109314502053103,0.0657718907209811,-0.19057554917141,-0.0161924354780496,-0.0780181860996429,0.141589036824899,-0.124328338566693,0.1779239134408,0.0249491912425103,0.0469158188865884,-0.0671322897982622,0.000709419593036419,0.00656484943046028,-0.0578172724397575,-0.0524250155944232,-0.163822612298065,0.0774424829890707,-0.00130389045963746,0.149980134434958,-0.0772878452259461,-0.0444776085045455,-0.121705558091283,-0.0150995481189687,-0.0209391273283806,0.0560851593342289,-0.00139705732030175,0.1092250989132,0.0974052179059375,0.0967194504409757,0.0951475142623828,0.169353101394677,0.0257268578517841,0.0481266780482143,0.0216573531180825,0.172807521949547,0.101906343834658,0.0971380897966311,-0.0169048089190304,0.127001724046343,0.140683848265487,0.183010016037548,0.148932662903665,0.167163786992857,0.0432872829834175,0.0373561455590819,0.0421642595208084,0.156676822422867,0.00417096156280065,0.00935610187240089,0.0154458749537632,0.186480992787306,0.132193953239365,0.186627133178863,0.0565301794816877,-0.0471637817429354,-0.111314848054057,-0.061208393450461,0.010761638321168,0.0133478308500715,0.0233340349300173,0.0108575922895578,0.0188106167690891,-0.035777160929423,0.118196935819311,0.171003608436316,0.234595684931554,0.0829133050564896,-0.00864741230207638,-0.0374428632137881,-0.0615560021856122,0.0741347981827726,0.0694924952056228,0.0352773209286543,0.0193445608325568,0.074674498225933,0.026825665756076,0.0398606410753837,0.0527553496955799,-0.0201086074413965,-0.0477892969633039,-0.0424160588034073,-0.0672994349268369,0.0978323814578345,0.0281753315949728,0.103323657246619,0.0211587619690464,0.0248529840010263,0.0428315118779265,0.0818948594133536,0.0521425582455294,0.0845299912214125,0.105158057175469,0.0933247228691163,0.0610784399442365
"b_Sem",0.137605189794736,0.0418024394941952,-0.109664277809458,-0.228760751039752,0.345004225337658,0.0528006772021167,0.000419015244135851,1,-0.161889733850692,-0.0743294302977305,0.0738456466947006,-0.153071422356174,0.033012451739635,-0.0116234226254446,-0.0952425115769837,0.18925891553878,-0.159016694377497,-0.0191521994445966,-0.0769902946805276,-0.0236135609096188,0.180217213338699,-0.0125245697054686,-0.0993686584297171,-0.0184336351885854,-0.0313267733608598,-0.00948634363039988,0.00727994181108104,0.0567382535749633,-0.0464411477644146,-0.100847580606278,-0.0137656367700807,0.0511398788631037,-0.0893468557829221,-0.00719310026738586,0.104820572492852,-0.0667756362465717,-0.0210263803931508,0.0345721782906831,0.158722467032154,0.0702944637786046,0.0585085745194737,0.0766831443093988,0.129101304550024,0.0530801493158738,0.0720180904455137,-0.0603552378479784,0.0945012521874923,0.0587040340785168,0.0533970019919423,0.0387349764694329,0.114673735981434,0.0887090559477303,0.0949897681152139,0.0671481577811035,0.0915341547816244,0.0216223224692201,-0.00583988810739376,-0.0126545222104241,0.0514477155820507,0.0180569170904891,0.0200380125885968,-0.00450997032548146,0.106095996904026,0.0912659934403872,0.072372333919059,-0.0183363593793967,0.0436729879692131,0.00171136928993154,0.00684175238061167,0.0654644869231856,0.0235840796137457,0.0898634117255968,0.0173285705396728,-0.00385800204576336,0.0797073438343296,0.0252851105967551,0.0407045571220071,0.0252830658811543,0.0780645431781057,0.0620964279730336,0.0634279933147043,0.0700260942672047,-0.0238266992884416,-0.0963832990755208,-0.0794868785995445,-0.0748939009459856,0.0499729937513083,0.115740749653656,0.132170301034753,0.0971981920960947,-0.0628202011359475,0.0374205112159831,0.084269895052001,0.0731640716711451,-0.123113743403562,-0.00171543222551252,-0.0649088077065872,-0.0905859353412826,0.0646589347488034,-0.0216086851726186,-0.0818052244326663,-0.0561693350017027,0.0255557937849787,0.0732591286030031,0.0415177718212577,0.00589013139296573
"b_ACC_1",-0.00835900455408562,0.0877045271776977,0.0137334809164177,0.0344637310869614,-0.180304306373472,-0.0193961748144727,-0.00242049294557318,-0.161889733850692,1,0.129397443449031,-0.163810648603327,-0.0799021962878479,-0.107073034133087,0.0556033174890219,0.138519971621948,-0.160308449190802,0.256568599414349,-0.19197363863151,0.107016612777818,-0.133163184189302,0.0176420622090782,-0.0280602838780741,-0.0304463151939326,-0.039356156339385,-0.0649618975115302,-0.010084240322087,0.0677102672885774,-0.0349092804804423,0.00848563106830179,-0.000225556653236432,-0.0735932845676366,0.0198612022945242,0.0423775298707024,0.0662379101635393,0.0538380667683795,0.0846745998290874,0.00694703068660157,0.0380259268409492,0.0155798424915542,-0.0206854744444207,0.0127190685142395,0.0108715725939506,0.0136072043557461,-0.0910124994844651,-0.0084082148335425,0.0225385289516708,-0.0190825579461905,-0.0502507147403298,-0.00334177708263214,-0.0164998921637737,0.0564709753880697,0.0022943073151676,0.0288391371552755,-0.0384527133900664,0.0675787387360741,-0.0224817754386863,0.0245005732517006,-0.0157531175092979,0.0421184731877893,0.00820048299346208,0.0631783169448579,0.04341350088035,0.0374956523845264,0.0019486401853872,0.0974466906796877,-0.035811588639856,0.0630394839809996,0.0490713282128216,0.0930040474800286,0.0123132934331184,-0.00341396709206721,-0.0115660196359418,0.0367953255047089,0.0680181147295426,0.101863630545645,-0.0478491893949418,-0.0398694736000548,-0.0820296469282639,-0.0390655800920469,-0.0210401960823111,0.00127967712998663,-0.0271123659220493,-0.0415352389796527,0.00250922592369033,0.00694858008469927,-0.00597833932498537,0.0145748463183415,-0.00059814915641619,-0.055632866115462,-0.0827046378925266,-0.0810355626737999,0.014711126645569,-0.00871055788489323,0.0429295946753532,0.0580243780018287,-0.0291316096316894,-0.0237382051299865,-0.0461792911098329,-0.0364567343741203,-0.0284167073949419,0.0033603335882705,-0.0360060632513728,-0.0498552645694591,0.00316604323140088,-0.0559765482997885,-0.044202159543893
"b_ACC_2",0.0522912471911488,0.0512616506210695,0.224480714176834,-0.0361130061737416,0.0103891063076297,0.120858836333572,0.256122811868929,-0.0743294302977305,0.129397443449031,1,-0.0476039834556006,-0.0982437674217242,0.0306591205808181,-0.0384157237490631,-0.031700339455764,0.00343406798397882,0.0863828516167906,-0.0619256020794587,0.10947233753656,0.000708998649173355,0.0686966319556385,0.0176065501261115,0.0126164203187127,0.00501011063721929,-0.0462825726810117,0.0120698017923853,0.0328533875130279,0.0154829367462207,0.0322251507859009,0.0177842732673748,-0.00888586637646462,0.0392881776012985,0.0578369322707108,-0.0363656558557816,-0.0704151241149414,0.0339222608885072,0.0147339019343161,0.0144691012568702,-0.032850222981261,0.0105071664524251,0.0191651317509395,0.0635344888569057,0.000750402814965755,0.00287378604953252,0.0175758907439169,0.0594575750517014,-0.0194066030691203,0.0109653410968197,0.0130937135080764,-0.00139501639900847,0.0189994877841277,-0.06441391858009,-0.0823828544568029,0.0129379933728568,0.0115409966023817,0.0459480550963665,0.0676690225957003,0.0270654019050199,-0.00094779537080978,0.0363799331771143,0.0489276499135457,0.0404230867449062,-0.00866186693905828,-0.0246007550317147,-0.0156677934338428,0.0294224077780961,-0.0162531021872305,-0.0544098602298425,-0.0479042381671289,-0.114058444981627,-0.000872530760543938,-0.00390608355607506,-0.0143062117236236,-0.0703487290122299,0.0222206917844893,0.017652643368581,0.0249411345091635,0.0129995469269023,-0.0289429738361204,-0.0367230002717242,0.0194197025489715,0.0169462626367797,-0.0473292505333004,-0.0207666383336381,0.0534770147603398,0.044667663633763,0.195199913639715,0.107601668867912,0.0323723900734452,0.0269328429131828,-0.0470276017629011,-0.160482809141461,-0.207271082655689,-0.332691193233001,0.0414018350216634,-0.0151871703265749,-0.00147521388034841,-0.02673660118741,0.0147082914793891,-0.00327023804593758,-0.00118946285937874,-0.0174223579831964,0.0285921388906688,-0.000283193020927448,-0.0362161193658915,-0.0285273013529468
