"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.133285720357253,0.0992042739478318,0.0937140754358989,0.0518893721136941,0.00638485030805357,-0.0128613885228211,-0.0191686477103856,0.00578740277434371,-0.00602412394858275,0.0176845879503844,-0.0104551445204064,-0.00920513796276364,0.00141567481343488,0.000738709928374941,-0.0226460631533327,-0.000126970081355841,0.00125546499854422,0.00261799671548645,-0.00923379844940539,0.00327451717222493,0.0140564966408264,0.0112638415506042,0.00511077945594303,-0.00499642959934359,-0.00133960379936456,-0.0143425752612825,-0.0212235252829547,0.00498135329889688,-0.0070782229086913,-0.00234774434453338,0.00190662292767608,0.00507588933303068,0.00504295307569039,0.00269962016405196,0.00353106856998197,0.00945020741752782,-0.0050851184244886,0.00563447047641781,-0.0146388032043794,-0.00540053516020891,-0.00245353440142551,0.0252137235111032,-0.00740722682805641,0.0115772456179144,0.0155876271482417,0.0014711770886169,-0.00643122616370459,-0.0185000391576206,-0.0206433487015936,-0.0244841427267874,-0.00510041256391891,0.000128343816729018,-0.00110469604167299,-0.00136372022763373,0.00242910445597455,-0.0169117796252757,-0.0136277989225119,-0.0217525005022084,0.00860498333531094,-0.0249900394460294,-0.0237401681389122,-0.0385777053296532,-0.00112259342935715,0.006775699141586,0.00766889427306794,0.0146608224004771,0.00670482462267782,0.00556369605523642,0.00366705405030395,-0.00634928302603716,0.00554946027336925,0.00366946623179728,0.00268467333654628,0.00109792384113456,-0.00145514479279042,0.00593065431514823,0.0106896085189543,0.000197561091972225,0.00160302894635977,0.0010304220037379,-0.00214315984925019,0.00131175555382722,0.00245421958286197,0.00538860891890519,0.00495727282865846,0.017319502804547,0.00557675111413606,0.00218591475081715,0.000773820666754791,-0.00077111439408392,0.00254127002534764,-0.00342108862362237,-0.00982801294264214,-0.0100415282450739,0.00258188952201462,0.00728978547120611,0.0109095598456876,-0.000671815402255119,0.00854705074485867,0.00699473656714356,0.00614180626355566,-0.00834295179193105,0.00398471165302874,0.0021445953777666,-0.0018612313390633,0.000605326034908596
"asc_ruta2",0.0992042739478317,0.116901594435219,0.0830533175424306,0.0290922031195101,-0.00549421504468574,-0.00598542808815551,-0.00934838152054497,0.00186260801823505,0.00577189926107873,0.0172586036159164,-0.00409760789986275,-0.0112340284425285,-0.000337423947889678,0.0153594445448976,-0.0103668499707789,-0.000511144953165248,0.007230144564423,-0.000836289390095659,-0.00195948701470929,-0.00645901041553927,0.010964177893836,-0.00974472071018592,-0.0046338609605143,-0.0182577911686795,-0.00313927886247019,-0.0061743088560891,-0.00643619460835851,0.00384360412392448,-0.00264784529402478,-0.000107057405650298,0.00307421850335749,0.00341154871250629,0.00112506612637373,0.00138511148003421,0.00667468592596964,0.00889307878066131,-0.00259324363698626,0.00508690503783614,-0.013475634203739,-0.00609680444629036,-0.00584083827565722,0.00469273593108563,-0.00417562726722256,0.00562002190885692,0.00729579845947405,0.00456475470044894,-0.00324447160722157,-0.0179146635326242,-0.0185865743140478,-0.0368494725891874,-0.00726436076952261,-0.000921996007451518,-0.000672639405237634,-0.000552013086079954,0.000674516217462271,-0.00829163272970765,-0.00813620569010469,-0.0156530179026725,0.000739378951368762,-0.0105095254230705,-0.0114859959867441,-0.028205558229016,-0.00305678578108991,0.00523618850467091,0.00699061437683824,0.0141282848276544,0.000696636559242847,0.00118090394137176,0.000171698539649107,-0.00751447930004514,0.00378442392448178,0.00098266277163755,0.000198409952711453,-0.0026182641526474,-0.00441038681514975,0.00784400210587214,0.0120886473144756,0.00348270537729258,0.000331394813025958,0.00136955416344583,-0.00283472605653246,0.00326825973539831,-0.000567558326486001,0.00030452326910214,-0.00196504375347172,0.00878129746099308,0.00460253007418641,0.000532751113151764,-0.00218865890834061,-0.00159846387278878,0.00480455450038371,0.00218727315352086,-0.00635677335445765,0.00224476335712205,0.00304871781880201,0.00548638952346622,0.00848678423959351,-0.00470556297216461,0.00794538136798515,0.00819749373981758,0.00793091803910281,-0.0022095109707467,0.00265522066433686,0.000819037981451108,-0.00227105476929921,0.00180616156967216
"asc_ruta4",0.0937140754358987,0.0830533175424306,0.23698660905865,0.00706342694030502,0.0322577693131475,0.0323847400461553,0.0828111014943438,-0.00330293949422311,-0.00824819128583528,0.0743008689388175,-0.00388746678300193,-0.00623851437226875,0.00955006688566125,-0.00579440669452279,-0.0685559718006437,-0.0360479617459674,0.0210871701150579,0.0516807612026626,-0.00183269470945373,0.0245647775341242,0.014951545569416,0.0324935595564667,0.000693569274483427,-0.00198627368905871,-0.00520711438431805,-0.0189299522276254,-0.0648338247912606,0.00226112960512308,-0.00278620088842128,-0.00184576010702582,0.00254350794296785,-0.000432454370574449,-0.000470897236734807,-0.00185584116783013,0.0105448625389175,0.0148652495061225,0.00961039372560583,-0.000535424409526244,-0.00864847478403088,0.0246003699465775,0.0242892330927612,0.055950569628424,0.0252194303142881,0.0247621341264713,0.0293495014792435,3.66987703872463e-05,0.020971821549909,0.00159514978917482,-0.00176510622009601,-0.072571290221346,0.00281415090828582,0.00404714290983082,0.00537119402121675,0.00210379195710466,0.0231136579271733,0.00425972339869323,7.21193795138478e-05,0.00709929101394634,0.0478255884324834,-0.0592289027167756,-0.0567928139185995,-0.0676503202770763,0.00412096172244788,0.0144956509531555,0.0174865561941942,0.0350883074028852,-0.000402510033522246,-0.00196486273584928,-0.0037061060923443,-0.0109827793994881,0.0154231073336099,0.00246751835616845,-0.00336424894664312,-0.00680498285924866,0.0138559500199706,0.0247242143672952,0.0279288111880177,0.0224519622446053,0.00802641408561491,0.00358020349338701,0.00310404166101596,0.00112965968769652,0.0110968833365386,0.0125324211707295,0.0144507561654034,0.0211635436631114,0.0112082389906914,0.00677714177867055,0.00416460712400239,0.0052779660371478,0.00839391790429309,0.00838206129880624,0.00756787620618326,0.00544315826725298,0.0134706776783896,0.0173046890800455,0.0351098170473622,0.0259972776315074,0.00129447499523086,0.00314171682447818,0.00735387997239354,-0.00218975208955513,0.0124248087621295,0.00341733127869494,-0.000458329086237755,0.010126561383358
"b_tt",0.0518893721136941,0.0290922031195101,0.00706342694030493,0.0612619407659358,-0.0141753736925655,-0.0162716012784186,-0.028319744513687,-0.000228150616564503,-0.000713441987280329,0.00755166821213825,-0.0124839666252305,-0.00495599382617938,-0.00346677393662335,-0.00751132977941253,-0.0219738344427449,0.00251058169132402,-0.00681701941692305,0.00291423832613516,-0.00808320810950594,0.0113112355984323,0.0108016547913068,0.0182888640025692,-0.00443229997312247,0.00186287503388145,0.00247680647724413,-0.00302015724015745,-0.0167615222616533,0.00349735844101497,-0.00350270179483863,-0.00656261345667061,0.00296645649379071,-0.00129211212426908,-0.00265634636251389,-4.80879191375677e-05,0.00053571372996504,-0.00505835678397756,-0.00295364024907603,-0.00200251636181811,-0.0053210219294813,0.00844296141556823,0.0112048973343075,0.0159921686836194,0.00942264150722498,0.00633879450527429,0.00334211210676656,-0.00921034203862856,0.00135495645278291,-0.00475954111897774,-0.00744757313420129,-0.0236664952585929,0.00271711010186088,0.00163056768745068,0.00174488493558237,-0.00638065488840918,0.00269185882192956,-0.00326260397666784,0.00131511846709891,-0.00644663090832615,0.0113727030021878,-0.016625190472801,-0.0186649041065487,-0.0365192242222935,-0.00128521015182849,-0.000465738363580957,0.00302324955733165,0.0100462718337255,0.00336150799258021,0.00164522926048356,0.000506480608168364,-0.00241015885251754,0.00428335535486784,0.0051223770903668,0.00624747058850541,0.0034489972396393,0.00257201003156789,0.00530892497434948,0.00603073391620582,-0.000179942040343261,0.000857662587186071,0.00212863501248256,-0.00249682582200806,-0.00641365903107305,-0.00051937404001543,0.00195418609815397,-0.00269115182156486,0.00366985819459196,-0.00250473349391822,-0.00342815706007234,-0.00161155132610898,-0.00277506483385545,0.00276758899705938,0.00375567862807694,0.00331295667143946,-0.000218882663271884,0.0022231176804256,-0.00203501306944822,-0.00795614077513083,-0.0138114223263471,0.000808338519872825,0.00241597050461746,0.00593779856328944,-0.00405968866739728,0.00842015551355982,0.00591651516924971,0.000425839060717089,-0.000803855762851202
"b_dt",0.00638485030805355,-0.00549421504468573,0.0322577693131476,-0.0141753736925655,0.068488470254334,0.00216620660830361,-0.00315609725300528,0.00807638811035167,-0.0233615326446062,-0.0102128463006397,0.00450762079074395,0.00289042537375847,-0.00270414133533778,-0.0156365329571093,-0.0150879179636381,-0.00938626638158267,0.00206238508715535,0.0112176740424324,-0.0130096023602382,0.0146028059950475,-0.00614125692932003,0.0115827453465262,0.0152104356176564,0.00818032938919346,-0.000283202670971096,-0.0133999088426826,-0.0213675580124242,0.000916171286293548,-0.000897800877684934,0.00536229615398587,-0.00477180228258778,0.00313102616342762,0.00123723906154804,0.00172383185316124,-0.0120753194604433,0.00129666716661152,-0.0132986554025101,-0.00617489147424033,-0.000250713820634486,0.00948229861133705,0.00766398198722053,0.0130203734735895,-0.0111762010401725,0.0188977876370353,0.023342266415983,0.00942035988842271,0.00105080642692317,0.00624225787945279,0.00511869801148807,0.0314500943487618,-0.0018156020074832,0.0012643540272397,0.00180057299512736,-0.00148604223758054,0.00730255604739879,-0.00105194969153043,-0.00205064343957105,-0.00882587746948846,0.00854203743162312,-0.0212824467002089,-0.0188021822145288,-0.028797892644803,-0.00340810500890369,-0.00173377901286825,-0.000723605304976695,0.000723966356235313,-0.00123179134978558,0.00159190332374279,0.00125679541033833,-0.00343845513108206,-0.00336805298201216,-0.00650176225489166,-0.00929462516408038,-0.00306214868075851,0.00523682999017618,0.00063856637236537,-0.000199631213546187,-0.0166129989740166,0.00211946865313646,0.00559476410749371,0.0188891411184293,0.0199906637598051,0.00454491125795367,0.00580345135841429,0.0128575687781798,0.0121528798915323,-0.000576922066804902,0.00199755768189602,0.00179269785993233,6.61047084132686e-05,0.00194736370603411,-0.0054090335131026,-0.00948111930730147,-0.0132257077709984,-0.00138923136214753,0.00817224451404208,0.00871331739326364,0.0159173447431975,0.0157971832155939,0.00609360226561033,0.00230122541833448,-0.00854383220284691,0.00772107382770186,0.00592123613201253,0.00262782665811931,0.00784229944722557
"b_CongCD",-0.0128613885228211,-0.00598542808815552,0.0323847400461554,-0.0162716012784186,0.0021662066083036,0.0956964912832404,0.0626264250570183,0.000189265808264714,-0.000123218143181588,0.024217200898159,-0.00391422122416633,-0.00322937017218629,0.00927918319523796,-0.00869192482561651,-0.0166212159264038,0.00550347746317067,-0.0121034669619213,0.0103168495540637,0.00137045759784554,0.00464855639234082,0.00630406073087306,-0.0131155423700557,-0.0161776578712159,0.00229450639336208,-0.00678575121936313,-0.00379102940404805,-0.00719674391589414,-0.00257406580101716,0.00225123622736434,-0.00119777975974135,0.00458928643496522,-0.00119389962748254,-0.00444431916232408,0.000745001252827776,-0.00395379790520436,-0.00353947604742382,-0.00018440770814647,-0.000746657664918063,0.0275820215047951,0.00683610800332076,0.00296428591668583,0.010643730883054,0.0348202570375511,0.00052146577735184,-0.00340663502263065,0.0132113795556357,0.0258216520226003,0.0310936766089087,0.0322553967827783,0.0612466183367806,0.0111959341550746,0.0089090914383473,0.00944795453582182,0.0113840290560248,0.017443484877764,0.00847263271383932,0.00976577657171258,0.0206484224433102,0.0222549861959258,-0.00453565075756434,-6.15134841976452e-05,0.0140177357344744,0.00694180292977449,0.00540457390895095,0.00874885578617643,0.00429520461732611,-0.00186420796969846,-0.00660991850978078,-0.00460389686434202,0.00165855031635728,-0.0013781711734502,0.000184141057898977,-0.000953691504431744,0.00328864917353203,0.00886872125764703,0.00654140642781362,0.0122029781708497,0.0293916135997889,0.00303049467925194,-0.000815200844774508,0.00143006808618658,-0.00167772947217037,0.002888739103207,0.000798390689766677,0.0045528590098943,-0.00390712294701471,0.00118423376177186,-0.000837402489646557,-0.00237154845865533,-0.0012722215927754,0.00114430121143094,0.00183773247992767,0.000755756665922253,0.00149923715656824,0.00115238517249702,-0.0028599705827865,0.00245830587906541,-0.00561086801827651,0.00445860067742812,0.00524558585249519,0.00906037339777915,0.00748717436397332,0.00555508968858874,0.00509759366517981,0.0137416080220763,0.0080288100743847
"b_CongEF",-0.0191686477103856,-0.00934838152054501,0.0828111014943439,-0.028319744513687,-0.0031560972530053,0.0626264250570184,0.13244304461535,-0.00415623486029756,0.00561662735465301,0.0623813734112644,-0.00165335701229082,-0.00364002569808448,0.0097744820123093,0.00713502247418408,-0.0215744189447498,-0.00256154116496393,-0.00106365485909386,0.00449781353751036,-0.00336273136035222,0.0131349325263927,0.00130416614579,-0.00227845810602481,-0.0174186859458232,-0.00765903405903247,-0.0026466737430103,-0.00604639383765094,-0.0051995677345705,-0.00783714513802236,0.00524121506476752,-0.000783999298148684,0.0183304272638671,-0.00693015693200754,-0.00603926473621188,-0.00423915843467084,0.00144039329108626,-0.00148454313903353,0.0111219073830892,0.00396975963871385,0.0252870018669376,0.0189010403068308,0.0173719497111174,0.0305941969653278,0.0506880632453553,0.00525936593105018,0.00930831703189772,0.00858342034356506,0.0382990922951156,0.0285048086008022,0.0285261722566455,-0.0032191966152627,0.0146365248580479,0.0124116688737221,0.0155536584358176,0.0237274526160775,0.0244253874142349,0.0155337684124245,0.0139527331535562,0.0182729041680319,0.0338604359156228,0.0202506780928194,0.0227004731590494,0.030245057529034,0.0121544007005191,0.00963972248535914,0.0120362438093496,0.0094909958329754,-0.00473284171456958,-0.00883043007829229,-0.00489197170446864,-0.000237751520614564,0.00262533075270073,0.00241650052250814,0.00104342638213099,0.000213296306101569,-0.00210730879368171,0.0204446600733551,0.0318096656977257,0.0682737277635591,0.00833561704828423,0.000113780735758562,-0.00518891944066988,-0.0168343621764604,0.00783711980964076,0.00601624655023529,0.0026827107748229,-0.00356861735197919,0.00666163101922503,0.0019112006274929,0.00132875544281646,0.00332867308927395,-0.00101524821864634,-0.00216457594899447,-0.00106637507092784,-0.00739340479567348,0.0102688222199011,0.00267366492427769,0.0152161311565474,0.00663114355150268,-0.00156459728922207,0.000865387439754731,0.00365533023051184,0.00891975822082441,0.00467535294940957,0.00660690805782478,0.0110887259044624,0.00796240948498898
"b_Sem",0.0057874027743437,0.00186260801823505,-0.00330293949422312,-0.000228150616564501,0.00807638811035167,0.000189265808264715,-0.00415623486029755,0.0150182942753172,-0.00787223902215086,-0.00760806549521524,0.00123024601105073,-0.00249278348382525,-0.000438190973510379,-0.00202278985694454,-0.00543304692315595,0.00581275746434957,-0.00688700417141173,0.000864304996425153,-0.00222332049501556,-0.00013034957834407,0.00549298858976256,-0.00181685285962401,-0.00633158316131792,-0.00139513338676981,0.000288202490613219,-9.32058419545581e-05,-0.00218455943555412,0.000673410305044317,-0.000683797984214869,-0.00277658938670191,0.000329485807003745,0.000786386080191582,-0.0044317255031044,-9.24286534823034e-05,0.00226741891533884,-0.00260623025618231,0.000490169777630403,-0.000765204679568556,0.0104929911349743,0.00325711344001846,0.0018077291808323,0.00460517448971629,0.0120261998795083,0.00369951414689932,0.00540470012130513,-0.00774116234391708,0.00745744673010478,0.00297006439388446,0.00260569632045243,0.00603245691523505,0.00369430853169115,0.00240017564126404,0.00282007321097958,0.00410370881455193,0.00517161014924588,0.00321556801757104,0.00228605374200232,0.00136671048485609,0.00669390794763086,0.000871545021481386,0.000983668641413109,-0.00322664285842496,0.00224342778472467,0.00176645247222553,0.00151656543597559,6.42275256507068e-05,0.000700882019223587,-0.000511378922614685,-0.000302541760774776,0.0017358020736875,0.00202786619957655,0.00328827393587808,0.00103316743844912,0.000539095205224733,0.00352347559524117,0.0028554383032679,0.00442514621258229,0.00353819366102394,0.0016883478985676,0.0025051071498062,0.00347201977679113,0.00357414077829066,-0.000578971215955868,-0.00383637751089646,-0.00492433776332554,-0.00708669612361569,0.00118418212523785,0.00189905748612282,0.00185149667327005,0.00128654410895685,-0.00170230888410622,0.000650326375254486,0.0035388604742258,0.00477977880650601,-0.00270319716586371,5.41151405499975e-05,-0.00379342718948964,-0.0063405366408142,0.000898937382574059,-0.00172415942430052,-0.00276646651232392,-0.00112592519937612,0.00247089967766593,0.00259188499093493,0.00128995679751205,-0.000259039732096366
"b_ACC_1",-0.00602412394858274,0.00577189926107873,-0.0082481912858353,-0.000713441987280324,-0.0233615326446062,-0.000123218143181591,0.00561662735465301,-0.00787223902215084,0.108531682120647,0.031969276677332,-0.0109045843958118,-0.00501209138376515,-0.00361017983650204,0.00893649339520808,0.0192004519656252,-0.0120443339103642,0.0250233225005881,-0.0183945417225276,0.00503522218957812,-0.0106941413957238,0.000544898689443372,-0.000298631095315684,-0.00900258121390377,-0.00695317088538019,-0.00348118393882973,-0.00117756879613575,0.00778141080748623,-0.00194522171424683,0.000530070284943389,-0.000762664914804975,-0.00989979489138952,0.000520779792303889,0.00269541305184169,0.00203193205475577,0.00690561223164932,0.00458341000998372,0.00467745237247357,0.00494967092760828,-0.00195325127126629,-0.00597150170021183,0.00153173143919335,0.0110175189051737,0.00551764298751587,-0.0173555876029651,-0.00953081911887676,0.00304676529929504,-0.00411687595617954,-0.0193207070531067,-0.00882844768748706,-0.0161262861391283,0.00425050150684167,-0.000398850198492214,0.00145214594505904,-0.00542659286968786,0.00526964935655058,-0.00797199502082259,0.00221745061380619,-0.00770274382932882,0.00747753727119121,-0.00743572616048944,0.0108390281717047,0.000118640949015726,0.00186106634396858,6.54791688076543e-05,0.00458871361641772,-0.00812380221275591,0.0076228776774002,0.00387321577186021,0.00547111568945041,0.00121897775173577,0.000195604948923762,-3.11975029645128e-05,0.00382625661583795,0.00376117385505327,0.0127508570230529,-0.00955230089080087,-0.0110415657928404,-0.0207342614010154,-0.00492952764390742,-0.00466657633562604,-0.00418803923589176,-0.0147540193434131,-0.00417415444243543,-0.00191505095606767,-0.00277116833921623,-0.00777827653473787,0.000775990335857591,0.00037886260060611,-0.00175250959076382,-0.00302185565927479,-0.0082233784916221,0.000436319356514113,-0.00050564717883775,0.00951892588958105,0.00161712433247013,-0.00731012126528593,-0.00825346539705842,-0.0112144701547721,-0.00841029240153817,-0.00473931023966583,-0.00099065121614939,-0.00336850101391032,-0.00728495981219432,-0.00112410960668796,-0.00753952635022799,-0.0078468714695334
"b_ACC_2",0.0176845879503844,0.0172586036159164,0.0743008689388175,0.00755166821213824,-0.0102128463006397,0.0242172008981589,0.0623813734112644,-0.00760806549521524,0.0319692766773321,0.552895509400352,-0.0114207008446766,-0.00968275151945727,0.00580215606399719,-0.0101603767131034,-0.00857078253085267,-0.00211082167122823,0.0102358905202263,-0.00613954629104062,0.0094384025048924,0.00607028664633766,0.00897274302757447,0.013725825331667,0.0118292795326398,0.0045902335222906,-0.00470304534598191,0.00313697369842055,0.0150846228216353,0.000616243981271262,0.00429046053639685,0.00370459781671051,-0.00534734116323819,0.00791078257100404,0.0130334550787854,-0.00193341876674309,-0.0148791245019076,0.00287153455220399,-0.00015212341737786,0.000277678502922638,-0.0217541749828351,0.00159343122521071,0.00867632454757615,0.043399591375609,-0.0116410782582233,-0.000869176720861493,0.00713203575105923,0.0488569899458086,-0.0165972352659771,0.00150896984146351,0.00265951188761206,-0.00440225257891432,-0.000856454290424,-0.0128565964403764,-0.0156034569701337,0.000434531495603172,-0.00356848687511376,0.0157692914884865,0.024288111869688,0.0119600598790487,-0.0113667057717497,0.0228884950982368,0.0369418989221946,0.0363395434616435,-0.00165584726572997,-0.00315731248048817,-0.00237572003040264,0.00669665006341336,-0.00173555145018499,-0.00755914200379967,-0.00583955250879864,-0.0164750819807448,-5.61169710992082e-05,-1.39056208862838e-05,-0.00211495645004099,-0.00775284518674495,0.00577878135544738,3.92740049309612e-05,0.00397436212103511,-0.00123000620900781,-0.00848425711769584,-0.0119750116139372,0.00421427802462759,0.00350849545311047,-0.00985602386175489,-0.00477094530761842,0.0154948125206457,0.0177243828868971,0.0297144610160322,0.0118739124176522,0.00397027022926222,0.00306590301195902,-0.00643441742832683,-0.0389064594989177,-0.0704770002048656,-0.148942122522346,0.00442061185889566,-0.00656306070227944,-0.0038637318120728,-0.0128699173899488,0.00702026649888393,0.00266164259065908,0.00161783602403805,-0.00407322947165857,0.00851142501203797,0.0016424062306393,-0.00786891478162801,-0.00835041690991776
