"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Cong","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","gamma_EXP_3_LV1","gamma_HTRB_2_LV1","gamma_USODISPMOB_LV1","gamma_EDUBASICA_LV2","gamma_JOVEN30_LV2","gamma_ADULTO40_LV2","gamma_EXP_2_LV2","gamma_USODISPMOB_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.687002942161305,0.319053854772771,0.138645398674425,0.295754302896268,-0.0315015376386119,0.257191995582338,-0.23378876583374,0.819115520584089,-0.0837662533750928,0.168676138250107,0.0106508236397524,-0.233871460065642,0.168330966287426,0.0497068049644864,-0.0144750470304593,-0.0851775107026379,-0.158022573620884,-0.107725951598052,-0.188840510161924,-0.072241452305677,0.0500731983318131,0.132268332396103,-0.0918101996860341,0.102251135987879,-0.000919918742538082,-0.283779703005171,NA,0.0547922146403373,0.0971912533117673,0.251967365981073,-0.253063537834745,2.08044884668315,-0.120864441015497,-0.397066903647042,-0.332415567371399,-0.264738594411535,0.00842221954505748,-0.56094792089139,-0.59759936086862,-0.600251001785265,-0.391240698805187,-0.679122908518902,NA,NA,NA,-0.397910123535568,-0.357034306241345,-0.283996527121624,-0.0822395876053898,-0.418948698903577,-0.108473268019763,-0.0701984755489144,-0.0332815253684131,-0.447332439858625,0.0372495480721773,0.076864665076779,0.285530467905985,0.19016516852319,0.156894319966092,0.129923272960432,-0.0128745270089899,NA,NA,NA,-0.346339861123353,-0.321023159952363,-0.424876547767874,-0.405778195045235,-0.253177401232094
"asc_ruta2",0.687002942161305,1,0.29387462335907,-0.104264049597079,0.201168882446238,0.0488035826422366,0.163945520817285,-0.171784898049532,0.84418776797517,0.0315557091537448,0.156665398990422,0.0514662355406318,-0.135365417141248,0.154185094410225,0.044388326213388,-0.00420762558665658,-0.0695439225920702,-0.153201645510725,-0.105678544256434,-0.189274271334386,-0.0886745947721273,0.0499125166403053,0.110088550910796,-0.0944046145028819,0.0933282687142055,0.016622046272638,-0.287989597672315,NA,0.0464475579884753,0.090244070118314,0.216069313453517,-0.254783185967194,1.97881064195709,-0.132238382595027,-0.401497741415892,-0.304910330224149,-0.236370620308419,0.0281467207851512,-0.557766274742741,-0.594376310641485,-0.598710860192895,-0.394956892382882,-0.681945610785633,NA,NA,NA,-0.392044917354692,-0.358174188051747,-0.285678071917573,-0.0842443815364612,-0.412361545577269,-0.109825366336206,-0.0705198427777936,-0.035197490635522,-0.445627941016605,0.00544294039009819,0.0407005308798337,0.235947242566345,0.177244776829128,0.142530004624107,0.11260691368568,-0.0296054170729365,NA,NA,NA,-0.36017176674776,-0.3190880684367,-0.429649529088374,-0.412060564110711,-0.256769492987715
"asc_ruta4",0.319053854772771,0.29387462335907,1,-0.182483070416685,0.215322896273036,0.00877759621801684,0.120531562528156,-0.0523618565975162,0.502396455872066,-0.118421607687474,0.115389445866652,0.0286426035866809,-0.11570906123903,-0.475948456081501,-0.658671707111339,0.144270398883965,0.375616084177036,-0.0891877799513704,-0.0278030531284639,-0.100240928579797,-0.115902440779413,-0.0282759162303486,0.00209607550510137,-0.0383435232436938,-0.0266133465658791,-0.0436787020241653,-0.240125965499511,NA,-0.00571580149299669,0.0792370881960007,0.064981364241347,-0.120727080590357,0.487385431233616,-0.120024463644836,-0.208775945983119,-0.194130024012783,-0.1622586157173,-0.0121553330211508,-0.302699505005493,-0.356890757162273,-0.368634303564896,-0.246912903083604,-0.388321004635661,NA,NA,NA,-0.213815790621745,-0.192705923612935,-0.145802194176644,-0.0367117300597356,-0.202469133943733,0.0143300136696953,0.0402108879571307,0.058807953960607,-0.240636613790382,0.00966152172845999,0.0217499735172802,0.116087299063906,0.0300269314175673,-0.00463115219923359,-0.0265807318757436,-0.0906368938476165,NA,NA,NA,-0.277900685326156,-0.164765694486354,-0.233422785549366,-0.226101538664828,-0.12326091027836
"b_tt",0.138645398674425,-0.104264049597079,-0.182483070416685,1,-0.183096646056907,-0.640454415382822,-0.0111324496225881,-0.195064836104495,0.304816327929254,-0.13643997432576,0.0178004457138535,0.00868495498803847,-0.218142959310694,0.0887883727062361,0.0509052433424826,-0.0301130748306922,-0.112931365615174,-0.080453154573308,-0.0569230146196229,-0.0846768809361848,-0.0347471565827075,0.0433562882051293,0.110402713502565,-0.0463809113478478,0.0347039710655421,-0.0810313476603724,-0.18611253233162,NA,0.0543225127121046,0.0768207063122954,0.197760244159308,-0.199047405375119,1.55108174453627,-0.0474219525722811,-0.186151694442718,-0.278397718157983,-0.246335744746533,-0.0602712569061171,-0.309410763380582,-0.343043181290976,-0.359444605469892,-0.239063854646216,-0.416138802623301,NA,NA,NA,-0.247008551491853,-0.188458683843781,-0.135534297183692,-0.00168705073344462,-0.20902799280394,-0.0177336172627754,0.0049917755658206,0.0174032105832014,-0.224673894564935,0.0966645778352037,0.120759025102222,0.247585194517858,0.149967999195595,0.125776382836056,0.100497186548485,-0.00607209923405523,NA,NA,NA,-0.240827879192942,-0.173235473990608,-0.185510432675099,-0.176437556378484,-0.112139916083976
"b_dt",0.295754302896268,0.201168882446238,0.215322896273036,-0.183096646056907,1,0.0142147517247211,0.288778543962047,-0.0186297870389698,-0.192623666382647,-0.0322111079120631,0.00425066611252,-0.101873109365311,-0.0339596136933456,-0.0616222831345034,0.0513886009452557,-0.0615797295414594,-0.105028079957098,0.042863222110413,-0.0261774982348484,-0.0255713080860304,0.054755451370529,0.0379392002785005,0.0290263633528163,-0.00154446150112748,0.0192089706963206,0.169320666866674,0.108054377096778,NA,0.00247881031818958,-0.00446323333029739,-0.11182079541926,0.024601529224343,-0.130167584874849,0.0626312041548134,-0.0489832100504175,0.190400631766773,0.186408289319579,0.105941926847622,0.0302881156048569,0.0688954984271419,0.0853112225672908,0.0507550060173056,0.0537325965787811,NA,NA,NA,0.0470907429760682,-0.0132326818052825,-0.0273516245313102,-0.0596172694442865,-0.00118538606456703,-0.055019364764665,-0.057009865247177,-0.04342917308379,-0.0124183646109033,-0.191977904435178,-0.216195043041598,-0.303611498597178,0.0438067565820417,0.049028753611055,0.0537783802150094,0.058627789977647,NA,NA,NA,0.13348439875778,-0.0183428077558163,-0.000421641157980637,0.00533811517049436,0.00286657797950102
"b_Cong",-0.0315015376386119,0.0488035826422366,0.00877759621801684,-0.640454415382822,0.0142147517247211,1,-0.024777506134721,0.070036364191627,-0.146799781632521,0.124016983814028,0.0760979673918513,-0.0610384337157865,0.0284123614811885,-0.0300425543648895,0.0683871264686784,0.00677066471313662,-0.0373740161009012,0.0421139942440571,0.0316095368416161,0.0662952125041764,0.00213772794390995,-0.00245827888468782,-0.062610519002038,0.00464609635638499,-0.0181597092031437,0.0128661775367189,0.0959425481821899,NA,-0.0388750860796986,-0.0415524431394733,-0.100594904441108,0.123160859868903,-0.716137032428173,0.00106815406200788,0.125137830575632,0.128768711816937,0.109670913976678,0.0139803050640947,0.184426729381152,0.199668210639499,0.208314915461783,0.141575976041099,0.250096950331488,NA,NA,NA,0.145632610940213,0.119268844017132,0.0883962954920854,0.0102061912000403,0.127278452470624,0.0282724609226026,0.0150373003400055,0.00460154938810577,0.139471655585595,-0.0173670897311072,-0.0261466677562042,-0.0832779840384387,-0.106091005597213,-0.0937485657463282,-0.0803288310475534,-0.01475778638363,NA,NA,NA,0.0859558079755925,0.11382478754801,0.0990228781822876,0.0908438491611461,0.0559472586374802
"b_Sem",0.257191995582338,0.163945520817285,0.120531562528156,-0.0111324496225881,0.288778543962047,-0.024777506134721,1,-0.0299057822991863,0.145135787377244,-0.10424233971786,-0.0492494071381785,-0.105209184591259,-0.063996904061829,-0.0145867107968195,-0.0514674478382529,0.06093172841478,0.0465900021574219,0.0215512664006631,0.00525447951480798,-0.0188455427993175,0.0111259530312683,-0.0255276698870819,-0.016984995789563,0.0157391195107194,0.0129795434780263,0.0121711424097454,0.0503682375451004,NA,0.00483180670975956,-0.0231623676511807,-0.00422396199678713,0.05903470265248,-0.314579084706019,0.0261783513606857,0.00693041118759727,0.0162793805361208,0.0158460805062179,-0.00791791624958812,0.0246395460513829,0.0415479100349311,0.052934338900159,0.0376858304348529,0.0512476441930788,NA,NA,NA,0.023795665812699,0.0102247147643512,0.00362300532985457,-0.0179138696926249,-0.00141621292205829,-0.0427301339355624,-0.0484182053232238,-0.0401406835316078,0.00275926446688059,-0.0288789483707772,-0.0289944881426808,-0.0356956545217798,-0.034784865269782,-0.0253277109834624,-0.0127336469066799,0.0109593397566976,NA,NA,NA,0.0662536082891793,-0.000230446503322857,0.00412448148770555,0.00671137467176295,-0.00423336387539176
"b_ACC_1",-0.23378876583374,-0.171784898049532,-0.0523618565975162,-0.195064836104495,-0.0186297870389698,0.070036364191627,-0.0299057822991863,1,0.137200899727265,0.0653015510609228,-0.0366613634736906,0.112889304151803,-0.0626159599224119,-0.0480062499668741,-0.0381261549956991,0.0914172730886127,-0.0885054748431297,-0.00720752398402622,-0.0649815924782802,-0.0672033352235273,-0.0823900177684765,0.113820518859125,0.0582120465408007,-0.0680930293375071,-0.0158895240662719,0.0939409856572745,-0.127990884189508,NA,0.00928335202918451,0.0444076344105826,-0.0962103592738533,-0.176193058826553,1.26491074189118,-0.0426173052413891,-0.200853295127553,-0.00921329655387335,0.0183590154864675,0.0802254444102374,-0.218458130658403,-0.232255719308263,-0.250508719478115,-0.201421126038567,-0.353899049003833,NA,NA,NA,-0.155143298168918,-0.175928503912012,-0.135798507424185,-0.0392366262791175,-0.126795118096599,-0.024591515585148,-0.00173685042941433,0.00276054913934554,-0.183035359941435,-0.200072486736649,-0.226847928581434,-0.270095131400306,0.117113032600273,0.0742810297113106,0.0333683767784851,-0.0614530814756472,NA,NA,NA,-0.254816382965887,-0.153279454646304,-0.148961832779511,-0.143259412465463,-0.0875436628277949
"b_ACC_2",0.819115520584089,0.84418776797517,0.502396455872066,0.304816327929254,-0.192623666382647,-0.146799781632521,0.145135787377244,0.137200899727265,1,0.679485765645809,-0.544456099849502,0.635722804661705,0.339807599071066,-1.07648887493237,0.469170097685957,-0.273560175968114,-0.662456147417742,0.330586191086884,-0.293882090562319,-0.385222918924648,-0.194930619559074,0.677400916491719,0.161971704323295,-0.00351624040938788,-0.267872497950943,1.05383622952182,0.0401368963693531,NA,0.0270689204074199,0.15391598448438,-1.43718309966283,-0.588648603826898,2.59337502889329,0.299071448886716,-0.81617979370985,0.914779225885563,0.976635217594478,0.589943478284069,-0.281301493662165,-0.24729371418982,-0.318435150529433,-0.691965989535199,-1.07314552214846,NA,NA,NA,-0.161015866534498,-0.686943222200912,-0.560425569532582,-0.383559694823052,-0.0785380034286726,-0.199322744783033,-0.138919517071635,-0.225988296116062,-0.539093096806043,-2.22912939108015,-2.63216587735667,-3.77736304329602,0.631745899271706,0.450236340057764,0.259539846548738,0.0141551170340687,NA,NA,NA,-0.234095868437875,-0.672870613614922,-0.261981145467964,-0.253061315827826,-0.122400328251242
"b_SI_CAMFD",-0.0837662533750928,0.0315557091537448,-0.118421607687474,-0.13643997432576,-0.0322111079120631,0.124016983814028,-0.10424233971786,0.0653015510609228,0.679485765645809,1,-0.00246178445908118,0.0143919557899879,0.118691278852107,0.146136439379631,0.0717337786394888,-0.0204211094598059,-0.0616721991519131,-0.0155263885933518,0.0245404441630921,-0.0576783492040377,0.0507607001522819,-0.0507676235786969,-0.0356979042079133,-0.000556910837890316,0.0499372259364432,-0.0209234463640822,0.089251658943356,NA,0.0108316217081587,-0.0585764899416789,0.132611225090431,0.157512253611122,-0.955725652682625,0.0232879695900358,0.0125831145042373,-0.0607568387123657,-0.0562083133221131,-0.0234352492299228,-0.0153942072541282,0.0292426790683584,0.056579699862985,0.0660095524612452,0.0931777452389717,NA,NA,NA,0.00778894586490214,0.0185464919458897,-0.00040165215962504,-0.024301399168464,-0.0635345300287447,-0.112123145054997,-0.117148621242833,-0.103187987928417,-0.0190891899632822,0.0929450397891029,0.134774323350233,0.255856370361456,-0.102825005526086,-0.065851848443031,-0.023984196236756,0.0438682951478535,NA,NA,NA,0.189962285796323,0.00526610695253939,-0.0299008562383553,-0.0197452553807395,-0.0377700663234884
