"asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1","lambda1","lambda2","lambda3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5123.17937636305
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5123.17937636305
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5123.17937636305
-0.500155991176143,1.96587786194868,-0.413104804465547,0.323970562021714,-0.292547403660137,0.335460354108363,-0.0326299341395497,-0.0954464849201031,-0.152676628204063,0.0198185880435631,0.0416806869907305,0.283906414348166,0.369540106272325,0.884853343246505,1.65762009762693,1.71386062336387,1.70852626231499,0.977382860379294,1.55416995019186,1.58196307509206,0.921443202765658,0.900829090620391,0.510488407395314,1.54264710342977,-2.34904568747152,-0.0103961972636168,0.722416163422167,2.20871144079138,-2.33428535971325,0.0620052416925321,0.865676029003225,2.11134443047922,-2.40781115967548,0.196405195514672,0.782261489599477,2.1741841333569,-2.43632838060148,-0.461686486029066,0.357142638473306,2.36298118357081,-2.36269576230552,0.206499291583896,0.945655996270943,2.03604897938203,-2.34349192719674,0.277604809729383,0.915387488726992,2.06002189184073,-2.38456283073174,-0.153653101529926,0.551988017628901,2.32619830017211,-2.19311263895361,-0.684982904000208,0.21738824195927,2.19896442972822,-2.1836889932747,-0.848316248971969,-0.106126590457279,1.94983549549943,-2.46601520443801,0.0792288085212933,0.744409680715762,2.11754120350815,-4705.29915499938
-0.699672397249091,1.56345410602341,-0.564284160480786,0.404593590885524,-0.388611364905711,0.404035493668164,-0.057668408897737,-0.119280866099761,-0.202414594623962,0.0245064565649141,0.0494396513823731,0.143495753115992,0.25565622504428,0.90660719488133,1.81472836945234,1.88481069119166,1.87684277467435,0.998366196509319,1.69602423955912,1.72948231545748,0.885656518775174,0.811761856629107,0.310326873708261,1.67659140430006,-2.42083203261273,0.201166894095092,0.66561191600558,2.26875172680253,-2.40003606074966,0.292068815391996,0.845219860880673,2.14707443608699,-2.48553554061037,0.462986920169087,0.734754218537477,2.22710420601345,-2.52046252918694,-0.377644073638075,0.230714844877561,2.44326625268601,-2.42838197027484,0.476317705076697,0.942712235537182,2.04979950067191,-2.40252061451792,0.572709755039537,0.89823338837892,2.08146702347561,-2.45355382679476,-0.020152093489403,0.481227231439127,2.40290128817965,-2.24001761130913,-0.644062702971542,0.040708362664148,2.20904200464526,-2.23063735203535,-0.828325160283874,-0.368533670939209,1.86271654832515,-2.55609666934422,0.304129542017504,0.691897934657567,2.14971538473926,-4353.12032517383
-0.794554964065553,1.46699754608505,-0.636645816234514,0.44302688511924,-0.438308690807885,0.441338874372305,-0.0739344596607313,-0.137341682065259,-0.234129730247824,0.0279182045604505,0.0600253558982766,0.0165966552428206,0.143374337584563,0.925182983257872,1.92549801251744,2.00274386000093,1.9944807479273,1.04152520769262,1.78309896857418,1.8189241955471,0.832205988271413,0.686680403736524,0.217452563325497,1.77194143391199,-2.47947845205794,0.255647891988574,0.734108455685216,2.31631316520756,-2.45472219188741,0.387442685318357,0.911651106604785,2.17735568095057,-2.55124077291488,0.534747442940118,0.836387331574799,2.26996991942666,-2.57295267067154,-0.447953034237207,0.278297506248888,2.50272862206698,-2.49077872962972,0.60961804981226,1.01570670700983,2.06286134316741,-2.4605205151093,0.729908732364055,0.957401870261287,2.10038752121906,-2.50562855089392,-0.132799673460662,0.606948706987228,2.45683028299223,-2.25994485107473,-0.72672720281563,0.0138073625541197,2.19471497726466,-2.25407367798841,-0.945179538666288,-0.368587126250334,1.77974786531867,-2.62868477990594,0.329696346458589,0.798812290012239,2.1738828657571,-4223.307123888
-0.828451955628675,1.3834510673479,-0.662576256429169,0.442625915386407,-0.460872162929179,0.453080612765437,-0.0901871600216965,-0.155647532327819,-0.257665714764173,0.0310245908463051,0.07541064270476,-0.0975533351325218,0.0395412180133562,1.0040782830064,2.02505644117627,2.10191128423967,2.09952104456443,1.1175742833251,1.84987994585355,1.88529838957652,0.777441317297898,0.523250238552973,0.141506535931456,1.86217463921912,-2.55077591780383,0.255841391945854,0.857632981630034,2.38079990790482,-2.51916928109784,0.40685737858591,1.04971622190917,2.22372300008798,-2.62942425481133,0.567234937646498,0.982917216467928,2.33351855012478,-2.62919358813723,-0.469227222441347,0.284983313199737,2.56893828186077,-2.56500263946353,0.649774517589795,1.17946772331517,2.08742733307049,-2.52970349957406,0.751262589057066,1.15215090258942,2.13031155156905,-2.55743829408776,-0.0607368668381809,0.506410612736513,2.52234346890689,-2.25454859238377,-0.797693037353414,-0.006209945193094,2.15015575159555,-2.28267974679653,-0.997105978784074,-0.374712940188572,1.69072646065312,-2.710606010348,0.358245124729849,0.898867079536696,2.21666820554969,-4125.63436308453
-0.572871734414891,1.17131482045543,-0.468900084234374,0.199654835802522,-0.351646992933173,0.328251339861957,-0.135980380702896,-0.214402406472194,-0.266227418554111,0.0375562675992208,0.134887547069062,-0.286668923400752,-0.157353027448221,1.74370365331156,2.25249317702381,2.28133335232886,2.32317252644838,1.31118951373318,1.94601649295796,1.96946778073502,0.47079249011494,0.253741359717461,-0.0416516005599136,2.06774130670322,-2.83075378535413,0.361322275663116,1.06736804455323,2.70693925895923,-2.75951970653559,0.447086124209046,1.39189930276911,2.51071613967841,-2.91317076574412,0.826691608131548,1.20774284077391,2.68590619709021,-2.85334875477279,-0.406679168909321,0.169113392907435,2.77812505384528,-2.84739359992787,0.699819953310475,1.62870591390109,2.29315713906199,-2.80165806199408,0.878441624219963,1.60225761959175,2.36003089133495,-2.55415435009267,-0.448911454718261,0.531397211281716,2.65191992152749,-2.00433093348814,-0.585417296847148,-0.0987365669778632,1.86942727711497,-2.38159636506334,-0.757753055124532,-0.426185414919309,1.51568517865942,-2.98143365507163,0.562751565476469,0.968710134692842,2.47758929571268,-3933.3704640508
-0.25442502329675,0.822149762402786,-0.17446200512691,-0.186503019231108,-0.147055664734287,0.109257882899134,-0.203737604021626,-0.33731087310687,-0.268035980583018,0.0445656158258433,0.193405768079184,-0.627356923009367,-0.592957080052531,3.15116313646406,2.57123089710634,2.52877724138186,2.6223680772566,1.40893125231713,2.13092129547299,2.13912155633059,0.437410383740047,0.124614333170941,-0.17078694984171,2.32357146827665,-3.24139018030501,0.668813277977506,1.15010933522191,3.28540774144567,-3.0896614164994,0.700626909091372,1.61882700988346,3.07332415335023,-3.30243732443121,1.27615085544404,1.38791610577022,3.32156810872306,-3.21617394551094,-0.638347927361787,0.251669953987661,3.06662336965666,-3.23291249260907,0.935352225828858,1.97279090664206,2.778165958614,-3.16134648155462,1.26748508950155,1.93594713224387,2.87498136319318,-2.32499476226751,-0.476815908504871,0.244592894603994,2.77654234677755,-1.4235453656665,-0.470841206673576,0.356398263089182,1.43781812997327,-2.4627183888298,-0.775686625366917,0.072230030439387,1.45661443573056,-3.35230148818605,0.715250914880091,1.10284020795977,2.930755319947,-3739.96933673605
-0.242986847113187,0.554775683803068,-0.039489328756729,-0.447101729603183,-0.0142374038098372,-0.0123708944303805,-0.254123798631078,-0.481248205375956,-0.273472052012592,0.0506747923932784,0.202968191308445,-0.960274769338666,-1.10005439613147,4.20132907226356,2.78138440288458,2.70298434981077,2.82026541530911,1.48998382003888,2.34238904687228,2.34508957966084,0.654474013442823,0.163671018778546,-0.135733150991542,2.48126881082618,-3.50560662863852,0.755714275658099,1.26887383045748,3.76774521458264,-3.27113104606017,0.91099859581631,1.68835832901505,3.5665425736167,-3.52498867680576,0.954957458607926,2.08621831170112,3.86331141179773,-3.43384963352728,-0.813258146262987,0.274166948071497,3.25004247814636,-3.42847528594809,1.15375736236162,2.0705494439317,3.24904980869234,-3.32411717378998,1.60515564113087,2.02713942660132,3.36813443003185,-2.03841893365048,-0.380075809821236,0.180436486235408,2.79861385089892,-1.04676504061499,-0.0375392418908067,0.341943174342443,1.41929470359374,-2.47901097163809,-0.600169154395636,0.0945578776226158,1.6475312476406,-3.56643841647111,0.612194091488111,1.30986691714082,3.29870244791895,-3648.9783962819
