"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.07819646650196,0.345489024441925,6.01523151092545,1.79629799923475e-09,0.445761320908094,4.66212829383292,3.12955988435171e-06
"asc_ruta2",1.04453185817122,0.351403728648777,2.97245525022649,0.00295428272728104,0.461286583453495,2.26438811714654,0.0235502541788388
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",2.31387543898616,0.444331049330196,5.20754838644339,1.91351949840879e-07,0.625153103216463,3.70129401434799,0.00021450275128343
"b_tt",0.50755005278313,0.217297892476285,2.33573389506537,0.0195051147804839,0.236662809041117,2.14461264462956,0.0319838304687083
"b_dt",-0.518800943987937,0.256989358637396,-2.01876430502303,0.0435117227273942,0.256621807807883,-2.02165571359521,0.0432119320355155
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",0.0356959717876314,0.288148366125155,0.123880528172515,0.901409870443941,0.310051115709285,0.115129312487626,0.908342626372828
"b_CongEF",0.154211419423409,0.315370822202095,0.488984422676197,0.624852725192932,0.351992684428904,0.438109728540557,0.661306742468235
"b_Sem",0.354946361172336,0.161472521970825,2.19818429067745,0.0279359756926567,0.1300650321521,2.72899145373107,0.00635283503086592
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.351273958589989,0.313980813854808,-1.11877523431233,0.263236039647057,0.347696079693867,-1.01029024802141,0.312356251960715
"b_ACC_2",-2.7399403784989,1.1247812292832,-2.43597626557568,0.0148516589751433,1.21660011666872,-2.25212897891329,0.0243141224852377
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.722378156837621,0.287057517432166,-2.51649273392858,0.0118529344181384,0.303601422642798,-2.37936354365353,0.0173425626811317
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.331842353149564,0.21697512119263,-1.52940277818744,0.126164624153434,0.197889672974304,-1.67690586457563,0.0935608911750418
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0139080054798549,0.267608482042003,-0.0519714673231915,0.958551428456066,0.262040755879386,-0.0530757340902213,0.957671565585154
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.157368446267833,0.338703500281645,0.4646200766658,0.642203552319925,0.320386319324493,0.491183414446755,0.623296728438585
"lambda1",0.325829890703149,0.23461345630223,1.3887945552595,0.164895231386172,0.333874719026767,0.975904649662998,0.32911171775423
"lambda2",-0.794960067633228,0.541247950791312,-1.46875395365652,0.141899537519539,0.777725425823385,-1.02216031678738,0.306705029259999
"lambda3",0.469217675079501,0.18553421514847,2.52900886612218,0.0114385137652135,0.243884441552366,1.9239344342462,0.0543628023750768
"gamma_HPICO_LV1",-0.306280016310419,0.175265652428214,-1.7475187640423,0.0805473929512321,0.185697061088769,-1.64935306199599,0.0990753248368916
"gamma_CSECO_LV1",0.510988386664356,0.193821910085191,2.63638092535441,0.00837956043228605,0.235015880130144,2.1742717401964,0.0296847334296788
"gamma_SININFOTRF_LV1",-0.530984491958594,0.160242044585877,-3.31364027044743,0.000920899025830479,0.168738582608637,-3.14678767445932,0.00165074786428754
"gamma_LV2_LV1",1.93859917803227,0.183254005985812,10.5787547049987,0,0.272993400382996,7.10126755926155,1.23612231561765e-12
"gamma_ADULTO40_LV2",0.131775223316967,0.0834530285575015,1.57903464493406,0.114328110703871,0.0873008953545139,1.50943724897494,0.131187080070125
"gamma_HPICO_LV2",0.175677168500116,0.0853346695678371,2.0586845814228,0.0395244642142079,0.0960819212999179,1.8284102370491,0.0674880061395879
"gamma_USODISPMOB_LV2",0.162272349411346,0.0874888126352752,1.85477827991368,0.0636278949191678,0.0929070391459676,1.74660984682116,0.0807050379873093
"gamma_EDUBASICA_LV3",-0.547848183786667,0.164720922911033,-3.32591740080623,0.000881280401766604,0.199025086265381,-2.75265894398942,0.00591134435109275
"gamma_JOVEN30_LV3",-0.732444657896788,0.339483795830155,-2.15752465034659,0.0309648085801952,0.402401760041935,-1.82018254050494,0.0687312110458211
"gamma_ADULTO40_LV3",-0.603377300070682,0.184248028110189,-3.27481008214554,0.00105733029672073,0.19743055375311,-3.0561495604435,0.0022419939202698
"gamma_EXP_2_LV3",0.610520044636647,0.263091719458768,2.32055971161923,0.0203106187179596,0.294675806138305,2.07183634325956,0.0382807061153396
"gamma_USODISPMOB_LV3",-0.360395576162712,0.175344790519096,-2.0553537695405,0.0398448473435067,0.193818345120535,-1.85945028030542,0.0629633405076349
"zeta_FRbr",2.33077310925982,0.343842948147166,6.77859796694811,1.2134737659153e-11,0.497486221173783,4.68510083306534,2.79822139681585e-06
"zeta_EnfCond",1.63271274459511,0.209019851890048,7.81128074597416,5.55111512312578e-15,0.324560017600011,5.03054182911485,4.89095664191197e-07
"zeta_AFrSem",2.4625425260615,0.318744154029402,7.72576530402608,1.11022302462516e-14,0.385919951888375,6.38096712546693,1.75973013938346e-10
"zeta_CulFr",0.950012582300353,0.11989459692582,7.92373139957371,2.22044604925031e-15,0.158804171096001,5.98228985891087,2.20022267072295e-09
"zeta_OmLmVel",3.7350832296923,0.463620051768759,8.05634531000668,8.88178419700125e-16,0.845201124029631,4.4191650052294,9.90829775293633e-06
"zeta_IgPare",7.44244630515263,NA,NA,NA,1.0245260429585,7.2642822076648,3.75033337718378e-13
"zeta_UsoCel",0.592799444664693,0.141649986394027,4.18495941832076,2.85217050906006e-05,0.165247179934157,3.58734984101328,0.000334055993108207
"zeta_PasoPeaton",1.4518192926468,0.288620535185654,5.03020095819906,4.89966022421129e-07,0.344694940323382,4.21189615166602,2.5323596703597e-05
"zeta_UsoDirec",1.62189585435843,0.305888576644538,5.30224394827002,1.14387843197505e-07,0.371873512569473,4.36141806161962,1.29222189315659e-05
"zeta_UsoPito",1.14806191811352,0.138278929757844,8.30250798240933,0,0.183774514635467,6.24712256969254,4.18082901632033e-10
"tau_FRbr_1",-1.00634481464091,0.464925239983735,-2.16453039778206,0.030423666252908,0.785905603669174,-1.28049069753743,0.200372614299256
"tau_FRbr_2",4.87176539809266,0.365521687757247,13.328252635253,0,0.807022596720436,6.03671497909781,1.57283164270439e-09
"tau_FRbr_3",6.08783195848875,0.437445456733798,13.9167794859358,0,0.911540244778088,6.67862115069951,2.41200392991914e-11
"tau_FRbr_4",11.4429335565869,1.10455598709981,10.3597587539515,0,1.76662401496741,6.4772885795951,9.33855215379253e-11
"tau_EnfCond_1",-0.414325406719089,0.30970083384415,-1.33782464056131,0.180953607502775,0.530230401219393,-0.781406358002572,0.434563532839958
"tau_EnfCond_2",4.05254779273181,0.48663461859501,8.32770139623881,0,0.82693838779159,4.90066473217489,9.55129316970726e-07
"tau_EnfCond_3",5.23637831098025,0.575880507226277,9.0928208982124,0,0.959553167987545,5.45710074821849,4.83971778209025e-08
"tau_EnfCond_4",7.98801132191796,0.852528539415603,9.36978758200123,0,1.31181461010143,6.08928369939431,1.13416986913251e-09
"tau_AFrSem_1",-0.723498224283718,0.423676825878892,-1.7076653243492,0.087698459762747,0.677717390505887,-1.06755151102683,0.285722866114177
"tau_AFrSem_2",6.40352767788793,0.589644141796653,10.8599869378441,0,0.9598505450669,6.67137994638698,2.53408405370692e-11
"tau_AFrSem_3",7.23874672972007,0.639535526649425,11.3187562349263,0,1.03489233559013,6.99468580525555,2.6585400547674e-12
"tau_AFrSem_4",13.1080312591753,1.40048335137237,9.35964804317764,0,2.0737179746417,6.32102890531202,2.5982749285447e-10
"tau_CulFr_1",-1.9874496634378,0.239836436502,-8.28668776281303,2.22044604925031e-16,0.34046097137546,-5.8375256799877,5.29817301142543e-09
"tau_CulFr_2",0.579503492640383,0.199976008169223,2.89786508864602,0.00375712168120645,0.315743414574093,1.83536208798551,0.0664520571747718
"tau_CulFr_3",1.71435650976061,0.225632363638219,7.59800802561031,2.99760216648792e-14,0.321626753801374,5.3302671170799,9.80684160545309e-08
"tau_CulFr_4",4.93902470602361,0.422233988772261,11.6973641093767,0,0.485186449888877,10.1796427067467,0
"tau_OmLmVel_1",0.1705379408474,0.318635452796233,0.535213327176306,0.592502351690539,0.352880418907188,0.48327402629913,0.628901179831629
"tau_OmLmVel_2",5.59762251501076,0.574624873313467,9.74135087945831,0,1.1045255624004,5.06789766173067,4.02233550689246e-07
"tau_OmLmVel_3",6.67414282598208,0.669347387135215,9.97111956251476,0,1.21125392960239,5.51011035990854,3.58608789330361e-08
"tau_OmLmVel_4",8.41773844394373,0.865162103771886,9.72966615995377,0,1.56817051110448,5.36787191465234,7.96710992734262e-08
"tau_IgPare_1",0.883209592336393,0.616592530489778,1.43240397614748,0.15202824128352,0.760633341430896,1.16115024707556,0.245580803711917
"tau_IgPare_2",11.4576954689145,0.240970786369135,47.5480685503629,0,0.996974489161184,11.492466049512,0
"tau_IgPare_3",12.6655061384101,0.203344356610814,62.2859977503627,0,1.07856240632475,11.7429516031143,0
"tau_IgPare_4",16.8939517104378,NA,NA,NA,1.91107072616038,8.84004525796918,0
"tau_UsoCel_1",-1.86583112504537,0.203811849536233,-9.15467441805275,0,0.187726674004653,-9.93908369675327,0
"tau_UsoCel_2",0.0461679204553765,0.151292615773073,0.305156469266317,0.760246984602226,0.164401387989771,0.280824395827175,0.778845091100094
"tau_UsoCel_3",0.904324820135212,0.160071330907713,5.64951147096158,1.60904449764132e-08,0.17323345746868,5.22026653135818,1.7866581192294e-07
"tau_UsoCel_4",3.42369300675551,0.368287072686662,9.29626169547468,0,0.38361274418252,8.92486774403549,0
"tau_PasoPeaton_1",-3.45654874664514,0.454022678274526,-7.6131632009693,2.66453525910038e-14,0.504195784172376,-6.8555685215,7.10298486694683e-12
"tau_PasoPeaton_2",-1.75302842565582,0.315942756440468,-5.54856343410466,2.88026382744277e-08,0.371477777236978,-4.71906674658899,2.36929077912507e-06
"tau_PasoPeaton_3",-0.745396666630116,0.258180638177302,-2.88711296049329,0.00388794618173471,0.309994275747287,-2.40454977703452,0.0161924008542476
"tau_PasoPeaton_4",1.39178608625678,0.25725701618134,5.41009962300005,6.2989698346172e-08,0.310799541991359,4.47808280970852,7.53163870115259e-06
"tau_UsoDirec_1",-5.54034074121349,0.768269345729996,-7.21145620609028,5.53557200078103e-13,1.06853374887867,-5.1849936859997,2.16022183696651e-07
"tau_UsoDirec_2",-3.49548983550137,0.552957519186566,-6.32144371712937,2.59130716884215e-10,0.813562271326478,-4.29652401383132,1.73497181135129e-05
"tau_UsoDirec_3",-2.60738032787428,0.459600291310907,-5.67314768325605,1.40197267128883e-08,0.692503655160867,-3.76515027529868,0.000166448945403186
"tau_UsoDirec_4",-0.0021646089640993,0.265266439960782,-0.00816013124170295,0.993489229524451,0.358702278547035,-0.00603455593554437,0.995185150210566
"tau_UsoPito_1",-0.932329068512793,0.238706586379616,-3.9057534299875,9.39322549475818e-05,0.35747016611784,-2.60813113060028,0.00910380719104831
"tau_UsoPito_2",2.66795628727189,0.267010610169827,9.99194858052639,0,0.476177589836648,5.60285982418267,2.10843733583488e-08
"tau_UsoPito_3",3.34419885348747,0.298953147952509,11.1863644065682,0,0.50305404201474,6.64779243218859,2.97522007031148e-11
"tau_UsoPito_4",5.33050647990387,0.410567660309306,12.9832595092562,0,0.600935918130615,8.8703409449812,0
