"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.849206323205198,0.476572583431803,0.444839143592873,0.504485826732167,0.1242003903993,-0.107965576267428,0.0837539126895079,-0.0478712531301277,-0.0182601348655139,0.0351712365368695,-0.0207395673815011,0.0233743099923038,0.133689386418215,-0.0308153030703822,0.0232157871425963,-0.259077835462493,-0.070732638417154,-0.0775384948759143,0.00411915276286909,-0.0797367809781111,0.0915562319848847,0.00444077523958438,-0.0344172713089927,-0.104454437051226,-0.134601320586275,0.0513241997533806,0.014380349334855,-0.0441033194639923,0.070275327701875,0.00967261665694493,-0.108396806058551,-0.0617640737106111,-0.0318617253671407,-0.025335320042764,0.0552875156347768,0.0062214321969903,-0.0341532330665927,-0.066511818158522,-0.119128541602609,-0.117268300291894,0.13271372308789,0.0696228554124376,-0.0608088774881885,-0.0857038404086154,-0.0883079706132058,-0.0490721722786422,-0.0970007448450369,-0.0332235896366231,-0.0148739167051299,-0.0180620719910634,-0.0785913368166366,-0.0651909411267829,-0.0673368444060829,-0.0417450620523174,-0.0770597136544627,-0.047578670022182,-0.0534566447503746,-0.0373408767406151,-0.0866011319140305,-0.087495139166963,-0.0706648368228007,-0.0588868948106936,-0.00544677105365847,-0.134670157453299,-0.128833936036887,-0.125696511651995,0.0847431466914052,0.0782170323458702,0.0681981937790507,-0.0988690606716809,-0.128966246462917,-0.133063662191463,-0.131234770302723,-0.0646219682254637,-0.099216652628986,-0.0347973633359857,-0.0100689695894457,-0.029028648715892
"asc_ruta2",0.849206323205196,1,0.442453500028367,0.302795211674203,0.409545296753353,0.0930638629302965,-0.0382098937307988,0.0745118810596435,0.0228438501162324,-0.0662703396228193,0.015592872843521,0.0859235157474549,0.068080840233257,0.0974943753546557,0.0164003458187733,-0.0245982392888862,-0.261441922253298,-0.0916585807451565,-0.0967985105590781,0.0158638290651177,-0.0190529721975007,0.0642815298004827,0.0338404045184718,-0.0321557059496836,-0.152796581042579,-0.157775463578184,0.050782388811113,0.00734500086092187,-0.00952578900196987,0.10649925282164,0.0842846349291596,-0.0795554530058082,-0.0809206301221428,-0.0591580788715574,-0.0657033011291291,0.0570178467608478,-0.0235781416783051,-0.0629250692659674,-0.0408788926416691,-0.113862487302721,-0.0776417277811983,0.149910403633458,0.070762753066339,-0.0460030642259084,-0.0568660074998412,-0.0642431375990826,-0.0608418135672753,-0.0986921403746054,-0.00535162537276076,0.0117350242632278,0.0177321892480465,-0.0599229330618008,-0.0448224217759659,-0.0459234091810919,-0.0478419661922426,-0.076944075513726,-0.0357765339485578,-0.0378461070573395,-0.0392685817442187,-0.0897275861704448,-0.0590615627514835,-0.0502184726033999,-0.0481748680129463,-0.0203180032140409,-0.1288460946099,-0.126119720231877,-0.12727288646094,0.0602304188318716,0.0637613008407862,0.0530159423615749,-0.0963718663749358,-0.118498481558266,-0.129425502353421,-0.131060118611909,-0.0726433530113681,-0.0977009059037586,-0.00959715294361996,0.0110503660261307,-0.0202482300906086
"asc_ruta4",0.476572583431803,0.44245350002837,1,-0.00456782342748855,0.337013423592249,0.0254244090150395,0.0142133686077495,0.0579055623959692,-0.128746849747553,0.0569224014165388,-0.0811425691832258,-0.00468473774324159,-0.36539135976694,-0.476869571432446,0.2645995873744,-0.19939804154324,0.215376133599646,-0.143518077713222,-0.0927291269176153,-0.0996406575822829,-0.0600299985461721,0.00156565335272397,0.0594011964843139,0.0379102514695712,-0.0618523264700187,-0.0667229740634016,0.0660023511545601,0.0219566849377779,0.00590631502156821,-0.0525130454158645,-0.0813253604437695,-0.124879927739138,0.112429581519991,-0.0310088276755809,-0.0883812737731335,0.00266422137562447,-0.0107295214053168,-0.0283592198562234,0.00475445230645588,-0.0764222247214908,0.0408323579902263,-0.0607488622480651,0.0743929671645334,-0.0536326580976198,-0.130387171228903,-0.131816167234008,-0.122767851428516,-0.12046701909432,-0.090754655211727,-0.0749978987262893,-0.0430946285687526,-0.0872588255352234,-0.0947697371091041,-0.0854465017974889,-0.0634246630847399,-0.155846809936134,-0.094401580269667,-0.0876163704371077,-0.0566564342438447,-0.0222223391769669,0.0137822201518726,0.0291499373935401,0.0493082025338756,0.0364807922389176,-0.0724487887451921,-0.0750800258215477,-0.0691072231704251,-0.154705686615236,-0.0692067088756727,-0.0455890634752153,-0.0446529008518621,0.0232648322456906,0.0176318326828607,0.00746540641406263,-0.0569418755729892,-0.155422370378667,-0.05586570306734,-0.0369555172330769,-0.0285435847378068
"b_tt",0.444839143592874,0.302795211674202,-0.00456782342748824,1,-0.0871565461262462,-0.182122825015732,0.0236279049179613,0.134675794355933,-0.225907272073184,-0.0573875933250503,0.00401124023580042,-0.0942192559496721,0.100945173451526,0.0688659163036114,-0.0650471213300971,0.074488135353536,-0.155473283136222,-0.012853852474595,-0.0587596667010364,0.0660221878893852,-0.0471016877433164,0.0236535836683225,-0.107311743886626,-0.0608772256677221,-0.0430045782799214,-0.0956233636792114,0.0119763557189201,-0.0947913265883416,0.0617522745400672,-0.0164797364229878,-0.0412689691078593,-0.0517567703600014,-0.0461989542980308,-0.0064741602622433,0.028586076869328,0.0567660592292001,0.021117964723025,0.0601885645114279,-0.0794217147238571,-0.040146766293392,-0.0789261317912592,0.0497819165148159,0.0662374164286045,-0.0694511127999244,-0.0948819998870749,-0.0850916158303707,-0.0512282140082209,-0.0614303191677952,-0.0734494231648568,-0.0696415129197637,-0.0359303623800177,-0.0624404054740301,-0.0833698651747718,-0.0805075490880571,-0.060569161811986,-0.0252019776048145,-0.0540395044951393,-0.0431435217510638,-0.0792198920300258,-0.0831879492472799,-0.143709311705008,-0.113609112107779,-0.118697707590337,-0.0513281680763657,-0.0640755662003105,-0.0537602770989333,-0.0503264272949599,0.0747849975588506,0.0122499647602259,0.00665131410487407,-0.0971315718265898,-0.101588207307847,-0.077125702705557,-0.0470487671293841,-0.0194911884863129,-0.0507353411318517,-0.0627272000776608,-0.0512650683732314,-0.0614690905718612
"b_dt",0.504485826732166,0.409545296753353,0.337013423592247,-0.0871565461262461,1,0.241743096062645,-0.198780649573826,0.00414787303403077,0.0993554040346127,0.0767634162296195,-0.0240657122619649,-0.120606031354601,-0.0859577570674637,0.0664834089378475,-0.153219085319136,0.158709454881827,-0.29479270678562,-0.0354794574023271,-0.00874056104292887,0.0341559304850536,0.0309403476837078,0.0642739765056159,0.0269776869060663,0.0651934719422035,-0.136405247297072,-0.0340637205101558,0.0822024710835931,-0.0203177193636575,-0.0194560757409594,0.155843933656521,0.0650584490201423,-0.0916312047462285,-0.0500613524289788,-0.0492128901443102,0.0105274609360639,-0.055162362033774,0.037520110862362,-0.0199009222546307,-0.0220404572474752,-0.166603469704373,-0.0609785379927903,0.107574670455748,-0.0416921338587533,0.00484812983144212,0.0269299493027615,0.0173384660828487,0.045590649981625,0.0115884295063886,0.0234552413734281,0.0220039966299351,-0.0445134685206152,-0.0164037408236877,0.0369776450860846,0.030751358610116,0.0603463840055886,-0.00313444790595319,0.0251581682945459,0.0314257222874214,0.0410930274247573,-0.0286774315653912,0.0246312829442419,0.0356400745110863,0.0316404807574219,0.0533568067866982,-0.168527080726963,-0.16643936694051,-0.166029325853795,0.0604410861452046,0.0933990468603713,0.106631774313837,-0.00802734250971254,-0.0710780905877776,-0.0761988659613426,-0.080483886497634,0.00772553782193903,0.00261902721832702,0.00966731131796328,0.0151820047135322,-0.0396051028983159
"b_Sem",0.1242003903993,0.0930638629302966,0.0254244090150386,-0.182122825015732,0.241743096062645,1,-0.111847591944721,-0.0594415644229094,0.070291752498131,-0.0749730282270068,-0.0100712666131685,-0.0336324487484743,-0.0224333525086854,0.114329372470095,0.106493936093356,-0.116549632179692,-0.0528275042670788,-0.0543157528988495,0.00245333530305875,0.0326784869651886,-0.00976827667194587,0.0961783737098592,-0.00524337519861543,0.00190836551044399,-0.028552053900189,-0.0445695595726505,0.0631202191062279,0.0486946538000532,0.00494344637770123,-0.00754241124339497,0.041303598999864,0.0396137077851045,-0.0224589750986287,0.11021032150822,0.0252266352142286,0.00389827928750681,-0.022197146907728,0.0230262314377307,0.0537619166298399,-0.0684475072844716,0.0244194920133018,0.0792912452442512,0.00893117671422525,0.0362056551031288,0.0232864362055279,0.0217599042180885,0.0324083053082613,0.0391106465117975,0.0305230235939359,0.0565706123894952,0.00904774872750751,0.0334343433295432,0.00627455298090817,0.00447763114432991,-0.0355351168252593,0.0359765587791341,0.00544986645387523,0.0158926610643988,0.0522447700398602,0.0662572477343852,0.0674606595087288,0.0647673452913128,0.0525229413321684,0.0768679205744888,-0.062244232382677,-0.0627774496624258,-0.0722315624229183,0.0480006267767578,0.0204830842508634,0.0287810615824813,0.0963727913020445,-0.0735383121358022,-0.0306927701760039,-0.0372328534003871,0.025790055840721,0.0287722783811499,0.012846403770616,0.0305802255468234,0.0130510988336846
"b_ACC_1",-0.107965576267428,-0.0382098937307985,0.0142133686077499,0.0236279049179613,-0.198780649573825,-0.111847591944721,1,0.139633386527605,-0.176645159279366,-0.0978950612931099,-0.0636288578060161,0.0808461736822215,-0.0542480129746824,-0.0847977358336157,0.0783323078878102,-0.00762849819630851,-0.0154708587243215,-0.0311372703962768,-0.0347074048014054,-0.00476230819498711,-0.0142087404642731,-0.00124814497324202,0.063556155290154,0.0394277937250013,0.0506192421326458,0.0882208703968689,0.0423520043234958,0.0586964048967259,0.130849607106925,-0.156970688486106,0.0120486278849326,0.0269045387404235,-0.0218347864827368,0.0455275222289071,-0.00710791296125426,-0.0728471850134067,-0.0311904074730264,-0.0870677915753563,-0.0176303476085521,0.00177363745192024,0.0593338599380911,-0.0265476966828942,-0.0922428173472401,0.0327857112244956,0.0521323170928358,0.0673811107046346,0.0480316177850609,0.0729595801023348,0.0198876612407476,0.033819213631391,0.0207425251814642,0.0332368827136736,0.0357399870406752,0.056862599637765,0.0189879392201508,0.082009871380143,0.0650873578954523,0.075809472994475,0.001495375698307,0.124010773378505,0.0397393840754382,0.0727703067629508,0.0445506030034925,0.109482188581255,0.0117688794229734,0.021002099095229,0.0161378558620646,-0.0877574693379327,-0.108478982525971,-0.0747186574496915,-0.0839377573616088,-0.0208966193201558,-0.0453069705619978,-0.0316230923314374,-0.0870469763398418,0.0888117515618541,0.0382976658296288,0.0380952541325104,0.00364953466887539
"b_ACC_2",0.083753912689508,0.0745118810596436,0.0579055623959693,0.134675794355933,0.00414787303403079,-0.0594415644229094,0.139633386527605,1,-0.0131554701057267,-0.02776988524812,0.0249369596796288,-0.0573118725590927,-0.0201279528828669,0.0172215492429627,0.00276913097823346,0.0409693215722791,-0.035737870818156,-0.0157660776633072,-0.0470356486498345,-0.0021627815508099,-0.0176889496221159,0.0566101945656544,0.0157184781126504,-0.0730520256266012,-0.0547013785453197,0.0321647854250577,0.0535100217017875,-0.10420728068656,-0.0150399544831799,0.0641716882533852,0.0124147060789847,6.02810970267056e-05,-0.052341199780796,-0.0446033249843276,0.0197511500092735,-0.0333184974389979,-0.00847473703483244,-0.035677349832397,0.0198864072643225,-0.00228090700945637,0.0306351180118704,0.0594523179097386,-0.0441490856621256,-0.0721712742506218,-0.0248042349040996,-0.0169957278452163,0.0135184515264714,-0.0327329149688788,-0.0399683591183001,-0.0419348635755785,-0.0224554693386687,-0.0546913223171026,-0.0248829415984047,-0.0242688601369356,-0.0343804809132503,-0.0316707463670998,-0.0599506713299808,-0.0646618700234248,-0.0255804790036545,-0.11101184186014,-0.0187928424035717,0.00492888025144446,-0.00824191408351596,-0.093200633451197,-0.0169895875815411,-0.0110200369667194,-0.0102591608255842,-0.0165730223351467,-0.0451711210881387,-0.0368994858364784,-0.0966042182933464,-0.0500663552318226,-0.05012366483749,-0.0500418109661386,-0.0662777539415484,-0.0213604104736823,-0.0286594053350647,-0.0267552003818901,-0.0420527751061553
"b_SI_CAMFD",-0.0478712531301278,0.022843850116232,-0.128746849747553,-0.225907272073184,0.0993554040346127,0.0702917524981309,-0.176645159279367,-0.0131554701057266,1,-0.0128390328239347,0.0952529207192754,0.114832840349971,0.016879631191971,0.184055373270643,-0.144623902069476,0.127552614280211,-0.132868040908093,0.0362208185101561,0.0359400424179571,-0.0202071268601325,0.00397752814388738,-0.0256387625274571,-0.066050987688445,-0.0553175125286633,-0.069531396534346,-0.0110016917121172,-0.0354972278315785,0.0101562514690253,0.0482023278584436,0.0602544258862282,-0.0238089143187681,-0.0863292167204518,0.0350846140142082,0.0935972951519931,0.0382670395565495,0.0784899879297033,0.0160214609135118,0.0198220159974148,-0.0235164700201313,0.0121534291444006,-0.0952147617333176,0.00703371444008095,0.0249418265392721,-0.0460793085884279,-0.000223333079606307,-0.00423210355229672,0.0372797696732933,-0.0405296486522315,0.0219890904305294,0.0137338926868338,0.0719105733651533,-0.0307270458022276,-0.00712009488126573,-0.00620453113278039,0.00329668736200625,-0.0308322161653021,-0.0172732726919034,-0.0305614534727934,-0.00391890576236642,-0.039523977182837,-0.0168666878302898,-0.0443515198825631,-0.0346165420399734,-0.046781148935259,0.00539301189541347,0.00747690433809625,0.00971998874280547,0.0801991095914185,0.0832839635946337,0.0301068085901677,-0.0115612781721868,-0.00202015012644964,-0.0111796108721997,0.00229701331743438,-0.00830038608959757,-0.0276713955557983,-0.033590239267391,-0.046264047683481,-0.01897458457892
"b_SI_PANEL",-0.0182601348655139,-0.0662703396228192,0.0569224014165386,-0.0573875933250503,0.0767634162296195,-0.0749730282270068,-0.0978950612931099,-0.0277698852481201,-0.0128390328239346,1,-0.129444482621754,-0.101591047976829,0.130839780088452,-0.111804413806939,0.0107130300290677,0.00624482097639558,0.0515434726167302,-0.0472717331412045,-0.000448444113394664,0.0164947182431374,0.0207551988942129,0.0345394366255285,0.00857745038267906,-0.0110194889849438,0.0373815247170811,0.125643417404522,-0.0945105135293441,0.00623104084865472,-0.0142593060571056,-0.00565023619862448,0.0250695990731625,-0.0283159554658492,-0.0203402415144567,0.0541909631428576,0.0648326456912804,-0.125524127277562,0.0705016709847624,-0.0514677793907966,0.00600818664017986,0.127529692608892,-0.169251869625809,0.101904229242506,-0.0167424392222344,-0.0348307332340624,0.0232926647410181,0.0420218652119656,0.0552496432591226,0.0387841188860563,-0.0383793543897914,-0.0514581734834545,-0.0676862098723346,0.0042363639361591,0.0436234672897835,0.0417038350487353,0.0400038039336051,0.0481437477096138,0.0155445054593155,-0.00364559297462252,-0.0199522932708913,-0.0114736822420161,0.0193330212101687,0.00446820946108077,-0.00842957614292143,-0.0825279794581655,0.136614251564009,0.133950748368795,0.130177811640816,0.121089991857289,0.107148854933894,0.0895642462918714,0.00725285612656563,-0.079549144394126,-0.0889664169094834,-0.0509825121567548,-0.0178729821718063,0.00697445440243148,-0.0171110841853159,-0.0174762494504753,-0.0167207377903695
