"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.78008471826816,0.518586801741564,-0.0403785045336621,0.128551769272854,-0.0276426004987158,0.0233334804209877,0.160041178739552,-0.0317389006127573,0.00866290586089779,-0.0398954992489202,-0.00156191062358874,0.0103020118317843,0.0507972788649251,-0.00384661319556356,-0.00492839282140598,-0.00327531857283446,0.00803177042044327,0.00184388966362575,-0.000432372279795026,0.000180215237372112,0.00110933087035337,1.16062942945283e-09,1.50886698305139e-10,0.00096777942532472,0.00529008582515512,-0.00321576413097282,0.00137076229197929,-0.00157925942410925,0.00128424738535907,0.00131153302526699,0.0014440843728558,0.000615906491345854,-0.000861542373974015,-0.00083500073835321,-0.00135307795576152,-0.000505156596628041,-0.000813808466362847,-0.000878626237245854,-0.000429394783766415,-0.000583884731336223,-0.00043629889418,-0.000335488897630568,-0.000160389016573833,-8.67937722763697e-10,-8.82705533721449e-10,-7.56927559473088e-10,-5.99690921690132e-10,-7.20718197819775e-11,-2.85051343294016e-11,-4.52286772510357e-11,5.83098946222909e-11,-0.00051788590732124,-0.000328285961502105,-0.000180566853802429,-5.68989361316428e-05,-0.00525248533488321,-0.00526617206170314,-0.005237217869481,-0.00493777186427166,0.00320644902516633,0.00327041489742939,0.00321439678234616,0.00289642316211065,-0.000794001217899464,-2.28659931430792e-05,-1.85573899359887e-05,-0.000165367032935242
"asc_ruta2",0.78008471826816,1,0.476601146034937,-0.139089686964699,-5.16398267306978e-05,-0.00348209552267507,0.0635220305536761,0.0518976933697483,0.0195230196785802,0.0290109941992033,0.0319776736592341,-0.00924245992895976,0.0327276266661707,0.126206334484038,-0.00743648648450342,0.0181802770930902,0.00817487289875352,0.0101987716632313,0.000739949789882654,-0.000498302137222928,-0.000972215640542815,-0.00020759876083529,2.88595995768475e-09,-5.22756547814519e-11,-0.000133437751755423,0.0011612749970898,-0.000768443558580812,3.33078845695824e-05,-0.000439760471936587,0.000956706881935253,0.00095165505246049,0.000917280007865977,0.000367015246813746,-0.000479184518584383,-0.000389813471212362,-0.000475861775321683,0.00065477086626203,-0.000659482596343653,-0.000691441165134499,-0.000662142387510201,0.000264910524155882,0.000313411363832847,0.000252973380882405,7.07555502328854e-05,-2.23808341872971e-09,-2.10634745770415e-09,-1.79598791585377e-09,-1.38355816160823e-09,1.34922804759677e-10,5.29148222130331e-11,-4.51352266197687e-12,1.12618746784611e-10,0.000116670400558135,-5.30007694194239e-06,2.02095922815187e-06,7.01389929242259e-06,-0.00112954663282838,-0.00116664589550898,-0.0011600876495984,-0.00104843302535502,0.000802800739998918,0.000805656569949416,0.000757314455243562,0.000682639923366227,-7.0418983773124e-05,-3.73797370923719e-05,-3.07941743583803e-05,3.79463154016599e-05
"asc_rutaEC",0.518586801741564,0.476601146034937,1,0.0189942914615718,-0.05371155704179,0.168818892212299,0.450964124705731,0.0102500162348407,-0.0847770454464986,-0.0108343851028484,-0.0230910626359752,0.0425683270658,0.0505321449146615,0.0173196020897936,-0.130940555714033,0.267712358638995,0.573712773535099,0.0737922344344386,-0.062319510032864,0.0226519959427817,0.0129700056459826,-0.0283130675721364,-6.68452935033996e-10,1.13257179216277e-10,-0.0182413355431256,-0.0832434274753169,0.0446159442369325,-0.0394374750488006,0.0635924646115843,-0.0404688167285042,-0.0444210448478844,-0.0509426205980803,-0.0304700362304384,0.0256291729367491,0.029530870018484,0.041481181571955,0.0211413765891021,0.0454802936276869,0.0464921968393037,0.0322729837776651,0.0251642858544979,0.0235604259620189,0.0203859832647918,0.00905219044588935,8.86618905507465e-10,2.35368826865863e-10,2.11690084317066e-10,5.60020842709449e-11,2.00489504326224e-11,1.88379994825085e-11,-6.78381949390956e-11,1.74796213618058e-10,0.00939342487008618,0.00346223911858129,0.00143257978986068,0.000900494371117792,0.0834189303045971,0.0810922706277087,0.0786238672551915,0.0649725456863506,-0.0426471250753993,-0.0476355521772783,-0.0484303991198582,-0.0485900770945648,0.0200615084187747,-0.0145741887123725,-0.0153178878300056,-0.0081086254445879
"b_tt",-0.0403785045336621,-0.139089686964699,0.0189942914615718,1,-0.293445452461504,-0.0745102731560639,-0.213801297840386,-0.142257739174172,-0.0509339904591485,0.0220736858468326,-0.129749951527602,0.0592555570868143,-0.129107655848639,-0.134142204579625,0.0249933178719587,-0.105408477781978,-0.0721074004992498,0.0275899841056077,0.0102095884750983,0.00187991906471542,0.00530342493537674,0.00971549438989415,-4.0551841731844e-09,-1.30103937449007e-10,0.00416597797236005,0.0334383987783498,-0.0262077495074596,0.0066305532418813,-0.0090550586001457,0.00481163047376181,0.0051221798788127,0.00552775637347778,-0.000358677160379914,-0.00070687005423785,-0.000777786071990398,-0.00204204560392281,-0.00557156578044066,-0.00377048906126472,-0.00416228941449134,-0.00241416228983595,-0.00628243737965733,-0.0044780872198085,-0.00348417256439784,-0.00172441356826888,3.00740093564064e-09,3.01822869645405e-09,2.60038374355455e-09,2.0968187360622e-09,-5.71551697392615e-11,8.19421757196556e-11,1.83333935142811e-10,-1.5727996361744e-10,-0.00245678834585004,-0.00133013962187021,-0.000993368646143647,-0.000485956881991679,-0.0333156765042189,-0.0331028976210481,-0.0328931175058088,-0.0307731533381953,0.0254571057318229,0.0266420416495468,0.0267030607176486,0.0245327574679946,-0.0033867553717198,-0.000549541449715368,-0.000543596134247868,-0.00051947229485418
"b_dt",0.128551769272854,-5.16398267306978e-05,-0.05371155704179,-0.293445452461504,1,-0.0440675297886014,-0.0117959097378557,0.379197594543918,-0.0382641258776074,-0.0100402578615117,-0.0638506265896655,-0.0333263276600996,-0.0279524875646419,-0.117977121634865,-0.00633607635908893,-0.0274717386976821,-0.0915237762044908,-0.0457552012228841,0.0173997962308383,0.000801451314978132,-0.00285008294940577,0.00785205860048045,-1.05683084867331e-10,5.66918541526514e-10,0.00821173086499943,0.040465476964529,-0.0250613859401499,0.00527027670290596,-0.0160577087963777,0.0119261867887074,0.0126438857731819,0.0144887046865474,0.000422448696400104,-0.00109046607203938,-0.0013587441286237,-0.00536950426990968,-0.0040686948212772,-0.0116598125261069,-0.0119941600000332,-0.00734701032914003,-0.00608849341316006,-0.00508253226483755,-0.0045125549405437,-0.00218883902786215,2.48093227406452e-10,3.0712309937093e-10,2.83756793825198e-10,2.67399115847869e-10,-4.10195062962812e-10,-5.28663261002275e-11,2.01927661176983e-11,1.23396117122925e-10,-0.00513638812582285,-0.00248973683979365,-0.00108723703008579,2.2057719826314e-06,-0.0405268906018569,-0.0405091816494491,-0.0399367925955483,-0.0368772737743264,0.0248890524599575,0.025835399503002,0.0254700364969159,0.0229530079527385,-0.00298157313741402,-0.00010888514068637,-0.000259534653670786,-0.00289488813655457
"b_CongCD",-0.0276426004987158,-0.00348209552267507,0.168818892212299,-0.0745102731560639,-0.0440675297886014,1,0.512346778259564,0.0183674698304093,0.0612190090148068,0.0244055402457506,0.0661179549928981,-0.007606137114204,0.0540216372559929,-0.0569232176248477,-0.1459633220273,-0.0427101018847054,0.0954675782391194,0.0936223749662056,-0.00234813207745297,0.0132887707514508,0.00819542343592404,0.00147668725018681,1.26348711266946e-08,3.68472006727337e-10,0.000411995229124483,0.0357381424610256,-0.0392314661174454,-0.00751228246314732,0.00150988008743113,-0.0044092235764275,-0.00516478205571523,-0.00530753986913539,-0.00834170872252198,0.0141304075157379,0.0151197339130955,0.0176509980526665,-0.00382911294648897,0.00359781656528297,0.00378972179989356,0.00378618642367872,-0.00312482128817655,-0.00289672729512911,-0.0030122767783385,-0.00291085186040058,-8.10780527352157e-09,-7.30862679638057e-09,-6.09894920377176e-09,-4.37838980626541e-09,5.14063192012428e-10,1.4502807359125e-09,1.48394858623191e-09,1.77985882961831e-09,0.0012881472219075,0.00254612976435148,0.00267639800376515,0.00178296365142684,-0.0356402615070278,-0.0353042962212086,-0.0347123371147233,-0.0324530962469346,0.0384531805929148,0.0395635047393148,0.0392654574925032,0.0368292982440469,0.00921389543287985,0.000188735047075638,-0.000991357682446009,-0.000103101809176284
"b_CongEF",0.0233334804209877,0.0635220305536761,0.450964124705731,-0.213801297840386,-0.0117959097378557,0.512346778259564,1,0.0146738540241851,0.00865870848498297,0.0249823682916364,0.0354530435205095,-0.0355347313178601,0.090949849841829,0.0369496339646411,-0.176981344662673,-0.011066253363908,0.108567943744364,0.0909797278113682,0.00594282548753568,0.0137025321704695,0.0111167976626935,0.00515360209134954,-1.63304379242142e-10,5.67596645660883e-10,0.00371385258110963,0.0491378045426099,-0.0466654757899963,-0.00338548737209137,-0.00420411987847905,0.00203024646488533,0.00102356540506246,-0.000312265155519816,-0.0101816948005129,0.0124035119042025,0.0133966313599307,0.0142649154857153,-0.00511064302628036,0.00219563019352962,0.00187936361858203,0.00107101925567143,-0.00551394368770217,-0.00425248434134532,-0.00447581983833628,-0.00520164832464412,1.01703335045379e-09,1.25886447201004e-10,1.43503435343012e-10,-5.22159011995364e-11,-1.94477199422593e-10,2.6662634292087e-10,2.30764936809976e-10,6.89208300266469e-10,-0.0011739561918637,0.000530913271904464,0.00118860438761522,0.00130458711395646,-0.0485559693287345,-0.0483304993661144,-0.047841731950248,-0.0453642674622122,0.0462686756209877,0.047449920395486,0.0470199279238909,0.043653225954128,0.00528315191093667,-0.00162766322869224,-0.00288240905408927,-0.00233636351937289
"b_Sem",0.160041178739552,0.0518976933697483,0.0102500162348407,-0.142257739174172,0.379197594543918,0.0183674698304093,0.0146738540241851,1,-0.0649191404692251,0.0173628107799976,-0.0648432618347737,-0.0687509430535041,-0.0333434596310194,-0.128701295942873,-0.0167946316053474,0.0170777500000846,0.010926541815325,0.0258638954966946,-0.00874302943552947,-0.000873315461166341,-0.00230248761752289,-0.00656817880075427,-2.02565043634764e-09,7.73635704214777e-10,-0.00346837486448261,-0.0173795191196055,0.0115005366191449,-0.00329174117730915,0.00853361308947427,-0.00402498019150301,-0.00426008225938762,-0.00501600660078522,0.00225268587106341,0.000578657863943253,0.000689483240403957,0.00188103036369509,0.00446693854153174,0.00540932672543146,0.00547590282913098,0.00392591148560002,0.00579611494852279,0.00446374508610711,0.00397001370564485,0.00227667526815756,1.87530310586683e-09,1.44968031346512e-09,1.22318061035028e-09,8.80935714055113e-10,-5.99955574630852e-10,-1.60440968910498e-10,-7.72226423689548e-11,8.06084295944685e-11,0.00273399040507646,0.00179379547153417,0.00124510239250688,0.000359597173935132,0.0172573782181924,0.0171027501521862,0.0170701587788962,0.0163419117466353,-0.011167605951238,-0.012196672146759,-0.0122832338154948,-0.0107947523002733,0.00339340941701624,0.000868581739191097,0.000597409388362889,0.00107502049820312
"b_ACC_1",-0.0317389006127573,0.0195230196785802,-0.0847770454464986,-0.0509339904591485,-0.0382641258776074,0.0612190090148068,0.00865870848498297,-0.0649191404692251,1,0.122251860526521,-0.0464055343006066,-0.0345945980002935,-0.0232638100703872,0.0525501709537404,0.0880867862487527,-0.106161691484622,-0.0107488716895322,-0.0396770586917523,-0.00852997416146399,0.0114165712657071,-0.00287295365615919,-0.000392906892196651,8.73191784582348e-09,-6.42710609675172e-10,0.00027421125512106,0.00625130878373049,-0.00267353467839975,-0.00606642612367019,0.00854243165143818,-0.00562288534493012,-0.00526919841914866,-0.00601733641116582,-0.00829591257235316,0.0117905394453346,0.0117975896233841,0.00981239231191511,0.00417615543841479,0.00301601198593094,0.00289455080917417,0.00195099060126978,0.00267819086572986,0.00458865486031837,0.00514450423532714,0.00447779522549939,-6.49351541468043e-09,-5.25343712304893e-09,-4.38216099135222e-09,-3.06355221240445e-09,7.90015930397397e-10,8.19293479343332e-10,7.93335644241037e-10,6.51914542726603e-10,0.000632892231503716,0.000986215213676004,0.000752482527125564,0.000112655315408881,-0.00621542238114443,-0.0064184606656686,-0.00654253184230222,-0.0061873030147636,0.00307646155823639,0.00303746546952456,0.00283402044165117,0.00216686659439886,0.00676922760760419,-0.00110255745234413,-0.0025685272379613,-0.00510958438230461
"b_ACC_2",0.00866290586089779,0.0290109941992033,-0.0108343851028484,0.0220736858468326,-0.0100402578615117,0.0244055402457506,0.0249823682916364,0.0173628107799976,0.122251860526521,1,-0.00396355978541628,0.0417741167035471,-0.0165778379381712,-0.0235044663263508,0.0239229495295717,-0.0316858934524219,-0.0432461230421267,0.00387593536800737,0.0075344604923607,-0.0017681957042337,-0.00246668365707831,0.00342637220521331,4.60516414787959e-10,2.86036852295174e-11,0.00196296820573168,0.0129239075626732,-0.00900386578872184,0.00334728927703744,-0.00789896176346137,0.00521193543069906,0.00573058452034504,0.0060457277667456,0.000914466553915284,-0.00300106084936962,-0.00297547799338805,-0.0041076886841971,-0.0023365088131896,-0.00579833462989643,-0.00597647678706704,-0.00489040218930315,-0.0031928023474061,-0.00263327871011255,-0.00217449217113893,-0.000954405271249531,-3.10766230347975e-10,-3.61774362890106e-10,-3.11638546537695e-10,-2.45873785868018e-10,-2.41523298528583e-11,1.28092969278832e-11,9.94845778761194e-12,3.12093422912574e-11,-0.00174739814747196,-0.00143104181736261,-0.00109895936870865,-0.000441863807728689,-0.013010595070453,-0.0129012431114303,-0.0127001269500248,-0.0117136655529277,0.00861525439018918,0.00916702601109618,0.00915310407360779,0.00842329699283655,-0.00308757681854371,-0.000701697343728743,-0.000487526646552002,-0.00062049871568759
