"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.105643392008202,0.0826116763120225,0.0699502660366069,0.0262187456185139,0.00874127245131584,-0.0102053605361926,-0.010972379574745,0.00786416987625849,-0.00527037801732889,0.00737064554598988,-0.00663134246419847,0.00128286308438447,-0.00471280903586158,4.30424838339838e-05,-0.00141654507232088,-0.0198993650685883,-0.0030073395388643,0.00310106585157853,0.00718072180808292,0.000776699553677969,0.000407552320908348,0.000538303425904187,-2.68334923390154e-09,-6.18467841533682e-10,8.14632749939992e-05,0.00714689050718745,-0.00210392761073866,0.000577386524186853,-0.00292863225333589,0.00362763227876352,0.00485009548377002,0.00887986998874611,-7.78249658951173e-05,-0.000168935073053431,-0.000124887167022692,-0.00209410577199706,-0.000702385189578266,-0.00181752988611704,-0.00216316737758461,-0.00275864131659701,-0.000500978981813049,-0.000305826259744262,-0.000303111199783381,-0.000383998739804687,3.82745965748818e-10,3.7120124421617e-10,3.58252661295565e-10,3.37387255708135e-10,1.11231924005112e-10,6.3784639750609e-11,6.3640281765042e-11,7.01257959380335e-11,-0.000110209091917887,-6.78839967697246e-05,-6.58821299395288e-05,-9.99532012343912e-05,-0.0188360507913821,-0.0149290643116221,-0.012459690813205,-0.00719927397532009,0.00668080097578767,0.00574803503119552,0.00518964762490483,0.00331254872537615,-0.000367727654126049,-2.7911042756917e-05,-5.06487118845974e-05,-0.000208895480426026
"asc_ruta2",0.0826116763120225,0.105241058828989,0.072311492387618,0.0118615561152389,0.00190188788241773,-0.00517650973611295,-0.00286492440934034,0.00345169905988062,-0.000225174730236907,0.0146328450698986,-0.000608399768814968,0.000475711859122934,-0.00125211646194424,0.00830669960165594,-0.000888735631403181,-0.00686496298018829,-0.00173594926015263,0.0020034979638552,0.00477551827462584,0.000309381482069438,4.80127420068585e-05,0.000336192811777844,-1.11136330544935e-09,2.03358681295486e-11,6.01881989830501e-05,0.00483510883850715,-0.00144790348033695,0.000368155685042205,-0.00188833891866391,0.00254875616052974,0.0034045639111044,0.00623612746831336,2.56214649271491e-05,-0.000213409297329531,-0.000219017370435988,-0.00157903709531913,-0.000353210688795405,-0.00130375597073512,-0.00154262008804768,-0.00201050224473098,-0.000298652517059195,-0.00017209782690646,-0.000168997075146497,-0.000212181208611748,1.63201494347329e-10,1.61159469026268e-10,1.59780837321454e-10,1.57005598004269e-10,1.22853033915746e-11,6.43030570204740e-12,7.84548253091036e-12,7.40279542130925e-12,-7.19254522847631e-05,-4.10045091830041e-05,-3.7227529820799e-05,-5.28067085263276e-05,-0.0127303214929586,-0.010100124528049,-0.00843074342952428,-0.00485275770959997,0.00460264216234357,0.0039606932782232,0.00357241201553849,0.00228409138183123,-0.000234243972709203,-6.47455727323418e-06,-1.59396326865858e-05,-0.000101523531471103
"asc_ruta4",0.0699502660366069,0.072311492387618,0.240170908459251,-0.0152861292484199,0.0118810260250887,0.0250320544048908,0.0717817053729525,0.00444493140237101,-0.0124938550914468,-0.00699528868289219,-0.000767901782485403,0.00447389264628925,0.0077200540618182,0.00243579608549102,-0.0146986859356951,0.177244898122527,0.0449785277696215,0.0064851185047145,-0.0483502827425154,0.0143545902625541,0.00436291781332989,-0.00277930674629663,9.48206050779536e-09,3.22623531390312e-09,-0.0010971499003009,-0.0279487872414919,0.00660312347440249,-0.00618049088167382,0.0215085106499186,-0.0252529622578117,-0.0355742696485924,-0.0701232288084819,-0.0114454183862917,0.0128199674440648,0.0205051875060928,0.0490805259781452,0.00423996779434403,0.0173365093897569,0.0198288353750678,0.0251881057830957,0.00299953184580228,0.00217062536164384,0.00214550098365826,0.00203371673471637,-1.34152499697838e-09,-1.30370876159949e-09,-1.26262105862056e-09,-1.18387529893818e-09,-5.13736899181242e-10,-3.25481766918701e-10,-3.11929876567986e-10,-3.29282409900776e-10,0.000764839781390904,0.000131467869144255,1.32409057585444e-05,8.51130331373854e-05,0.0736850919264243,0.05718373386785,0.0469395731741136,0.024438204086196,-0.0205327208411926,-0.0187540573653969,-0.0172968372018918,-0.0120177253660011,0.00303650233953065,-0.00237994022321522,-0.00281775533064964,-0.00254668168179856
"b_tt",0.0262187456185139,0.0118615561152389,-0.0152861292484199,0.0468248172055932,-0.0140386293477936,-0.0114525518285521,-0.0191944485087734,-0.00158333254596637,-0.00222324487416394,0.00474828459800617,-0.00475387854225153,0.000487184141460992,-0.00670690887729323,-0.00572213946353323,-0.00235154458564845,-0.0240681415324519,-0.00430060923879498,0.00485939100648926,0.00883537005440906,0.000979363080224443,0.000773611956710183,0.000693229025425927,-2.76878947881591e-09,-1.13334418731784e-09,3.6854462457515e-06,0.0083929550619251,-0.0025180507275054,0.000746438478067297,-0.00375300792809193,0.00414981693911802,0.00555353611324888,0.0102457097570939,-6.80520499181788e-05,-0.000144382027545138,-7.3159909120231e-05,-0.00189537686116751,-0.00104209912695957,-0.00226912029297409,-0.00268716964951817,-0.0035013096083322,-0.000706812545179989,-0.000448125090206446,-0.000448027361687815,-0.00057423743677606,3.92725749983271e-10,3.76344054020162e-10,3.5546264456711e-10,3.18739241637651e-10,1.84754732241591e-10,1.07966957304073e-10,1.04794702214007e-10,1.17604181830701e-10,-7.29872236444481e-05,-7.16173577777684e-05,-8.77839503829974e-05,-0.000158699180742334,-0.0221364323913385,-0.0175132010207332,-0.0146217520699212,-0.00842280279057513,0.00795510970558948,0.00688387217925158,0.00623625895848817,0.00399123215770105,-0.000498503496120811,5.08128343872374e-06,-1.21757689667648e-05,-9.41069130957209e-05
"b_dt",0.00874127245131584,0.00190188788241773,0.0118810260250887,-0.0140386293477936,0.0631953927182593,-0.00288834283637553,-0.00346899888376153,0.0117881248337784,-0.00432490529388726,-0.00436233127219857,-0.0062768764885063,0.00231173418412851,-0.00578337880747478,-0.00953628724380342,0.00199907012009499,-0.0151186522649135,-0.00225122960362485,-0.00382431456000831,0.00471611277812689,0.001063851180041,-0.000960609919112277,0.00022031482779988,-1.36730002054055e-09,-5.02090925938758e-10,0.000285619829166317,0.00493973463249632,-0.00132692857697736,1.63546833968965e-05,-0.00153671727044692,0.00327990711563188,0.00446488360919878,0.00803818968485302,-0.000380396183341712,0.000625587427646553,0.000749501988984862,-0.00100805787239297,0.000136613764952905,-0.00151062990717484,-0.00178735957067444,-0.0023510490758596,-8.21931399284336e-05,-2.16302017068764e-06,3.11897165366161e-06,3.91139425558945e-05,1.90529639718811e-10,1.79934398039245e-10,1.69917972769516e-10,1.6169016154084e-10,7.39254490592007e-11,3.31184193638429e-11,3.15674417786611e-11,3.64761366078049e-11,-0.000223500182335043,-4.99349998617779e-05,-8.41492210702072e-07,6.33154606683192e-05,-0.0130669930794304,-0.0104143963898718,-0.0086416668968946,-0.00497510451015531,0.00428366001418411,0.00363443784308273,0.00323935717618888,0.00204059763017596,9.89685276371791e-05,-6.48386447302288e-05,-0.00010969176910476,-0.000557229034245992
"b_CongCD",-0.0102053605361926,-0.00517650973611295,0.0250320544048908,-0.0114525518285521,-0.00288834283637553,0.0801885087706968,0.0472027827303442,0.000366702589013358,0.00589026864074627,0.00787955261603935,0.00550925162571717,-0.000439817253083178,0.00577389361528415,-0.00517309810651101,-0.00921471722288413,-0.0112292421061633,0.00536571819626202,0.00454921674606056,-0.00306294941591888,0.00520129750642676,0.00180558624620122,0.000125224135771605,2.75999947797325e-08,5.90309171243795e-09,3.12211557440994e-05,0.00534407660182369,-0.00258176967118812,-0.000814011838823051,0.00100288521862683,-0.00295351961125954,-0.00416690448471747,-0.00727213078636608,-0.001994613395112,0.00463043480974866,0.00671182023323641,0.0130603646963091,-0.000405757264390232,0.00125528524120686,0.00151790626227852,0.00259377304387485,-0.000228608107285688,-9.65608286640501e-05,-8.67425357493342e-05,-0.000128435429029231,-3.85742679609527e-09,-3.7969456809667e-09,-3.71772809341772e-09,-3.56796274559641e-09,-9.94374508648139e-10,-6.85740867774131e-10,-6.83886349556566e-10,-7.34237122290954e-10,5.66055001686263e-05,9.21259204154688e-05,0.000114372085045184,0.000203148540456895,-0.0140667859961974,-0.0110980410992998,-0.00919849842443752,-0.00533661261717309,0.00817249598003982,0.00691120163580113,0.00622052079459686,0.00409625580754173,0.000910142457512943,-3.07850456546923e-05,-0.000146567984733197,-0.000112530916404446
"b_CongEF",-0.010972379574745,-0.00286492440934034,0.0717817053729525,-0.0191944485087734,-0.00346899888376153,0.0472027827303442,0.0979668939540376,-0.000717457004831986,0.00151913118313807,0.00995564422395811,0.00346053702364158,-0.00202853714011693,0.00801633468112416,0.00402920186106903,-0.0119471579349675,0.00176830090535827,0.00629983966942112,0.00472334674889059,0.000631265812445104,0.00577401823333192,0.00255169313783934,0.000344328922473426,1.53555465840902e-08,4.11865805808544e-09,0.000173613359498408,0.00859020168887974,-0.0034624104603697,-0.000482308583793455,-5.50150652985135e-05,-0.000692823910200307,-0.00138754598488786,-0.00353405454034906,-0.00252398589813871,0.00441651086709688,0.00643661111104016,0.0115874827244658,-0.000557920199024856,0.00106607787831344,0.0011762722825635,0.00148770440434945,-0.000400768222085721,-0.000169883968033613,-0.000177892386046412,-0.000422019237591095,-2.15138940263365e-09,-2.10925924856136e-09,-2.05542810261059e-09,-1.95826826733545e-09,-6.75526698813774e-10,-4.39246251612924e-10,-4.31219790631544e-10,-4.71061573377356e-10,-7.78181192883474e-05,2.71006334258995e-05,6.74871272997043e-05,0.000180230460376998,-0.0223776946126213,-0.0177189466248948,-0.0148011113646716,-0.00871591069832998,0.0111087364934971,0.00937743857432673,0.00843541101707792,0.00549412037564911,0.00060750032097725,-0.00017822167874806,-0.000335244003192431,-0.000437696731851312
"b_Sem",0.00786416987625849,0.00345169905988062,0.00444493140237101,-0.00158333254596637,0.0117881248337784,0.000366702589013358,-0.000717457004831986,0.0251104885047821,-0.00331017909863265,0.00476178081253811,-0.00342854502128113,-0.00124864739377134,-0.00266680528554466,-0.00679187085888794,-0.000243949887709081,0.00235296506736025,0.000494356261921115,0.000872487216001269,-0.00246854198794238,-0.000249205241269203,-0.000355719285889444,-0.000271149604772012,-3.99623003920878e-10,-9.72964707553036e-11,-7.84837955065214e-05,-0.0024111001552015,0.000679039537237905,-0.000205499180820314,0.00106376613854463,-0.000844588507236324,-0.0011321172958226,-0.00250218680545071,0.000281952839470404,5.89501811748401e-05,0.000103802681641127,0.000843502857130295,0.000346125399908187,0.000777524957985831,0.000870846177773579,0.000996180770890424,0.000282709320737938,0.000156026231551975,0.000152395945161643,0.000159205801728714,4.96630654548848e-11,4.48257434291671e-11,4.1251759560679e-11,3.7009248389035e-11,7.60367928383909e-12,-4.42254834522068e-12,-5.27954801282045e-12,-3.66622832560376e-12,9.40708617167913e-05,4.29411735499285e-05,3.17121557808501e-05,2.23550250963211e-05,0.00631609221372879,0.00499004012294933,0.00418725716810642,0.00245482904397579,-0.00214127667162637,-0.00190478850009036,-0.00173729051444034,-0.00108494376357339,0.00021236564999996,2.07695942990514e-05,1.13394104686268e-05,8.06716094905995e-05
"b_ACC_1",-0.00527037801732889,-0.000225174730236907,-0.0124938550914468,-0.00222324487416394,-0.00432490529388726,0.00589026864074627,0.00151913118313807,-0.00331017909863265,0.0929932575876849,0.0437335839936835,-0.00364648180871003,-0.0024236160669212,-0.00109014638441133,0.00542333132424029,0.00666387737479102,-0.0396127082617906,-0.000515307436319783,-0.00275816648175876,-0.00527782619023395,0.00497358156702638,-0.000402557863743369,-4.47008811738643e-05,1.57055697747484e-09,6.54224086002026e-10,-1.84270978785772e-05,0.000984111958969711,-0.000244659084138336,-0.000625766610594246,0.00212991877416409,-0.00306617710079253,-0.00378562982085503,-0.00712133474625381,-0.00201211855024071,0.00414127846648763,0.00565804459132347,0.00825090742309459,0.000427650899747302,0.00103140358435754,0.00115041317956928,0.00164768175329565,0.000207152223499258,0.000244361666079973,0.000319549695398253,0.000572267952158926,-2.14266794431582e-10,-2.02994443361517e-10,-1.90024721365212e-10,-1.69653942653298e-10,-9.88264998824041e-11,-6.03878825795367e-11,-6.24579953235298e-11,-7.05645034176195e-11,4.94557081764717e-05,3.80539254680552e-05,2.62980768634615e-05,-3.0409576544317e-06,-0.00258279965881405,-0.00214619744601457,-0.00185072066465167,-0.00106118439876326,0.000882220158549648,0.000714502909024777,0.000607338653246229,0.000341050512425974,0.000698212528994453,-0.000133895471611513,-0.000304191028998541,-0.000828993543098299
"b_ACC_2",0.00737064554598988,0.0146328450698986,-0.00699528868289219,0.00474828459800617,-0.00436233127219857,0.00787955261603935,0.00995564422395811,0.00476178081253811,0.0437335839936835,1.3784555528584,-0.00256372845205283,0.00999364631301629,-0.00470146758424222,-0.00901132879219565,0.00476805913116421,-0.0397108693876312,-0.0091637860046358,0.00235617179995884,0.0178161500532658,-0.00503009922709547,-0.00285646300248104,0.000893544675947699,2.06693659201518e-09,9.60904794612835e-10,0.00022311465275326,0.0101185316561557,-0.00281765059833071,0.00159656608388129,-0.00789535522433407,0.0105625859768887,0.0145986081949485,0.0262288297797724,0.00206661688594921,-0.0054362470416144,-0.00749099498077697,-0.0161681316896238,-0.00109874453225041,-0.00656878992798219,-0.00760451161387807,-0.0116228710226554,-0.00100959798060159,-0.000633004982387995,-0.000595374144168535,-0.000609170998032513,-2.89814641355109e-10,-2.90804740168668e-10,-2.88129345130809e-10,-2.82387804540466e-10,-1.48470990169824e-10,-9.29201920877274e-11,-8.79797761593107e-11,-9.99170897038827e-11,-0.000332297117652639,-0.000207371780000934,-0.000185509767836704,-0.000210104159323527,-0.0268005238595139,-0.0211392420013231,-0.0175658143662651,-0.0100474424767936,0.00874631523728403,0.0077204470937654,0.00700645857142377,0.00450344785154798,-0.0014514861004371,2.03494664681795e-05,0.000141526664573221,0.000143989276798202
