"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.82046628558053,0.296287103715662,6.14426433938744,8.03349609057591e-10,0.298079374468033,6.10732053779105,1.01317643164123e-09
"asc_ruta2",0.868146588258058,0.322487260925297,2.69203374349463,0.00710177595079831,0.323609376674357,2.68269911453048,0.00730306629882649
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_rutaEC",2.98595044619529,0.489954465908031,6.09434274807852,1.09887987598256e-09,0.527302616529784,5.66268846880761,1.49019558914887e-08
"b_tt",2.70080334424174,1.12071128186654,2.40990109401198,0.0159568456748884,1.20714288923967,2.23735182331469,0.0252633546277106
"b_dt",-2.97679298129292,1.43904001355657,-2.06859639290767,0.0385839767117269,1.33217437630851,-2.23453703526538,0.0254477585288331
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",0.111183923680315,0.278717455076059,0.398912668207212,0.689957554471421,0.285642461252561,0.389241582616134,0.697097445628121
"b_CongEF",0.241309848573718,0.309214841204524,0.780395428737225,0.435158157735833,0.33726835435644,0.715483221170198,0.474310505102933
"b_Sem",0.295177418985232,0.162924423417876,1.81174444440504,0.0700256928497345,0.13199343888439,2.23630372448869,0.0253318826499633
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.384423286317743,0.306141912059842,-1.25570289847343,0.209223707954344,0.297219066839525,-1.29340048875566,0.195872581177708
"b_ACC_2",-2.65071319680831,1.13904934012796,-2.32712763479634,0.0199584730913145,0.778931003393572,-3.40301411198159,0.00066646838118789
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.704665785100799,0.282525692833054,-2.49416532009777,0.0126253726147922,0.274616946427976,-2.56599526819664,0.0102880231627382
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.294832905659435,0.209150009870658,-1.40967196626844,0.158636566127719,0.182962392763163,-1.61143993148954,0.107083869732044
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0127342758071745,0.256170565253098,0.0497101444679758,0.96035337233922,0.239819222247327,0.0530994792153966,0.957652646395095
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.143026213985114,0.349739023686308,0.408951258791754,0.682575430912133,0.347278261083766,0.411849027171371,0.680450083803632
"lambda1",-0.117811554217493,0.244896984333085,-0.481065761337663,0.630469761335183,0.246831789875514,-0.477294898995423,0.633152142809625
"lambda2",0.480314292025759,1.29625575296005,0.370539757242304,0.710980359267658,1.28714844176497,0.373161537893127,0.709028220309289
"lambda3",0.338115193813357,0.166798424900794,2.02708864915515,0.0426533474943782,0.182020400517806,1.8575675740274,0.0632304468389975
"lambda4",0.181791064577043,0.218607748623085,0.831585640134288,0.405642870275455,0.217635871593205,0.835299177687212,0.40354928029166
"gamma_EXP_3_LV_1",-0.358,NA,NA,NA,NA,NA,NA
"gamma_HTRB_2_LV_1",0.306,NA,NA,NA,NA,NA,NA
"gamma_CSECO_LV_1",0.174,NA,NA,NA,NA,NA,NA
"gamma_SININFOTRF_LV_1",-0.175,NA,NA,NA,NA,NA,NA
"gamma_USODISPMOB_LV_1",0.21,NA,NA,NA,NA,NA,NA
